Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.tie_rod_angle_top_view_l.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,Roll.front.side_view_swing_arm_angle_l.best,
0,32.4032,230.292,115.351,0.140705,28.53,127.414,4.031,1.81818,4.62881,12.9554,3.6676,34.2849,12.9629,29.7955,154.441,4.67865,6.65137,5.77552,15.5499,3.51791,40.7724,13.6328,1.71743,4.19579,0.0461635,0.336185,0.032829,0.516763,0.383495,2.18431,0.203308,
1,32.4032,231.645,117.543,0.139883,28.448,127.335,4.01948,1.78986,4.57402,13.7311,3.64605,34.3603,13.7408,15.1687,87.2195,2.37635,6.39236,3.41541,14.3687,2.16961,22.2149,14.3645,1.71743,4.19579,0.0461635,0.336185,0.032829,0.516763,0.383495,2.18431,0.203308,
2,32.4032,253.249,179.453,0.12795,27.8773,124.632,4.01226,1.30959,4.36531,26.5694,3.59662,34.2888,26.5978,15.1336,86.1493,2.39816,3.47825,3.34146,74.0045,2.20102,22.0386,74.3074,1.71743,4.19579,0.0461635,0.336185,0.032829,0.516763,0.383495,2.18431,0.203308,
3,32.4032,368.167,423.176,0.0880124,28.1727,104.778,3.78036,0.891313,3.93537,94.868,3.58587,33.37,94.7846,15.7182,81.2798,2.41999,1.88102,3.19053,219.326,2.23661,21.385,202.98,1.71743,4.19579,0.0461635,0.126576,0.032829,0.516763,0.383495,2.18431,0.203308,
4,32.4032,373.922,429.438,0.0866578,28.0897,105.014,3.76617,0.884452,3.94761,97.6152,3.57404,33.4988,97.5319,15.7468,79.2512,2.41518,1.83355,3.1632,210.937,2.23424,21.269,209.947,1.71743,4.19579,0.0461635,0.126576,0.032829,0.516763,0.383495,2.18431,0.203308,
5,32.4032,778.512,477.265,0.041622,27.647,85.5244,3.35525,0.590171,3.2744,311.985,3.53588,30.3866,312.214,12.6581,71.0491,2.35552,0.80516,2.98385,292.557,2.2504,16.0916,285.599,4.13265,1.25394,0.0419048,0.253566,0.0339829,1.51747,0.459853,1.76228,0.519725,
6,32.4032,774.796,466.801,0.0418216,27.8707,82.3584,3.34401,0.535816,3.18647,311.567,3.47598,30.63,311.828,12.5277,64.9528,2.28804,0.267873,2.85307,227.474,2.20883,15.6506,227.468,4.13265,1.25394,0.0419048,0.253566,0.0339829,1.51747,0.459853,1.76228,0.519725,
7,32.4032,619.704,400.077,0.0522883,28.2673,68.5976,3.14541,0.547459,2.74431,241.862,3.60484,28.8834,242.052,10.9731,53.6391,2.10453,0.318145,2.54196,208.32,2.11287,12.4408,206.853,4.61243,2.42318,0.111239,0.218785,0.0271926,1.31444,0.48878,2.80004,0.820463,
8,32.4032,603.923,365.715,0.0536546,28.0309,66.6354,3.12258,0.548019,2.70753,235.09,3.56551,28.8196,235.403,10.8701,49.879,2.10649,0.317909,2.47937,183.611,2.08441,12.3156,183.372,4.61243,2.42318,0.111239,0.218785,0.0271926,1.31444,0.48878,2.80004,0.820463,
9,32.4032,453.915,262.435,0.0713862,28.9135,63.969,2.8469,0.529939,2.49551,161.763,3.55215,27.7925,162.052,11.04,54.2126,2.06874,0.0960118,2.03012,145.596,2.13878,10.0282,132.235,3.2015,1.06876,0.0838206,0.335437,0.0420537,1.38849,0.423095,5.4567,1.02189,
10,32.4032,451.544,262.035,0.0717609,28.7771,62.4548,2.83538,0.53027,2.51383,161.432,3.53111,27.7532,161.717,11.0411,51.585,2.0634,0.094713,2.03205,126.125,2.13178,10.008,126.355,3.2015,1.06876,0.0838206,0.335437,0.0420537,1.38849,0.423095,5.4567,1.02189,
11,32.4032,359.523,248.234,0.0901285,29.4001,56.5143,2.67786,0.544184,2.33175,118.844,3.50323,26.6924,119.015,10.978,48.0079,2.02178,0.147911,2.18908,123.077,1.96,7.67638,120.391,3.89279,2.25256,0.0145051,0.096011,0.0283149,0.316761,0.567603,4.3904,0.325773,
12,32.4032,353.753,244.733,0.0915984,29.2886,55.1606,2.63817,0.539744,2.31366,116.718,3.48653,26.7187,116.889,10.9163,46.4828,1.99983,0.124431,2.18484,115.028,1.92698,7.58307,114.954,3.89279,2.25256,0.0145051,0.096011,0.0283149,0.316761,0.567603,4.3904,0.325773,
13,32.4032,302.797,227.062,0.107013,29.0496,51.6165,2.3158,0.602088,2.12988,93.2643,3.50918,26.9236,93.3866,10.3203,42.9042,1.89947,1.04105,1.90404,101.386,1.86327,5.35741,103.58,5.92953,2.53554,0.0296143,0.293896,0.0412936,0.569789,0.554743,2.27571,0.436951,
