Individual,Roll.front.side_view_swing_arm_angle_l,Roll.front.roll_center.y,Roll.front.camber_angle_gain_roll_l,Steering.front.ackerman_angle,Steering.front.tie_rod_angle_front_view_l,Steering.front.tie_rod_angle_top_view_l,2in Heave.front.rocker_p_rod_angle_l,2in Heave.front.rocker_coil_over_angle_l,2in Heave.front.p_rod_length_l,2in Heave.front.coil_over_length_l,2in Heave.front.tie_rod_angle_top_view_l,2in Heave.front.toe_angle_l,2in Heave.front.side_view_swing_arm_angle_l,2in Heave.front.roll_center_gnd.z,2in Heave.front.motion_ratio_heave_l,
210,0.0598346,34.6664,5.54382,0.716291,15.0543,3.2103,0.108823,0.11224,0,46.0498,2.72114,1.91872,0.0788952,31.6787,6.71353,
211,0.0349716,34.6659,5.54535,0.684645,15.0045,3.18819,0.226878,0.150211,0,45.9034,2.70091,1.96245,0.063311,31.6599,6.84262,
212,0.0390944,34.6516,5.54274,0.832138,14.947,3.13492,0.175555,0.101667,0,45.7663,2.64731,2.00007,0.0670205,31.6865,7.04189,
213,0.0267876,34.6496,5.5473,0.738599,14.9936,3.16668,0.292789,0.126625,0,45.9932,2.6795,1.96554,0.0705878,31.6332,6.74988,
214,0.0872872,34.6586,5.54969,0.779734,15.1443,3.17556,0.175142,0.107741,0,46.0776,2.68775,1.83497,0.0696326,31.6106,6.6754,
215,0.0833828,34.6961,5.55416,0.760462,15.1844,3.15261,0.162632,0.0914496,0,46.0205,2.66487,1.81428,0.119005,31.5709,6.75969,
216,0.031951,34.6549,5.55022,0.690701,15.1986,3.16423,0.16724,0.181441,0,46.1732,2.6762,1.82698,0.0311874,31.604,6.68376,
217,0.0289824,34.6347,5.54191,0.839571,14.8737,3.15694,0.104168,0.186929,0,46.1704,2.66896,2.07791,0.0260715,31.6905,6.63483,
218,0.112835,34.6419,5.54309,0.906327,14.9461,3.12792,0.142178,0.0280941,0,45.8427,2.6396,2.00388,0.107436,31.6795,6.91411,
219,0.05766,34.629,5.53906,0.720037,14.8608,3.18488,0.125205,0.0820755,0,46.2466,2.69756,2.07985,0.074141,31.7236,6.61601,
220,0.0240649,34.6692,5.54788,0.719278,15.1037,3.18903,0.179169,0.194375,0,45.8914,2.7014,1.87207,0.0629863,31.6332,6.84985,
221,0.0366298,34.6426,5.54477,0.845147,15.0256,3.14511,0.230392,0.101427,0,45.9787,2.6568,1.9294,0.0334341,31.6615,6.80693,
222,0.0328306,34.6249,5.53958,0.704352,14.9277,3.19082,0.274317,0.0883795,0,46.0131,2.70394,2.01642,0.0618233,31.7177,6.74273,
