Individual,Roll.front.side_view_swing_arm_angle_l,Roll.front.roll_center.y,Roll.front.camber_angle_gain_roll_l,Steering.front.ackerman_angle,Steering.front.tie_rod_angle_front_view_l,Steering.front.tie_rod_angle_top_view_l,2in Heave.front.rocker_p_rod_angle_l,2in Heave.front.rocker_coil_over_angle_l,2in Heave.front.p_rod_length_l,2in Heave.front.coil_over_length_l,2in Heave.front.tie_rod_angle_top_view_l,2in Heave.front.toe_angle_l,2in Heave.front.side_view_swing_arm_angle_l,2in Heave.front.roll_center_gnd.z,2in Heave.front.motion_ratio_heave_l,
0,0.896078,35.1805,5.72873,1.07518,15.1663,1.97237,0.451344,0.471135,0,46.1828,1.43989,3.90357,1.45472,31.4095,5.06892,
1,0.783604,35.1334,5.71088,0.951305,14.7958,2.11943,0.235897,0.589787,0,46.4415,1.58427,4.42145,1.51461,31.2811,4.88895,
2,0.604349,35.1593,5.71605,1.28033,14.7277,2.00985,0.28427,0.744476,0,46.4416,1.47603,4.51162,1.37596,31.3208,4.80157,
3,0.859207,35.1595,5.71989,1.39084,15.1097,1.98125,0.109086,0.600187,0,46.1411,1.44182,4.016,1.48411,31.3414,5.24558,
4,0.573056,35.182,5.73397,1.16533,15.0568,1.85412,0.875998,0.553141,0,46.4458,1.32801,3.99436,1.30889,31.4538,5.16503,
5,0.574048,35.2493,5.73799,1.68635,14.8875,1.95599,0.210324,0.604475,0,46.4796,1.42136,4.12636,1.35318,31.5062,4.96447,
6,0.613374,35.1404,5.70954,1.42259,14.5248,1.90691,0.378251,0.836218,0,46.2671,1.3758,4.78085,1.46218,31.2784,5.10984,
7,0.622517,35.1919,5.72728,1.10127,14.8933,2.06162,0.123297,0.918453,0,45.8479,1.52605,4.26494,1.46323,31.4059,5.72284,
8,1.03768,35.1332,5.72332,1.09278,15.6815,1.88868,0.214117,0.509794,0,45.986,1.36166,3.29104,1.60409,31.3543,6.06259,
9,0.635813,35.1051,5.70619,0.862949,14.5751,2.16628,0.377146,0.97003,0,46.0624,1.63186,4.78365,1.41961,31.2504,5.39889,
10,0.591411,35.1892,5.73014,0.87744,15.2102,2.07129,0.634509,1.06759,0,45.8321,1.53704,3.90985,1.35903,31.4236,5.57058,
