Individual,Heave.front.toe_angle_l,Heave.front.mechanical_trail_l,Heave.front.tie_rod_angle_top_view_l,Heave.front.scrub_radius_l,Heave.front.motion_ratio_heave_l,Heave.front.roll_center.z,Heave.front.side_view_swing_arm_angle_l,Roll.front.camber_angle_l,Roll.front.roll_center.y,Roll.front.side_view_swing_arm_angle_l,Steering.front.camber_angle_l,Steering.front.ackerman_angle,Steering.front.tie_rod_angle_front_view_l,
0,0.354976,4.07483,0.267827,0.0479921,0.175619,5.70859,1.27707,0.410075,11.8971,0.455775,1.12719,0.553677,0.631622,
1,0.35519,4.0617,0.266015,0.0487393,0.175615,5.70902,1.27687,0.41009,11.9089,0.454139,1.12927,0.55516,0.631984,
2,0.354266,4.06086,0.280705,0.048336,0.175818,5.70654,1.27644,0.410165,11.9103,0.451933,1.12804,0.548106,0.631474,
3,0.35517,4.09165,0.265946,0.0452083,0.175709,5.70654,1.27674,0.410121,11.8903,0.455839,1.12511,0.554076,0.631525,
4,0.355089,4.10575,0.265384,0.0493237,0.175636,5.70959,1.27586,0.410064,11.8761,0.452297,1.12302,0.554299,0.631689,
5,0.355155,4.09671,0.264231,0.0488481,0.175735,5.71385,1.27549,0.40999,11.88,0.452901,1.12434,0.555251,0.631754,
6,0.355078,4.09632,0.265638,0.0495684,0.175625,5.70984,1.27737,0.410037,11.8785,0.456626,1.12439,0.554471,0.631058,
7,0.354639,4.09064,0.271888,0.048082,0.175574,5.70943,1.2767,0.410078,11.8864,0.453859,1.1245,0.551513,0.631544,
8,0.355177,4.06982,0.265647,0.0496583,0.175631,5.70773,1.27659,0.410103,11.9058,0.453578,1.12804,0.555219,0.631948,
9,0.354291,4.0705,0.281773,0.0495231,0.175581,5.70409,1.27745,0.410184,11.9017,0.454729,1.12682,0.547512,0.631532,
10,0.354379,4.07376,0.283451,0.0465413,0.175434,5.69978,1.27786,0.410244,11.9009,0.458812,1.12653,0.546574,0.63165,
11,0.354064,4.06731,0.284429,0.0483981,0.175597,5.70695,1.27594,0.410164,11.9062,0.451922,1.12686,0.546673,0.631477,
12,0.355102,4.07033,0.265893,0.0531505,0.175702,5.70551,1.2778,0.410119,11.9026,0.456783,1.12812,0.554919,0.630613,
13,0.354261,4.07032,0.283447,0.0498648,0.175677,5.69854,1.27798,0.410251,11.9037,0.458676,1.12699,0.546398,0.630682,
