Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.toe_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Heave.rear.roll_center_gnd.z.avg,Heave.rear.motion_ratio_heave_l.avg,Heave.rear.side_view_swing_arm_angle_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.toe_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Heave.rear.roll_center_gnd.z.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.toe_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,Heave.rear.roll_center_gnd.z.best,Heave.rear.motion_ratio_heave_l.best,Heave.rear.side_view_swing_arm_angle_l.best,Roll.rear.side_view_swing_arm_angle_l.best,
0,190.179,1075.69,537.004,0.176797,7.28558,132.605,54.0371,74.3753,145.776,333.662,327.945,2.2118,166.36,65.006,34.9593,166.888,380.577,408.846,3.2914,6.13828,3.82824,30.0616,6.52287,12.7963,12.7372,
1,190.179,847.38,494.543,0.224431,6.27649,84.423,78.4873,95.0516,176.83,204.807,201.505,2.40595,115.564,36.4459,33.3747,100.393,220.399,225.773,2.3957,6.13828,3.82824,30.0616,6.52287,12.7963,12.7372,
2,190.179,768.936,563.329,0.247327,6.24431,54.6893,83.2465,98.8679,158.338,183.851,183.699,2.0173,65.7482,25.8911,25.2885,82.371,273.425,273.417,2.82068,5.27791,3.82824,30.0616,24.1898,5.69141,3.97864,
3,190.179,713.87,402.618,0.266405,5.70161,38.1344,84.4048,99.9201,147.453,169.115,169.141,1.95787,32.954,26.743,26.6662,69.505,206.245,206.459,2.82068,5.27791,3.82824,30.0616,57.6849,3.5485,3.07464,
4,190.179,662.489,441.425,0.287067,6.33653,43.8634,91.5735,107.413,146.004,133.888,133.411,2.00763,72.342,22.4866,22.1606,66.0052,190.15,181.972,2.82068,3.19282,3.82824,30.0616,16.4316,3.5485,3.07464,
5,190.179,681.134,405.273,0.279209,6.33167,35.7934,89.1722,105.023,149.995,147.428,147.391,1.87025,33.5849,25.7399,24.8991,86.1188,198.619,201.99,3.16509,2.11464,3.82824,30.0616,23.8253,1.90054,0.680166,
6,190.179,930.155,864.512,0.204459,6.44116,51.8957,83.5409,100.02,187.549,251.663,249.045,1.96364,84.6552,29.4918,30.7109,435.101,316.613,344.86,2.78932,0.838153,3.82824,30.0616,10.6808,1.90054,0.680166,
7,190.179,737.037,496.457,0.258031,6.37148,43.0443,79.0371,95.3296,131.849,190.758,190.648,2.01798,62.9117,31.8452,30.2104,89.7664,248.107,253.364,3.16509,0.838153,2.06374,30.0616,35.7678,1.90054,0.680166,
8,190.179,672.19,479.845,0.282924,6.35342,34.8622,86.0894,102.014,121.371,160.765,160.734,2.01219,49.5279,30.8827,29.6456,54.8403,245.64,241.312,3.16509,0.838153,3.82824,30.0616,33.9758,1.90054,0.680166,
9,190.179,665.526,450.754,0.285757,5.7123,36.2752,80.7517,97.2424,116.548,164.517,164.479,1.68606,39.5009,34.289,32.8108,63.879,214.489,215.903,3.1512,0.838153,3.82824,30.0616,30.5025,1.90054,0.680166,
10,190.179,808.968,780.503,0.235088,6.12506,51.3073,77.6049,94.0499,132.237,224.268,223.375,1.8556,74.2539,34.0693,32.7159,82.5805,342.719,354.868,3.16509,0.838153,3.82824,30.0616,45.9172,1.90054,0.680166,
11,190.179,613.778,403.708,0.309849,5.94009,29.9504,83.2474,99.1991,116.588,139.518,139.335,1.78921,54.8419,31.117,29.6394,64.9808,210.027,209.836,2.16421,0.838153,3.82824,30.0616,38.6223,1.90054,0.680166,
12,190.179,697.213,510.406,0.27277,5.81207,31.3677,73.9255,89.6601,120.334,188.249,187.865,1.78703,40.0188,35.5806,34.7551,66.9793,239.883,241.27,1.94625,2.11464,3.82824,30.0616,29.6018,1.90054,0.680166,
13,190.179,851.02,824.829,0.223471,5.94438,58.2029,67.3791,83.8184,102.628,266.959,266.088,1.7268,87.7699,35.8136,33.8222,44.4981,375.529,360.908,2.49243,2.11464,3.82824,30.0616,29.5803,1.90054,0.680166,
14,190.179,703.618,699.67,0.270287,6.38907,43.2124,70.1428,86.5449,121.987,188.038,187.304,2.00519,83.43,34.6265,32.967,71.955,327.864,311.293,2.14451,1.27605,3.82824,30.0616,51.2779,1.90054,0.680166,
15,190.179,623.409,490.647,0.305062,6.27805,44.3629,68.8832,85.6275,101.833,158.818,157.607,1.85517,71.0683,35.0868,34.1556,46.6821,216.463,219.861,3.07334,1.92787,3.82824,30.0616,31.8655,1.90054,0.680166,
16,190.179,706.786,714.451,0.269075,6.59057,51.5335,61.9699,78.3789,100.564,204.173,203.577,1.60592,79.0964,35.5672,34.3392,55.8795,318.345,310.602,3.08774,2.11464,3.82824,30.0616,16.6757,1.90054,0.680166,
17,190.179,542.65,400.729,0.350463,6.29013,37.8575,62.3305,78.5658,111.726,123.302,122.578,1.85279,33.8841,35.1506,33.7263,69.0391,205.986,195.554,3.04233,2.11464,3.82824,30.0616,19.7966,1.90054,0.680166,
18,190.179,847.188,903.047,0.224482,6.55221,80.1659,59.0345,76.469,155.179,237.767,232.02,1.86451,160.685,34.056,33.7628,281.537,309.208,331.863,3.08774,2.11464,3.82824,30.0616,25.2105,1.90054,0.680166,
19,162.334,544.829,435.29,0.297954,6.42593,50.0162,51.1062,68.4132,96.5288,136.594,135.745,1.53405,67.9071,34.9771,32.7951,84.6099,221.76,220.27,3.08774,2.11464,3.82824,30.0616,24.3044,1.90054,0.680166,
20,162.334,514.533,391.584,0.315498,6.61448,49.839,44.6587,61.805,91.3907,130.54,129.685,1.52172,43.7696,32.6422,31.4065,35.2498,184.834,184.661,3.08774,2.11464,3.82824,30.0616,25.2105,1.90054,0.680166,
21,162.334,527.759,603.619,0.307591,6.48144,61.0075,38.9995,56.4959,103.514,131.646,129.615,1.58655,63.0676,30.0564,28.1709,75.9089,249.248,246.997,2.39205,2.11464,3.82824,30.0616,15.846,1.90054,0.680166,
22,162.334,559.99,554.956,0.289887,6.51712,67.4899,31.4633,50.2381,97.9246,154.702,151.655,1.43155,72.2358,24.428,21.8724,47.9388,248.276,251.519,3.72541,4.53237,3.82824,30.0616,18.8017,4.00863,2.23485,
23,162.334,602.89,569.417,0.26926,6.42026,54.7312,32.7698,50.3133,87.9126,185.844,184.899,1.62895,44.1741,23.2812,20.8038,41.8755,261.659,254.855,2.52673,1.97851,3.82824,30.0616,25.2105,2.50304,1.33823,
24,162.334,465.328,484.476,0.348859,6.61263,49.7394,33.4995,51.2853,95.0072,115.171,114.013,1.9867,47.4493,26.8545,25.3083,55.8982,248.076,238.563,2.72625,1.44007,3.82824,30.0616,21.4599,2.50304,1.33823,
25,162.334,427.545,437.557,0.379689,6.68586,52.3414,32.1946,49.794,85.2826,101.312,99.9344,1.44203,70.7261,23.8085,23.42,73.7669,181.153,179.119,4.71154,2.46621,3.82824,30.0616,12.5298,2.50304,1.33823,
26,152.286,360.925,253.037,0.421931,6.38884,52.1951,25.6939,43.5753,78.4794,77.9256,76.6669,1.19694,28.2786,14.1758,11.624,27.051,128.774,129.877,4.71154,3.44116,3.82824,30.0616,15.2599,2.50304,1.33823,
27,152.286,378.345,556.419,0.402504,6.47762,58.9063,24.9977,43.8171,98.1143,74.5844,71.4476,1.37927,70.5707,17.7481,16.4612,52.592,225.759,225.126,3.97546,6.00966,3.82824,30.0616,25.2105,5.47499,2.47766,
28,152.286,390.183,507.184,0.390293,6.24823,65.6031,24.6209,43.664,87.5023,82.8821,79.6621,1.25154,83.8898,16.4863,16.233,49.3274,185.197,181.632,4.25528,10.6786,3.82824,30.0616,25.2105,5.47499,2.47766,
29,152.286,592.921,798.587,0.25684,6.61503,78.8266,32.031,51.2623,97.848,166.295,160.043,1.4338,107.547,27.2036,28.4367,80.4337,307.991,323.934,3.57813,3.23343,3.82824,30.0616,23.1094,5.47499,2.47766,
30,135.643,414.344,575.951,0.327369,6.05845,49.4012,24.4308,42.6392,69.4124,112.453,109.949,1.36825,52.6268,15.8931,14.9679,42.4595,257.275,261.924,2.52799,2.13533,3.82824,30.0616,16.9014,5.47499,2.47766,
31,129.875,373.844,515.33,0.347404,6.01474,43.72,22.0136,40.8359,64.831,99.286,97.1431,1.40401,41.692,14.8267,13.679,91.9824,225.265,223.201,3.55016,2.92888,3.82824,30.0616,8.47136,5.47499,2.47766,
32,116.598,497.811,684.215,0.234222,5.71239,59.1319,26.9463,46.3693,81.8588,141.343,136.449,1.30421,84.5177,25.092,24.9351,85.8564,275.938,270.913,2.96246,2.8436,3.82824,30.0616,8.5563,5.47499,2.47766,
33,116.598,379.001,613.879,0.307647,5.79037,43.7361,19.7526,39.0972,60.2078,106.049,104.368,1.28837,49.8193,16.012,15.0649,79.9026,278.187,278.72,3.01335,2.96305,3.82824,30.0616,8.5563,5.47499,2.47766,
34,116.598,399.327,621.539,0.291987,5.81917,41.3944,23.7192,43.0363,64.175,111.561,109.622,1.40755,45.1016,22.3593,20.9111,67.1328,262.195,263.137,2.85346,2.87225,3.82824,30.0616,8.5563,5.47499,2.47766,
35,110.413,495.92,843.788,0.222643,5.97465,75.2142,21.9797,43.5189,64.1951,144.997,140.04,1.47299,163.368,21.6421,25.8297,85.0892,330.406,325.41,3.59707,3.69077,3.82824,30.0616,8.5563,5.47499,2.47766,
36,81.5902,390.768,750.771,0.208795,5.94959,63.0548,17.461,39.2798,46.5666,112.266,106.19,1.4113,109.13,15.422,17.4412,37.4617,326.447,318.572,3.32151,2.43911,3.82824,30.0616,6.07022,5.47499,2.47766,
37,81.5902,343.642,597.782,0.237428,5.57143,26.7008,16.6465,36.8812,52.0813,103.986,101.775,1.22996,44.8734,13.0704,11.4042,77.3786,258.027,257.219,2.25038,2.41224,7.39529,31.476,6.07022,5.47499,2.54473,
38,81.5902,154.452,40.6884,0.528257,5.38127,15.4872,13.0654,34.1186,41.0903,24.0572,21.2516,0.374354,11.2033,4.42504,2.15667,26.6751,75.1954,67.7813,4.71993,2.76144,7.39529,31.476,6.07022,5.47499,2.4885,
39,81.5902,297.658,636.383,0.274107,5.52824,22.5538,14.9922,35.6015,47.8743,86.9811,84.1273,0.811127,32.6682,9.33427,7.81059,75.4308,262.162,274.957,3.22836,2.76205,7.39529,31.476,6.07022,5.03377,2.33517,
40,81.5902,222.535,417.182,0.366639,5.43439,34.6078,12.9886,35.2753,35.3547,51.7533,47.1213,0.807839,86.1257,4.39934,6.85919,49.0291,150.703,148.726,4.74483,2.1454,7.39529,31.476,6.07022,8.33897,2.4885,
41,75.7183,235.486,435.952,0.32154,5.53176,27.0945,14.8183,36.1949,40.3178,57.3556,54.1734,0.921662,66.3045,11.422,9.84995,76.9314,151.822,150.533,4.1679,2.1454,7.39529,31.476,6.07022,8.33897,2.4885,
