Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.tie_rod_angle_top_view_l.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,Roll.front.side_view_swing_arm_angle_l.best,
29,57.3656,310.743,924.167,0.184608,14.5022,4.22121,0.963949,43.3217,3.21158,119.82,2.5803,6.8641,115.258,13.7395,7.80304,1.9296,34.6133,10.4736,456.225,0.991437,4.36643,437.597,8.39894,1.9725,0.103357,34.8363,0.461019,0.282361,2.27275,2.00831,0.104001,
30,57.3656,130.719,348.218,0.438847,13.5794,7.47355,0.850579,36.5859,3.07702,29.1794,2.64812,8.55571,28.7692,13.3125,28.4847,1.7313,11.9334,9.24224,162.242,1.40831,12.0118,174.163,8.38242,1.89662,0.0453774,8.93419,0.454881,0.282361,0.475583,5.91694,0.104001,
31,57.3656,143.743,265.85,0.399084,16.0325,12.6679,1.31446,55.3783,4.40202,19.4549,3.09382,12.2822,19.1172,17.1529,38.4873,2.55239,120.16,12.7578,80.4684,2.30611,22.1688,80.4627,8.39894,1.89662,0.0952179,11.1977,0.411393,0.282361,2.27905,5.91694,0.104001,
32,57.1955,358.664,903.725,0.159468,16.9014,8.63821,1.37542,34.7702,9.79615,137.917,2.66709,10.7482,135.851,18.3114,20.2756,2.5649,22.1849,26.581,441.802,1.45285,15.3092,433.331,8.03969,1.89662,0.00194841,6.81541,0.411393,0.284715,0.795608,4.24929,0.125116,
33,56.1059,249.803,707.65,0.224601,16.0939,11.1225,1.17754,34.4949,4.64282,84.6857,2.61474,11.6566,83.3143,18.8961,28.7641,2.41803,5.588,16.7287,330.184,1.02332,18.3142,324.899,7.81501,1.7902,0.00194841,12.1982,0.411393,0.284715,2.12156,5.98996,0.125116,
34,56.1059,185.953,573.254,0.301721,13.724,6.84908,0.88346,38.4722,6.72087,54.4371,2.9569,8.56279,53.3467,15.4143,21.3401,1.69726,23.2489,26.0031,266.521,2.17673,11.5747,262.56,7.8317,1.92542,0.00194841,9.03762,0.411393,0.284715,2.31504,5.91182,0.125116,
35,56.1059,224.561,588.954,0.249848,15.8944,8.8946,1.21066,54.6283,5.27825,62.9494,2.71495,10.8072,62.1829,19.3811,27.9939,2.29822,137.849,14.9383,261.376,1.63926,15.5984,260.062,7.4157,1.88415,0.00694194,9.98749,0.411393,0.0785804,1.58804,5.98996,0.0469451,
36,56.1059,94.8582,247.377,0.591472,9.65765,2.63954,0.48503,35.4052,1.91202,17.5462,2.42143,7.53093,17.2602,4.33183,6.96677,1.04209,19.5621,7.79505,123.597,0.310065,9.7406,120.15,7.79543,1.88415,0.00673477,10.1221,0.411393,0.0785804,1.91017,6.08733,0.0469451,
37,55.6234,105.573,328.209,0.526872,10.1577,4.45964,0.445968,35.4299,1.56275,21.9287,2.4307,7.57957,21.578,8.89525,16.1272,0.470006,3.87797,4.23708,146.733,0.181245,9.74036,146.127,7.41497,1.88415,0.00694194,8.37369,0.411393,0.0785804,2.28178,6.01266,0.0469451,
38,55.6234,190.771,605.582,0.291571,11.6072,4.98148,0.755012,37.1735,4.01287,60.9458,2.76321,8.99031,59.542,12.0904,13.2025,1.80076,12.9122,14.4238,281.214,1.78535,11.9939,279.876,7.41497,1.96663,0.00694194,9.78178,0.411393,0.0785804,2.28144,6.06658,0.0469451,
