Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.tie_rod_angle_top_view_l.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,
0,146.526,435.896,428.73,0.33615,88.7382,65.2325,3.57339,137.376,51.3685,19.218,19.2177,4.09277,47.079,120.833,76.4233,2.353,430.768,62.2323,19.7212,22.1312,4.59822,53.7532,12.8958,3.0686,0.047757,25.1705,0.704407,1.34722,0.585356,0.752518,5.22605,
1,146.526,510.506,420.002,0.287022,71.2286,56.6284,3.08982,42.3658,37.1926,127.503,127.556,3.35955,41.5816,98.562,31.435,2.66423,96.8517,26.3731,233.879,233.916,2.08064,28.7581,6.60234,3.0686,0.047757,22.7064,0.704407,1.34722,0.585356,0.752518,3.17851,
2,146.526,4702.14,28711,0.0311616,94.5743,55.0879,3.61041,4116.61,42.354,158.073,158.154,3.97485,69.7076,156.48,39.3473,2.80758,28529.2,30.7586,235.048,236.239,2.30346,183.7,12.8958,3.0686,0.047757,19.6429,0.704407,1.34722,0.585356,0.655211,3.17851,
3,146.526,594.419,624.741,0.246504,72.3768,45.8868,3.31319,110.643,36.7822,142.1,142.167,3.19166,37.9577,38.0681,34.2968,2.54906,3987.97,25.5087,214.827,215.529,2.13232,34.5626,12.8958,3.0686,0.047757,24.4824,0.704407,1.34722,0.585356,0.606768,3.17851,
4,146.526,546.697,560.907,0.268021,70.4016,45.3244,3.35019,57.7624,31.4367,149.362,149.174,3.86856,36.0171,36.1511,38.5098,2.56031,80.4258,24.9704,261.834,261.079,2.50043,25.4901,12.8958,2.77496,0.047757,19.1604,0.704407,1.34722,0.585356,0.815027,3.17851,
5,146.526,403.724,244.634,0.362937,67.791,37.9051,3.11656,53.7197,30.2414,89.3941,89.5035,3.73797,28.3148,32.1106,33.5901,2.18778,28.3751,22.1711,135.569,136.213,1.78345,25.2452,12.8958,3.0686,0.047757,25.2514,0.704407,1.34722,0.585356,0.82864,2.89259,
6,146.526,470.546,351.187,0.311397,75.2351,32.1975,2.64371,49.7498,28.2184,123.723,123.844,4.47985,30.4545,30.4671,26.4497,2.14359,26.7165,17.8593,174.415,179.62,2.14707,21.8586,12.8958,3.0686,0.047757,25.2514,0.704407,1.34722,0.585356,0.82864,3.17851,
7,146.526,470.167,378.876,0.311647,66.2089,30.7651,3.58788,76.7589,27.5678,118.371,118.471,4.03236,24.4039,29.3522,27.9133,2.56905,163.906,25.1661,170.639,170.819,2.19884,22.5425,12.8958,3.0686,0.047757,23.8195,0.704407,1.34722,0.585356,0.729988,3.17851,
8,146.526,468.922,356.648,0.312475,62.3498,30.5593,3.12698,49.0366,26.6605,131.102,131.231,4.40882,30.4471,29.2609,25.1805,2.28734,31.6371,18.6621,174.468,178.485,2.19343,22.038,7.97297,2.94749,0.047757,25.1678,0.704407,1.34722,0.585356,0.596396,3.1083,
9,146.526,520.7,615.279,0.281403,68.3132,31.5645,3.67774,52.9571,25.9308,149.847,149.182,4.44513,34.7826,34.7627,25.8761,2.95367,38.0464,22.6484,298.435,298.579,2.57192,25.4314,12.8958,2.10714,0.047757,19.5265,0.561101,1.34722,0.585356,0.729988,3.17851,
10,146.526,402.237,481.468,0.364279,58.0426,22.2034,3.47623,50.2865,27.8169,105.843,105.175,4.53755,24.8552,27.5981,21.6861,2.29151,23.4095,20.4462,243.275,237.933,2.24686,21.9806,12.8958,2.10714,0.047757,25.2514,2.30727,1.34722,0.585356,0.729988,3.17851,
11,146.526,537.722,662.468,0.272495,54.3505,23.2719,3.20325,54.8716,30.8372,168.807,167.954,4.09328,30.3336,26.5702,19.0246,2.36791,40.444,20.4611,313.325,328.365,2.22832,23.4238,12.8958,2.10714,0.047757,16.7269,2.30727,1.34722,0.585356,0.722094,3.17851,
