Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.toe_angle_l.avg,Heave.rear.motion_ratio_heave_l.avg,Heave.rear.side_view_swing_arm_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.toe_angle_l.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.toe_angle_l.best,Heave.rear.motion_ratio_heave_l.best,Heave.rear.side_view_swing_arm_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,Roll.rear.side_view_swing_arm_angle_l.best,
64,124.868,622.605,1015.25,0.200557,5.02163,60.9513,77.3117,189.62,107.194,182.506,2.19237,144.033,157.668,423.602,20.8436,414.524,2.78078,1.98494,1.21713,1.3559,15.6106,0.406772,
65,124.854,347.913,535.214,0.358866,4.65616,38.6491,45.2792,80.7316,103.299,75.2982,1.80818,98.7254,122.222,246.25,29.1283,227.479,2.65404,1.80356,1.21713,1.37047,3.41712,0.406772,
66,124.638,493.275,882.996,0.252674,4.41344,33.4649,48.5983,153.152,104.849,148.798,1.64812,97.2388,119.49,389.41,21.9568,379.273,1.9961,1.86106,1.14236,1.37047,19.1957,0.406772,
67,124.638,486.155,693.523,0.256375,4.80383,52.6507,74.2881,129.268,101.664,123.481,1.93938,117.913,151.128,260.602,27.7274,254.717,2.6763,2.16265,1.14236,1.37047,11.2094,0.406772,
68,124.638,458.32,735.525,0.271946,5.03044,52.9022,55.4293,125.495,103.117,116.346,2.20702,143.312,123.469,297.692,28.3175,284.85,2.23693,3.07698,1.14236,1.38997,9.09717,0.420236,
69,124.638,628.541,1055.91,0.198297,4.9563,64.4482,51.5486,205.936,103.009,198.644,1.99023,137.251,121.867,442.918,26.5688,429.941,2.30983,2.49543,1.14236,1.38997,12.4562,0.420236,
70,124.527,576.537,907.599,0.215991,4.49512,39.3463,50.5376,190.837,103.893,187.428,1.49716,109.069,126.07,384.898,23.3969,375.712,2.01809,1.33708,1.14236,1.38997,21.8564,0.420236,
71,124.527,360.313,647.018,0.345606,4.32957,33.4818,26.6992,95.7095,108.588,91.5055,0.87487,107.058,88.1492,294.043,19.7294,272.815,2.84431,3.60534,1.14236,1.38997,21.7818,0.420236,
72,124.418,468.976,766.973,0.265296,4.53385,44.0562,66.2579,129.94,102.115,122.073,1.30863,113.321,156.144,313.286,27.0362,304.724,2.66655,3.60707,1.14236,1.38997,17.4044,0.422757,
73,124.35,421.644,724.842,0.294918,4.48714,19.1394,55.4663,117.778,108.265,116.508,1.50711,68.0282,134.91,303.446,16.7457,299.934,2.65921,2.47822,1.12792,1.41277,48.8899,0.422861,
74,124.35,463.206,785.937,0.268456,4.76564,47.616,67.7624,120.214,105.253,117.595,1.98229,112.097,137.177,310.268,25.1489,309.534,2.43938,2.21798,1.14236,1.41277,13.3078,0.422861,
75,124.35,559.704,917.522,0.222171,4.79218,36.8471,40.7639,187.471,103.33,186.501,1.89801,99.6099,85.26,409.742,23.2064,399.617,2.40628,2.34675,1.13552,1.40059,15.5062,0.422861,
76,124.121,376.124,774.93,0.330001,4.25552,38.4122,21.1793,105.094,107.952,99.2307,1.38879,105.141,63.4811,356.278,21.1555,337.281,2.61398,3.51937,1.13552,1.40059,18.8346,0.419589,
77,124.121,580.113,1037.21,0.21396,4.93503,61.6364,23.4818,197.435,101.952,190.673,2.20098,134.67,74.2109,464.615,27.1386,437.5,3.36839,2.69649,1.13552,1.40059,18.028,0.419589,
78,124.121,439.669,743.129,0.282306,4.41577,48.2191,20.6905,133.648,103.395,129.3,1.56622,112.217,43.4893,338.744,26.9867,330.909,3.09758,2.07198,1.10264,1.40059,17.885,0.419589,
79,124.121,338.838,517.729,0.366314,4.42359,34.7839,28.6043,84.6888,104.086,82.252,1.62171,86.2979,88.315,219.577,25.7277,209.329,2.69118,3.51937,1.13385,1.40059,18.4629,0.419589,
80,124.121,782.52,1185.49,0.158617,4.51919,75.3337,48.5753,277.011,96.7691,280.311,1.70115,155.803,107.611,511.742,31.0981,486.576,2.10191,2.17655,1.13385,1.40059,19.7519,0.417534,
81,124.07,337.508,675.964,0.367606,4.21787,30.4437,49.0441,77.5007,105.33,70.9712,1.56691,102.278,115.668,308.26,24.5733,325.442,2.20773,1.39539,1.13385,1.40059,18.8273,0.417534,
82,124.07,442.824,804.708,0.280179,4.27469,28.4945,31.6895,138.384,104.088,135.893,1.42444,80.7544,75.6343,341.553,26.1752,334.569,2.1412,1.38858,1.09225,1.40059,14.1749,0.417534,
83,124.058,286.575,423.984,0.432897,4.40414,31.3541,36.0965,55.3946,106.037,53.2893,1.7878,85.7326,105.519,180.258,21.7683,176.151,2.5265,3.35153,1.09225,1.38653,18.2513,0.416985,
84,124.04,400.741,789.513,0.309526,4.40577,24.8403,25.4912,120.547,108.709,116.748,1.70117,91.2675,80.9982,337.195,15.3952,318.717,2.49566,1.14443,1.09225,1.05708,34.0266,0.416985,
85,124.04,417.634,785.004,0.297006,4.20475,45.8606,33.9669,118.7,100.163,114.739,1.25642,102.489,72.1448,343.871,33.0037,343.4,3.16499,2.65173,1.09225,1.38653,18.073,0.412797,
86,123.935,587.93,995.765,0.2108,4.15235,53.419,44.0528,194.576,102.908,188.821,1.21541,120.643,104.114,420.505,27.3083,427.206,2.97711,2.19981,1.05126,1.39033,15.5599,0.417534,
87,123.935,579.435,948.712,0.21389,4.56856,52.797,58.2449,181.357,103.094,179.373,1.95555,109.712,134.365,402.193,26.5551,398.154,2.33906,1.29478,1.0699,1.39033,11.5955,0.417534,
88,123.935,366.404,662.912,0.338248,4.88574,74.9035,38.8982,74.5702,105.641,67.5054,4.14138,332.594,108.865,267.459,26.88,265.796,2.83036,2.56793,1.0699,1.39033,7.42482,0.41663,
89,123.935,675.511,956.78,0.183469,4.36086,41.5212,64.8186,234.587,97.9407,232.283,1.59299,104.25,119.5,394.031,30.8476,391.912,2.59086,1.48403,1.0699,1.39033,17.5774,0.416711,
90,123.935,457.992,839.627,0.270606,4.52461,46.8932,35.8036,135.205,103.284,132.281,2.08195,120.26,99.0383,361.809,27.669,361.888,2.92797,2.11848,1.0699,1.39033,17.1977,0.416711,
91,123.935,350.007,593.94,0.354093,3.98279,16.8933,52.3161,84.3371,109.022,83.4561,1.26348,63.912,130.181,234.64,16.9764,237.302,2.11895,1.62115,1.0699,1.3862,25.6799,0.416711,
92,123.935,434.739,864.99,0.28508,4.36372,43.977,33.5367,129.265,108.323,115.273,1.81469,108.65,101.574,355.849,18.1883,354.078,1.9804,1.59089,1.0699,1.3862,24.948,0.416584,
93,123.935,362.025,702.24,0.342339,4.12581,31.6616,45.2846,86.8797,109.012,85.0613,1.51698,92.4434,125.821,297.759,16.0231,288.81,2.64677,1.64306,1.0699,1.3862,48.7148,0.416584,
94,123.915,351.381,532.454,0.352651,4.44527,37.8125,42.7105,84.2085,100.474,81.7301,1.74931,103.574,110.619,225.032,28.0091,224.072,2.2437,2.16461,1.04396,1.3862,17.3999,0.416711,
95,123.821,307.522,519.562,0.40264,3.99275,14.2819,41.5492,73.4489,107.056,67.1938,1.24541,48.9396,111.813,219.575,22.5241,216.556,2.2793,2.28531,1.04396,1.3862,18.5488,0.414373,
96,123.821,333.012,678.62,0.371821,4.05853,20.4711,18.6679,91.045,110.254,88.5149,1.56655,74.3145,84.692,303.506,15.257,297.658,2.41008,2.37298,1.04396,1.3862,23.0263,0.416711,
97,123.821,407.003,813.698,0.304225,4.39641,41.3167,44.3959,106.598,107.075,103.221,2.21395,114.929,111.49,345.416,23.5851,337.172,3.02608,1.02376,1.04396,1.3862,5.85587,0.417449,
98,123.806,499.142,957.973,0.248038,4.35303,61.4204,44.8584,142.778,109.198,136.534,1.84807,159.037,128.066,378.262,18.9765,371.306,2.72752,3.37414,1.04396,1.3862,19.1124,0.417449,
99,123.806,489.388,895.997,0.252982,4.12824,40.6492,46.4174,145.885,108.219,144.089,1.3057,106.959,114.763,372.358,15.6414,371.453,3.18576,1.52774,1.04396,1.3862,48.7218,0.419871,
100,123.805,477.694,968.372,0.259171,4.34387,30.6749,28.4061,154.366,106.917,152.987,1.78813,84.3989,74.9571,423.467,19.824,422.341,3.63384,3.47809,1.05262,1.39765,23.3063,0.419871,
101,123.805,525.18,868.784,0.235737,4.45586,40.7237,53.6576,163.493,101.694,161.156,1.59143,96.7737,116.849,370.934,27.9604,371.606,3.63384,2.89798,1.04435,1.39765,18.519,0.419871,
102,123.793,431.892,888.621,0.28663,3.89743,29.664,33.3907,129.661,106.77,128.509,1.37384,88.9415,93.7977,379.204,21.3018,380.596,2.1253,3.00618,1.04435,1.40091,20.9931,0.418178,
103,123.75,383.193,760.875,0.322945,4.16501,26.5981,37.7462,106.359,107.558,100.767,1.91586,92.3797,100.586,318.252,20.299,313.505,2.52599,1.42653,1.04435,1.40091,18.373,0.418178,
104,123.75,511.615,862.182,0.241882,4.08422,40.0777,20.169,173.187,105.01,169.087,1.54478,92.578,47.604,376.342,23.0462,384.562,2.62267,2.97247,1.04435,1.40091,22.0377,0.418178,
105,123.75,616.111,1000.85,0.200857,4.25148,54.3443,54.9793,204.795,98.9097,198.831,1.61553,122.716,114.797,416.345,32.5537,416.818,2.77244,1.77626,1.04007,1.40091,9.83637,0.418178,
106,123.725,550.425,1066.04,0.224782,4.76506,50.4036,66.4374,165.472,105.028,158.318,2.51172,125.147,145.077,468.188,25.099,440.091,2.43454,1.13198,1.04007,1.40091,18.7645,0.418178,
107,123.725,412.051,761.218,0.300268,4.20369,31.4284,29.3214,121.947,104.778,120.372,1.55874,90.2078,92.6952,342.26,25.404,345.404,3.31037,2.0594,1.04007,1.40091,18.8294,0.418178,
108,123.725,336.526,710.96,0.367655,3.89983,27.4433,29.8754,84.7989,108.736,81.7725,1.02134,86.7319,81.3583,302.79,20.034,297.987,3.09447,2.42551,1.04007,1.40725,21.5342,0.420354,
109,123.725,487.424,913.759,0.253835,4.09531,38.2733,39.8866,152.152,104.795,148.222,1.52892,101.868,108.623,375.789,25.2755,384.713,2.26382,1.35146,1.04007,1.40725,21.1586,0.421783,
110,123.711,594.797,938.74,0.207988,4.27746,41.3687,74.7083,186.007,105.794,182.641,1.83144,114.681,149.836,377.273,22.0998,371.901,2.42779,2.00427,1.04565,1.40413,16.2129,0.423293,
111,123.711,464.009,785.669,0.266613,4.13515,44.1926,43.5832,137.767,98.9559,135.375,1.88636,95.3186,111.418,345.232,31.6149,342.227,2.37614,2.78408,1.0377,1.40413,17.076,0.422286,
