Individual,Roll.rear.camber_angle_gain_roll_l,Roll.rear.side_view_swing_arm_angle_l,2in Heave.rear.toe_angle_l,2in Heave.rear.tie_rod_angle_top_view_l,2in Heave.rear.roll_center_gnd.z,2in Heave.rear.p_rod_length_l,2in Heave.rear.coil_over_length_l,2in Heave.rear.side_view_swing_arm_angle_l,2in Heave.rear.motion_ratio_heave_l,
0,8.31767,0.0116814,0.0179394,0.00263977,656.1,0,46.2995,0.0800045,2.19046,
1,8.31805,0.0279708,0.0213168,0.0062343,656.104,0,46.3099,0.0686088,2.16773,
2,8.31976,0.0134961,0.019051,0.000449168,656.1,0,46.2821,0.0780447,2.21506,
3,8.32012,0.0111542,0.0190218,0.00401101,656.104,0,46.2976,0.0819858,2.19231,
4,8.31901,0.0342081,0.0230667,3.70665e-05,656.101,0,46.2635,0.0659082,2.22404,
5,8.31742,0.0103044,0.0189772,0.000153187,656.106,0,46.3142,0.0836628,2.18252,
6,8.31721,0.0103834,0.0185493,0.000270727,656.103,0,46.3034,0.0825763,2.20117,
7,8.3176,0.0111141,0.0188934,0.00521236,656.105,0,46.2813,0.0864754,2.21451,
8,8.31721,0.0177071,0.0225318,0.00285751,656.102,0,46.2614,0.0744754,2.24887,
9,8.31826,0.0137023,0.018438,0.00286014,656.103,0,46.3372,0.0778295,2.17575,
10,8.31881,0.0198022,0.0179999,0.00482978,656.1,0,46.275,0.0730147,2.23875,
11,8.32166,0.0172545,0.0357313,0.00624268,656.106,0,46.3311,0.0751341,2.15622,
12,8.31799,0.0257415,0.0224104,0.00295769,656.101,0,46.3403,0.0695778,2.17222,
13,8.31881,0.0153951,0.0181376,0.00465647,656.1,0,46.2869,0.0763196,2.23177,
14,8.31818,0.0127009,0.018867,0.00564999,656.111,0,46.3127,0.0788036,2.19636,
15,8.31757,0.0103062,0.019435,0.000453956,656.106,0,46.2718,0.0845879,2.24749,
16,8.31925,0.0146477,0.0181028,0.00395973,656.104,0,46.2924,0.0772662,2.22816,
17,8.31874,0.0106127,0.0182814,0.00784631,656.111,0,46.3406,0.0851739,2.16633,
18,8.32073,0.0319578,0.0191244,0.000992085,656.1,0,46.3256,0.0667273,2.19382,
19,8.31836,0.0263596,0.0201585,0.000397202,656.104,0,46.2912,0.0703694,2.22962,
20,8.31837,0.0183565,0.0200533,0.00956676,656.105,0,46.297,0.0739885,2.2193,
21,8.31924,0.0225385,0.0189357,0.00975846,656.101,0,46.2542,0.0716722,2.26478,
22,8.319,0.0105901,0.0181636,0.00398535,656.106,0,46.2816,0.0833133,2.23996,
23,8.31904,0.0166639,0.0235629,0.000414313,656.099,0,46.2586,0.0752978,2.27045,
24,8.31822,0.0224372,0.0192607,0.0177693,656.104,0,46.2869,0.0717472,2.22357,
25,8.31946,0.0297796,0.0179972,0.0064286,656.1,0,46.2714,0.0676405,2.25234,
26,8.31846,0.010795,0.0179669,0.00273532,656.105,0,46.324,0.0863972,2.20111,
27,8.31781,0.0106169,0.0179997,0.00881753,656.101,0,46.2855,0.082153,2.24361,
28,8.31869,0.0156959,0.0182851,0.0109897,656.104,0,46.2212,0.0761609,2.30314,
29,8.31891,0.0234132,0.0183688,0.00432009,656.103,0,46.2986,0.0708897,2.23103,
30,8.31911,0.0329751,0.0231132,0.00267926,656.106,0,46.2329,0.0665246,2.28564,
31,8.31774,0.021147,0.0206515,0.00106146,656.104,0,46.2635,0.0722146,2.26919,
32,8.3177,0.0164278,0.0202312,0.00257706,656.104,0,46.2983,0.0756993,2.2349,
33,8.31876,0.0243861,0.0183144,0.00396149,656.099,0,46.2357,0.0705668,2.299,
34,8.31793,0.0106215,0.0186448,0.000646402,656.105,0,46.2436,0.0819687,2.29137,
35,8.31861,0.0347976,0.0237117,0.000988954,656.105,0,46.2502,0.0656089,2.27083,
36,8.31737,0.0102662,0.0184757,0.00479678,656.106,0,46.3099,0.08461,2.21985,
37,8.31882,0.0307454,0.0216038,0.00212053,656.099,0,46.2522,0.0672362,2.28041,
38,8.31819,0.0138199,0.0246322,0.00433415,656.103,0,46.2707,0.0776546,2.25976,
39,8.31759,0.0227761,0.026339,0.00112475,656.102,0,46.2845,0.0712494,2.24816,
40,8.31977,0.0283763,0.0198338,0.00228963,656.107,0,46.2777,0.0683117,2.25059,
41,8.32085,0.04627,0.0205154,0.00481544,656.102,0,46.2785,0.0622772,2.23878,
42,8.31891,0.0156709,0.021444,0.00535898,656.098,0,46.2947,0.0761686,2.24424,
43,8.31919,0.0209894,0.0182638,6.75704e-05,656.099,0,46.2222,0.072354,2.32495,
44,8.31641,0.0152315,0.0179984,0.00668409,656.105,0,46.266,0.0764898,2.27364,
