Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,2in Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,2in Heave.rear.p_rod_length_l.avg,2in Heave.rear.tie_rod_angle_top_view_l.avg,2in Heave.rear.roll_center_gnd.z.avg,2in Heave.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.coil_over_length_l.avg,2in Heave.rear.toe_angle_l.avg,2in Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,2in Heave.rear.p_rod_length_l.std_dev,2in Heave.rear.tie_rod_angle_top_view_l.std_dev,2in Heave.rear.roll_center_gnd.z.std_dev,2in Heave.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.coil_over_length_l.std_dev,2in Heave.rear.toe_angle_l.std_dev,2in Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,2in Heave.rear.p_rod_length_l.best,2in Heave.rear.tie_rod_angle_top_view_l.best,2in Heave.rear.roll_center_gnd.z.best,2in Heave.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.coil_over_length_l.best,2in Heave.rear.toe_angle_l.best,
1289,716.793,1964.73,12270.5,0.36483,872.53,57.1194,2.99109,0,4.97784,798.669,58.592,115.919,53.9337,11859.7,236.15,5.00828,0,5.0029,609.243,234.853,296.342,292.923,1.47233,0.0191859,1.82854,0,3.65129,662.972,0.0933315,40.0884,0.0358595,
1290,716.793,1198.66,3492.29,0.597994,97.1223,46.5639,2.58981,0,4.60615,837.664,47.4603,119.921,42.735,1333.56,240.508,3.76775,0,4.46651,1548.58,247.831,304.771,318.803,1.47233,0.0191859,1.34082,0,3.41179,662.972,0.0960963,46.3775,0.0358595,
1291,716.793,1431.03,6811.32,0.500895,483.719,30.1466,2.71733,0,4.49192,761.228,30.6206,82.6822,35.4194,6385.23,182.55,4.71219,0,4.01062,520.522,186.74,211.615,221.268,1.47233,0.0191859,1.82854,0,3.64804,662.972,0.0939823,46.3726,0.0358595,
1292,716.793,1131.07,1658.31,0.633732,28.4529,54.9255,3.18925,0,4.57429,816.977,55.577,117.942,49.4284,467.788,251.458,5.69842,0,4.07931,636.8,252.519,306.493,267.535,1.47233,0.0191859,1.82854,0,3.58775,662.972,0.0960963,46.3698,0.0358595,
1293,716.781,1282.11,3550.31,0.559065,199.991,48.2189,2.51601,0,4.74986,830.419,49.2973,91.536,55.3783,2335.18,255.325,3.83864,0,4.57262,1407.7,263.644,228.912,348.521,1.47233,0.0191859,0.778952,0,3.77646,662.972,0.0960963,46.3775,0.0358595,
1294,716.781,1214.24,3675.38,0.590312,246.789,26.6358,2.89538,0,4.42317,776.44,26.9436,101.403,28.7111,3290.4,150.542,5.2646,0,3.62381,557.471,155.643,251.993,168.752,1.47233,0.0191859,1.82854,0,3.31896,662.972,0.0960963,46.3775,0.0358595,
1295,716.781,1013.65,1428.82,0.707128,26.9205,47.6368,2.67653,0,4.3193,764.832,47.7878,82.2233,37.254,230.796,245.289,4.42655,0,3.69846,529.443,242.599,196.888,227.036,1.47233,0.0191859,1.82854,0,3.39631,662.972,0.0957794,46.3457,0.0358595,
1296,716.781,1044.08,1657.24,0.686522,21.9875,45.6182,2.5429,0,4.13822,779.814,46.0584,99.0487,44.868,109.979,253.161,3.83194,0,2.31395,591.618,255.682,254.459,292.905,1.47233,0.0191859,1.82854,0,3.22753,662.972,0.0950639,46.3775,0.0358595,
1297,716.781,2354.36,20255.8,0.304449,1426.93,28.7229,2.62842,0,4.28402,741.893,28.8627,102.716,18.3184,19762.1,153.609,3.88991,0,3.47004,388.096,156.552,275.414,118.054,1.47233,0.0191859,1.82854,0,3.02518,662.972,0.0960963,16.6101,0.0358595,
1298,716.781,1325.01,2979.17,0.540962,274.631,52.9147,2.60767,0,4.37136,762.479,53.2686,119.754,54.9855,2339.66,237.098,3.68267,0,3.40338,459.754,233.972,305.115,274.872,1.47233,0.0191859,1.45757,0,3.35543,662.972,0.0957705,46.3775,0.0358595,
1299,716.781,1854.41,8990.23,0.386528,917.29,35.8098,2.53804,0,4.27838,732.226,36.242,100.872,25.1515,8281.05,177.779,3.50386,0,3.50537,355.99,181.75,269.53,164.449,1.47233,0.0191859,1.82854,0,2.75674,662.972,0.0957705,46.3665,0.0358595,
1300,716.781,1063.52,1535.46,0.673971,29.0906,52.4175,2.77131,0,5.08704,783.698,53.1336,92.1309,45.1898,860.649,237.852,4.32558,0,5.51171,631.114,240.077,229.161,287.774,1.47233,0.0191859,1.82854,0,3.6524,662.972,0.0924105,24.2935,0.0358595,
1301,716.781,1047.43,1521.79,0.684322,45.4373,48.4655,2.45081,0,4.30476,751.687,48.6459,104.075,42.3656,193.093,252.624,3.18928,0,3.11591,497.049,254.052,264.728,244.081,1.47233,0.0191859,1.82854,0,3.5526,662.972,0.0957705,46.3926,0.0358595,
1302,716.781,1551.61,7714.71,0.461958,568.799,42.1785,2.85598,0,4.65015,767.735,42.5576,92.1321,30.7066,7260.52,201.965,4.66205,0,4.29122,473.79,204.415,216.392,191.579,1.47233,0.0191205,1.82854,0,3.19928,662.972,0.0957705,46.3926,0.0353535,
1303,716.781,993.417,1291.25,0.72153,36.252,49.1098,2.62249,0,4.52121,739.949,49.2261,83.0769,28.6596,449.113,246.366,4.30746,0,4.21373,429.084,246.53,202.909,156.997,1.47233,0.0191205,1.82854,0,3.77646,628.634,0.0954126,46.3762,0.0353535,
