Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.toe_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Heave.rear.roll_center_gnd.z.avg,Heave.rear.motion_ratio_heave_l.avg,Heave.rear.side_view_swing_arm_angle_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.toe_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Heave.rear.roll_center_gnd.z.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.toe_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,Heave.rear.roll_center_gnd.z.best,Heave.rear.motion_ratio_heave_l.best,Heave.rear.side_view_swing_arm_angle_l.best,Roll.rear.side_view_swing_arm_angle_l.best,
0,1409.5,4354.66,1028.38,0.323676,6.79834,400.212,53.2295,3069.1,162.868,335.926,326.536,7.28066,521.857,62.2171,2716.2,178.388,433.59,419.613,1.493,20.3377,3.82824,1224.72,14.3989,15.8026,15.7354,
1,1409.5,3916.16,882.996,0.35992,6.73426,398.453,43.394,2648.16,154.467,334.148,330.803,2.52212,252.041,31.3228,1102.32,63.8117,238.411,234.426,1.493,36.9963,3.82824,1224.72,14.3989,27.2553,13.2182,
2,1409.5,3703.53,1154.08,0.380583,6.68062,437.788,34.8518,2324.22,148.543,377.462,373.983,2.47901,255.431,26.8134,930.617,71.7928,259.426,260.317,0.809019,2.28822,3.69406,1191.84,11.3808,2.29948,1.35984,
3,1409.5,3317.48,743.988,0.424871,6.49604,434.461,25.5304,1986.72,145.573,360.803,357.901,2.22247,203.118,21.4089,722.429,78.8757,191.592,188.682,0.809019,2.28822,3.69406,1191.84,11.3808,2.29948,1.35984,
4,1409.5,3100.65,857.011,0.454582,6.57002,403.834,20.614,1811.44,148.173,356.171,353.858,2.31581,198.658,17.9509,576.734,85.3401,224.758,223.63,0.302438,2.28822,3.5102,1191.84,7.00991,2.29948,1.35984,
5,1409.5,3053.56,1489.34,0.461594,6.56563,427.137,18.6039,1757.91,153.898,346.333,343.111,2.42722,286.119,19.566,793.243,81.9727,271.864,265.18,0.0486525,2.28822,3.5102,1191.84,11.3808,2.29948,1.35984,
6,1409.5,2667.97,701.578,0.528306,6.25228,368.643,13.5697,1547.95,148.499,292.816,290.242,2.50261,189.466,11.4785,381.205,83.0049,194.257,193.763,0.0486525,2.28822,3.5102,1191.84,11.3808,2.29948,1.35984,
7,1409.5,2566.3,726.479,0.549236,5.8681,334.69,15.1356,1576.32,146.138,245.232,242.915,2.87632,169.562,16.7752,600.791,91.6543,149.013,148.606,0.0486525,2.28822,3.26451,1191.84,11.3808,2.29948,1.35984,
8,1409.5,2500.16,746.39,0.563765,5.8637,306.646,14.1266,1518.39,144.639,256.269,254.221,2.78237,157.991,14.6382,514.204,84.3287,193.726,195.573,0.0486525,2.28822,3.26451,1191.84,11.3808,2.29948,1.35984,
9,1409.5,2553.78,1349.4,0.551928,5.5629,327.251,14.9309,1554.54,159.604,247.529,244.363,2.75418,248.672,18.0764,728.16,96.5068,274.202,270.045,0.0486525,2.28822,3.26451,1191.84,11.3808,2.29948,1.35984,
