Individual,Heave.rear.side_view_swing_arm_angle_l,Heave.rear.coil_over_length_l,Heave.rear.toe_angle_l,Heave.rear.tie_rod_angle_top_view_l,Heave.rear.roll_center_gnd.z,Heave.rear.p_rod_length_l,Heave.rear.motion_ratio_heave_l,Roll.rear.side_view_swing_arm_angle_l,Roll.rear.camber_angle_gain_roll_l,
0,1.59706,11.7109,12.2799,7.7572,1211.96,0,25.9776,0.470841,2.86406,
1,1.63241,11.1801,12.2614,7.75365,1211.92,0,26.53,0.49951,2.86316,
2,1.61209,11.1982,12.2613,7.7532,1211.95,0,26.5233,0.478314,2.86412,
3,1.62727,11.6624,12.2908,7.7565,1211.91,0,26.0308,0.498185,2.86289,
4,1.61322,11.248,12.2565,7.75715,1211.95,0,26.4852,0.484568,2.86371,
5,1.62199,10.8768,12.2637,7.75644,1211.91,0,26.8773,0.488894,2.86377,
6,1.59471,11.1501,12.2753,7.75742,1211.96,0,26.5926,0.467716,2.8644,
7,1.61215,11.2316,12.2728,7.75674,1211.94,0,26.5097,0.47977,2.86406,
8,1.62358,11.175,12.2606,7.75715,1211.93,0,26.5686,0.489492,2.86384,
9,1.5776,11.0132,12.299,7.75563,1211.97,0,26.7455,0.46191,2.8638,
10,1.59851,11.1294,12.2907,7.75749,1211.96,0,26.6222,0.473686,2.86346,
11,1.63091,10.8795,12.2646,7.75334,1211.92,0,26.8761,0.503862,2.8628,
12,1.6296,11.117,12.2596,7.75268,1211.93,0,26.6386,0.503616,2.8627,
13,1.62881,11.1213,12.2673,7.75264,1211.94,0,26.6229,0.505327,2.86247,
14,1.63093,10.9343,12.2741,7.75756,1211.91,0,26.8336,0.502564,2.86278,
15,1.63064,10.9202,12.2733,7.75318,1211.93,0,26.8359,0.502283,2.86277,
16,1.62525,11.0621,12.2705,7.7564,1211.94,0,26.6946,0.500403,2.86255,
17,1.63928,11.2125,12.2839,7.75403,1211.91,0,26.5306,0.520145,2.8617,
18,1.60519,11.366,12.2868,7.75441,1211.92,0,26.4386,0.478743,2.86356,
19,1.64269,11.1591,12.2978,7.7534,1211.9,0,26.572,0.532975,2.8612,
20,1.60867,11.5525,12.2672,7.75812,1211.93,0,26.2666,0.477235,2.86434,
21,1.62313,10.8928,12.2824,7.7573,1211.92,0,26.8908,0.498128,2.86297,
22,1.6399,11.2413,12.2822,7.75353,1211.93,0,26.4992,0.522907,2.86158,
23,1.63115,10.8933,12.2824,7.75389,1211.94,0,26.8609,0.51152,2.86187,
24,1.6193,11.2862,12.306,7.75602,1211.94,0,26.4693,0.500377,2.86175,
25,1.65917,11.2339,12.3142,7.75835,1211.89,0,26.4816,0.567498,2.85961,
26,1.66485,11.0636,12.289,7.75713,1211.9,0,26.6699,0.559469,2.86044,
27,1.65597,11.2902,12.2892,7.7547,1211.92,0,26.44,0.553962,2.86043,
28,1.65814,11.1617,12.3072,7.75557,1211.89,0,26.5811,0.557214,2.86016,
29,1.68088,11.0908,12.3115,7.75301,1211.88,0,26.6197,0.583802,2.85946,
30,665.532,2091.17,811.588,0.817317,5249.57,0,121.569,665.063,114.831,
31,1.6476,11.1696,12.2711,7.75281,1211.91,0,26.556,0.52096,2.86232,
32,1.62297,11.2435,12.251,7.75752,1211.92,0,26.4757,0.484054,2.86434,
33,13.477,3548.54,16.5331,10.5687,5146.18,0,599.244,13.2092,114.434,
34,7.5949,683.788,10.5918,12.8893,5122.3,0,247.049,7.01114,113.853,
35,1263.72,2387.91,519.842,2.13176,1537.01,0,136.904,1263.17,21.3798,
36,574.992,2316.68,694.082,4.13648,2682.6,0,327.592,570.752,50.8037,
37,1.62945,11.206,12.2742,7.75264,1211.92,0,26.515,0.501063,2.86269,
38,1.62035,11.9067,12.271,7.75356,1211.96,0,25.7634,0.492158,2.86297,
39,795.897,1069.38,11.2037,0.933099,3219.42,0,919.861,795.676,70.3735,
40,1.62489,11.4294,12.2574,7.75627,1211.94,0,26.2861,0.488273,2.86365,
41,288.961,949.364,91.9488,13.2049,4662.14,0,852.546,289.315,103.314,
42,1.61897,11.1719,12.2631,7.75289,1211.94,0,26.5465,0.484505,2.86365,
43,1087.51,3605.81,537.757,1.44235,1333.84,0,283.895,1087.26,9.3414,
44,225.54,841.173,270.396,7.25584,2468.18,0,809.162,222.766,50.7915,
45,18.1917,2315.61,1115.17,6.6698,2137.14,0,556.564,15.0524,17.2029,
46,13.7871,1948.87,14.5299,1.41609,5151.03,0,91.335,13.701,114.554,
47,1.62699,11.1259,12.294,7.75701,1211.93,0,26.6126,0.506999,2.86197,
48,1.60078,11.7096,12.3076,7.75735,1211.95,0,25.9801,0.474688,2.86335,
49,1.60663,11.7614,12.2642,7.75691,1211.96,0,25.9173,0.475613,2.86398,
