Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Roll.rear.camber_angle_gain_roll_l.avg,2in Heave.rear.p_rod_length_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.toe_angle_l.avg,2in Heave.rear.tie_rod_angle_top_view_l.avg,2in Heave.rear.roll_center_gnd.z.avg,2in Heave.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.coil_over_length_l.avg,2in Heave.rear.motion_ratio_heave_l.avg,Roll.rear.camber_angle_gain_roll_l.std_dev,2in Heave.rear.p_rod_length_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.toe_angle_l.std_dev,2in Heave.rear.tie_rod_angle_top_view_l.std_dev,2in Heave.rear.roll_center_gnd.z.std_dev,2in Heave.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.coil_over_length_l.std_dev,2in Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.camber_angle_gain_roll_l.best,2in Heave.rear.p_rod_length_l.best,Roll.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.toe_angle_l.best,2in Heave.rear.tie_rod_angle_top_view_l.best,2in Heave.rear.roll_center_gnd.z.best,2in Heave.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.coil_over_length_l.best,2in Heave.rear.motion_ratio_heave_l.best,
0,1143.64,4079.84,1386.97,0.280314,59.1602,0,355.63,371.171,7.22548,2041.08,362.278,612.133,271.163,68.5842,3.02648e-05,447.622,498.443,8.34508,1931.87,396.992,581.167,229.128,4.89389,0,10.4907,13.1579,0.165322,658.854,10.5193,31.677,19.7009,
1,1143.64,3336,1032.79,0.342817,45.3308,0,341.21,323.536,5.97906,1573.86,343.82,415.418,286.85,30.2979,0,246.983,273.45,3.45341,821.496,253.072,313.02,197.886,4.26361,0,8.12081,12.3687,0.165322,658.854,12.5569,31.677,19.7009,
2,1143.64,3013.54,1127.95,0.3795,40.2303,0,308.509,262.366,6.26059,1363.37,308.951,417.941,305.912,23.9857,0,205.991,188.345,3.28714,617.729,208.327,371.576,146.367,4.26361,0,1.43759,12.3687,0.165322,651.032,2.23013,31.677,19.7009,
3,1143.64,2439.58,640.88,0.468784,30.6105,0,209.441,184.501,6.75194,1104.96,209.724,389.966,303.628,20.8849,0,162.903,145.143,3.12452,450.553,154.227,304.058,180.76,4.26361,0,1.43759,12.3687,0.165322,650.644,2.23013,31.677,19.7009,
4,1143.64,2304,1635.56,0.496369,23.8763,0,191.949,174.047,7.45155,1013.48,196.425,364.601,332.176,15.8214,0,251.926,299.805,2.75831,750.302,271.931,287.057,220.891,4.47696,0,1.43759,12.3687,0.463904,650.644,2.23013,26.0974,19.7009,
5,1122.71,2014.97,1041.56,0.557186,24.4052,0,148.211,142.129,6.49794,942.453,148.715,333.558,268.998,15.3526,0,182.476,154.455,2.28554,415.497,189.111,255.472,186.74,3.16905,0,3.56087,10.0982,0.781113,658.466,5.82674,26.0974,22.3548,
6,1122.71,2249.93,2328.69,0.498997,26.3802,0,155.39,125.867,6.32054,1010.69,156.561,330.559,438.169,24.9352,0,235.07,132.56,2.22986,682.238,234.557,322.671,1391.36,3.16905,0,3.56087,9.36194,1.70201,658.466,5.82674,11.2346,22.3548,
7,1042.61,2210.37,2896.7,0.471688,24.3749,0,143.365,161.234,7.00691,982.534,149.126,302.924,439.806,23.303,0,230.389,254.414,2.77178,743.141,253.564,335.798,1517.21,3.16905,0,3.56087,10.0982,2.28528,658.466,5.82674,11.2346,41.0323,
8,993.015,1865.99,1359.09,0.532165,24.8557,0,121.704,144.813,7.39246,980.135,125.066,248.201,213.823,23.3523,0,221.177,214.51,3.19138,660.342,224.831,338.994,197.808,3.16905,0,3.50676,1.63664,2.28528,658.854,5.54764,11.2346,15.8955,
9,951.534,3590.1,9032.63,0.265044,21.2443,0,145.841,174.85,6.45332,1867.66,157.212,274.508,942.33,16.9552,0,257.942,400.413,2.63808,6971.05,309.334,436.137,3784.09,3.16905,0,3.50676,1.63664,1.18785,658.854,5.54764,24.7203,15.8955,
10,907.379,2276.83,4912.29,0.398528,21.553,0,130.217,115.936,6.11295,892.825,130.631,199.103,780.449,18.5791,0,231.005,177.881,1.81912,1096.86,232.024,322.169,4097.93,3.16905,0,2.33595,1.63664,1.82979,658.854,2.57008,24.7203,28.5499,
