Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.roll_center.z.avg,Heave.front.king_pin_inclination_l.avg,Heave.front.mechanical_trail_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Roll.front.camber_angle_l.avg,Heave.front.scrub_radius_l.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Heave.front.roll_center.z.std_dev,Heave.front.king_pin_inclination_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Roll.front.camber_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Heave.front.roll_center.z.best,Heave.front.king_pin_inclination_l.best,Heave.front.mechanical_trail_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Roll.front.camber_angle_l.best,Heave.front.scrub_radius_l.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
0,103.841,491.981,180.238,0.211067,363.523,4.73998,30.8352,2.03573,1.25243,7.3649,0.441373,24.8782,1.71496,19.3893,32.7811,0.872069,2.15299,140.526,4.89497,28.7015,2.40108,1.38794,9.06932,0.271387,15.1254,2.14043,21.5767,33.7454,1.02091,2.71458,23.5943,2.67387,0.0916775,0.0305215,0.0466215,0.14883,0.186976,1.49542,0.0466655,0.061677,21.4617,0.0984932,0.188643,
1,103.841,400.772,109.306,0.259102,251.262,6.61161,27.9238,1.80274,1.15965,2.8921,0.320112,28.5953,1.89593,45.9923,29.4367,0.841592,2.03865,103.676,5.0181,25.7731,1.15692,0.50336,5.02891,0.158744,28.9426,1.45851,71.4352,7.52245,0.516441,1.73071,23.5943,2.67387,0.0916775,0.0305215,0.322659,0.14883,0.00700398,0.192045,0.0602301,0.061677,21.4617,0.188898,0.295523,
2,103.841,335.195,77.065,0.309793,208.191,6.08703,14.1552,1.61202,1.02013,2.5516,0.282531,25.124,2.43825,41.5962,29.8397,0.786082,1.51161,71.6955,3.45023,14.7213,1.0305,0.473091,1.97698,0.127762,18.2091,1.88261,51.2049,6.85687,0.53479,0.957268,23.5943,2.67387,0.0916775,0.0305215,0.317917,0.140304,0.0193061,0.192045,0.0602301,0.129848,17.2341,0.0669241,0.269847,
3,103.841,283.007,63.989,0.366919,158.669,5.91291,12.2407,1.79495,0.949093,2.66256,0.211406,29.1492,2.55259,34.352,32.2091,0.719811,1.58397,71.4352,3.21405,10.4212,1.0242,0.40434,2.02813,0.132973,20.9965,1.81168,41.5587,9.09122,0.595893,0.983965,23.5943,2.0216,0.0916775,0.0305215,0.0710473,0.140304,0.0242595,0.192045,0.0677789,0.129848,17.2341,0.0376075,0.269847,
4,103.841,274.519,78.9312,0.378265,125.091,7.23072,14.6738,1.73596,0.83629,2.70211,0.200106,33.2632,2.26472,45.6738,38.5765,0.710573,1.56043,61.5193,4.99401,13.8209,1.09433,0.313985,2.08563,0.123384,25.8475,1.74244,35.5984,36.8711,0.614006,1.00779,11.2218,1.90009,0.0916775,0.0305215,0.121832,0.051631,0.0107875,0.192045,0.0677789,0.129848,8.48658,0.0376075,0.205898,
5,103.841,247.011,63.7703,0.420389,104.804,7.99077,12.1286,2.04831,0.843592,2.11494,0.164885,33.7642,2.07696,43.4901,35.5964,0.636257,1.35229,50.3977,5.12556,9.61976,1.14553,0.293189,1.66523,0.108051,26.4187,1.38002,40.2601,16.4535,0.565497,0.806608,11.2218,1.90009,0.0916775,0.0305215,0.121832,0.051631,0.0111429,0.180836,0.0677789,0.129848,0.779991,0.0376075,0.163278,
6,103.841,223.222,94.5652,0.465192,91.2162,8.27066,12.6957,2.05529,0.908552,2.37442,0.209149,26.1036,2.26736,31.8256,43.313,0.690431,1.29177,68.669,5.57869,13.0364,1.13615,0.510405,2.35415,0.184918,26.5424,1.46775,30.6279,27.3899,0.633983,0.876366,11.2218,1.90009,0.0916775,0.0305215,0.121832,0.051631,0.00162505,0.0610758,0.0677789,0.129848,13.6243,0.0089992,0.205898,
7,103.841,233.774,145.086,0.444194,96.3205,6.97037,13.5233,2.30835,0.959436,1.90073,0.234426,22.2706,2.12104,40.6122,44.6031,0.619478,1.33013,88.3656,5.38767,13.6904,1.27995,0.462078,2.4524,0.168481,22.8188,1.49456,48.6241,18.2755,0.618696,0.792003,11.2218,0.872011,0.0916775,0.0305215,0.511366,0.0369495,0.00962834,0.0610758,0.120248,0.129848,14.7592,0.0089992,0.205898,
8,103.841,209.814,185.295,0.494919,98.7202,7.01505,7.58945,2.42025,0.974222,2.33843,0.260299,17.3677,2.03474,22.5311,46.5301,0.666579,1.36585,141.374,6.48884,5.87833,1.07011,0.664448,2.27959,0.282133,31.8401,1.46032,24.3106,11.8856,0.659841,0.75055,20.9672,0.872011,0.0916775,0.0305215,0.270174,0.140304,0.00471296,0.0610758,0.156709,0.129848,29.609,0.0089992,0.351114,
9,103.841,212.073,365.894,0.489648,96.3841,6.32358,7.05754,2.13946,1.31314,2.392,0.271131,16.3624,1.63776,24.0859,51.9232,0.871737,1.31063,273,5.96389,12.5101,1.27904,3.09668,1.82447,0.168171,22.4537,1.31933,37.1561,20.5772,0.755986,0.577869,20.9672,0.872011,0.0916775,0.0305215,0.511366,0.140304,0.0963552,0.0750011,0.00499036,0.129848,32.2845,0.0089992,0.133832,
