Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.roll_center.z.avg,Heave.front.mechanical_trail_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.camber_angle_l.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Heave.front.roll_center.z.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.camber_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Heave.front.roll_center.z.best,Heave.front.mechanical_trail_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.camber_angle_l.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
0,30.4182,445.524,187.172,0.0682752,354.562,31.284,2.07026,1.37622,6.71013,26.3121,0.449291,1.40733,17.9904,0.907331,2.45497,228.733,39.7224,2.39265,0.697796,6.12043,19.8328,0.481211,1.37595,21.1766,1.10279,2.99339,23.5943,0.0916775,0.0305215,0.145854,0.436368,0.784941,0.126962,0.0680278,0.0890994,0.188898,0.196233,
1,30.4182,320.394,77.2863,0.09494,234.855,21.4462,1.51609,1.09423,2.89997,23.7877,0.332076,1.59315,30.0272,0.858251,1.98431,115.061,22.7301,1.33988,0.497596,2.27403,16.0736,0.153472,1.11697,38.0935,0.573637,1.4877,23.5943,0.0916775,0.0305215,0.176103,0.0981174,0.784941,0.0891205,0.0753283,0.0890994,0.188898,0.266684,
2,30.4182,273.899,65.7423,0.111056,178.482,16.7089,1.73607,0.928758,2.8635,30.7577,0.266136,1.29392,37.9312,0.816429,2.11419,59.2325,15.2938,1.34079,0.447888,2.53472,20.5841,0.119035,0.995895,40.3308,0.622748,1.38265,23.5943,0.0916775,0.0229037,0.0758597,0.0981174,0.388122,0.0226571,0.0523857,0.129848,0.102191,0.225949,
3,30.4182,232.482,45.9003,0.130841,148.636,14.9195,1.50037,0.953647,2.7299,23.3189,0.202272,1.50642,36.0716,0.770802,1.87334,47.7031,11.9394,1.25866,0.503636,2.48537,20.1487,0.118806,1.1028,35.2701,0.595541,1.32242,23.5943,0.0916775,0.0229037,0.0758597,0.0981174,0.388122,0.0226571,0.0816598,0.129848,0.0580124,0.225949,
4,30.4182,210.473,39.8375,0.144523,136.879,15.3227,1.66728,1.04071,2.55136,19.7246,0.179532,1.31652,28.9227,0.674147,2.19435,38.5306,12.023,1.2039,0.508925,2.07467,17.29,0.104789,0.805965,22.8274,0.510171,1.47277,23.5943,0.0916775,0.0305215,0.141723,0.385831,0.388122,0.0114719,0.0816598,0.129848,0.0440067,0.225949,
5,30.4182,194.645,42.5063,0.156276,123.785,14.6971,1.35728,0.919161,2.87895,14.8662,0.165261,1.36649,31.7886,0.775574,2.04475,38.9367,9.60956,1.05191,0.440237,2.11958,12.871,0.104075,0.856488,24.5998,0.513892,1.30532,23.5943,0.0916775,0.0305215,0.141723,0.385831,0.388122,0.0114719,0.0816598,0.129848,0.102191,0.225949,
6,30.4182,185.186,38.5445,0.164258,119.37,14.2749,1.42322,0.858504,2.77086,11.9344,0.157982,1.36978,30.3107,0.746993,1.96805,39.4226,10.0241,1.01412,0.336203,2.00221,9.10612,0.104864,0.968701,28.464,0.565024,1.24707,23.5943,0.0916775,0.0305215,0.141723,0.235372,0.524172,0.0114719,0.0113236,0.129848,0.0652812,0.203702,
7,30.4182,169.406,42.8366,0.179558,102.569,12.8624,1.25663,0.794027,2.85399,14.2501,0.158407,1.54212,30.1372,0.761811,2.22033,43.4164,9.73052,0.96974,0.293183,2.15888,10.6573,0.126115,1.07224,25.8921,0.557023,1.18756,9.80956,0.0916775,0.0305215,0.356407,0.151524,1.10421,0.0104645,0.0261903,0.129848,0.0890458,0.225949,
8,30.4182,154.323,41.2475,0.197107,85.5397,12.4216,1.02181,0.779589,2.52157,17.0474,0.184385,1.38016,30.4621,0.702585,2.26221,40.2342,9.10705,0.87457,0.344969,2.16953,11.9431,0.134234,0.943371,30.045,0.556551,1.15799,9.80956,0.0916775,0.0305215,0.125239,0.139011,1.10421,0.00466945,0.0261903,0.129848,0.0765784,0.668185,
9,30.4182,131.716,37.3534,0.230939,61.3171,12.7827,0.916781,0.775035,2.03086,17.491,0.248214,1.5773,31.9531,0.724581,1.89887,32.7038,8.69461,0.73509,0.386543,1.75737,10.5177,0.158716,1.0726,26.9021,0.61334,1.24181,7.24824,0.0916775,0.0305215,0.125239,0.139011,0.750601,0.00835106,0.0261903,0.129848,0.0765784,0.443416,
