Individual,Roll.front.side_view_swing_arm_angle_l,Roll.front.roll_center.y,Roll.front.camber_angle_gain_roll_l,Steering.front.ackerman_angle,Steering.front.tie_rod_angle_front_view_l,Steering.front.tie_rod_angle_top_view_l,2in Heave.front.rocker_p_rod_angle_l,2in Heave.front.rocker_coil_over_angle_l,2in Heave.front.p_rod_length_l,2in Heave.front.coil_over_length_l,2in Heave.front.tie_rod_angle_top_view_l,2in Heave.front.toe_angle_l,2in Heave.front.side_view_swing_arm_angle_l,2in Heave.front.roll_center_gnd.z,2in Heave.front.motion_ratio_heave_l,
0,0.653236,31.9942,4.55399,0.804622,16.0917,2.81723,0.334723,1.30556,0,45.1301,2.30973,1.45941,1.36459,70.3387,8.55795,
1,2.7124,32.3767,4.66441,0.822584,16.2917,3.04198,1.73627,2.00168,0,44.8862,2.53475,1.44255,3.02638,64.7017,9.17399,
2,0.704421,32.1235,4.59545,2.08921,16.5303,2.51688,2.13877,4.13361,0,45.337,1.99844,1.66771,1.31679,68.2465,7.86671,
3,2.85748,32.1743,4.58539,0.842512,15.618,2.87566,1.7394,0.886821,0,44.611,2.36678,1.23567,3.10765,68.7441,10.1907,
4,1.0872,32.1302,4.57628,0.701935,16.3112,2.93702,2.30562,2.38061,0,45.6835,2.42697,1.56235,1.57721,69.2296,8.99727,
5,0.825034,32.1386,4.58287,0.723029,16.325,2.95975,1.92965,5.09676,0,46.1938,2.45214,1.56306,1.79281,68.8762,6.45942,
6,1.68996,32.2491,4.63299,1.27984,16.2081,2.69705,2.51673,2.68767,0,44.863,2.18437,1.4251,2.02293,66.3285,11.1722,
7,1.06247,32.144,4.58334,0.684536,16.3367,2.85842,3.96808,1.78804,0,45.1862,2.35221,1.54797,1.69984,68.866,9.57934,
8,1.14392,32.0276,4.55499,1.11269,15.7665,2.75873,0.85722,2.7196,0,44.8849,2.24647,1.29886,1.72396,70.2619,11.5448,
9,1.63281,32.0281,4.54587,0.741496,16.2725,3.00671,0.476101,1.57598,0,44.5378,2.49907,1.58666,2.34665,70.7644,11.0022,
10,1.97166,32.027,4.56042,0.693597,16.0362,2.97787,2.28079,1.32234,0,44.6689,2.46973,1.45913,2.46898,69.9914,10.2392,
11,5.30422,32.3468,4.65774,1.22828,16.4964,2.78591,2.80788,1.54122,0,45.725,2.26613,1.58471,5.55623,65.0202,6.17457,
12,0.755738,32.2006,4.61158,0.743879,16.8672,2.97227,2.94074,4.3913,0,48.6496,2.45981,1.79688,1.61633,67.4312,6.20666,
13,1.75186,32.1793,4.58413,1.33479,16.2357,3.31055,4.00473,2.21708,0,47.2053,2.79163,1.52658,2.12541,68.833,5.67678,
14,2.76882,32.1466,4.59681,1.23964,15.7005,2.67953,0.572873,3.50533,0,47.6018,2.16937,1.23981,3.14582,68.0911,8.47172,
15,0.94415,32.1467,4.57367,1.37708,16.2688,3.38335,4.43684,0.697628,0,48.2008,2.86159,1.59665,1.62914,69.347,6.51757,
16,1.69317,32.0658,4.56988,0.727955,16.3489,2.9938,1.02199,2.28262,0,44.7693,2.48659,1.5975,2.21783,69.5264,11.7022,
17,4.9299,32.3278,4.64859,0.8334,16.1651,2.92008,4.5335,1.42145,0,46.6806,2.40233,1.4132,5.17577,65.4673,5.11273,
18,0.905758,32.0477,4.57826,1.30432,16.4733,2.62029,0.793745,2.76085,0,44.4828,2.10936,1.64247,1.60933,69.1223,13.6398,
19,2.30414,32.2405,4.60154,1.3276,16.7147,3.34943,2.3139,3.32632,0,45.8194,2.82681,1.80738,2.59062,67.9792,6.97601,
20,0.655095,32.1416,4.58191,0.856257,15.6353,3.17377,1.67294,3.92325,0,43.8105,2.66025,1.27791,1.50802,68.8923,13.3998,
21,0.705248,32.036,4.54952,1.06694,16.229,2.76905,1.71398,1.82173,0,44.0067,2.2556,1.55738,1.62084,70.5868,13.4885,
22,0.691852,32.2923,4.62188,0.672502,16.4832,2.83689,3.06072,3.91608,0,43.9115,2.33254,1.5676,1.51114,66.9036,13.6443,
23,0.967552,32.0389,4.55215,0.870829,14.4093,2.80564,4.82952,2.13585,0,45.6215,2.30201,1.61958,1.57412,70.3143,10.4763,
24,2.86916,32.0379,4.57556,0.864718,15.8991,3.10293,1.79606,0.704549,0,48.0316,2.59104,1.34488,3.3173,69.1846,8.22319,
