Individual,Heave.rear.side_view_swing_arm_angle_l,Heave.rear.coil_over_length_l,Heave.rear.p_rod_length_l,Heave.rear.roll_center_gnd.z,Heave.rear.tie_rod_angle_top_view_l,Heave.rear.motion_ratio_heave_l,Heave.rear.toe_angle_l,Roll.rear.side_view_swing_arm_angle_l,Roll.rear.camber_angle_gain_roll_l,
0,0.211666,0.00388644,0,1207.74,4.78449,1.62365,0.0663949,0.0221401,10.7693,
1,0.198706,0.0363569,0,1207.75,4.77435,1.61364,0.0671176,0.035873,10.7679,
2,0.240247,0.0280696,0,1207.77,4.78064,1.61397,0.0712716,0.0277025,10.7647,
3,0.190574,0.00522283,0,1207.74,4.85765,1.63016,0.0620308,0.0450892,10.7705,
4,0.212843,0.0324415,0,1207.73,4.86814,1.62147,0.0721431,0.0228678,10.7708,
5,0.191082,0.00847268,0,1207.73,4.88603,1.63974,0.0636531,0.0456516,10.7689,
6,0.180949,0.00326448,0,1207.74,4.88531,1.63071,0.0640915,0.0654799,10.7686,
7,0.193581,0.000621005,0,1207.74,4.90912,1.62318,0.0669563,0.0367178,10.7707,
8,0.228886,0.00586923,0,1207.76,4.87016,1.62785,0.0627356,0.0179676,10.7675,
9,0.188397,0.0110075,0,1207.75,4.8794,1.63317,0.069468,0.0490767,10.7676,
10,0.200324,0.0448914,0,1207.73,4.88224,1.62926,0.063949,0.0307128,10.7693,
11,0.173668,0.0315449,0,1207.74,4.8861,1.60517,0.0671045,0.0874478,10.7734,
12,0.224564,0.0332718,0,1207.7,4.93442,1.61602,0.0714084,0.0156704,10.7648,
13,0.15871,0.0236217,0,1207.72,4.88969,1.61556,0.0750241,0.110034,10.7683,
14,0.245683,0.0476703,0,1207.7,4.84736,1.63632,0.0889224,0.0399809,10.7605,
15,0.20563,0.0229495,0,1207.75,4.90793,1.61977,0.0637494,0.0297141,10.768,
16,0.169117,0.0374997,0,1207.75,4.83425,1.63937,0.0711845,0.0940393,10.7753,
17,0.195858,0.00900242,0,1207.74,4.92962,1.6342,0.0625179,0.0353176,10.77,
18,0.193066,0.0361481,0,1207.74,4.90421,1.64012,0.0645844,0.042081,10.7692,
19,0.175534,0.0122793,0,1207.78,4.8929,1.62688,0.0634332,0.07023,10.7747,
20,0.185839,0.0632161,0,1207.73,4.90213,1.6268,0.0639402,0.0564174,10.7686,
21,0.194542,0.00730389,0,1207.75,4.94163,1.62973,0.0630104,0.0402904,10.7674,
22,0.167098,0.0342104,0,1207.75,4.88793,1.61132,0.0663272,0.111602,10.7739,
23,0.190534,0.0669946,0,1207.74,4.90574,1.61962,0.0632671,0.0467233,10.7711,
24,0.171926,0.0332916,0,1207.74,4.91652,1.61782,0.0714085,0.0819563,10.7651,
25,0.206731,0.0511486,0,1207.74,4.9106,1.62318,0.0692088,0.0295991,10.77,
26,0.245338,0.00632101,0,1207.74,4.92053,1.62965,0.0656825,0.0363076,10.7664,
27,0.216206,0.00987224,0,1207.73,4.96822,1.62791,0.0656724,0.0178383,10.7688,
28,0.192829,0.0503852,0,1207.74,4.92478,1.62047,0.0655892,0.0483381,10.7682,
29,0.192284,0.0526579,0,1207.69,4.96242,1.63469,0.071172,0.0398508,10.7645,
30,0.201921,4.10995e-05,0,1207.69,4.98956,1.6396,0.0883727,0.033315,10.7653,
31,0.190254,0.0837418,0,1207.71,4.88951,1.63638,0.0704622,0.0543909,10.7721,
32,0.194264,0.0590468,0,1207.75,4.88685,1.6405,0.0697342,0.039451,10.7679,
33,0.180884,0.0790146,0,1207.73,4.87063,1.63554,0.0796883,0.0668098,10.7714,
34,0.174466,0.0641367,0,1207.76,4.8957,1.60575,0.0625798,0.0798278,10.7745,
35,0.195447,0.0318071,0,1207.75,4.92913,1.62554,0.064813,0.0455838,10.7672,
36,0.189386,0.0544437,0,1207.75,4.89572,1.64081,0.0664385,0.0518468,10.7667,
37,0.159167,0.00660712,0,1207.75,4.88627,1.62436,0.0765198,0.135829,10.7811,
38,0.201014,0.0426872,0,1207.78,4.90374,1.61733,0.0649401,0.0430694,10.77,
