Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.tie_rod_angle_top_view_l.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,
177,51.0561,214.701,626.368,0.237801,5.74203,5.82201,0.550548,19.832,1.63324,76.876,75.8606,3.91786,24.4664,17.1904,17.8579,2.20211,3.44192,5.58581,299.207,294.94,0.506567,6.2153,0.68304,1.52212,0.000545321,0.945006,0.430595,0.303131,0.0937053,1.65507,6.53723,
178,51.0559,244.163,675.828,0.209106,7.07713,5.78474,0.566455,40.1296,3.52664,78.9533,77.9502,4.15548,26.0197,19.2963,18.2324,1.89557,145.396,11.7622,309.475,305.912,1.59906,9.72218,0.683037,1.52212,0.000545321,8.64981,0.43077,0.303082,0.0937053,1.26911,22.8617,
179,51.0559,122.118,470.396,0.418086,3.25869,2.51703,0.233679,20.0602,0.805389,33.4952,32.6094,4.07203,25.0665,12.8219,5.85985,1.32811,19.9031,3.4325,237.3,229.656,0.71981,8.50916,0.683037,1.52212,0.000545321,12.3064,0.430974,0.302977,0.0937053,3.92599,23.8492,
180,51.0559,146.378,356.455,0.348794,9.15817,11.4153,0.467524,22.3118,2.5994,34.4559,34.2186,4.00753,27.7441,22.508,31.5296,1.31055,16.1159,6.21486,158.853,158.672,1.03191,12.2946,0.683033,1.5221,0.000882316,9.36307,0.430974,0.302977,0.0937959,1.1835,23.8492,
181,51.0559,113.544,335.869,0.449658,4.55556,9.57533,0.411941,20.5904,2.96434,23.1938,22.9441,4.1989,25.1095,16.0637,34.0117,1.65161,5.49329,10.5403,150.994,149.548,1.0915,7.4572,0.683023,1.5221,0.000882316,7.71228,0.431897,0.302977,0.0937521,3.92599,23.8492,
182,51.0558,129.367,497.241,0.394658,3.25659,7.16929,0.294757,20.1324,1.82274,34.511,33.5973,3.81837,24.7647,12.6622,27.8899,1.45751,1.09142,7.53385,234.234,228.932,0.610677,7.27496,0.683005,1.52211,0.000882316,13.3171,0.432,0.302971,0.0937521,0.923074,18.1013,
183,51.0557,187.661,551.799,0.272064,7.44244,7.93107,0.930872,30.7269,1.9042,55.059,54.2569,3.92627,25.4832,20.5097,25.9499,3.00175,70.1732,6.16217,259.994,256.997,0.682562,7.88275,0.683002,1.52214,0.000853391,10.614,0.431974,0.302895,0.0937521,1.59488,22.4325,
184,51.0557,276.445,780.176,0.184686,6.11354,7.04233,0.519773,19.8529,2.82428,106.371,104.594,4.1531,24.9741,18.6988,28.647,1.86887,10.9752,10.3195,366.142,368.404,1.0201,5.66994,0.683002,1.52214,0.000853391,8.72436,0.431898,0.302811,0.0937521,3.926,21.8535,
185,51.0557,168.501,533.686,0.303,3.88521,7.72192,0.433181,27.8062,1.33946,49.8237,48.9103,4.19169,24.3891,15.8231,27.9649,1.92472,55.1388,4.42022,258.378,260.026,1.2384,3.98639,0.683002,1.52214,0.000853391,11.4489,0.431868,0.302811,0.0938127,3.926,22.0405,
186,51.0557,446.567,2347,0.114329,5.18268,8.40928,0.553485,345.003,3.09248,27.4667,27.1484,4.13991,25.5707,17.7714,32.5873,2.22468,2298.19,12.9568,146.457,144.806,1.05714,8.04755,0.683011,1.52214,0.000853391,11.4901,0.431833,0.302811,0.0938378,3.88337,23.8492,
187,51.0556,82.6671,178.407,0.617605,3.60748,6.90228,0.256556,22.9359,1.52628,9.48912,9.30479,4.07042,24.5743,14.5828,29.287,1.3635,298.364,6.17327,63.3986,64.5417,0.722179,5.08764,0.683011,1.52214,0.00094012,15.9397,0.431833,0.302777,0.0938101,3.92599,23.8492,
188,51.0556,265.509,715.167,0.192293,7.53366,5.40396,0.722522,19.6455,2.58406,101.23,100.018,3.89614,24.4756,20.7142,16.3626,2.39747,3.86167,7.92396,332.462,348.886,0.780747,5.08574,0.682997,1.52214,0.00094012,9.17229,0.431839,0.302777,0.0938268,1.27739,14.7917,
189,51.0556,146.832,506.031,0.347714,2.24297,2.22235,0.390725,19.9666,1.41397,46.4162,45.6046,3.85773,24.7168,10.1851,4.93255,1.96518,1.44837,6.65092,248.469,247.794,0.364603,6.08111,0.682997,1.52214,0.00094012,11.3999,0.431839,0.302748,0.0938456,1.47019,23.832,
190,51.0555,349.563,792.237,0.146055,10.4497,8.06842,1.0906,21.3652,5.15268,137.651,136.006,4.31911,25.4603,21.7564,24.6629,2.75631,8.65977,13.8647,383.56,382.689,1.6704,9.46722,0.682997,1.52214,0.00094012,10.9532,0.431839,0.30268,0.0938505,2.66621,6.07788,
191,51.0555,254.806,727.143,0.20037,5.57109,3.66272,0.539208,19.6859,2.08759,97.8783,96.4293,3.96418,24.9875,17.9985,8.59217,2.10444,2.60524,8.52114,352.635,347.252,0.529928,5.8394,0.682998,1.52215,0.00094012,11.0023,0.432051,0.30268,0.0938505,1.731,23.7037,
192,51.0555,123.271,470.394,0.414174,3.20489,3.4236,0.386252,19.9813,1.53987,33.1841,32.3434,4.08775,25.1193,12.4006,9.82476,1.93722,1.34759,7.63497,231.133,229.958,1.16627,8.31436,0.682991,1.52215,0.00109495,12.3552,0.432107,0.302677,0.0938823,3.73723,23.8492,
193,51.0555,163.779,537.546,0.311735,7.12245,8.13326,1.05224,31.7612,3.35381,42.0448,41.0736,4.21987,25.0173,20.3572,27.1848,3.24251,64.4174,10.5715,240.694,235.013,1.43099,8.39907,0.682991,1.52215,0.00109495,12.3604,0.432113,0.302642,0.0938886,3.6974,16.2592,
194,51.0555,354.623,1398.12,0.143971,7.71785,5.11404,0.543674,200.963,3.04395,54.5954,53.635,4.00527,25.0043,21.2297,18.8686,1.78645,1261.86,8.30004,267.56,264.257,0.991187,5.27528,0.682989,1.52214,0.00107636,8.95182,0.432085,0.302637,0.0938886,1.82923,23.1856,
195,51.0555,120.546,486.436,0.423534,1.84761,3.65745,0.152948,20.3594,0.952077,33.4621,32.5024,3.87165,23.7408,8.15227,15.0179,1.06156,178.788,4.11124,232.44,227.841,0.402198,1.46518,0.682986,1.52214,0.00097277,20.2447,0.432085,0.302619,0.0939079,1.20879,18.4251,
196,51.0554,157.998,470.915,0.323139,6.42509,6.74355,0.652639,29.7175,3.04156,41.631,40.9909,4.289,24.5071,19.3193,24.3557,2.39448,49.7725,12.7177,219.627,216.892,1.60198,6.62071,0.682978,1.52214,0.00097277,12.1041,0.43204,0.302588,0.0939195,3.01344,16.9076,
197,51.0554,97.2519,323.375,0.524981,2.10144,5.98049,0.107649,20.1056,1.39498,19.9047,19.5265,3.88124,24.2494,9.92906,31.2153,0.918201,9.56789,6.89386,139.13,139.691,0.434749,2.83995,0.682975,1.52214,0.00097277,13.2859,0.43204,0.302565,0.093927,1.68797,23.8492,
198,51.0554,74.7567,119.829,0.682954,3.68516,7.97871,0.396241,29.4673,0.716618,1.89675,1.68877,4.14961,24.7776,14.7954,32.9022,1.98263,66.0692,1.95539,19.5458,19.3919,1.1563,6.74964,0.682964,1.52214,0.00097277,14.4571,0.43204,0.302565,0.0939587,3.92599,21.9099,
199,51.0554,255.086,669.723,0.20015,8.01566,15.0467,0.90224,20.8611,3.88609,89.5014,88.3909,4.28127,24.2007,21.8385,43.7083,2.76902,10.9984,11.6024,297.979,311.55,1.65695,5.25095,0.682964,1.52214,0.00097277,11.6346,0.43204,0.302544,0.0939587,2.19068,9.44199,
200,51.0554,94.7863,306.116,0.538637,1.54256,2.15917,0.0722478,20.0298,0.749158,20.9458,20.6921,4.02418,24.5712,6.35978,12.9507,0.942009,1.71523,3.81049,144.503,155.976,0.732201,5.04893,0.682958,1.52214,0.00109869,9.49647,0.432191,0.302544,0.0939841,3.92599,23.8492,
