Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Roll.rear.camber_angle_gain_roll_l.avg,2in Heave.rear.p_rod_length_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.toe_angle_l.avg,2in Heave.rear.tie_rod_angle_top_view_l.avg,2in Heave.rear.roll_center_gnd.z.avg,2in Heave.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.coil_over_length_l.avg,2in Heave.rear.motion_ratio_heave_l.avg,Roll.rear.camber_angle_gain_roll_l.std_dev,2in Heave.rear.p_rod_length_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.toe_angle_l.std_dev,2in Heave.rear.tie_rod_angle_top_view_l.std_dev,2in Heave.rear.roll_center_gnd.z.std_dev,2in Heave.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.coil_over_length_l.std_dev,2in Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.camber_angle_gain_roll_l.best,2in Heave.rear.p_rod_length_l.best,Roll.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.toe_angle_l.best,2in Heave.rear.tie_rod_angle_top_view_l.best,2in Heave.rear.roll_center_gnd.z.best,2in Heave.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.coil_over_length_l.best,2in Heave.rear.motion_ratio_heave_l.best,
67,743.768,1532.54,2317.16,0.485318,18.0937,0,83.9302,95.0716,3.97155,868.922,85.5938,195.435,181.519,21.5401,0,255.526,276.625,2.47514,634.83,254.521,401.8,1103.58,7.34766,0,0.266508,1.45374,0.763059,658.395,0.409132,37.8883,3.6255,
68,743.768,1316.69,1587.81,0.564877,17.6218,0,72.3232,62.4715,3.88633,847.913,73.9515,151.298,87.2238,20.5745,0,252.609,205.49,2.30604,578.943,260.518,336.865,260.734,6.20643,0,0.266508,1.45374,0.763059,658.395,0.409132,37.8883,3.6255,
69,743.768,1366.75,1797.88,0.544188,17.9588,0,55.6363,69.656,3.82392,854.625,56.3229,165.822,142.903,23.0016,0,167.877,174.497,2.22583,645.874,172.142,380.841,706.138,7.34766,0,0.266508,1.45374,0.393761,658.395,0.409132,37.8883,2.24788,
70,743.768,1669.15,3547.63,0.445598,16.6602,0,54.8912,55.8514,3.91724,831.907,56.9194,178.14,470.86,18.4546,0,168.808,155.301,2.07758,562.549,175.478,405.15,2659.32,7.62018,0,0.266508,1.45374,0.425047,658.395,0.409132,36.379,2.24788,
71,743.768,1327.31,1845.75,0.560357,16.5785,0,72.9241,75.7977,3.87912,826.499,74.3626,133.544,123.727,20.1468,0,268.989,248.086,2.18183,570.241,269.179,306.265,714.444,4.14127,0,0.266508,1.45374,0.425047,658.395,0.409132,34.1015,2.24788,
72,743.768,1220.95,1389.18,0.609173,16.2777,0,53.86,76.476,4.0293,825.296,54.0453,137.042,53.9203,17.9508,0,188.666,250.28,2.17271,544.23,196.231,319.898,196.115,7.62018,0,0.266508,1.45374,0.425047,658.395,0.409132,37.8883,2.24788,
73,743.658,1353.53,1719.36,0.549421,17.3612,0,96.8972,67.3137,4.08712,831.661,98.0668,149.113,89.031,19.6104,0,313.99,216.078,2.93471,547.34,316.671,319.902,244.053,6.99498,0,0.266508,1.45374,0.425047,624.848,0.409132,35.0987,2.24788,
74,743.658,1193.36,1392.14,0.623162,17.6438,0,44.1788,35.0591,3.7106,844.287,46.069,137.745,64.6695,23.3533,0,191.846,143.505,1.95843,661.174,206.941,324.546,197.898,7.62018,0,0.266508,1.45374,0.425047,658.395,0.409132,37.8883,1.80069,
75,743.658,1191.43,3616.09,0.624171,12.6819,0,9.03828,23.1764,3.67647,704.069,9.53767,81.7149,347.539,8.61689,0,43.3463,70.1426,1.69141,249.047,45.5456,208.757,3272.83,7.62018,0,0.266508,1.45374,0.425047,658.395,0.409132,37.8883,1.80069,
76,743.658,1274.22,1680.64,0.58362,17.9012,0,63.736,44.001,3.91365,852.395,64.9102,143.212,84.1482,21.7514,0,238.444,154.716,2.21129,612.098,232.763,330.446,513.482,10.483,0,0.23172,1.45374,0.425047,661.918,0.409132,37.8883,1.80069,
77,743.658,2513.73,6014.34,0.295838,18.105,0,124.293,82.0081,4.13917,927.618,129.016,198.762,1029.79,22.1966,0,371.035,310.736,3.19642,1214.92,369.135,422.635,4566.29,6.41729,0,0.23172,1.45374,0.425047,661.918,0.409132,38.8792,1.80069,
78,743.658,1354.15,1740.99,0.549172,18.2532,0,97.4319,64.4244,3.53074,851.296,98.1174,126.679,94.4129,21.7915,0,301.356,203.52,1.92458,612.386,306.033,281.633,856.548,10.483,0,0.23172,1.45374,0.425047,661.918,0.409132,36.6033,1.80069,
79,743.658,1308.46,2388.35,0.568345,16.1525,0,48.9268,59.6482,3.59218,813.7,50.6929,137.554,178.195,19.9705,0,234.482,255.766,2.34172,654.376,242.563,342.595,1358.16,10.483,0,0.23172,1.45374,0.425047,661.918,0.409132,38.8792,1.80069,
