Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Roll.front.camber_angle_gain_roll_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Roll.front.camber_angle_gain_roll_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
428,45.0548,65.0773,190.443,0.692327,4.9596,1.8633,0.176348,6.9105,1.0855,24.2303,15.2017,6.87587,3.77424,21.595,3.19477,1.14019,84.4948,6.90717,7.00472,9.62225,84.3015,0.310869,1.84376,1.42008,0.000545167,0.00658193,0.165127,9.17598,13.8857,0.00153595,0.769429,
429,45.0548,84.4248,343.774,0.533667,3.62771,2.3565,0.11257,18.0309,0.519779,23.7395,14.4031,17.7692,3.86547,15.19,7.97544,0.827805,158.921,3.07824,1.28954,5.47222,156.743,0.845795,1.84376,1.42132,0.0004595,0.00658193,0.165127,9.27407,13.8857,0.00153595,3.73698,
430,45.0548,66.1337,185.398,0.681268,4.66749,1.82733,0.184087,8.0449,0.512595,24.0714,14.9544,8.01736,3.85417,19.556,2.77002,1.21651,81.2263,2.75194,5.2065,8.74731,81.5613,0.86602,1.84376,1.42132,0.000545167,0.00658193,0.165985,8.35074,13.8824,0.00153595,1.29164,
431,45.0548,98.9111,326.322,0.455508,5.29141,3.74114,0.314935,22.2203,1.85716,24.1955,15.259,22.1421,3.88955,21.8685,15.1915,1.70446,142.045,9.60873,6.55191,8.44092,143.39,0.947495,1.84376,1.42132,0.000545167,0.00658193,0.165985,9.56132,10.6638,0.00153595,0.79799,
432,45.0548,121.041,475.333,0.372229,5.14411,2.14212,0.338996,34.9558,1.87291,23.5037,14.7433,34.4641,3.87555,19.8297,5.30364,1.93952,221.707,12.7207,2.37486,6.62785,218.666,0.866655,1.84376,1.42008,0.000472176,0.00658193,0.165985,2.06291,13.8824,0.00153595,2.20461,
433,45.0548,89.0764,336.365,0.505799,5.04518,5.25614,0.290373,16.8537,2.1597,23.6386,15.448,16.5773,3.80743,19.3087,26.2514,1.7184,145.96,15.947,1.50989,10.5366,144.232,0.748981,1.84376,1.42128,0.000472176,0.00658193,0.165985,11.9247,13.8824,0.00153595,0.69921,
434,45.0548,79.4995,291.107,0.566731,6.50392,4.55618,0.287161,11.8906,0.854403,24.0961,15.9206,11.6422,3.74822,25.0953,18.6354,1.64805,135.084,4.30572,5.91845,12.4095,132.252,0.273978,1.84376,1.42128,0.000472176,0.00658193,0.165985,13.1178,13.8824,0.00153595,0.909121,
435,45.0548,90.5917,362.4,0.497339,4.63003,3.89748,0.27457,18.4975,2.19549,23.8261,15.311,18.1583,3.80119,19.1128,18.9627,1.62528,160.633,13.529,2.08567,9.96169,157.545,0.716868,1.84376,1.42128,0.000472176,0.00658193,0.165985,8.79751,13.8824,0.00153595,1.30354,
436,45.0548,124.333,424.013,0.362373,7.40527,3.49393,0.394305,32.0879,2.87241,26.9319,15.6078,31.7762,3.76297,26.4031,17.5221,1.8441,191.435,16.1716,34.9101,9.22602,189.044,0.641171,1.84376,1.42128,0.000472176,0.00605342,0.165985,5.4926,13.8824,0.00153595,0.576936,
437,45.0548,74.3521,219.912,0.605965,6.14865,3.39283,0.370503,8.26806,2.36509,26.5875,15.1622,8.21885,3.83833,24.41,11.8092,2.04022,93.4691,13.8216,23.7278,6.78932,95.9368,0.731612,1.84376,1.42128,0.000472176,0.00605342,0.165985,5.90078,13.8824,0.00153595,1.61629,
438,45.0548,68.6132,170.259,0.656649,5.89109,2.82138,0.225558,6.85894,0.748489,26.3475,14.9889,6.85661,3.87481,24.3348,9.55202,1.42057,58.216,4.73733,26.9375,8.58605,58.1776,0.925771,1.84376,1.42128,0.000472176,0.00605342,0.165985,12.2957,13.8857,0.00153595,2.21778,
439,45.0548,64.3996,188.917,0.699612,4.39514,1.81985,0.276031,6.93927,0.984432,23.5978,15.59,6.91308,3.88401,18.4834,3.20587,1.84117,83.3909,8.6768,3.26196,11.9782,83.1771,1.00226,1.84376,1.42128,0.000472176,0.00605342,0.165985,9.33928,13.8857,0.00153595,2.43442,
440,45.0548,79.0381,255.579,0.570039,4.939,4.00637,0.291267,12.6215,1.60133,24.3684,14.7626,12.5587,3.88892,21.48,22.2801,1.94116,105.315,12.2807,8.57827,6.5519,105.205,1.08764,1.84376,1.42128,0.000472176,0.00605342,0.165985,9.2721,13.8857,0.00153595,1.93367,
441,45.0486,96.9225,347.815,0.46479,6.51484,3.50453,0.32896,20.6413,2.14649,24.1098,15.394,20.425,3.85747,25.2143,13.9404,1.82978,154.032,12.2351,4.63728,9.57241,152.2,0.566795,1.84376,1.41867,0.000472176,0.0060521,0.165985,11.367,13.8857,0.00153595,3.73795,
442,45.0486,91.3146,378.265,0.493335,4.50791,2.21798,0.223482,20.8457,0.794328,24.109,14.3113,20.4903,3.81456,18.8474,7.18314,1.47984,178.937,6.12101,5.30928,3.49897,175.995,0.893742,1.84376,1.41867,0.000472176,0.0060521,0.165985,10.3047,13.8857,0.00324455,1.14646,
443,45.0486,62.7699,152.413,0.717679,3.87137,2.53325,0.145818,5.66975,0.883742,25.7782,14.478,5.65761,3.75219,17.2386,10.8716,1.14761,50.6725,8.2594,24.5408,5.46728,52.7199,0.249953,1.84376,1.42007,0.000472176,0.00581834,0.165985,12.6206,13.8871,0.00324455,0.94841,
444,45.0486,84.8201,311.349,0.531108,5.50484,2.57538,0.285511,15.999,2.19375,23.8995,14.725,15.7873,3.84985,21.9123,7.51594,1.73827,140.17,13.4462,3.62919,7.8757,136.948,0.653904,1.84376,1.42007,0.000472176,0.00581834,0.166566,12.3791,13.8973,0.00324455,1.99572,
445,45.0486,90.4486,301.63,0.498058,4.50279,3.3152,0.243599,19.1053,1.5545,23.5029,15.445,19.0322,3.7471,16.5239,14.3222,1.49383,132.938,9.97156,2.0691,9.93429,132.774,0.279926,1.84376,1.42007,0.000472176,0.00581834,0.166566,9.87688,13.8973,0.00324455,1.404,
