Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Roll.front.camber_angle_gain_roll_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Roll.front.camber_angle_gain_roll_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
0,103.567,306.207,129.894,0.338224,64.7692,63.2409,5.54341,18.7588,46.7749,41.8977,42.9371,18.7628,3.52203,67.0649,77.8757,6.44881,23.1116,61.0912,83.4667,51.1621,22.139,4.02571,7.16188,1.16981,0.0129525,0.338509,0.656021,12.3952,3.22883,0.320122,0.427201,
1,96.5606,302.506,169.169,0.319202,63.1015,50.6688,5.63367,37.0294,36.9241,29.9284,38.4685,37.0619,3.69013,30.8661,38.6976,3.38072,73.8732,32.7822,35.64,26.9806,78.0239,2.67246,7.16188,1.16981,0.0129525,0.338509,0.378133,11.9807,3.22883,0.320122,0.562241,
2,96.5606,280.992,125.417,0.343641,61.1935,46.111,5.39,33.4604,33.1035,28.9018,35.7593,33.4896,3.58335,29.9999,34.2775,3.35953,56.3347,27.9959,29.0751,25.402,56.5845,2.49074,7.16188,1.16981,0.0129525,0.338509,0.378133,12.3952,3.22883,0.320122,0.562241,
3,96.5606,316.148,235.162,0.305429,58.4853,41.2997,5.7862,56.6805,31.143,29.2574,33.2492,56.7244,3.52171,29.435,30.7723,3.42782,120.455,25.7667,28.9906,24.2908,124.305,2.4063,7.16188,1.16981,0.0129525,0.338509,0.378133,12.3952,3.22883,0.320122,0.562241,
4,96.5606,313.595,266.163,0.307915,60.7225,38.6254,5.66021,56.2387,29.3001,29.1379,33.7929,56.2752,3.84163,33.5034,28.9311,3.41007,127.693,23.7879,29.052,23.5561,127.691,2.60675,9.79528,1.16981,0.0129525,0.338509,0.378133,11.5329,3.22883,0.320122,0.562241,
5,96.5606,342.085,355.297,0.282271,59.6641,40.5821,5.69038,71.7206,28.3551,27.2009,33.4088,71.6993,3.76345,29.2606,30.2292,3.45622,174.111,22.8935,23.7389,24.2273,174.589,2.53011,5.98741,1.16981,0.0129525,0.338509,0.321585,7.92668,3.22883,0.320122,0.562241,
6,96.5606,310.859,260.63,0.310624,60.7743,39.4139,5.61248,56.3235,28.6442,28.1761,31.8749,56.3439,3.6962,28.5371,28.8458,3.46917,128.568,25.8495,23.7794,23.9075,128.602,2.51583,10.6109,1.16981,0.0129525,0.338509,0.378133,10.2294,3.22883,0.320122,0.562241,
7,96.5606,289.661,194.059,0.333357,59.0358,37.8203,5.50984,48.4956,28.0746,29.3632,29.0526,48.5238,3.78548,28.8801,26.9632,3.36997,97.3665,23.331,23.7569,22.0002,96.8663,2.56197,10.9849,1.16981,0.0129525,0.338509,0.378133,12.3952,3.22883,0.320122,0.562241,
8,96.5606,274.873,160.346,0.351292,57.4077,38.5756,5.81985,41.2866,28.7613,28.138,30.0021,41.3155,3.56627,27.7427,26.8331,3.4652,79.1112,24.2073,23.5144,21.2573,79.6157,2.54421,10.9849,1.16981,0.0129525,0.338509,0.378133,12.3952,3.22883,0.320122,0.562241,
9,96.5606,285.741,245.837,0.33793,57.6582,36.5916,5.71231,48.1304,28.0582,30.0355,27.7756,48.0933,3.68622,28.1111,24.6522,3.6187,120.987,23.3726,24.7417,21.4008,120.56,2.44178,10.9849,1.16981,0.0129525,0.338509,0.378133,3.1161,3.22883,0.320122,0.562241,
10,96.5606,339.972,484.4,0.284025,57.0275,33.5115,5.55223,78.7067,26.5333,28.0919,28.9138,78.0464,3.58841,27.7217,23.649,3.44156,237.854,22.8735,23.2385,20.7361,234.088,2.51148,10.9849,1.16981,0.0129525,0.338509,0.378133,12.3952,3.22883,0.320122,0.562241,
11,96.5606,261.322,140.644,0.369508,57.0058,34.6409,5.65334,38.4771,26.6029,28.2563,28.613,38.497,3.57589,27.9376,25.7804,3.58333,79.1182,23.001,23.1239,20.819,80.8218,2.4899,10.9849,0.605134,0.0129525,0.338509,0.378133,12.3952,3.20973,0.320122,0.562241,
12,96.5606,263.206,242.664,0.366863,56.018,35.6702,5.43738,40.5942,25.6993,29.2694,26.2537,40.5387,3.72541,27.8044,31.4212,3.50591,107.47,22.6486,23.0422,20.3946,107.329,2.57222,7.7579,1.01177,0.0129525,0.338509,0.378133,9.63428,3.22883,0.320122,0.562241,
13,96.5606,254.676,136.315,0.37915,54.262,36.9536,5.36245,38.0451,25.6484,27.1254,25.4377,38.0601,3.7815,26.2281,31.6699,3.52308,58.3998,23.0458,16.5735,18.8647,58.6377,2.60331,10.9849,1.01177,0.0129525,0.338509,0.224437,12.3952,3.22883,0.338608,0.562241,
14,96.5606,241.47,109.422,0.399886,54.6018,33.4531,5.04017,33.7861,24.5512,27.3989,25.0765,33.797,3.76546,27.0906,28.0878,3.46742,52.3897,20.5399,16.4131,20.2098,53.0914,2.48659,9.85146,1.01177,0.0129525,0.338509,0.224437,12.2631,3.22883,0.338608,0.562241,
15,96.5606,261.243,167.526,0.36962,54.0877,32.9366,5.14007,45.3647,23.1502,27.2734,24.407,45.3905,3.49256,26.5114,26.0386,3.54197,78.6246,22.1284,16.3383,18.7571,81.4889,2.3803,6.20428,1.01177,0.0129525,0.338509,0.224437,12.3952,3.16248,0.338608,0.613934,
16,96.5606,235.041,113.334,0.410825,54.0058,32.0816,4.99167,34.0933,21.239,28.6034,22.2359,34.1007,3.68936,25.0113,24.0408,3.45546,58.4721,19.9322,16.4082,17.8868,58.5952,2.54319,9.85146,1.01177,0.0129525,0.338509,0.224437,12.3952,3.07833,0.230665,0.613934,
17,96.5606,296.785,431.818,0.325355,53.6952,30.4817,5.02447,65.9197,21.7512,29.1572,21.64,65.4443,3.67165,26.886,23.2757,3.59778,211.884,21.7668,18.7677,16.9394,207.91,2.62213,9.85146,1.01177,0.0129525,0.338509,0.224437,12.3952,2.57607,0.230665,0.613934,
18,96.5606,250.367,200.527,0.385677,51.4383,28.9524,4.81884,45.7655,19.9298,28.1858,21.8119,45.7585,3.7056,26.4115,22.7621,3.43499,106.743,18.9032,16.0528,16.8105,106.611,2.49681,9.85146,0.642706,0.0129525,0.338509,0.224437,12.3487,3.22883,0.230665,0.613934,
19,96.5606,236.33,147.148,0.408584,50.7067,28.8711,4.63166,38.3298,21.2878,28.6214,21.8258,38.3383,3.71732,26.5126,25.4759,3.41003,72.8658,19.1997,16.0362,18.0844,73.5491,2.45953,9.85146,1.01177,0.0129525,0.338509,0.224437,12.3952,3.22883,0.230665,0.652944,
20,96.5606,232.012,131.849,0.416188,50.7332,28.9901,4.59565,37.1274,20.104,28.5742,20.612,37.1414,4.13396,26.5722,20.3889,3.35673,66.8712,19.5928,15.8443,15.731,67.0056,2.75332,9.85146,0.595769,0.0129525,0.338509,0.224437,12.4248,3.12141,0.230665,0.652944,
21,96.5606,227.204,126.379,0.424994,52.5751,27.5527,4.65891,34.9635,19.1086,28.4873,21.2176,34.9778,3.66265,29.079,19.2307,3.25927,59.1368,18.7726,16.0078,15.4984,59.4832,2.48448,9.85146,1.01177,0.0129525,0.338509,0.172104,12.4248,3.12141,0.230665,0.652944,
22,96.5606,244.891,171.033,0.3943,50.322,26.3547,4.73223,45.8441,19.3656,28.1482,20.4865,45.8785,3.75929,28.3178,18.1049,3.42787,84.0202,18.725,15.4899,14.4954,85.7883,2.48543,7.91065,1.01177,0.0129525,0.338509,0.172104,13.4198,3.12141,0.230665,0.652944,
23,96.5606,212.315,100.656,0.454799,51.882,26.8086,4.79915,27.696,19.7781,28.6934,21.2977,27.6969,3.66281,30.1399,18.1615,3.32311,44.4897,19.4366,18.5314,14.332,48.1749,2.44978,9.66962,1.01177,0.0129525,0.338509,0.172104,13.4198,3.22883,0.230665,0.652944,
24,96.5606,242.758,287.785,0.397765,47.4867,25.8888,4.79798,46.4747,20.2455,28.0102,19.9297,46.2807,3.64359,25.8792,18.5681,3.50783,143.168,20.992,15.114,14.1253,142.001,2.38563,9.66962,1.01177,0.0129525,0.338509,0.172104,13.4198,3.22883,0.230665,0.652944,
25,96.5606,270.53,336.676,0.356931,47.8396,25.9722,4.6315,60.1138,20.2561,27.8502,20.271,59.903,3.69274,25.7717,17.7004,3.37276,162.544,22.1558,15.1406,14.1315,161.65,2.46234,9.66962,1.01177,0.0129525,0.338509,0.172104,13.4198,3.22883,0.230665,0.613108,
26,96.5606,220.635,149.686,0.437649,48.8642,25.1522,4.81384,34.6552,19.5824,27.4535,21.6687,34.6666,3.7781,27.6847,17.6588,3.42542,76.4323,20.2329,15.2314,15.7465,73.993,2.41622,9.66962,1.01177,0.0129525,0.338509,0.172104,12.8643,3.22883,0.230665,0.652944,
27,96.5606,232.223,304.857,0.415809,48.3013,25.8436,4.72289,40.8192,19.6175,27.0205,21.5437,40.5881,3.76634,26.5631,17.2815,3.30295,146.377,21.4597,15.2874,13.2772,144.75,2.53766,9.66962,1.01177,0.0129525,0.338509,0.172104,13.4198,3.22883,0.230665,0.585588,
28,96.5606,239.494,210.716,0.403186,46.5722,26.5299,4.78561,44.1145,21.0313,26.9679,21.4045,44.1271,3.96088,25.2096,19.5172,3.31066,97.6273,23.5761,14.2759,14.3727,97.9205,2.63053,6.58053,1.01177,0.0129525,0.338509,0.172104,10.8989,3.22883,0.230665,0.585588,
29,96.5606,218.871,145.66,0.441177,51.5456,23.9401,4.59233,35.1916,17.4877,26.597,20.7224,35.1995,3.59442,52.1167,16.7502,3.16622,70.4141,18.5521,13.682,12.4379,69.7165,2.38565,9.66962,1.01177,0.0129525,0.338509,0.172104,14.4668,3.22883,0.230665,0.585588,
30,92.9093,194.151,174.578,0.47854,44.9765,22.9452,4.40514,26.1685,18.339,26.4024,20.9923,26.1362,3.78629,23.9322,16.333,3.15376,84.1777,21.3056,13.6315,13.0528,83.7619,2.45738,9.66962,1.01177,0.0129525,0.338509,0.172104,9.67974,3.22883,0.230665,0.585588,
31,92.9093,199.915,115.062,0.464744,45.8333,21.8593,4.43261,30.7297,15.8479,25.8674,20.8494,30.7352,3.76017,25.3667,14.8544,3.22383,54.0358,17.0325,12.7947,12.6548,55.1512,2.30733,9.66962,1.01177,0.0129525,0.338509,0.172104,14.4668,3.22883,0.230665,0.585588,
32,92.9093,220.981,206.794,0.420441,46.1443,21.0341,4.318,42.0325,15.1437,26.4143,20.0286,42.0376,3.82789,26.3434,15.3553,3.34251,96.3384,16.0007,12.896,13.1771,97.2165,2.43434,4.50208,1.01177,0.0129525,0.338509,0.172104,10.4222,3.22883,0.230665,0.585588,
33,92.9093,200.969,273.454,0.462307,45.0637,21.6039,4.11064,33.244,14.783,27.2555,18.1458,33.0183,3.74395,23.552,14.5919,3.34304,136.122,15.0962,12.3512,12.5962,133.838,2.35415,6.19232,1.01177,0.0129525,0.338509,0.150388,14.4668,3.20639,0.230665,0.585588,
34,92.9093,201.313,116.106,0.461517,43.4791,21.066,4.01589,34.5536,15.1033,26.6038,18.2267,34.561,3.70319,23.8025,14.5048,3.15828,56.5004,13.8631,10.7507,12.0038,56.9751,2.2656,6.19232,1.01177,0.0129525,0.338509,0.150388,14.4668,3.20639,0.230665,0.585588,
35,92.9093,196.648,188.826,0.472464,42.3358,21.4047,4.01211,33.212,14.3364,25.8789,18.656,33.1882,3.62423,23.542,14.9138,3.29,88.5187,14.2178,8.98373,12.5407,88.3414,2.37667,6.19232,1.01177,0.0129525,0.338509,0.150388,9.39287,3.20639,0.230665,0.585588,
36,92.9093,195.203,197.743,0.475963,43.5936,22.3224,3.83883,31.586,14.4251,25.2531,18.9132,31.5479,3.72251,23.374,16.102,3.09646,90.3098,13.1145,7.60008,12.3695,89.8484,2.38091,5.44003,1.01177,0.0129525,0.338509,0.150388,9.80463,3.20639,0.230665,0.585588,
37,78.7205,191.018,116.712,0.412111,41.9163,22.0938,4.00911,30.7926,13.2379,25.4825,19.1046,30.7857,3.59514,23.5165,16.4965,3.30733,56.9436,13.1854,7.7238,12.5073,57.0794,2.3057,5.44003,1.16495,0.0129525,0.338509,0.150388,14.4668,3.20639,0.230665,0.585588,
38,78.7205,188.532,113.397,0.417545,40.8678,21.1498,3.84919,30.9885,13.1752,25.4492,18.2385,30.988,3.82553,21.3743,14.7324,3.09328,56.8215,12.4271,7.4632,11.7417,56.8864,2.38789,5.44003,1.16495,0.0129525,0.338509,0.150388,14.4668,3.20639,0.230665,0.585588,
39,78.7205,204.951,275.493,0.384095,41.7277,23.5803,3.77234,37.3674,13.3879,25.4358,18.5857,37.2274,3.86623,27.1759,22.6932,3.07527,127.067,13.0975,7.59839,12.8773,125.795,2.44842,5.44003,1.16495,0.0129525,0.338509,0.150388,13.6581,3.20639,0.230665,0.585588,
40,78.7205,167.094,68.562,0.471115,38.6894,20.7269,3.72085,22.5639,12.3298,25.4268,17.4785,22.5481,3.60968,22.0407,15.112,2.95492,34.8813,12.1188,6.96712,11.409,37.1195,2.36679,3.3024,1.16495,0.0129525,0.338509,0.150388,14.4668,3.20639,0.230665,0.585588,
41,78.7205,172.365,84.7282,0.456707,36.4248,20.572,3.75537,26.2679,12.69,24.7693,17.875,26.2577,3.75323,20.8337,15.0373,2.99156,41.7783,10.7811,6.31139,11.0757,42.0466,2.3605,3.3024,1.16495,0.0737144,0.338509,0.172104,14.4668,3.20639,0.230665,0.551548,
42,78.7205,206.841,334.822,0.380584,38.2782,21.8959,3.77725,41.2275,12.461,26.4731,17.9571,40.9856,3.78573,23.6461,16.4678,2.99779,157.943,11.8589,19.0165,12.425,156.878,2.54071,3.3024,1.16981,0.0986188,0.338509,0.172104,8.73007,3.20639,0.230665,0.585588,
43,78.7205,212.958,389.845,0.369653,35.6758,20.6166,3.63859,47.3896,11.793,24.5045,18.4327,46.8888,4.01839,20.953,15.1881,2.62471,190.334,10.8474,6.48681,10.9866,185.439,2.41901,3.3024,0.602357,0.0986188,0.338509,0.172104,14.4668,3.20639,0.230665,0.585588,
44,78.7205,177.319,121.116,0.443948,32.9465,21.7542,3.66258,30.518,11.2169,25.1652,17.7489,30.5131,3.79368,20.5565,17.5492,2.76572,63.9836,10.0398,6.57614,13.0727,63.9608,2.5254,3.3024,1.16981,0.0986188,0.338509,0.172104,13.3576,3.15359,0.230665,0.585588,
45,78.7205,159.368,62.8796,0.493954,34.0839,19.4697,3.89266,21.3811,11.9991,25.9851,17.2936,21.3614,3.90142,18.2489,14.745,2.97751,29.5227,11.1178,12.1935,11.2221,31.0433,2.32506,3.3024,1.16981,0.0986188,0.338509,0.172104,14.4668,3.20639,0.230665,0.585588,
46,78.7205,167.278,98.2304,0.470597,32.4524,19.1029,3.75152,25.612,12.9328,26.1506,17.7334,25.6008,3.94145,18.1467,15.0974,2.88081,46.1284,13.9142,17.9043,10.8126,46.4666,2.389,3.3024,1.16981,0.0986188,0.338509,0.172104,14.4668,3.20639,0.230665,0.585588,
47,78.7205,181.47,290.873,0.433793,33.4001,18.1084,3.67555,33.9943,12.5774,25.1007,16.8938,33.7691,3.95075,18.859,13.7231,2.762,141.652,13.8649,6.41249,10.8188,139.604,2.34684,3.3024,1.16981,0.0986188,0.338509,0.172104,13.746,3.20639,0.230665,0.585588,
48,78.7205,177.037,218.003,0.444656,31.9525,20.3343,3.72192,31.1457,12.7906,24.8712,17.4127,31.0912,3.71675,21.2,18.1551,2.91625,93.5053,11.8507,6.11747,11.9403,93.6124,2.42937,3.3024,1.16981,0.0986188,0.338509,0.172104,10.3047,3.20639,0.230665,0.530355,
49,78.7205,173.48,201.187,0.453772,33.3022,20.5258,3.65883,28.8377,12.5749,25.4562,16.3927,28.7831,3.94875,24.7837,17.7627,2.77301,87.3485,12.1465,6.21329,13.0313,86.7457,2.70625,3.3024,1.16981,0.0986188,0.338509,0.172104,10.9064,3.20639,0.230665,0.585588,
50,78.7205,159.039,109.934,0.494975,33.0874,19.9141,3.89143,20.2106,11.347,29.922,16.7705,20.1877,3.70856,20.9031,17.3253,3.05047,31.4466,10.7482,60.473,12.2619,31.873,2.52058,3.3024,1.16981,0.0986188,0.338509,0.172104,12.35,3.20639,0.230665,0.585588,
51,78.7205,201.135,394.003,0.391382,31.5305,18.1841,3.51694,46.2112,11.1669,24.9719,16.1664,45.7117,3.67544,19.0445,13.6226,2.8742,190.657,9.85727,7.42461,9.63291,187.522,2.33809,2.05881,0.95888,0.0986188,0.338509,0.146093,15.2174,3.20639,0.230665,0.585588,
52,78.7205,146.401,54.6148,0.537706,32.1463,19.8262,3.5755,17.7193,10.68,24.873,15.8651,17.6909,4.02437,16.5437,16.6815,2.71015,33.4086,9.18288,5.23058,9.03203,36.0394,2.73638,3.3024,1.16981,0.0986188,0.338509,0.172104,15.2174,2.61921,0.230665,0.585588,
53,78.7205,171.336,287.948,0.45945,30.6901,18.2063,3.68223,31.2458,11.4827,25.1932,15.9306,30.9812,3.92408,19.6524,14.6598,2.94007,138.934,12.1311,5.81762,9.72346,135.051,2.45373,3.3024,1.16981,0.0713996,0.338509,0.172104,15.2174,3.205,0.230665,0.585588,
54,78.7205,158.284,185.694,0.497338,29.6157,17.8371,3.64163,26.1109,10.6075,24.8462,15.7462,26.0377,3.84083,15.4581,19.5732,2.94662,84.3915,9.62245,5.17021,8.92613,83.7513,2.31293,3.3024,0.775896,0.0986188,0.379521,0.172104,12.4453,3.20639,0.230665,0.585588,
55,78.7205,153.438,274.704,0.513044,29.3236,16.8875,3.48516,24.5558,10.6211,24.9685,15.1856,24.2717,4.1393,15.9142,12.8311,2.85182,133.166,9.9348,4.84915,8.15446,130.178,2.47737,3.3024,1.16981,0.0986188,0.329698,0.172104,15.5721,3.20639,0.23008,0.600101,
56,61.1317,179.763,357.916,0.340068,31.2067,17.3985,3.68982,32.1654,11.0131,33.0667,15.3818,31.8443,3.99645,24.178,17.0957,3.00126,157.51,12.673,93.2305,8.92475,154.911,2.39419,3.3024,1.35016,0.0986188,0.329698,0.166469,9.64731,3.20639,0.23008,0.600101,
57,61.1317,147.426,181.01,0.414661,28.2913,16.0982,3.51135,23.1398,9.20173,24.4875,15.3902,23.0891,4.2166,17.5239,12.5366,3.03231,82.974,8.51559,9.55387,8.3181,84.108,2.44891,3.3024,1.35016,0.0986188,0.137744,0.113696,9.29754,3.20639,0.0418968,0.600101,
58,61.1317,172.078,336.904,0.355256,27.774,15.7794,3.57281,35.2988,11.067,24.5913,15.0564,35.0542,3.88389,19.3244,12.3291,2.94792,155.874,16.3555,4.3531,8.29554,154.45,2.28418,3.3024,1.35016,0.0986188,0.137744,0.166469,9.63779,3.20639,0.0418968,0.600101,
59,61.1317,122.631,30.2588,0.498501,27.7196,14.5613,3.54174,12.1645,8.84935,24.9796,14.7748,12.1196,3.92044,17.1854,12.0809,2.74918,9.97918,8.09193,4.6681,7.28519,25.108,2.16222,3.3024,1.35016,0.0986188,0.137744,0.166469,17.535,3.20639,0.0418968,0.600101,
60,61.1317,157.758,193.55,0.387502,28.409,13.0639,3.53452,29.8103,8.9418,24.9433,15.4306,29.7673,3.8575,19.7464,10.957,2.88221,87.8535,8.91107,6.29986,8.71288,88.025,1.99134,3.3024,1.35016,0.0986188,0.137744,0.166469,9.8397,3.20639,0.0418968,0.600101,
61,61.1317,122.839,40.3103,0.497655,25.3525,13.9984,3.30271,14.3152,8.76212,24.9957,13.8749,14.2691,3.96881,12.2528,11.6616,2.62807,18.8848,7.96053,3.86934,5.84326,24.4844,2.16878,3.3024,1.35016,0.0986188,0.137744,0.166469,17.535,3.20639,0.0418968,0.600101,
62,61.1317,128.545,180.065,0.475566,25.5578,12.6404,3.35047,18.3233,7.74154,24.7184,14.2343,18.2542,3.7247,16.3064,10.6939,2.8049,82.5491,6.89007,3.70186,6.95391,82.4257,1.94433,3.3024,1.27533,0.0986188,0.137744,0.166469,9.37635,3.20639,0.0418968,0.600101,
63,61.1317,113.732,29.8655,0.537505,24.5115,11.7991,3.19856,11.6486,8.56183,24.4974,14.1631,11.6098,3.74246,11.1638,9.84214,2.6143,15.5016,11.005,3.03941,4.79237,15.5365,1.86364,3.3024,1.35016,0.0986188,0.137744,0.166469,17.535,3.20639,0.0418968,0.726632,
64,61.1317,115.407,50.9959,0.529704,24.5389,12.6412,3.21482,12.0873,7.61172,24.5693,14.9753,12.049,3.71969,17.9016,14.703,2.58304,11.7325,8.95282,3.7106,9.47377,11.7997,1.80219,2.3694,1.35789,0.0986188,0.137744,0.166469,12.8723,3.20639,0.0418968,0.726632,
65,61.1317,113.103,43.3016,0.540496,22.9604,10.7957,3.26113,13.517,6.97098,24.6334,13.7499,13.4783,3.73607,10.8608,9.08696,2.47005,21.1273,5.91185,2.93081,5.04318,21.2367,1.6927,2.74762,1.35789,0.0986188,0.137744,0.166469,17.535,3.20639,0.0418968,0.726632,
66,61.1317,124.238,186.969,0.492054,24.2596,9.78238,3.39794,18.0328,8.03595,24.4242,14.7292,17.9654,3.61032,17.3707,8.363,2.53407,83.5089,7.73449,3.13547,10.2017,83.6151,1.77342,3.3024,1.35789,0.0986188,0.137744,0.166469,9.61358,3.22883,0.0418968,0.726632,
67,61.1317,133.114,239.339,0.459242,24.5774,10.9575,3.22464,21.7481,8.02665,24.1891,15.2315,21.666,3.49334,20.78,14.7169,2.45241,102.651,9.34029,3.10152,10.5225,102.253,1.63832,3.3024,1.35789,0.0308809,0.137744,0.166469,9.58989,3.22883,0.0418968,0.70302,
68,61.1317,115.221,184.814,0.530559,22.3678,9.89012,3.13801,15.485,7.03628,24.1821,14.276,15.406,3.44002,14.6998,9.55912,2.43788,80.9505,6.52807,2.24749,5.82509,80.8549,1.58663,3.3024,1.35789,0.0308809,0.137744,0.166469,10.3387,3.22883,0.0418968,0.726632,
69,61.1317,135.106,248.68,0.452471,23.1995,10.5613,3.34048,23.7947,7.61774,23.9362,15.3255,23.6967,3.63408,20.2521,16.9262,2.5575,105.156,9.13741,2.58611,9.79866,105.045,1.80069,3.3024,1.35789,0.0308809,0.137744,0.166469,11.47,3.22883,0.0418968,0.726632,
70,60.5026,99.5238,22.8275,0.607921,21.3991,8.71649,2.91907,9.06731,6.68759,24.2263,14.0221,9.01195,3.47394,10.8329,7.41657,2.19704,9.70013,5.41939,1.9218,3.98402,17.6309,1.43048,3.3024,1.34999,0.0308809,0.137744,0.166469,18.4796,3.22883,0.0418968,0.726632,
71,60.5026,126.251,278.528,0.479226,21.518,9.16062,3.32224,21.5019,6.71877,24.2826,15.0414,21.2383,3.46678,16.8261,8.39443,2.54286,133.784,5.27702,3.21707,9.3646,132.282,1.42734,3.3024,1.35789,0.0308809,0.137744,0.166469,12.3334,3.22883,0.0418968,0.726632,
72,60.5026,131.91,335.812,0.458667,20.8285,9.32175,3.3556,24.5636,7.57731,24.0301,14.3899,24.2449,3.59795,16.0479,16.3062,2.42415,153.242,10.5218,2.03084,4.8775,150.582,1.40929,3.3024,1.35789,0.0308809,0.137744,0.166469,12.6363,3.22883,0.0418968,0.726632,
73,60.5026,115.895,157.157,0.522048,21.4085,8.77328,3.25425,16.7501,6.70866,24.8132,14.0404,16.6884,3.45784,15.8031,9.18272,2.35115,70.8844,5.37143,5.8002,4.65326,70.724,1.39706,3.3024,1.35789,0.0308809,0.137744,0.166469,18.4796,3.22883,0.0418968,0.726632,
74,60.5026,119.076,279.596,0.5081,19.5197,8.50929,3.23537,19.7566,6.44957,24.1072,14.5125,19.4871,3.49868,12.6802,7.59308,2.38896,133.142,5.25684,2.17369,7.87032,130.745,1.62447,1.73093,1.35789,0.0308809,0.137744,0.114437,12.1218,3.22883,0.0418968,0.694775,
75,60.5026,94.5169,36.6352,0.640124,18.9083,9.26923,2.99469,7.39505,6.58116,24.1718,14.3695,7.32948,3.49773,12.7706,12.5847,2.17776,14.2068,5.3979,1.68307,7.49994,13.8235,1.39314,1.73093,1.35789,0.0308809,0.137744,0.114437,13.09,3.22883,0.0418968,0.694775,
76,55.7798,123.929,257.437,0.450093,20.0387,8.89106,2.85645,21.4327,7.23569,24.0481,14.6159,21.3455,3.46527,20.4826,13.2034,2.28474,107.902,11.3302,2.12421,7.6828,109.608,1.47082,1.73093,1.35789,0.0137911,0.137744,0.114437,8.66375,3.85017,0.0418968,0.520563,
77,55.7798,240.634,1560.25,0.231804,135.331,7.99218,2.85812,22.4722,7.46572,24.216,14.4347,22.3947,3.46868,1434.28,6.48242,2.50675,103.705,14.2313,3.2353,5.69618,103.555,1.24677,1.73093,1.35789,0.0137911,0.137744,0.114437,9.36865,5.64596,0.0418968,0.694775,
78,55.7798,107.433,201.412,0.519206,17.5708,8.71377,2.58849,15.5658,5.92871,24.1605,13.9849,15.4791,3.44079,119.282,12.9107,2.00222,85.535,6.08116,1.64211,4.22306,84.7223,1.23614,1.73093,1.35789,0.0137911,0.137744,0.114437,9.625,5.64596,0.0418968,0.694775,
79,55.7798,120.538,323.315,0.462758,16.4379,7.61638,2.61929,23.5956,5.4124,24.1466,14.0308,23.2812,3.39737,14.742,8.49839,1.94348,152.221,4.92866,1.44217,4.40613,149.041,1.14586,1.73093,1.35789,0.0137911,0.38312,0.114437,11.13,5.64596,0.195878,0.694775,
80,55.7798,110.906,338.66,0.502944,43.013,6.74755,2.40977,6.28312,4.99676,24.189,13.7464,6.20705,3.31375,338.27,5.25021,1.8693,5.43538,4.30882,0.856096,2.02955,17.6314,0.995193,1.73093,1.35789,0.0137911,0.38312,0.114437,19.3672,8.82993,0.195878,0.694775,
81,55.7798,93.2173,122.359,0.598384,16.6023,7.81238,2.50738,9.69566,4.79255,24.0215,14.8001,9.60548,3.37995,32.0029,13.2069,2.09637,49.4972,4.38382,1.49635,9.06788,49.5621,0.986161,1.73093,1.51768,0.0137911,0.279809,0.114437,12.3445,8.82993,0.165577,0.435535,
82,55.7798,103.344,281.318,0.539749,15.4229,6.79444,2.61848,15.7121,5.40434,24.0574,14.4612,15.4082,3.46487,14.7123,6.14291,2.05974,132.038,8.64323,1.35971,8.02614,129.714,1.1238,1.73093,1.51768,0.0137911,0.247572,0.114437,12.3487,8.82993,0.142054,0.694775,
83,53.4326,118.647,344.827,0.45035,14.8392,6.93837,2.50388,23.1688,5.82447,24.6528,14.4032,22.8121,3.504,15.6314,9.84303,2.07385,158.259,15.2056,7.39387,5.81084,155.772,0.895565,1.73093,1.54269,0.0137911,0.247572,0.114437,8.85519,8.82993,0.142054,0.923412,
84,53.4326,87.3876,137.733,0.611444,13.6218,6.35334,2.52123,9.58176,4.20886,24.1171,13.9014,9.48809,3.594,13.4753,7.46741,1.80176,57.4922,4.41728,1.18196,2.58911,59.0739,1.05896,1.73093,1.54269,0.0137911,0.247572,0.114437,14.2146,10.8452,0.103604,1.19942,
85,53.4326,137.537,441.436,0.388498,14.0053,7.69785,2.40965,33.6514,4.9688,24.126,14.0396,32.9908,3.64719,14.6524,17.3332,1.98252,204.995,10.7728,1.11891,3.14022,202.057,1.15252,1.73093,1.54269,0.0137911,0.247572,0.114437,13.4891,11.6906,0.103604,0.912585,
