Individual,Roll.rear.camber_angle_gain_roll_l,Roll.rear.side_view_swing_arm_angle_l,2in Heave.rear.p_rod_length_l,2in Heave.rear.tie_rod_angle_top_view_l,2in Heave.rear.roll_center_gnd.z,2in Heave.rear.coil_over_length_l,2in Heave.rear.side_view_swing_arm_angle_l,2in Heave.rear.motion_ratio_heave_l,2in Heave.rear.toe_angle_l,
0,7.72846,0.959771,0,5.65276,655.919,46.7327,2.33684,0.44665,1.56357,
1,7.72609,0.961011,0,5.65226,655.918,46.7921,2.33777,0.392052,1.56279,
2,7.72361,0.961009,0,5.65202,655.923,46.7242,2.33687,0.457242,1.5655,
3,7.72997,0.954606,0,5.65349,655.902,46.7479,2.34036,0.440664,1.5741,
4,7.72375,0.95888,0,5.65277,655.912,46.7639,2.34262,0.423734,1.5658,
5,7.7205,0.952186,0,5.65201,655.927,46.7437,2.33555,0.447215,1.56911,
6,7.72803,0.955601,0,5.65289,655.92,46.7356,2.34248,0.44695,1.56569,
7,7.71519,0.959664,0,5.65113,655.942,46.7407,2.34095,0.434857,1.56335,
8,7.72677,0.969526,0,5.6545,655.913,46.7474,2.33866,0.433715,1.56389,
9,7.72755,0.964483,0,5.65359,655.928,46.7455,2.33304,0.434732,1.56064,
10,7.7192,0.95485,0,5.6521,655.937,46.776,2.34511,0.401586,1.56355,
11,7.7235,0.969356,0,5.65293,655.908,46.7525,2.33985,0.439427,1.56426,
12,7.72517,0.960391,0,5.65366,655.932,46.7603,2.33871,0.417649,1.56343,
13,7.71949,0.957203,0,5.65211,655.92,46.7601,2.34627,0.431924,1.56435,
14,7.71738,0.960194,0,5.65233,655.909,46.7362,2.35263,0.448158,1.5764,
15,7.74244,0.953302,0,5.65103,655.91,46.7583,2.33893,0.430182,1.56843,
16,7.7329,0.95702,0,5.65285,655.914,46.7298,2.33732,0.461991,1.56709,
17,7.73249,0.96458,0,5.65147,655.925,46.7331,2.33532,0.447322,1.56452,
18,7.73889,0.954885,0,5.65362,655.908,46.7167,2.3452,0.465865,1.57093,
19,7.72681,0.96663,0,5.65246,655.926,46.7317,2.33834,0.449342,1.56292,
20,7.7252,0.957532,0,5.65197,655.923,46.7358,2.34641,0.449324,1.56506,
21,7.7175,0.959327,0,5.65309,655.951,46.7411,2.32161,0.43687,1.57391,
22,7.72186,0.957637,0,5.65279,655.929,46.7685,2.33256,0.416463,1.57663,
23,7.73142,0.95382,0,5.65315,655.912,46.788,2.3421,0.407276,1.56843,
24,7.72829,0.957289,0,5.65234,655.903,46.7313,2.34301,0.471319,1.56919,
25,7.74103,0.953013,0,5.65329,655.918,46.7415,2.34094,0.432916,1.57517,
26,7.71582,0.96188,0,5.65091,655.935,46.7213,2.34478,0.46395,1.56282,
27,7.72437,0.953313,0,5.65293,655.922,46.7494,2.34093,0.426282,1.5883,
28,7.73006,0.964669,0,5.65188,655.921,46.7087,2.33352,0.484056,1.5637,
29,7.70797,0.96005,0,5.65328,655.937,46.7321,2.35541,0.446149,1.56615,
30,7.71404,0.952576,0,5.6531,655.94,46.7158,2.34097,0.467607,1.57383,
31,7.71514,0.960361,0,5.6537,655.96,46.7385,2.3244,0.442804,1.56361,
32,7.7382,0.959569,0,5.65087,655.921,46.7423,2.34166,0.434267,1.57068,
33,7.71962,0.960462,0,5.65201,655.931,46.75,2.35141,0.430126,1.56375,
34,7.72389,0.980868,0,5.65468,655.925,46.7413,2.34297,0.431705,1.55944,
35,7.73077,0.954666,0,5.65157,655.917,46.724,2.34521,0.456494,1.58083,
