Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.roll_center.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.mechanical_trail_l.avg,Roll.front.camber_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Roll.front.camber_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.roll_center.z.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.mechanical_trail_l.best,Roll.front.camber_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
0,54.5433,467.144,191.862,0.116759,1.38968,6.9514,353.264,2.10607,24.8247,0.435914,24.732,10.7903,1.34753,17.7871,17.7472,3.65625,2.11188,1.50576,8.35824,325.419,1.50318,34.7078,0.468362,21.0842,11.2395,1.69176,25.5235,25.3233,4.27633,2.67274,0.0455208,0.627068,23.5943,0.0305215,0.0916775,0.163693,2.15464,7.60839,0.114192,0.0625287,0.0340964,0.442523,0.201351,
1,54.5433,386.4,141.911,0.141157,1.48079,3.70039,252.964,2.14143,17.2007,0.345416,28.2799,9.71622,1.77417,31.9377,31.9023,3.01759,1.94001,0.604987,4.07326,106.306,1.0517,17.7047,0.165316,18.4974,2.41592,1.61832,51.2154,51.2174,2.05716,1.27955,0.0455208,0.574851,23.5943,0.0305215,0.0916775,0.0991656,2.15464,7.60839,0.0843142,0.0625287,0.0340964,0.442523,0.0412222,
2,54.5433,350.736,106.215,0.155511,1.41096,3.08722,230.497,2.25856,16.0078,0.305756,27.3029,9.87608,1.66279,26.5596,26.5188,3.2639,1.9842,0.636788,2.14837,73.8951,1.11271,11.6007,0.121042,17.2166,2.08753,1.56358,32.0639,31.4354,2.12165,1.11801,0.0455208,0.242422,23.5943,0.0305215,0.0916775,0.0977274,2.15464,7.76829,0.0575978,0.0625287,0.0340964,0.442523,0.0412222,
3,54.5433,295.597,64.4861,0.184519,1.22601,3.138,170.605,1.91668,13.1427,0.224765,29.1484,10.5483,1.95575,29.5946,29.5333,2.60533,1.95782,0.647952,2.04909,70.8357,1.2273,11.3825,0.132798,19.1088,3.37188,1.55087,30.8494,31.1251,1.92698,1.16835,0.0455208,0.627068,18.0418,0.0305215,0.0916775,0.0126098,2.15464,5.09144,0.120274,0.0968869,0.0340964,0.237771,0.0412222,
4,54.5433,286.455,72.3488,0.190408,1.17413,3.2095,158.853,1.65773,11.5289,0.185889,32.0688,10.6435,2.09545,30.3385,30.3208,2.64298,1.73535,0.652785,2.20648,49.7317,1.37775,7.80096,0.120413,21.7486,2.38604,1.60205,27.037,27.0837,1.77788,0.953395,0.120656,0.231971,23.5943,0.0305215,0.0916775,0.00806382,2.15464,7.20473,0.0578957,0.129848,0.101361,0.237771,0.0412222,
5,54.5433,285.496,81.961,0.191048,1.14868,3.48894,156.897,1.483,9.15205,0.180571,29.3226,10.6883,2.27051,33.1658,33.1219,2.96155,1.61499,0.620081,2.32819,44.9605,1.31434,6.76655,0.115377,19.8703,2.49282,1.74865,31.5,31.9795,2.18265,0.777558,0.120656,0.144654,23.5943,0.0257824,0.0916775,0.00849985,1.86688,5.23344,0.0578957,0.129848,0.101361,0.237771,0.270027,
6,54.5433,253.514,59.4251,0.215149,1.19648,3.65287,138.225,1.18465,9.0341,0.15545,28.5965,11.6798,1.97476,26.5405,26.5169,3.07642,1.68097,0.63297,2.25819,45.7641,1.16102,6.17066,0.109286,17.4366,3.89461,1.43876,22.3786,22.7567,2.2147,0.783691,0.120656,0.198695,23.5943,0.0257824,0.0916775,0.00849985,2.15464,8.09833,0.0578957,0.129848,0.101361,0.237771,0.328547,
7,54.5433,248.003,81.9559,0.21993,1.33616,4.04406,132.677,1.29416,8.76124,0.159279,26.2305,11.8212,2.10224,27.6404,27.5729,2.95613,1.4077,0.60528,2.43265,66.1029,1.3696,5.51406,0.119012,17.0899,3.82733,1.74493,20.2626,20.4963,2.29307,0.671535,0.222885,0.26775,23.5943,0.0257824,0.0916775,0.00849985,1.59778,6.40201,0.0578957,0.129848,0.101361,0.237771,0.192105,
8,54.5433,222.476,45.8528,0.245165,1.46614,3.75172,124.16,1.36073,8.5785,0.159136,18.2786,12.1896,1.99803,23.1485,23.113,2.86929,1.40288,0.586732,2.50053,36.7692,1.34797,4.90525,0.0948909,13.7484,3.67791,1.46238,18.5014,17.9902,2.27851,0.654148,0.222885,0.26775,23.5943,0.0257824,0.0916775,0.00849985,0.137129,9.37574,0.0578957,0.129848,0.101361,0.237771,0.211988,
9,54.5433,240.936,168.008,0.226381,1.32052,3.43867,108.362,1.33054,11.1519,0.171933,20.0008,13.731,2.44168,37.4198,37.3749,2.77377,1.41849,0.554807,2.62854,69.6393,1.3923,9.0176,0.160474,21.0456,5.45173,1.77127,51.0077,49.1079,2.1357,0.860709,0.415293,0.149608,22.1495,0.0257824,0.0916775,0.0111453,0.137129,9.37574,0.0578957,0.129848,0.101361,0.237771,0.211988,
