Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.side_view_swing_arm_angle_l.avg,Heave.rear.p_rod_length_l.avg,Heave.rear.coil_over_length_l.avg,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.toe_angle_l.avg,Heave.rear.roll_center_gnd.z.avg,Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Heave.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.p_rod_length_l.std_dev,Heave.rear.coil_over_length_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.toe_angle_l.std_dev,Heave.rear.roll_center_gnd.z.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.best,Heave.rear.p_rod_length_l.best,Heave.rear.coil_over_length_l.best,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.toe_angle_l.best,Heave.rear.roll_center_gnd.z.best,Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,
130,1284.53,2619.4,2876.14,0.49039,135.949,0,462.152,7.51135,120.589,1624.39,128.32,126.933,13.5581,351.691,0,993.124,1.85904,323.712,1012.48,216.211,333.527,27.095,1.76535,0,8.68931,0.756616,4.26394,1211.74,37.2425,0.766043,2.23509,
131,1284.41,2339.53,2379.25,0.549004,88.1666,0,360.779,7.39916,95.9334,1566.18,122.588,85.1593,13.3231,258.817,0,815.919,1.67164,252.483,953.457,205.033,254.399,27.0686,1.75526,0,8.68931,1.06408,8.47308,1211.74,37.5218,0.766043,2.85215,
132,1284.41,3250.58,3300.93,0.395133,218.117,0,535.141,7.4212,242.129,1896.3,115.209,214.375,21.89,408.195,0,1085.26,1.82681,449.87,1234.54,182.653,399.579,34.8614,1.74847,0,1.60574,0.788508,8.78699,1211.74,37.4697,0.766043,2.85215,
133,1284.4,2039.9,2022.43,0.629637,104.853,0,242.872,7.5565,77.9424,1391.25,103.109,103.459,8.85631,310.102,0,772.91,1.76477,248.586,709.795,201.549,299.412,20.8518,1.74847,0,8.68931,0.357752,11.6819,1211.74,37.3217,0.738801,2.85215,
134,1284.37,2050.76,1815.95,0.626291,107.333,0,291.513,7.54159,110.66,1354.08,69.4655,102.835,7.32981,294.687,0,682.55,1.6018,267.543,400.544,90.369,292.37,12.7833,1.73766,0,8.72268,0.8988,12.1363,1211.76,37.5543,0.721177,2.85209,
135,1284.37,2552.11,2801.87,0.50326,163.375,0,374.25,7.97831,151.322,1563.47,117.904,160.636,13.1684,413.797,0,874.996,1.82942,340.02,822.589,178.246,411.708,25.4793,1.73766,0,8.72268,0.657372,3.55063,1211.76,37.5543,0.721177,2.85209,
136,1278.43,2782.71,2717.25,0.459417,152.883,0,442.332,7.95898,139.183,1751.86,119.119,151.963,17.4069,333.47,0,913.455,2.23603,360.647,1070.05,183.329,332.081,32.0844,1.73766,0,8.50847,0.50136,6.55229,1211.76,29.4526,0.721177,2.85209,
137,1278.43,3045.61,2699.31,0.41976,178.772,0,553.952,7.18222,145.327,1813.08,152.351,174.287,20.656,339.337,0,850.123,2.41495,290.71,1158.99,234.91,337.822,34.1873,1.73766,0,8.72268,0.247036,2.55807,1192.84,6.21754,0.721177,2.85209,
138,1278.43,2334.89,2431.24,0.547531,132.221,0,250.883,7.37175,153.018,1564.25,85.6603,128.688,12.7962,335.101,0,714.663,1.9251,343.294,988.423,155.7,329.472,27.9584,1.73766,0,8.72268,1.51636,11.8265,1211.76,29.4526,0.721177,2.85209,
139,1278.43,2564.13,2850.37,0.49858,142.399,0,399.26,7.16534,146.061,1620.79,92.9191,141.991,13.5431,368.967,0,863.067,1.97048,416.152,1111.31,142.671,371.872,27.8074,1.74847,0,8.83826,1.38264,5.66897,1211.69,29.4526,0.770536,2.85218,
140,1278.43,2583.49,2536.14,0.494845,109.617,0,532.036,7.62032,179.117,1532.21,94.5444,115.885,12.4554,264.666,0,1008.96,1.926,491.583,768.391,161.302,276.928,22.8671,1.74847,0,6.04189,0.949432,12.1704,1211.69,24.5365,0.770536,2.85201,
141,1278.38,1981.47,2135.56,0.64517,89.4703,0,227.79,7.38555,63.6378,1404.87,91.3381,87.9208,9.05591,284.191,0,747.974,1.60799,215.975,700.673,172.241,284.21,21.1374,1.76291,0,6.04189,0.993721,12.1077,1211.69,29.324,0.762137,2.85227,
142,1278.38,2374.31,2767.35,0.538422,124.541,0,389.708,7.89971,113.235,1528.24,77.1844,121.639,11.8692,344.378,0,983.107,1.54721,345.473,826.707,108.661,338.237,22.5476,1.76291,0,6.04189,2.88789,5.33735,1211.64,29.324,0.762137,2.85227,
143,1277.66,2805.12,2909.82,0.455476,198.101,0,494.735,7.37975,99.8923,1673.78,116.523,196.799,17.9139,390.388,0,977.064,1.86425,274.05,906.104,190.98,395.726,28.9007,1.76291,0,6.04189,0.784722,12.1077,1211.6,27.1638,0.762137,2.85227,
144,1276.68,2407.03,2441.38,0.530394,113.887,0,419.234,7.21039,97.6091,1533.32,111.448,111.549,12.7778,298.598,0,969.094,1.80233,235.462,808.299,218.763,297.221,24.0032,1.76291,0,5.3476,0.670811,12.1158,1211.6,25.6639,0.762137,2.85227,
145,1276.68,2260.87,2569.48,0.564683,93.7633,0,280.417,7.85265,129.883,1539.17,107.39,90.7646,11.6291,235.69,0,790.241,1.8924,393.153,1006.37,187.887,229.273,23.6987,1.76291,0,5.3476,2.83974,5.72666,1211.6,25.6639,0.762137,2.85227,
146,1276.6,2742.95,3101,0.465411,152.086,0,525.176,7.06014,139.246,1674.19,83.4737,146.353,15.3619,344.187,0,1068.51,2.14447,323.452,1036.01,135.033,324.373,28.0258,1.76291,0,1.29586,0.728657,11.1206,1211.6,24.0423,0.762137,2.85209,
147,1276.17,2103.44,2162.67,0.606708,94.7661,0,360.822,7.32804,97.0273,1374.18,68.6271,92.4715,8.21139,288.667,0,972.202,1.49414,216.387,657.961,98.9772,284.007,19.6339,1.71976,0,1.29586,0.841418,12.0114,1211.6,24.0423,0.721915,2.85209,
