Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,2in Heave.front.motion_ratio_heave_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_top_view_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,2in Heave.front.rocker_coil_over_angle_l.avg,2in Heave.front.rocker_p_rod_angle_l.avg,2in Heave.front.p_rod_length_l.avg,2in Heave.front.coil_over_length_l.avg,2in Heave.front.tie_rod_angle_top_view_l.avg,2in Heave.front.toe_angle_l.avg,2in Heave.front.side_view_swing_arm_angle_l.avg,2in Heave.front.roll_center_gnd.z.avg,2in Heave.front.motion_ratio_heave_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_top_view_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,2in Heave.front.rocker_coil_over_angle_l.std_dev,2in Heave.front.rocker_p_rod_angle_l.std_dev,2in Heave.front.p_rod_length_l.std_dev,2in Heave.front.coil_over_length_l.std_dev,2in Heave.front.tie_rod_angle_top_view_l.std_dev,2in Heave.front.toe_angle_l.std_dev,2in Heave.front.side_view_swing_arm_angle_l.std_dev,2in Heave.front.roll_center_gnd.z.std_dev,2in Heave.front.motion_ratio_heave_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_top_view_l.best,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,2in Heave.front.rocker_coil_over_angle_l.best,2in Heave.front.rocker_p_rod_angle_l.best,2in Heave.front.p_rod_length_l.best,2in Heave.front.coil_over_length_l.best,2in Heave.front.tie_rod_angle_top_view_l.best,2in Heave.front.toe_angle_l.best,2in Heave.front.side_view_swing_arm_angle_l.best,2in Heave.front.roll_center_gnd.z.best,
119,213.234,457.765,1114.75,0.465816,65.4689,47.645,15.3761,34.658,3.4077,22.0979,6.19991,30.5469,29.8844,0,63.3626,2.9654,6.56981,48.0229,81.5595,19.6287,286.67,31.0129,5.04388,2.80047,45.1024,3.14273,81.5629,108.671,0,208.006,2.93273,24.1053,286.791,282.752,40.0225,0.54778,4.07488,7.37372,0.830669,13.091,5.44,2.25913,0.837594,0,24.5921,0.207701,1.17266,1.22298,31.0638,
120,210.361,480.91,1275.35,0.437422,63.2546,56.4858,16.2709,34.2252,3.44728,19.2287,6.33015,32.8872,22.3242,0,66.523,3.02005,6.01485,57.0331,93.8651,15.8341,359.642,35.1266,5.18246,2.75512,26.8364,3.63017,104.286,55.5214,0,221.511,2.92016,13.5613,361.156,320.386,40.0225,0.532652,4.07488,3.65388,0.853245,13.091,5.44,2.25913,0.837594,0,25.7718,0.233475,1.17266,1.14211,31.0638,
121,210.361,283.59,434.591,0.741776,62.0884,6.28208,12.2057,35.0233,3.06135,18.0299,5.85018,26.2452,16.9053,0,34.2564,2.59655,5.79508,6.64508,48.6059,22.7072,52.2644,12.4245,2.27829,1.22175,31.785,1.91678,89.6963,35.1562,0,43.9131,1.23491,18.6784,52.4181,176.176,44.1664,0.532652,4.07488,14.0915,0.933365,13.091,5.43418,1.72292,0.837594,0,25.7718,0.326173,1.17266,1.14211,31.0638,
122,210.361,530.943,1521.62,0.396202,64.4409,60.9289,17.8789,34.8524,3.4242,23.3221,6.05566,52.0735,64.6236,0,65.1469,2.98031,9.03254,61.6437,64.5393,33.0389,391.428,37.8053,3.73915,1.88678,48.9134,2.53665,287.847,421.761,0,210.021,1.90673,28.9238,386.893,182.429,44.1664,0.532652,3.92241,7.98881,0.933365,13.091,0.967357,1.72292,0.837594,0,25.7718,0.346835,1.2056,1.14211,31.0638,
123,206.988,339.553,755.061,0.609588,65.1123,23.4294,16.1407,35.3011,3.53739,19.1114,5.82862,25.2912,16.673,0,48.9889,3.10223,5.65275,23.7796,47.6048,55.3342,183.575,37.5893,4.79604,3.54688,30.4768,1.29569,74.4944,52.8061,0,131.618,3.70764,12.4736,183.565,132.787,9.22353,0.54778,2.84507,7.03367,0.933365,13.091,5.4657,1.72292,0.837594,0,25.7718,0.346835,1.2056,1.14211,31.0638,
124,206.988,451.487,1681.57,0.458457,65.7442,25.5717,12.6746,38.9675,3.22774,20.4903,6.14875,56.0991,70.9279,0,45.8057,2.78702,4.99363,25.9426,72.1063,43.2605,206.619,12.7251,42.8662,1.78855,38.6581,3.02742,397.662,572.388,0,87.0023,1.91547,6.70851,206.659,254.511,44.1664,0.596611,4.07488,9.16332,0.933365,13.091,5.46049,1.72292,0.837594,0,26.0162,0.346835,1.2056,1.14211,31.0545,
125,206.988,407.647,1226.15,0.507762,59.4876,57.9808,11.579,34.7731,3.14228,17.8815,5.78545,24.6627,21.7439,0,52.8373,2.68687,4.98162,58.6563,51.4484,17.7208,383.439,10.1316,5.16144,1.13025,27.7884,1.56728,77.0747,90.9265,0,153.919,1.16613,5.5463,382.339,159.549,35.2634,0.596611,4.07488,9.11355,0.705877,13.091,3.94685,1.72292,0.837594,0,26.0162,0.0538948,1.2056,1.14211,31.0545,
126,206.988,423.504,1132.86,0.48875,60.0619,37.171,12.1273,41.0571,3.39548,18.4235,6.09173,21.3977,21.4311,0,88.3803,2.96874,5.14796,37.7739,68.0758,23.7068,318.393,11.1125,48.5228,1.72146,24.0225,2.73946,44.3785,51.6636,0,297.566,1.843,5.69947,322.186,218.811,39.6937,0.596611,4.07488,9.46228,0.933365,13.091,5.46049,1.72292,0.837594,0,26.0162,0.346835,1.19174,1.14211,31.0545,
127,206.988,345.461,886.62,0.599163,60.0216,26.9804,12.3471,35.0867,3.26041,20.9082,5.79474,18.9431,15.2929,0,63.8044,2.81441,6.96648,27.3541,45.8864,35.9258,202.545,13.2293,6.71471,1.66083,45.8314,1.39059,32.2119,31.1397,0,233.643,1.75003,27.2001,203.107,144.672,39.6937,0.596611,3.83531,7.84461,0.933365,13.1812,5.14393,1.72292,0.837594,0,26.7819,0.346835,1.19174,1.14211,31.0545,
128,206.988,459.452,1246.25,0.45051,60.2014,69.7821,14.5411,41.2864,3.43707,18.0478,5.905,36.191,28.0727,0,45.8201,2.99799,6.0945,70.6964,56.3782,29.9976,451.84,25.5647,63.4204,1.81188,24.5888,1.68037,137.221,104.746,0,75.854,1.874,14.8277,450.166,122.647,38.9846,0.596611,3.83531,9.43405,0.622184,13.1812,5.31242,1.72292,0.837594,0,27.2805,0.287869,1.18872,1.14211,31.0638,
