Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,2in Heave.front.motion_ratio_heave_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_top_view_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,2in Heave.front.rocker_coil_over_angle_l.avg,2in Heave.front.rocker_p_rod_angle_l.avg,2in Heave.front.p_rod_length_l.avg,2in Heave.front.coil_over_length_l.avg,2in Heave.front.tie_rod_angle_top_view_l.avg,2in Heave.front.toe_angle_l.avg,2in Heave.front.side_view_swing_arm_angle_l.avg,2in Heave.front.roll_center_gnd.z.avg,2in Heave.front.motion_ratio_heave_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_top_view_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,2in Heave.front.rocker_coil_over_angle_l.std_dev,2in Heave.front.rocker_p_rod_angle_l.std_dev,2in Heave.front.p_rod_length_l.std_dev,2in Heave.front.coil_over_length_l.std_dev,2in Heave.front.tie_rod_angle_top_view_l.std_dev,2in Heave.front.toe_angle_l.std_dev,2in Heave.front.side_view_swing_arm_angle_l.std_dev,2in Heave.front.roll_center_gnd.z.std_dev,2in Heave.front.motion_ratio_heave_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_top_view_l.best,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,2in Heave.front.rocker_coil_over_angle_l.best,2in Heave.front.rocker_p_rod_angle_l.best,2in Heave.front.p_rod_length_l.best,2in Heave.front.coil_over_length_l.best,2in Heave.front.tie_rod_angle_top_view_l.best,2in Heave.front.toe_angle_l.best,2in Heave.front.side_view_swing_arm_angle_l.best,2in Heave.front.roll_center_gnd.z.best,
0,477.439,3345.31,2654.38,0.142719,118.68,57.5432,139.544,33.2442,6.0388,131.563,13.6176,499.949,536.398,0,679.482,5.78364,68.9147,57.5496,997.006,198.884,71.736,166.39,88.233,7.48191,162.092,16.1394,954.088,1749.7,2.02975e-05,652.869,6.98597,70.2332,65.3981,938.979,2.97714,0.890408,1.12755,10.6837,1.09937,12.7125,0.242081,0.000377273,0.000434748,0,28.9641,0.0732994,2.1083,2.12166,31.8725,
1,477.439,2937.65,1396.63,0.162524,120.646,170.198,137.833,32.6763,5.45739,140.375,10.3866,353.203,419.27,0,518.033,5.17878,63.3069,170.161,790.929,90.1821,322.385,86.2006,70.6436,3.66963,101.076,7.84394,348.698,620.98,0,367.649,3.90781,46.5582,289.516,588.709,2.97714,0.890408,1.12755,10.2667,0.90432,12.6819,0.242081,0.000377273,0.000434748,0,28.9641,0.0732994,2.1083,2.12166,31.8725,
2,477.439,2974.82,1519.74,0.160493,129.33,160.993,139.749,30.2434,5.05267,129.368,8.77848,356.564,547.632,0,532.469,4.68799,62.0539,160.951,706.948,163.206,289.981,82.8303,63.3512,3.59968,101.374,6.88614,321.683,837.518,0,356.07,3.77323,48.3154,291.492,469.431,2.97714,0.890408,1.12755,7.58292,1.09937,12.6819,0.092218,0.000377273,0.000434748,0,28.9641,0.0732994,1.68005,2.12166,31.8725,
3,477.439,2805.33,1455.21,0.17019,113.98,172.527,137.597,30.6458,5.38399,117.569,7.90448,328.814,496.556,0,504.179,5.00728,58.2888,172.474,654.401,70.9336,270.599,81.0001,63.182,3.5617,90.6867,6.00485,360.961,845.563,0,324.527,3.73698,45.6675,267.144,434.189,2.97714,0.890408,1.12755,10.8656,1.09937,12.6819,0.242081,0.000377273,0.000434748,0,28.9641,0.0732994,1.68005,2.12166,31.8725,
4,477.439,2792.11,1346.12,0.170996,141.884,162.937,135.963,32.998,5.00023,126.406,7.43341,363.344,513.348,0,478.441,4.63649,59.9815,162.906,596.827,264.022,236.175,81.2052,64.1131,3.23124,93.9414,5.29043,386.78,610.492,0,303.974,3.52881,45.9479,238.207,405.925,2.97714,0.890408,1.12755,11.3762,1.03813,12.6819,0.242081,0.000377273,0.000434748,0,28.9641,0.0732994,1.68005,2.12166,31.2994,
5,477.439,2959.35,1919.03,0.161332,122.451,237.465,127.162,33.5766,4.99705,120.828,7.31449,369.678,579.546,0,474.062,4.65172,57.9617,237.521,582.138,128.022,380.3,82.1993,64.8809,3.36158,89.3347,5.3936,472.127,1092.45,0,332.754,3.55746,46.0004,356.12,401.968,2.97714,0.890408,1.12755,10.637,0.993702,12.6819,0.0177236,0.000377273,0.000434748,0,28.9641,0.0732994,1.68005,2.12166,31.8725,
6,477.439,2795.45,1455.36,0.170791,117.59,179.128,135.117,36.3204,4.9083,123.288,6.95321,373.333,561.843,0,475.108,4.56876,58.6482,179.118,539.53,70.3676,266.669,79.4048,65.8977,3.21922,90.1402,5.15451,367.987,794.913,0,298.029,3.41455,48.1211,275.662,387.069,2.97714,0.890408,1.12755,11.3762,1.09937,12.5259,0.17707,0.000377273,0.000434748,0,28.9641,0.0732994,1.68005,2.12166,31.8725,
7,477.439,2750.61,1543.36,0.173576,155.952,184.927,127.797,36.8923,4.86556,118.534,6.69999,347.542,597.26,0,410.546,4.56665,55.8934,184.909,514.225,320.362,267.365,78.4044,65.8746,3.12714,88.254,5.22085,339.204,898.328,0,281.223,3.28337,45.2841,265.643,380.927,2.97714,0.890408,1.12755,11.3762,0.891066,12.6819,0.164105,0.000377273,0.000434748,0,28.9641,0.0732994,1.68005,2.12166,31.8725,
8,477.439,2763.18,1676.54,0.172786,139.935,190.802,131.335,37.3749,4.82386,111.553,6.52445,353.96,643.948,0,417.022,4.47459,58.4871,190.928,472.012,140.804,307.781,83.7795,64.78,3.24,85.5215,4.90421,387.191,1104.82,0,269.407,3.47286,46.6102,307.545,377.686,2.97714,0.890408,1.12755,0.927218,0.891066,12.406,0.133939,0.000377273,0.000434748,0,20.2886,0.0732994,2.1083,2.12166,31.8725,
9,477.439,2802.6,2509.23,0.170356,253.592,194.312,125.825,38.6453,5.02707,118.969,5.7929,351.356,611.421,0,406.825,4.64869,60.2236,194.313,431.652,1300.51,277.758,79.7676,65.2663,3.17567,87.0641,4.57849,364.244,922.948,0,263.949,3.3514,48.4792,277.248,331.087,2.97714,0.890408,20.9866,11.3762,0.891066,12.6819,0.0613735,0.000377273,0.000434748,0,20.2886,0.0732994,2.1083,2.12166,31.8725,
10,477.439,2679.35,1764.08,0.178192,193.622,222.089,128.587,48.0536,4.6981,116.397,5.8986,337.976,550.563,0,365.211,4.35157,56.6841,222.153,423.067,543.557,361.411,79.0724,119.038,3.1313,86.8009,4.51647,397.882,848.174,0,253.125,3.37007,45.2616,362.995,333.123,2.97714,0.890408,8.81317,4.32154,0.891066,12.6819,0.0678629,0.000377273,0.000434748,0,20.2886,0.0732994,1.32839,2.12166,31.8725,
11,477.439,2442.67,1228.09,0.195458,145.143,180.625,124.707,39.0643,5.02858,118.435,6.36595,291.515,466.909,0,402.753,4.67382,57.8328,180.635,418.978,121.359,262.249,75.2779,63.871,3.22661,90.9302,4.91078,339.632,647.631,0,285.49,3.42058,47.4941,262.103,365.299,2.97714,0.890408,20.9866,11.2556,1.09937,12.6819,0.14171,0.000377273,0.000434748,0,20.2886,0.0732994,1.32839,2.12166,27.6527,
12,477.439,2582.41,2183.77,0.184881,142.836,149.238,119.484,253.349,5.00995,117.679,6.31912,301.657,527.363,0,357.757,4.57693,60.437,149.332,387.375,79.8918,191.445,70.2589,1873.85,3.13954,90.1648,4.81243,261.257,600.815,0,272.615,3.26197,52.0293,191.422,310.44,2.97714,0.890408,20.9866,11.3762,1.09937,12.7125,0.069994,0.000377273,0.000434748,0,20.2886,0.0732994,1.32839,2.12166,30.7797,
13,477.439,2315,1022.78,0.206237,141.903,157.689,107.94,40.8728,4.77722,117.074,5.96091,275.775,496.601,0,366.98,4.36776,57.5189,157.722,379.817,76.9322,226.947,73.5764,214.74,2.72642,87.1638,3.91376,247.513,601.669,0,261.318,2.83429,45.8781,225.379,299.352,2.97714,0.890408,1.29671,13.5274,1.09937,11.972,0.0792971,0.000377273,0.000434748,0,18.67,0.0732994,1.32839,2.12166,30.7797,
14,477.439,2410.03,1143.22,0.198105,148.369,180.129,111.128,52.825,4.73055,117.889,5.91267,306.061,517.806,0,365.588,4.34309,56.6858,180.112,358.456,80.2181,244.89,72.6458,114.367,2.88256,88.4579,3.84235,274.848,554.244,0,259.862,3.02392,46.6317,243.659,273.352,2.97714,0.890408,9.68182,13.4713,0.669505,12.7125,0.0792971,0.000377273,0.000434748,0,20.2886,0.0732994,1.32839,2.12166,30.7797,
15,477.439,2357.84,1120.32,0.20249,148.992,177.978,119.076,55.8233,4.77353,121.054,6.21192,268.113,472.854,0,388.587,4.32197,60.4732,178.009,351.57,87.0005,235.913,72.4546,101.674,2.80503,86.5183,3.93714,273.851,588.223,0,252.449,2.95764,45.919,236.285,259.531,2.97714,0.890408,1.76226,13.5823,1.09937,12.7125,0.0792971,0.000377273,0.000434748,0,20.2886,0.0732994,1.32839,2.12166,31.8725,
16,477.439,2366.85,1220.53,0.201719,135.851,182.932,112.69,41.4525,4.73643,113.268,5.66867,304.915,528.887,0,327.532,4.29793,56.4294,182.922,365.267,84.7493,242.898,68.3219,65.6216,2.84704,87.9971,3.85385,304.306,665.235,0,234.55,2.96644,45.1638,242.481,263.991,2.97714,0.890408,11.2121,13.5823,1.09937,12.7125,0.0792971,0.000377273,0.000434748,0,20.2886,0.0732994,1.28751,2.12166,31.8725,
17,477.439,2600.27,2251.17,0.183611,145.63,134.78,112.698,131.998,4.5267,107.541,5.93037,370.766,726.661,0,351.493,4.18637,55.3718,134.845,313.84,105.948,156.472,65.6366,884.604,2.90225,88.4446,3.58087,503.727,1398.31,0,253.829,3.04088,48.5247,157.181,263.306,2.97714,0.886819,20.9866,13.5823,1.09937,12.2157,0.0792971,0.000377273,0.000434748,0,20.2886,0.0732994,1.32839,0.861581,31.8725,
18,477.439,2393.68,1976.7,0.199458,276.837,194.904,115.301,36.0974,4.61484,116.31,6.04263,234.503,421.236,0,380.005,4.18227,59.3242,194.914,349.411,1286.53,286.165,67.2914,98.6105,2.88937,96.4811,3.90899,250.767,589.716,0,284.01,2.98776,49.667,271.907,291.74,2.97714,1.69524,4.11459,10.7762,1.16412,12.7125,0.0792971,0.000377273,0.000434748,0,14.8011,0.0732994,1.32839,2.53513,31.8725,
19,477.439,2355.57,1330.52,0.202685,162.541,193.482,112.717,35.5445,4.65237,107.454,5.74895,305.749,495.943,0,360.993,4.28551,55.4992,193.537,317.428,222.071,313.841,65.7795,20.9915,2.81621,90.4208,3.54971,367.418,612.683,0,275.25,2.96512,47.2769,313.87,282.2,2.97714,1.69524,20.9866,9.14164,0.708272,11.362,0.0792971,0.000377273,0.000434748,0,20.2886,0.0732994,1.32839,2.53513,31.8725,
20,477.439,2235.01,1383.65,0.213618,144.656,175.431,111.897,36.4625,4.40318,99.5624,5.39103,269.181,511.015,0,355.674,4.05613,51.4219,175.414,290.448,78.6503,211.194,66.6034,22.4487,2.78607,82.6606,3.41523,411.018,822.327,0,261.028,2.97546,46.3478,210.184,246.875,2.97714,1.69524,20.9866,13.5823,1.03143,12.7125,0.0792971,0.000377273,0.000434748,0,20.2886,0.0732994,1.32839,2.53513,31.8725,
21,477.439,2316.44,1237.81,0.206109,142.279,218.332,113.058,34.5801,4.39703,98.6997,6.01392,275.303,465.403,0,338.257,4.03448,52.7789,218.348,344.958,79.7982,308.578,73.6583,21.1373,2.90458,78.7428,4.14853,271.827,472.665,0,245.925,3.05094,44.7021,308.414,316.134,2.97714,1.69524,7.13769,9.82997,1.06753,12.7125,0.0792971,0.000377273,0.000434748,0,20.2886,0.0732994,1.32839,2.53513,31.8725,
22,477.439,2284.45,1218.1,0.208995,157.698,168.542,111.313,36.0341,4.62841,94.587,5.46975,280.805,583.928,0,343.559,4.27564,49.9985,168.546,275.069,86.6032,190.845,72.1269,20.0116,2.74119,80.8954,3.22784,276.605,762.75,0,251.951,2.90589,45.4049,200.322,256.913,2.97714,1.69524,20.9866,13.5823,1.16412,12.7125,0.0792971,0.000377273,0.000434748,0,20.2886,0.0732994,1.32839,2.53513,31.8725,
23,477.439,2236.17,1113.9,0.213507,146.789,186.766,101.29,34.316,4.50606,97.4696,5.60069,280.487,498.562,0,336.1,4.16446,47.699,186.772,305.649,79.2708,240.008,66.7532,20.3247,2.71773,83.1225,3.20455,274.116,552.836,0,235.704,2.83465,44.5908,235.178,273.401,2.97714,1.69524,8.55268,13.5823,0.973271,12.7125,0.0792971,0.000377273,0.000434748,0,20.2886,0.0732994,1.31047,2.53513,31.8725,
24,477.439,3476.23,9090.03,0.137344,1019.2,169.444,105.14,36.501,4.32672,97.8291,5.72582,424.644,794.526,0,329.465,3.9857,50.7976,169.467,265.172,8411.2,225.722,64.8155,20.305,2.63837,79.7397,3.1396,641.79,1165.88,0,242.201,2.80299,43.2586,225.493,263.138,2.97714,1.69524,20.9866,10.5838,0.951613,12.7125,0.0792971,0.000377273,0.000434748,0,20.2886,0.0732994,1.32839,2.53513,30.9304,
25,477.439,2283.15,1329.79,0.209114,149.307,189.74,110.312,38.6013,4.55885,94.928,5.93897,295.625,527.048,0,310.164,4.27798,47.6529,189.756,315.244,868.364,281.55,66.5722,36.4267,2.87774,82.4668,4.14813,328.149,675.152,0,240.37,3.01378,44.1047,279.171,323.003,2.97714,1.69524,20.9866,7.56001,1.16412,12.7125,0.0792971,0.000377273,0.000434748,0,15.2149,0.0732994,1.32839,2.53513,31.8725,
26,477.439,2331.29,2229.97,0.204796,157.978,189.906,113.021,46.6381,4.81333,91.7107,6.38293,312.976,532.972,0,337.972,4.53297,48.5616,190.297,293.531,87.0382,397.711,71.3088,61.509,3.60971,83.1434,4.04813,712.298,1215.72,0,263.142,3.76442,46.3457,400.071,287.967,2.97714,1.69524,13.4896,8.18978,1.16412,12.6271,0.0792971,0.000377273,0.000434748,0,20.2886,0.0732994,1.32839,2.53513,31.8725,
27,477.439,2224.48,1153.14,0.21463,147.755,185.554,102.933,72.6278,4.42822,101.844,6.17819,241.992,472.38,0,324.592,4.04246,52.6062,185.599,321.946,77.0502,287.609,67.0169,340.463,2.77635,84.8978,3.93907,229.716,556.854,0,269.098,2.94079,46.0433,288.324,299.626,2.97714,1.69524,4.46191,9.23243,0.991681,12.7125,0.0670928,0.000377273,0.000434748,0,20.2886,0.0732994,1.32839,2.53513,31.8725,
28,477.439,2267,1380.07,0.210603,173.862,157.321,103.823,40.1014,4.23678,95.6961,5.78981,292.516,600.748,0,321.891,3.87591,49.7216,157.342,260.08,137.203,174.829,66.0463,45.5184,2.8282,79.102,3.35774,341.698,839.952,0,251.488,2.98881,43.6732,177.685,255.413,2.97714,1.69524,7.39842,13.5823,0.933018,12.7125,0.0792971,0.000377273,0.000434748,0,18.4931,0.0732994,0.811914,2.53513,31.8725,
29,477.439,2089.26,1022.88,0.22852,152.079,148.08,108.356,39.0536,4.39524,98.368,5.92378,254.342,523.044,0,286.725,3.95864,50.2105,148.146,266.581,81.6223,208.33,66.2588,29.4934,2.77112,84.0059,3.20618,245.444,596.67,0,239.469,2.89642,46.1202,208.138,258.776,2.97714,0.633627,16.3427,13.5823,1.00469,12.7101,0.159971,0.000377273,0.000434748,0,20.2886,0.0732994,1.32839,0.901033,30.8019,
30,477.439,2296.78,2302.28,0.207873,169.674,175.992,112.23,41.0668,4.2912,103.338,6.02084,313.259,589.271,0,293.042,3.84225,53.2852,176.218,255.25,109.157,327.57,74.952,33.3304,2.87609,83.4255,3.44859,657.595,1481.45,0,220.51,3.06447,47.6423,325.846,270.355,9.06036,1.69524,20.9866,9.56033,1.00469,11.9669,0.428954,0.000377273,0.000434748,0,20.2886,0.0732994,1.32839,2.53513,31.8597,
31,477.439,2125.21,1328.38,0.224655,165.126,172.587,109.314,40.0751,3.90298,102.777,6.00689,248.216,503.504,0,287.222,3.44422,51.6101,172.656,258.765,75.4972,309.501,76.0422,32.9349,2.62485,83.9425,3.56968,271.403,655.749,0,221.584,2.76459,44.8841,310.124,275.531,9.06036,0.674659,2.59837,11.6313,0.916526,12.7125,0.428954,0.000377273,0.000434748,0,20.2886,0.0732994,0.802741,1.59927,31.8597,
32,477.439,2227.72,2130.74,0.214318,180.738,100.957,102.723,40.9715,4.2057,90.8406,5.95397,362.599,670.296,0,302.036,3.80452,44.9304,101.033,216.629,179.425,124.243,70.3695,28.9893,2.77808,77.1805,3.12652,807.576,1301.25,0,223.318,2.94904,42.1895,123.916,227.341,5.39696,1.69524,2.59837,13.5823,0.916526,12.7125,0.428954,0.000377273,0.000434748,0,20.2886,0.0732994,0.802741,2.53513,31.6426,
33,477.439,1877.7,810.294,0.254267,160.972,136.891,105.617,40.1203,3.99422,103.761,5.78489,222.102,393.043,0,288.013,3.55448,52.5618,136.95,224.34,76.0955,190.275,72.1401,27.4363,2.61215,82.0549,3.11956,264.375,523.968,0,217.612,2.7504,44.7205,181.233,225.866,5.39696,1.69524,2.59837,13.5823,0.916526,12.7125,0.428954,0.000377273,0.000434748,0,20.2886,0.0732994,0.802741,2.53513,31.6426,
34,477.439,2056.59,1240.74,0.23215,161.053,130.975,109.658,38.3771,3.73748,109.571,5.73565,258.803,547.421,0,258.895,3.27798,50.9448,131.037,247.107,76.7979,163.94,69.0811,22.4789,2.35117,85.2964,3.12024,284.946,777.567,0,204.829,2.54797,43.6305,165.149,241.128,5.39696,1.69524,2.59837,13.5823,0.916526,12.7125,0.329639,0.000377273,0.000434748,0,20.2886,0.0732994,0.802741,2.53513,31.6426,
35,477.439,2139.46,1899.06,0.223158,174.159,169.342,104.947,42.8019,3.77054,96.3316,6.1674,268.443,540.282,0,294.3,3.30786,46.8811,169.426,219.303,140.554,286.651,69.1036,34.1296,2.42291,76.0503,3.25021,370.934,1078.36,0,279.815,2.61607,41.5455,278.442,227.41,5.39696,0.647655,2.59837,13.5823,0.916526,12.7125,0.428954,0.000377273,0.000434748,0,20.2886,0.0183486,0.802741,1.36459,31.6426,
36,477.439,2136.55,2353.27,0.223463,170.546,133.174,102.84,44.5008,4.05582,91.2479,5.75311,325.313,603.712,0,266.198,3.55534,43.0236,133.232,209.393,78.9813,190.155,69.2076,69.7223,2.54121,73.7507,2.9744,795.778,1481.69,0,209.803,2.71863,38.6332,196.221,218.53,5.39696,0.647655,2.59837,14.6192,0.916526,12.7125,0.428954,0.000377273,0.000434748,0,18.3188,0.0732994,0.802741,1.36459,31.6426,
37,477.439,1871.28,871.567,0.255141,165.367,133.693,100.373,37.1409,3.77942,94.3431,5.64378,232.124,429.478,0,258.808,3.34273,45.5838,133.739,227.861,81.5583,171.923,71.0163,21.1893,2.49816,72.5759,2.88691,240.445,503.03,0,196.37,2.67271,38.6129,171.582,230.111,5.39696,0.647655,2.59837,14.2916,0.767699,12.7125,0.469275,0.000377273,0.000434748,0,20.2886,0.0732994,0.802741,1.36459,31.6426,
38,477.439,1762.72,932.726,0.270854,161.461,110.523,103.934,37.9083,3.7954,91.8557,5.56226,211.775,397.831,0,285.473,3.3941,43.9474,110.703,194.554,78.1038,218.616,69.0002,19.5979,2.53185,75.9133,2.85017,198.236,425.534,0,263.05,2.69124,41.3489,221.453,205.93,5.39696,0.647655,2.59837,1.40714,0.839775,12.2583,0.362202,0.000377273,0.000434748,0,20.2886,0.0732994,0.802741,1.36459,31.6426,
39,477.439,1855.32,1581.32,0.257335,244.838,146.376,98.4254,38.4187,3.87188,89.9676,5.74969,204.363,397.077,0,242.658,3.41402,40.7412,146.398,193.022,804.315,270.336,66.0898,24.437,3.40263,66.5113,3.07056,206.259,539.698,0,189.159,3.59379,34.5019,270.088,237.064,5.39696,0.647655,2.59837,6.45544,0.839775,12.2583,0.531472,0.000377273,0.000434748,0,20.2886,0.0732994,0.802741,1.36459,31.6426,
40,477.439,1812.81,1776.05,0.26337,174.297,108.406,96.2799,38.6975,3.64722,85.9722,5.46225,241.419,513.456,0,244.691,3.16388,41.4774,108.44,147.4,102.925,104.006,67.3334,20.2443,2.49126,68.8143,2.50165,512.596,1230.63,0,187.902,2.61833,36.3523,107.375,154.55,9.06036,0.647655,2.59837,14.6827,0.839775,12.2583,0.613377,0.000377273,0.000434748,0,20.2886,0.0732994,0.802741,1.36459,31.5302,
41,477.439,1574.25,719.721,0.30328,167.761,103.651,95.398,37.4395,3.47389,87.1258,5.4254,175.201,360.312,0,246.978,3.07954,40.2646,103.693,144.45,70.0667,112.19,66.3944,15.0568,2.19427,71.0859,2.41445,183.236,503.755,0,194.412,2.37765,36.3958,112.623,149.12,9.06036,0.647655,2.59837,14.6827,0.839775,12.2583,0.613377,0.000377273,0.000434748,0,20.0126,0.0732994,0.802741,1.36459,31.6426,
42,477.439,1683.57,981.609,0.283587,170.427,116.216,93.6341,38.3663,3.36838,89.6821,5.71577,193.254,388.527,0,241.038,2.93951,41.4664,116.257,182.68,72.3034,156.103,61.7342,20.2218,2.16189,75.7305,3.20582,229.649,515.222,0,196.733,2.32998,38.5331,154.451,223.01,9.06036,0.647655,2.59837,14.0673,0.746426,12.2583,0.138626,0.000377273,0.000434748,0,20.0126,0.0732994,0.802741,1.36459,31.6426,
43,477.439,1681.59,945.172,0.283921,177.08,113.409,90.563,38.4698,3.15445,87.3951,5.67672,196.504,438.589,0,225.992,2.76287,40.7023,113.453,147.836,75.2055,118.061,61.0781,15.2193,2.05286,70.4459,2.4384,223.24,594.116,0,183.64,2.26658,35.3354,118.512,149.762,9.06036,0.647655,2.59837,14.6827,0.746426,12.7125,0.613377,0.000377273,0.000434748,0,17.2127,0.0542796,0.802741,1.36459,31.6426,
44,477.439,1609.23,1134.94,0.296687,169.995,109.473,82.6493,37.2508,3.34485,83.7021,5.5949,183.948,387.885,0,232.572,2.95156,37.1307,109.548,163.188,72.7675,193.16,53.4209,15.4265,2.15581,67.1661,2.79252,247.637,499.014,0,202.884,2.36092,32.1683,193.277,194.754,9.06036,0.647655,2.59837,9.5258,0.839775,12.7125,0.613377,0.000377273,0.000434748,0,17.2127,0.0732994,0.802741,1.36459,31.6426,
45,477.439,1635.22,921.431,0.291972,174.583,97.82,82.5894,37.4412,3.2647,85.1725,5.25883,202.395,439.018,0,234.915,2.91174,37.5806,97.8828,134.388,74.2801,99.5107,49.4217,14.9116,2.05866,65.8442,2.39177,231.715,564.238,0,206.012,2.27462,32.1427,100.438,111.798,9.06036,0.647655,22.4179,17.4611,0.839775,12.7125,0.613377,0.000377273,0.000434748,0,13.2456,0.0732994,1.32839,1.36459,31.6426,
46,477.439,1661.45,1213.33,0.287362,165.072,115.847,77.639,42.4405,3.70341,85.3046,5.75694,196.565,421.375,0,241.069,3.31592,36.5904,115.949,150.827,68.0493,226.744,51.548,35.9157,2.4818,64.7621,2.836,231.269,564.964,0,241.787,2.54608,31.8179,226.987,155.312,9.06036,0.647655,22.4179,6.37588,0.839775,12.7125,0.197579,0.000377273,0.000434748,0,17.2127,0.0732994,1.32839,1.36459,31.2376,
47,477.439,1392.71,528.118,0.342813,166.017,82.8478,85.4559,35.701,3.43244,75.497,5.09562,166.125,311.69,0,215.817,2.9793,33.3003,82.9216,125.831,66.1014,82.4037,56.017,11.1439,2.30459,61.934,2.20155,178.158,358.386,0,178.356,2.44304,30.2562,82.5992,106.145,9.06036,0.647655,22.4179,17.4611,0.839775,12.7125,0.613377,0.000377273,0.000434748,0,17.2127,0.0732994,1.32839,1.36459,31.3998,
48,477.439,1668.17,1075.84,0.286206,171.573,100.41,84.6091,35.7736,3.28254,79.931,5.18522,200.303,473.201,0,233.025,2.86834,34.1475,100.468,143.39,65.217,121.168,55.5593,10.45,2.20503,64.252,2.26432,232.916,723.305,0,197.397,2.40456,28.0831,117.212,131.808,9.06036,0.647655,18.793,17.0943,0.781825,12.2072,0.121547,0.000377273,0.000434748,0,17.2127,0.0728572,1.43165,1.36459,31.3998,
49,477.439,1351.01,479.033,0.353393,162.925,76.7606,78.2281,35.4279,3.55568,74.9137,5.22518,154.344,310.354,0,206.694,3.09396,33.0161,76.8631,129.612,66.569,76.5664,54.5322,8.65256,2.5702,57.7133,2.53725,155.811,393.221,0,174.827,2.72726,28.3243,78.2737,126.475,9.06036,0.647655,9.28926,17.4611,0.839775,12.7125,0.613377,0.000377273,0.000434748,0,17.2127,0.0732994,1.43165,1.36459,31.3998,
50,477.439,1354.03,561.198,0.352606,173.502,85.115,83.4812,37.9552,3.5991,81.1654,5.23126,147.225,291.584,0,189.92,3.08963,37.084,85.2904,129.788,67.4218,94.5983,56.3368,20.2887,2.26026,70.0592,2.34225,132.309,301.272,0,143.641,2.34474,34.6045,93.1068,113.812,9.06036,0.647655,9.28926,17.4611,0.839775,11.6508,0.565468,0.000377273,0.000434748,0,20.0126,0.0732994,1.43165,1.36459,31.3998,
51,477.439,1398.22,783.378,0.341462,167.599,97.0236,79.1024,35.3031,3.5834,79.6858,5.17165,155.026,318.943,0,195.507,3.1348,34.5533,97.0808,126.506,66.7713,156.475,53.1967,9.36492,2.29447,69.578,2.0441,158.003,417.515,0,225.082,2.40837,30.6518,154.86,135.158,9.06036,0.647655,9.28926,11.3667,0.839775,11.6508,0.900428,0.000377273,0.000434748,0,17.6162,0.0732994,1.43165,1.36459,31.3998,
52,477.439,1465.18,1775.02,0.325857,162.565,80.6042,79.9833,35.6271,3.68161,76.7695,5.14933,228.037,368.201,0,195.17,3.21836,34.0303,80.679,111.465,70.7919,63.1449,57.2465,7.98365,2.31624,64.6973,1.94401,795.699,984.126,0,218.531,2.42196,30.5023,63.9423,97.4787,9.06036,0.647655,9.28926,17.4611,0.675493,11.6508,0.900428,0.000377273,0.000434748,0,20.0126,0.0485899,1.43165,1.36459,31.3998,
53,477.439,1309.23,621.243,0.364673,168.935,76.9769,77.5856,35.3317,3.64121,77.2568,5.53125,149.486,282.624,0,191.145,3.1541,33.7797,77.062,126.717,70.0916,64.7593,60.0958,7.81697,2.37635,64.8037,2.95111,158.981,328.663,0,215.755,2.48226,31.6713,64.7912,193.639,9.06036,0.647655,2.95713,11.3842,0.675493,11.6508,0.900428,0.000377273,0.000434748,0,20.0126,0.0732994,1.43165,1.36459,31.3136,
54,477.439,1313.47,737.478,0.363493,176.14,78.0972,79.4643,35.8708,3.52846,67.9325,5.23317,161.82,327.04,0,172.013,3.02908,30.9675,78.1596,94.1796,69.2438,71.0347,63.8247,7.23672,2.23397,59.3039,1.74272,174.843,521.398,0,122.565,2.26727,29.8573,70.7714,75.3223,9.06036,0.647655,6.59216,20.6616,0.580133,11.6508,1.16731,0.000377273,0.000434748,0,20.0126,0.0732994,1.43165,1.36459,31.1078,
55,477.439,1454.39,1378.62,0.328275,182.635,142.636,75.3349,35.9226,3.31668,69.4105,5.57389,162.068,291.808,0,196.223,2.83697,32.4665,143.482,110.675,104.128,436.426,57.8022,7.76127,2.19793,64.169,2.05705,167.142,354.159,0,172.288,2.24611,40.2996,432.536,140.338,9.06036,0.515826,3.03139,4.9592,0.561155,11.6508,1.306,0.000377273,0.000434748,0,20.0126,0.0732994,1.43165,1.18144,31.3644,
56,477.439,1263.52,659.741,0.377865,169.959,76.1006,80.7356,36.6225,3.41021,73.2508,5.37955,167.145,266.479,0,175.53,2.89791,34.1859,76.1739,95.6472,72.0189,90.5345,64.1936,7.79077,2.12477,69.4385,1.7821,233.228,373.348,0,148.187,2.15676,36.2763,90.5695,71.2808,9.06036,0.647655,9.28926,20.6616,0.561155,11.6508,1.25584,0.000377273,0.000434748,0,20.0126,0.0732994,1.43165,1.36459,31.3644,
