Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Roll.rear.camber_angle_gain_roll_l.avg,2in Heave.rear.p_rod_length_l.avg,2in Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.tie_rod_angle_top_view_l.avg,2in Heave.rear.roll_center_gnd.z.avg,2in Heave.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.coil_over_length_l.avg,2in Heave.rear.toe_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.std_dev,2in Heave.rear.p_rod_length_l.std_dev,2in Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.tie_rod_angle_top_view_l.std_dev,2in Heave.rear.roll_center_gnd.z.std_dev,2in Heave.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.coil_over_length_l.std_dev,2in Heave.rear.toe_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.best,2in Heave.rear.p_rod_length_l.best,2in Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.tie_rod_angle_top_view_l.best,2in Heave.rear.roll_center_gnd.z.best,2in Heave.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.coil_over_length_l.best,2in Heave.rear.toe_angle_l.best,
166,740.387,1512.43,5025.18,0.489535,11.2242,0,387.708,62.8951,6.01624,787.319,63.6806,123.603,69.982,17.614,0,4438.54,251.207,4.26954,562.516,252.59,278.5,265.967,2.68426,0,1.16968,0.899711,3.82227,656.596,1.37446,30.4797,0.923122,
167,740.387,1256.62,1920.69,0.589187,11.0089,0,154.197,63.8921,6.08055,763.841,64.4195,138.036,55.1496,17.1513,0,1022.01,235.806,4.62019,452.279,236.312,331.196,181.197,2.68426,0,1.16968,0.899711,3.8982,656.596,1.37446,30.4797,0.923122,
168,740.387,1163.61,1821.29,0.636286,9.78917,0,43.2691,61.5171,5.83987,794.715,62.6909,105.66,80.1269,13.2412,0,167.406,242.915,3.5684,730.521,247.885,229.032,359.736,2.68426,0,1.16968,0.899711,3.58281,656.596,1.37446,16.0357,0.923122,
169,740.387,1377.18,2779.72,0.537613,9.40199,0,207.761,88.359,6.05813,772.169,88.9856,126.819,77.6217,10.4647,0,1653.23,330.039,4.15426,642.845,331.432,285.909,332.572,2.68426,0,1.16968,0.753389,3.90398,656.596,1.37446,30.4797,0.923122,
170,740.387,1108.52,1241.39,0.667908,11.2286,0,74.7511,49.9681,6.08456,767.496,50.4549,113.288,35.2456,18.5089,0,382.699,169.645,4.64672,475.655,171.362,232.762,130.534,2.68426,0,1.16968,0.753389,3.80129,656.596,1.37446,30.4797,0.923122,
171,740.387,1326.99,2572,0.557946,11.4724,0,153.516,72.4709,6.0636,791.806,73.9251,142.673,75.0607,18.9005,0,1470.13,270.033,4.30806,547.015,268.786,334.685,270.552,2.68426,0,1.16968,0.753389,3.87656,656.596,1.37446,33.27,0.923122,
172,740.387,1190.83,2062.3,0.621739,9.5199,0,118.934,62.1854,5.62002,764.07,63.204,97.6154,69.6847,14.6597,0,768.135,270.584,3.10554,635.869,274.316,212.881,311.407,2.68426,0,1.16968,0.753389,3.5151,656.596,1.37446,33.27,0.923122,
173,740.387,1269.45,2670.52,0.583234,9.87834,0,148.497,65.2247,6.10701,799.169,66.0871,111.904,62.5847,16.2968,0,1456.8,295.19,4.21421,1020.11,299.043,243.504,348.47,2.68426,0,1.16968,0.753389,3.90398,656.596,1.37446,33.27,0.923122,
174,740.387,1104.66,1682.38,0.670242,9.49735,0,67.7928,53.5892,5.76245,759.117,54.1771,98.6753,56.0452,13.632,0,367.477,219.405,3.10102,645.701,222.724,223.545,276.456,2.68426,0,1.16968,0.753389,3.90398,656.596,1.37446,33.0385,0.923122,
175,740.387,1348.27,2623.51,0.549138,10.5911,0,206.836,77.0222,6.234,774.432,78.0198,133.016,62.1207,14.7273,0,1498.24,264.406,4.66748,549.088,262.995,305.058,253.137,2.68426,0,1.16968,0.753389,3.70228,656.596,1.37446,33.0385,0.923122,
