Individual,Heave.front.toe_angle_l,Heave.front.tie_rod_angle_top_view_l,Heave.front.side_view_swing_arm_angle_l,Heave.front.motion_ratio_heave_l,Roll.front.camber_angle_gain_roll_l,Roll.front.roll_center.y,Roll.front.side_view_swing_arm_angle_l,Steering.front.tie_rod_angle_front_view_l,Steering.front.ackerman_angle,
0,1.58523,0.000492824,0.00805127,1.68747,12.9442,29.578,0.000887644,2.85339,0.10636,
1,1.58521,0.000491005,0.00799283,1.68751,12.9442,29.578,0.000958222,2.8534,0.106355,
2,1.5851,0.00049286,0.00853049,1.68743,12.9443,29.5779,0.000596101,2.8535,0.106267,
3,1.58525,0.000500815,0.00784535,1.68747,12.9442,29.5779,0.00113661,2.85334,0.106546,
4,1.58525,0.000491302,0.00793183,1.6875,12.9442,29.578,0.00103281,2.85335,0.106467,
5,1.58519,0.000492935,0.00801853,1.68752,12.9442,29.5779,0.000916325,2.85338,0.106565,
6,1.58528,0.000506411,0.00804738,1.68751,12.9441,29.578,0.000887968,2.8533,0.106578,
7,1.58504,0.000497725,0.00840629,1.6875,12.9443,29.5779,0.000609043,2.85351,0.106501,
8,1.58504,0.000494606,0.00815526,1.68743,12.9443,29.5779,0.000776831,2.85348,0.106731,
9,1.58514,0.000490938,0.00819086,1.68748,12.9442,29.5779,0.000751736,2.8534,0.106671,
10,1.58498,0.000489317,0.00820152,1.68749,12.9443,29.5779,0.000723961,2.85352,0.106693,
11,1.58506,0.00049191,0.0082557,1.68747,12.9443,29.5778,0.000690657,2.85346,0.106757,
12,1.58477,0.000508588,0.00837629,1.68747,12.9444,29.5777,0.000603628,2.8537,0.106688,
13,1.58505,0.000486506,0.00805336,1.68747,12.9443,29.5779,0.000887145,2.85347,0.106726,
14,1.58527,0.000499712,0.00793708,1.68757,12.9442,29.578,0.00101798,2.85331,0.106573,
15,1.58498,0.000492445,0.00812392,1.68747,12.9443,29.5778,0.000809039,2.85351,0.106805,
16,1.58499,0.000483229,0.00799999,1.6875,12.9443,29.5779,0.00095197,2.85352,0.106708,
17,1.58488,0.000491986,0.00803938,1.68746,12.9443,29.5778,0.000890227,2.8536,0.106783,
18,1.58523,0.000488647,0.00800485,1.68752,12.9442,29.578,0.000943467,2.85333,0.106661,
19,1.5852,0.000492971,0.00806737,1.68751,12.9442,29.5779,0.00086975,2.85334,0.106704,
20,1.58491,0.000485593,0.00806269,1.68744,12.9443,29.5778,0.000866212,2.85356,0.106893,
21,1.58523,0.000497524,0.0082328,1.6875,12.9442,29.5779,0.000715424,2.85331,0.106789,
22,1.58501,0.000488273,0.00827469,1.68744,12.9443,29.5778,0.000687946,2.85348,0.10684,
23,1.58501,0.000483176,0.0081578,1.68749,12.9443,29.5779,0.000765538,2.85349,0.106823,
24,1.58504,0.000483729,0.00808468,1.68744,12.9443,29.5778,0.000856655,2.85346,0.10688,
25,1.58534,0.000488529,0.00799053,1.68753,12.9441,29.5779,0.000955659,2.85326,0.106747,
26,1.58499,0.000490263,0.00832726,1.6875,12.9443,29.5779,0.00065376,2.85353,0.106693,
27,1.58489,0.000485551,0.00839155,1.68745,12.9443,29.5778,0.000615068,2.8536,0.106756,
28,1.58528,0.000492554,0.00828773,1.68755,12.9441,29.5781,0.000686067,2.8533,0.106541,
29,1.58496,0.00049202,0.00803321,1.68751,12.9443,29.5779,0.000904569,2.85354,0.106748,
30,170.357,10.1807,991.817,49.238,66.7096,11.9981,985.166,2.32251,51.3296,
31,80.8589,5.33049,1669.15,59.0326,26.8855,24.157,1633.1,9.34043,29.415,
32,1.58509,0.000498481,0.00812522,1.6875,12.9442,29.5779,0.000808635,2.85345,0.106701,
33,201.912,9.38248,51.0187,61.7219,104.311,15.4914,51.4851,1.57888,73.9031,
34,1.58527,0.000500814,0.00811921,1.68747,12.9441,29.578,0.000814664,2.85331,0.106578,
35,1.58512,0.000495026,0.00826381,1.68751,12.9442,29.5779,0.000686315,2.85343,0.10658,
36,33.5766,12.0315,1639.21,59.147,36.4213,17.6887,1605.67,4.63373,5.72727,
37,1.58492,0.000487924,0.00802458,1.68748,12.9444,29.5778,0.000909243,2.85361,0.106621,
38,1.58515,0.000490141,0.00820359,1.68759,12.9442,29.5779,0.000746984,2.8534,0.106713,
39,1.58504,0.000483677,0.00806987,1.68748,12.9443,29.5778,0.000857141,2.8535,0.10661,
40,1.58495,0.000495731,0.00843879,1.68757,12.9443,29.5779,0.000598286,2.85352,0.106881,
41,1.58502,0.000490609,0.00809082,1.68754,12.9443,29.5778,0.000837307,2.85348,0.106792,
42,1.58507,0.000496877,0.00805637,1.68747,12.9443,29.5778,0.000872078,2.85346,0.106687,
43,1.5851,0.000497424,0.00809715,1.68745,12.9442,29.5779,0.000841471,2.85345,0.106573,
44,1.58517,0.00049477,0.00818187,1.6875,12.9442,29.5779,0.000750607,2.85342,0.106483,
45,1.58524,0.000499328,0.00779354,1.6875,12.9441,29.578,0.00120997,2.8533,0.106784,
46,1.58515,0.000491928,0.00813799,1.68748,12.9442,29.578,0.000800908,2.85338,0.106721,
47,1.5852,0.000500462,0.0080695,1.68747,12.9442,29.5779,0.000862747,2.85338,0.106514,
48,1.58528,0.000491748,0.00762596,1.68745,12.9442,29.5779,0.00144837,2.85332,0.106556,
49,1.58496,0.000489113,0.00825146,1.68749,12.9443,29.5779,0.000706865,2.85357,0.106541,
