Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.side_view_swing_arm_angle_l.avg,Heave.rear.p_rod_length_l.avg,Heave.rear.coil_over_length_l.avg,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.toe_angle_l.avg,Heave.rear.roll_center_gnd.z.avg,Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Heave.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.p_rod_length_l.std_dev,Heave.rear.coil_over_length_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.toe_angle_l.std_dev,Heave.rear.roll_center_gnd.z.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.best,Heave.rear.p_rod_length_l.best,Heave.rear.coil_over_length_l.best,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.toe_angle_l.best,Heave.rear.roll_center_gnd.z.best,Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,
0,1975.61,4946.25,1387.82,0.399415,319.322,0,1064.36,6.84244,381.303,2603.2,200.867,314.422,55.9267,391.525,0,1272.01,6.65392,475.016,2334.03,196.688,382.805,63.5488,16.9725,0,94.9292,0.311224,20.2681,1377.07,8.56133,16.9012,3.82824,
1,1975.61,4724.49,2044.65,0.418163,296.601,0,919.942,6.44183,373.45,2575.55,197.665,294.706,60.1359,251.763,0,880.428,2.66784,351.799,927.919,146.547,245.317,27.8867,7.17827,0,94.9292,0.311224,32.953,1114.21,8.56133,2.4831,3.82824,
2,1975.61,4036.8,1563.33,0.489398,289.882,0,650.425,6.60007,327.131,2237.77,183.918,288.351,52.7297,303.577,0,617.728,2.34583,268.339,743.899,148.429,299.316,23.0614,7.20274,0,41.7056,0.311224,6.865,1114.21,8.56133,5.0261,3.82824,
3,1975.61,3661.44,1343.89,0.539571,220.56,0,600.851,6.67053,213.097,2163.03,183.755,220.002,53.4771,203.458,0,680.438,2.88369,197.962,571.357,140.913,199.365,18.5311,7.20274,0,41.7056,0.203892,6.5634,1114.21,8.56133,5.0261,3.82824,
4,1975.61,3345.57,1367.02,0.590514,189.628,0,649.485,5.94296,184.544,1908.45,174.224,189.359,43.9367,188.662,0,749.484,3.81608,138.519,605.879,152.713,186.508,20.7077,1.13747,0,41.7056,0.203892,0.761167,1105.2,11.2528,0.641635,3.82824,
5,1614.38,3357.34,2101.05,0.480851,245.311,0,582.806,6.07819,181.784,1890.22,164.309,244.486,42.3491,359.136,0,690.241,3.27936,303.597,791.672,111.624,355.603,23.0985,4.56057,0,41.7056,0.126764,0.761167,1114.21,11.2528,2.82397,3.82824,
6,1614.38,2734.19,898.628,0.590441,145.534,0,450.753,5.9361,140.157,1624.89,185.843,145.216,35.8641,228.98,0,421.222,3.16231,119.82,468.482,99.3628,226.299,14.3589,2.54933,0,41.7056,0.0468457,0.761167,1104.91,32.5867,2.03504,3.82824,
7,1614.38,2991.52,1954.05,0.539653,197.153,0,531.778,6.20991,189.176,1627.92,208.65,195.496,35.1355,363.951,0,612.407,2.93158,289.959,569.358,167.411,361.891,14.8711,2.54933,0,41.7056,0.126764,0.761167,1180.44,32.5867,2.03504,3.82824,
8,1614.38,2796.28,1403.53,0.577331,135.08,0,458.125,6.45258,163.576,1655.59,204.097,139.872,33.4874,172.83,0,588.16,2.98186,273.181,664.309,146.156,190.764,22.0049,2.54933,0,41.7056,0.126764,0.761167,1180.44,32.5867,2.03504,3.82824,
9,1614.38,3006.04,1675.84,0.537046,208.422,0,593.286,6.04652,185.048,1608.06,169.092,205.663,30.4266,290.929,0,760.404,2.86847,249.72,558.5,109.972,283.542,14.1013,2.54933,0,41.7056,0.126764,0.761167,1153.21,32.5867,2.03504,3.82824,
10,1614.38,2858,1799.51,0.564865,195.079,0,574.047,6.4964,135.118,1537.4,185.244,194.322,30.2904,317.675,0,733.422,2.54256,233.976,477.003,135.238,316.411,15.6987,2.54933,0,41.7056,0.126764,0.761167,1135.72,10.9934,2.03504,3.82824,
11,1614.38,3245.08,2505.61,0.497486,219.909,0,715.962,6.2553,212.171,1633.93,210.096,217.859,28.9005,353.496,0,963.724,2.38823,322.157,733.959,152.149,349.368,20.8287,3.62618,0,41.7056,0.126764,3.65058,1180.44,34.4633,2.79655,3.7294,
12,1567.82,3018.35,2976.96,0.519428,178.071,0,547.563,6.51104,171.22,1733.95,176.277,176.259,28.5019,314.348,0,771.327,2.39259,446.402,1476.76,143.36,308.994,26.3974,2.47213,0,72.4146,0.126764,3.75196,1180.24,16.4163,2.23437,3.7294,
13,1567.82,3279.28,2970.75,0.478098,241.056,0,559.103,6.95924,214.721,1781.55,205.623,237.654,32.6083,430.517,0,824.799,2.66483,402.241,1057.16,161.741,422.126,29.2439,3.62618,0,61.137,0.126764,10.3151,1180.24,35.2598,2.79655,3.57019,
14,1531.02,2845.71,2152.1,0.538008,217.829,0,456.44,6.77395,171.198,1552.32,200.277,215.88,24.9951,340.467,0,722.591,2.40644,275.839,742.221,185.134,338.622,23.6516,4.56057,0,61.137,0.126764,6.75837,1177.39,35.2598,2.82397,3.57019,
15,1531.02,2654.74,2281.23,0.576712,208.348,0,368.365,7.38882,162.482,1508.91,168.084,206.774,24.3851,305.355,0,496.74,1.52904,319.81,829.787,147.676,302.43,24.0394,4.56057,0,61.137,4.372,8.602,1173.56,24.6077,2.82397,3.57019,
16,1531.02,2328.54,1626.49,0.6575,139.534,0,347.831,7.07008,96.6006,1406.61,171.924,138.697,20.2775,242.096,0,621.156,1.58366,116.791,502.257,146.857,233.973,18.1709,4.56057,0,61.137,0.479893,8.602,1177.39,35.2598,2.82397,3.57019,
17,1531.02,3001.01,2594.72,0.510167,254.427,0,514.323,7.29111,170.722,1563.7,214.052,252.205,24.2848,412.674,0,916.294,2.07555,319.855,778.537,215.188,402.238,24.6125,4.56057,0,61.137,0.470561,6.68295,1081.8,35.2598,2.82397,3.7294,
18,1493.48,2519.15,1968.07,0.592853,149.762,0,395.368,7.40908,122.397,1525.69,148.479,147.814,22.2301,266.273,0,724.961,1.30014,202.474,779.458,124.902,261.416,23.3701,4.56057,0,47.8262,2.70991,8.602,1177.42,26.7323,2.82397,3.7294,
