Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Heave.front.roll_center.z.avg,Heave.front.mechanical_trail_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.camber_angle_l.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.camber_angle_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Heave.front.roll_center.z.best,Heave.front.mechanical_trail_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.camber_angle_l.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
0,57.9936,153.907,52.3936,0.37681,1.59965,7.94729,75.1869,14.5013,2.10481,0.826811,3.57765,24.8896,0.237448,20.3709,1.09116,1.57313,1.62099,10.6073,76.3065,15.9393,1.76033,0.829694,3.35185,14.474,0.311506,29.4932,1.25722,1.75582,0.35802,0.129848,27.5121,0.0916775,0.0305215,0.174617,0.111692,0.10623,0.0184439,5.76743,0.174623,0.460707,
1,57.9936,149.277,98.7756,0.388497,1.69329,24.8869,58.6026,11.8701,2.03394,0.858448,2.83076,24.0323,0.202254,19.7035,1.06601,1.4967,1.24192,45.7823,27.9921,9.90233,1.39599,0.46284,2.3065,23.3145,0.165708,21.8804,0.627789,0.61675,0.0983749,0.129848,24.4062,0.0916775,0.0305215,0.174617,0.111692,0.10623,0.00162127,7.16558,0.120621,0.388604,
2,57.9936,139.825,100.934,0.414759,1.77234,18.8591,46.8623,13.7634,1.67475,0.668015,2.35817,19.846,0.2513,31.4353,0.93028,1.40375,1.05998,24.42,20.4848,9.51334,1.1976,0.39189,1.91889,17.7902,0.144988,78.6987,0.568288,0.717417,0.0148283,0.129848,24.4062,0.0916775,0.0305215,0.174617,0.0490019,0.10623,0.0229197,4.95349,0.0959178,0.272436,
3,57.9936,104.607,19.0144,0.554396,1.6636,10.8782,40.9233,11.622,1.46976,0.728577,2.46833,13.6587,0.260377,18.5481,0.967338,1.41847,0.828981,13.7878,16.274,9.49811,1.22851,0.27738,2.14633,9.97946,0.0984754,13.5348,0.6592,0.628339,0.182126,0.129848,26.4989,0.0916775,0.0305215,0.188043,0.111692,0.10623,0.030925,11.0291,0.120621,0.394742,
4,57.9936,111.484,61.7447,0.520196,1.55305,14.3991,44.9386,9.4177,1.95642,0.816808,2.51884,14.6376,0.282584,18.3301,1.01849,1.61491,0.784195,24.2747,32.1675,8.45149,1.51216,0.377493,2.39793,15.6408,0.163317,6.05455,0.798785,0.676355,0.0968997,0.129848,25.9166,0.0916775,0.0305215,0.0577409,0.126656,0.10623,0.0994305,9.27262,0.186787,0.473891,
5,57.9936,90.8321,15.094,0.63847,1.39069,9.66234,39.0523,6.32495,1.15991,0.771596,1.98505,10.2246,0.260468,17.6805,0.838047,1.48162,0.642499,12.4591,11.5222,6.11312,1.24188,0.31958,1.94313,8.04854,0.0851824,3.80769,0.661602,0.484471,0.276319,0.129848,26.4989,0.0916775,0.0305215,0.0577409,0.19316,0.10623,0.103064,12.8463,0.15389,0.532542,
6,57.9936,106.283,84.6849,0.545652,1.4741,12.4439,43.7316,7.69232,1.4217,0.917222,2.08384,14.785,0.288927,19.006,0.770369,1.66829,0.726302,28.2476,24.9833,11.1592,1.16148,0.410233,2.29249,24.0973,0.118702,7.06987,0.699841,0.692017,0.0528559,0.129848,26.4989,0.0916775,0.0305215,0.0577409,0.171875,0.10623,0.113362,4.95864,0.188898,0.583487,
7,57.9936,86.9377,39.0548,0.667071,1.5715,8.72391,34.5875,4.79674,1.24869,1.00089,1.45896,10.4898,0.293921,20.5918,0.568274,1.60579,0.811903,10.6689,8.15761,5.51817,1.06639,0.847438,1.61668,14.5796,0.0695531,11.0555,0.498532,0.398195,0.0528559,0.0698281,26.4989,0.0916775,0.0163688,0.0577409,0.129955,0.253753,0.199907,14.8905,0.165136,0.583487,
8,57.9936,104.891,85.7194,0.552895,1.49055,18.6181,37.7389,6.6278,1.2056,0.974424,1.62196,14.6794,0.295014,19.3473,0.714334,1.57753,0.914645,45.1228,19.9827,10.4604,1.36408,0.484729,1.80109,23.188,0.0722381,8.45447,0.632209,0.397939,0.275565,0.0698281,18.8617,0.0916775,0.0243581,0.0577409,0.129955,0.253753,0.147692,2.56826,0.176312,0.746855,
9,57.9936,95.5871,67.8334,0.606709,1.56482,10.3133,38.609,6.30432,1.14247,0.94189,1.34543,13.3068,0.300824,19.473,0.582828,1.70245,1.19544,19.385,21.3908,9.66019,1.14093,0.52457,2.17346,21.7375,0.103997,5.90352,0.52727,0.612167,0.224309,0.0698281,26.2242,0.0916775,0.0243581,0.0577409,0.129955,0.399329,0.0424482,4.64191,0.188898,0.990228,
10,57.9936,94.1812,64.7532,0.615766,1.39187,9.99472,36.6003,3.45292,1.34177,0.944066,1.73542,13.9237,0.304837,22.0839,0.769798,1.63793,0.82254,19.7178,16.4527,2.98908,1.18449,0.538176,1.95791,20.6246,0.0917476,19.6327,0.674397,0.487984,0.100478,0.0698281,26.5591,0.0916775,0.0243581,0.0577409,0.129955,0.399329,0.0360331,5.07218,0.188898,1.06165,
11,57.9936,88.2408,58.2175,0.65722,1.49399,9.37349,36.5655,4.11333,1.3224,0.925984,0.844468,11.4603,0.293817,19.7421,0.459962,1.64552,0.922052,15.3604,15.8005,6.37458,1.24595,0.486703,1.04305,24.4213,0.0625264,8.74889,0.450189,0.371012,0.0612158,0.0698281,26.5591,0.0916775,0.0243581,0.0577409,0.129955,0.148981,0.124472,8.10544,0.179031,0.722476,
12,57.9936,101.881,79.2386,0.569232,1.4941,15.3349,38.9652,6.14381,1.45484,0.987552,1.14672,14.9108,0.283184,18.7933,0.573631,1.79253,0.963545,31.2579,19.5771,10.3981,1.30832,0.621842,1.56813,25.9229,0.0850914,4.40294,0.559723,0.524423,0.10065,0.0328899,26.3373,0.0916775,0.0305215,0.0577409,0.129955,0.399329,0.0403764,6.10804,0.188898,0.867354,
13,57.1699,74.4193,33.2341,0.768213,1.07633,7.17846,32.8082,2.78801,0.876311,0.807534,0.867122,6.89616,0.2958,18.7647,0.417318,1.64323,0.739453,23.9789,6.00926,4.41001,0.812615,0.518341,1.33234,11.226,0.0559683,2.84755,0.326724,0.299085,0.224309,0.0328899,26.5591,0.0916775,0.0305215,0.0577409,0.110566,0.138386,0.0383932,4.11573,0.157193,1.09905,
14,57.1699,86.9235,61.6761,0.657704,1.11251,11.2587,35.1401,4.38766,1.09012,0.766014,0.826639,11.8906,0.299049,18.0375,0.4821,1.63241,0.97816,22.9351,13.8731,9.66466,1.01931,0.485383,1.10959,18.8224,0.0602547,3.49046,0.460114,0.370743,0.0897237,0.129848,25.5362,0.0916775,0.0305215,0.0555914,0.110566,0.138386,0.0756819,6.82274,0.188898,0.387052,
15,57.1699,83.7465,53.4537,0.682654,0.945717,12.3368,32.9064,4.01969,0.978154,0.801624,0.729584,9.7105,0.315573,18.8977,0.433168,1.67163,0.661993,33.3647,12.683,8.44446,0.956562,0.457384,0.78795,11.84,0.0527685,3.60944,0.318865,0.402238,0.0347521,0.129848,21.2727,0.0916775,0.0305215,0.0555914,0.0479,0.138386,0.126545,2.55752,0.0859394,0.771318,
