Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_top_view_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,2in Heave.front.rocker_coil_over_angle_l.avg,2in Heave.front.rocker_p_rod_angle_l.avg,2in Heave.front.p_rod_length_l.avg,2in Heave.front.coil_over_length_l.avg,2in Heave.front.tie_rod_angle_top_view_l.avg,2in Heave.front.toe_angle_l.avg,2in Heave.front.side_view_swing_arm_angle_l.avg,2in Heave.front.roll_center_gnd.z.avg,2in Heave.front.motion_ratio_heave_l.avg,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_top_view_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,2in Heave.front.rocker_coil_over_angle_l.std_dev,2in Heave.front.rocker_p_rod_angle_l.std_dev,2in Heave.front.p_rod_length_l.std_dev,2in Heave.front.coil_over_length_l.std_dev,2in Heave.front.tie_rod_angle_top_view_l.std_dev,2in Heave.front.toe_angle_l.std_dev,2in Heave.front.side_view_swing_arm_angle_l.std_dev,2in Heave.front.roll_center_gnd.z.std_dev,2in Heave.front.motion_ratio_heave_l.std_dev,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_top_view_l.best,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,2in Heave.front.rocker_coil_over_angle_l.best,2in Heave.front.rocker_p_rod_angle_l.best,2in Heave.front.p_rod_length_l.best,2in Heave.front.coil_over_length_l.best,2in Heave.front.tie_rod_angle_top_view_l.best,2in Heave.front.toe_angle_l.best,2in Heave.front.side_view_swing_arm_angle_l.best,2in Heave.front.roll_center_gnd.z.best,2in Heave.front.motion_ratio_heave_l.best,
0,224.579,2833.68,2566.61,0.0792534,51.6755,74.9077,156.838,4.5479,127.945,6.70215,627.903,573.247,0,472.803,3.82802,61.7752,51.6743,437.177,182.658,66.2179,86.8693,979.725,5.60014,154.386,8.35843,1039.96,1358.98,0,284.2,4.92536,79.1495,58.2278,458.651,324.603,0.631118,1.71938,11.8216,0.642335,13.0248,0.0939982,0.000185425,0.00018945,0,24.3461,0.00541143,1.21274,1.1159,32.3857,7.69375,
1,224.579,2386.53,1077.06,0.0941026,96.4864,76.6597,44.4675,4.66342,123.553,6.22215,457.566,381.974,0,463.752,3.9528,61.903,96.4606,405.589,163.283,190.748,43.7691,136.485,3.27579,87.4067,4.70358,431.741,521.925,0,281.706,3.50224,50.6494,181.476,321.839,150.393,0.631118,1.71938,11.8216,0.895299,13.0248,0.0939982,0.000185425,0.00018945,0,24.3461,0.00541143,0.325268,1.1159,31.5431,7.69375,
2,224.579,2316.04,1236.54,0.0969669,82.6095,71.0583,46.9079,4.51365,120.137,6.19034,461.7,415.662,0,435.671,3.8077,61.6408,82.5845,359.84,163.716,116.615,43.8636,77.8824,3.28844,88.172,4.50678,527.968,655.441,0,258.831,3.51571,50.2745,116.581,301.13,147.836,0.794642,1.71938,11.8216,0.802673,13.0248,0.0939982,0.000185425,0.00018945,0,24.3461,0.00541143,1.64885,1.1159,31.2157,7.69375,
3,224.579,2272.73,1619.58,0.0988147,93.7542,68.9837,46.7699,4.45935,119.313,5.9063,420.485,416.814,0,431.622,3.78114,61.8871,93.7327,336.429,168.793,149.928,42.7901,77.6892,3.2768,85.0533,4.27265,537.073,965.467,0,268.516,3.49742,49.398,149.82,271.485,148.812,0.794642,1.71938,11.8216,0.802673,12.4293,0.0939982,0.000185425,0.00018945,0,24.3461,0.00541143,1.64885,1.1159,31.2157,7.69375,
4,224.579,2239.11,1156.49,0.100298,105.366,70.0528,41.7714,4.46634,116.739,5.86436,414.862,388.931,0,421.419,3.77707,61.6741,105.343,338.433,160.414,175.235,42.5118,46.0012,3.17961,83.2067,4.46754,473.224,492.943,0,290.143,3.36391,49.4274,173.187,292.49,107.771,0.794642,1.71938,11.7014,0.802673,12.4293,0.0939982,0.000185425,0.00018945,0,24.3461,0.00541143,1.64885,1.1159,31.2157,7.69375,
5,224.579,2219.02,1769.18,0.101206,102.222,67.2302,42.077,4.47278,115.547,5.5601,422.003,416.265,0,403.071,3.79916,61.1833,102.194,318.318,155.081,154.885,42.2821,45.619,3.17083,81.6639,4.18745,869.019,813.026,0,269.708,3.34376,48.8078,155.078,256.379,107.915,0.794642,1.64161,11.8216,0.802673,12.4293,0.085403,0.000185425,0.00018945,0,24.3461,0.00541143,1.64885,1.1159,31.2157,7.69375,
6,224.579,2143.32,1071.73,0.104781,120.06,68.2973,42.1313,4.45712,113.274,5.35217,352.171,365.951,0,411.664,3.76723,60.4022,120.017,308.436,167.342,189.4,42.2566,45.636,3.19252,80.9034,4.0492,337.928,583.703,0,268.138,3.35974,48.4262,186.098,233.584,171.21,1.08302,1.64161,11.8216,0.802673,12.4293,0.085403,0.000185425,0.00018945,0,24.3461,0.00541143,1.64885,1.81165,31.2157,7.69375,
7,224.579,2114.29,908.654,0.10622,121.905,65.2923,40.2967,4.41695,112.42,5.45981,372.043,364.037,0,392.946,3.73623,59.2872,121.866,295.327,155.255,186.036,41.1772,33.611,3.08684,79.3183,3.89469,362.46,469.339,0,260.858,3.22551,46.6192,185.624,230.136,105.064,1.08302,1.64161,11.8216,0.802673,12.4293,0.085403,0.000185425,0.00018945,0,24.3461,0.00541143,1.64885,1.81165,31.2157,7.69375,
8,224.579,2062.96,1034.45,0.108862,97.0076,62.7534,41.2814,4.60775,107.992,5.4506,370.041,392.559,0,376.29,3.91016,57.185,96.9762,290.376,156.531,125.891,42.5241,35.3287,3.07344,77.4494,3.95446,405.144,629.321,0,253.542,3.19675,44.6997,125.772,228.138,106.111,1.08302,1.64161,11.8216,0.802673,12.4293,0.085403,0.000185425,0.00018945,0,24.3461,0.00541143,1.64885,1.81165,31.2157,7.69375,
9,224.579,2004.68,737.252,0.112027,106.886,61.3291,40.7498,4.612,108.652,5.31029,346.376,356.196,0,365.662,3.93231,57.4659,106.849,281.301,159.363,135.412,42.0734,33.5277,3.09561,77.7691,3.79199,264.639,386.988,0,234,3.21637,43.7412,133.355,207.877,105.65,1.08302,1.64161,13.5519,0.802673,12.4293,0.085403,0.000185425,0.00018945,0,24.3461,0.00541143,1.81514,2.45626,31.2157,7.69375,
