Individual,Heave.front.tie_rod_angle_top_view_l,Heave.front.toe_angle_l,Heave.front.mechanical_trail_l,Heave.front.scrub_radius_l,Heave.front.motion_ratio_heave_l,Heave.front.side_view_swing_arm_angle_l,Heave.front.roll_center.z,Roll.front.camber_angle_l,Steering.front.tie_rod_angle_front_view_l,Steering.front.ackerman_angle,Steering.front.camber_angle_l,
0,0.0284018,0.0754636,0.363694,0.0240214,0.0206542,0.00343755,10.8045,1.14455,0.386212,0.271209,1.70768,
1,0.0279006,0.0780091,0.362829,0.0243623,0.0206458,0.00325288,10.8051,1.14467,0.38353,0.271359,1.70823,
2,0.027301,0.0771673,0.363161,0.0243013,0.0205368,0.00412151,10.804,1.1447,0.384589,0.271803,1.70827,
3,0.0280236,0.0770835,0.363586,0.0241443,0.0206083,0.00356313,10.805,1.14462,0.3844,0.27123,1.70769,
4,0.0284849,0.0772836,0.362625,0.0242741,0.020613,0.00329706,10.8052,1.14464,0.384144,0.271187,1.70822,
5,0.0275412,0.0755551,0.362974,0.0241977,0.0208421,0.0032067,10.8047,1.14462,0.386331,0.271558,1.70841,
6,0.0289022,0.0766485,0.363226,0.0241033,0.0205991,0.00319332,10.805,1.14461,0.384932,0.270954,1.70785,
7,0.0291194,0.0753718,0.363468,0.0239946,0.0207281,0.00267804,10.805,1.14456,0.386393,0.271032,1.70783,
8,0.0289528,0.0762719,0.363629,0.0241788,0.0207183,0.00181488,10.8059,1.14461,0.3854,0.271074,1.7077,
9,0.0277897,0.0771186,0.362278,0.0242401,0.020659,0.00337889,10.8053,1.14463,0.384332,0.271569,1.70889,
10,0.0284321,0.0763197,0.363438,0.0243555,0.020635,0.00337907,10.8045,1.14467,0.385443,0.271235,1.70787,
11,0.0277202,0.0771744,0.363164,0.0243593,0.0207156,0.00341438,10.8045,1.14472,0.384543,0.271654,1.70838,
12,0.0294007,0.0771953,0.362771,0.0242381,0.0206111,0.00117936,10.8072,1.14463,0.384298,0.270653,1.70818,
13,0.0288634,0.077332,0.362837,0.0243213,0.0208621,0.00381454,10.8043,1.14472,0.384361,0.270887,1.70809,
14,0.0277853,0.0782836,0.363714,0.0244029,0.0206254,0.00371992,10.8046,1.14469,0.38327,0.271444,1.7079,
15,0.0288565,0.0773514,0.363582,0.0242612,0.020647,0.00301135,10.8053,1.14459,0.384101,0.270942,1.7078,
16,0.027341,0.0778231,0.36355,0.0242503,0.02077,0.00386395,10.8039,1.14488,0.384133,0.271737,1.70823,
17,0.0281678,0.0765632,0.363583,0.0242226,0.0206571,0.00447319,10.8036,1.14466,0.385104,0.271473,1.70802,
18,0.029991,0.0772684,0.363659,0.0242188,0.0206081,0.0017857,10.8056,1.14474,0.384394,0.270606,1.70767,
19,0.0284502,0.0755171,0.362389,0.0241173,0.0206517,0.0041562,10.8049,1.14451,0.386063,0.271257,1.70854,
20,0.0302499,0.0773295,0.362991,0.0243855,0.0206481,0.00215813,10.8052,1.14473,0.384397,0.270532,1.70796,
21,0.0290161,0.076294,0.363248,0.0241671,0.0206434,0.00201331,10.8064,1.14455,0.385266,0.271101,1.70787,
22,0.0297785,0.0776671,0.36357,0.0243864,0.0206966,0.00130129,10.806,1.14471,0.384029,0.270612,1.70774,
23,0.0282062,0.0767047,0.363681,0.0242562,0.020728,0.00362156,10.8054,1.14457,0.384717,0.271086,1.7076,
24,0.0288957,0.0774684,0.363251,0.024213,0.0206382,0.00482607,10.8035,1.14473,0.384165,0.270953,1.70795,
25,0.0294397,0.0773673,0.363324,0.0242978,0.020772,0.00137431,10.8068,1.14463,0.384151,0.270679,1.70783,
26,0.0284458,0.077847,0.363279,0.0244147,0.0209446,0.00420041,10.8039,1.14472,0.383818,0.271096,1.70802,
27,0.0296613,0.0771879,0.36324,0.0243651,0.0206365,0.0035939,10.8044,1.14469,0.384411,0.270589,1.70784,
28,0.028692,0.0770245,0.363313,0.0243547,0.0205395,0.00386978,10.8042,1.14469,0.384643,0.271125,1.70826,
29,0.0282743,0.0769871,0.363331,0.0243089,0.0207576,0.00474546,10.8037,1.14467,0.384705,0.271414,1.7078,
30,0.0284452,0.0771972,0.363832,0.024253,0.020675,0.00137746,10.8067,1.14461,0.384258,0.271454,1.70764,
31,0.0276543,0.0759494,0.362767,0.0241711,0.0209293,0.00448594,10.8046,1.14457,0.385717,0.271335,1.70812,
32,0.0282253,0.0780877,0.36203,0.0244201,0.0206377,0.0039074,10.8053,1.14476,0.383441,0.271406,1.70915,
33,0.0280841,0.0774122,0.363343,0.0242645,0.0207186,0.00151105,10.807,1.14466,0.384289,0.27152,1.70836,
34,3.37132,7.85897,50.449,58.8765,0.633496,32.489,489.28,1.60668,1.61085,3.03581,1.01254,
35,0.0291478,0.0764249,0.363831,0.024122,0.020607,0.00377339,10.8062,1.14448,0.384901,0.270799,1.70752,
36,5.78758,1.78775,5.34861,127.265,1.00021,16.7139,220.591,2.95263,1.37097,0.4254,4.96874,
37,0.0279098,0.0763519,0.363715,0.0241821,0.0206636,0.00153541,10.8072,1.14449,0.385111,0.271294,1.70767,
38,0.0289629,0.0772796,0.36359,0.0243382,0.0206264,0.00369452,10.8045,1.14476,0.384514,0.270891,1.70785,
39,0.0279058,0.0766696,0.363521,0.0242444,0.0206037,0.00370416,10.8043,1.14468,0.384963,0.271426,1.70787,
40,0.0281917,0.0773941,0.363719,0.0242786,0.0206811,0.00331235,10.8044,1.14471,0.384252,0.271155,1.70781,
41,0.0278612,0.0769015,0.36393,0.0241532,0.0207559,0.00369122,10.8044,1.14464,0.38461,0.271367,1.70754,
42,0.0286725,0.0765271,0.363645,0.0242717,0.0206456,0.00240246,10.8055,1.14466,0.385124,0.271277,1.70797,
43,0.0285455,0.0769762,0.362363,0.0241882,0.0206455,0.00383417,10.805,1.1446,0.384461,0.270974,1.7085,
44,0.0281905,0.0753416,0.363047,0.0239833,0.0207857,0.0050904,10.8042,1.14452,0.386435,0.271269,1.70795,
45,0.0292927,0.0772933,0.36318,0.0242865,0.0205852,0.00265737,10.8048,1.14473,0.384346,0.270939,1.70807,
46,0.0292895,0.0772307,0.362592,0.0242525,0.0206668,0.00538429,10.8039,1.14463,0.384147,0.27104,1.70855,
47,0.0291283,0.0755649,0.362757,0.0241802,0.0205845,0.00423871,10.804,1.14464,0.386276,0.271069,1.70813,
48,0.029502,0.0756115,0.362915,0.0241527,0.0207035,0.00218737,10.8055,1.14458,0.385984,0.270891,1.70801,
49,0.0287676,0.0765365,0.363542,0.0241765,0.0205225,0.00243296,10.8062,1.14452,0.38494,0.271134,1.70779,
