Individual,Heave.front.side_view_swing_arm_angle_l,Heave.front.tie_rod_angle_top_view_l,Heave.front.toe_angle_l,Heave.front.mechanical_trail_l,Heave.front.scrub_radius_l,Heave.front.motion_ratio_heave_l,Heave.front.roll_center.z,Roll.front.camber_angle_l,Roll.front.roll_center.y,Steering.front.tie_rod_angle_front_view_l,Steering.front.ackerman_angle,Steering.front.camber_angle_l,
0,0.0982038,0.00162042,0.127361,0.121373,0.00455365,0.0213676,27.9984,0.338064,20.0318,0.300267,0.0163099,1.34344,
1,0.0981853,0.00162071,0.127431,0.121227,0.00459893,0.0213668,27.9982,0.338068,20.032,0.30027,0.0162969,1.34347,
2,0.0981655,0.00162277,0.127407,0.121385,0.00458993,0.0213682,27.9983,0.338067,20.0319,0.300267,0.0162843,1.34343,
3,0.0981853,0.00162305,0.127255,0.12153,0.00457663,0.0213659,27.9979,0.338073,20.0321,0.300263,0.0163173,1.34345,
4,0.0981746,0.0016203,0.127426,0.121402,0.0046418,0.0213664,27.9981,0.338069,20.032,0.300269,0.0162857,1.34341,
5,0.0981867,0.00164095,0.127436,0.121361,0.00458192,0.0213719,27.9983,0.338066,20.0318,0.300268,0.016288,1.3434,
6,0.0981879,0.00162349,0.127296,0.121545,0.00467027,0.0213641,27.9975,0.33808,20.0324,0.300267,0.0163304,1.34341,
7,0.0981832,0.00162305,0.127384,0.121291,0.00458177,0.0213642,27.9982,0.338068,20.0319,0.300268,0.0162961,1.34348,
8,0.098211,0.0016217,0.127302,0.121507,0.00458112,0.0213646,27.9981,0.33807,20.032,0.300264,0.0163065,1.34342,
9,0.0981489,0.00161835,0.127387,0.121477,0.00456131,0.021365,27.9984,0.338065,20.0318,0.300267,0.0162983,1.3434,
10,0.0981973,0.00161086,0.127225,0.121541,0.00463057,0.0213676,27.9976,0.338079,20.0325,0.300264,0.0163312,1.34346,
11,0.098176,0.00163764,0.127404,0.121479,0.00459289,0.0213773,27.9983,0.338067,20.0318,0.300267,0.0163022,1.34338,
12,0.0982006,0.00162043,0.127415,0.121294,0.00460436,0.0213681,27.9981,0.33807,20.0321,0.300269,0.0162963,1.34345,
