Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Roll.rear.camber_angle_gain_roll_l.avg,2in Heave.rear.p_rod_length_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.toe_angle_l.avg,2in Heave.rear.tie_rod_angle_top_view_l.avg,2in Heave.rear.roll_center_gnd.z.avg,2in Heave.rear.coil_over_length_l.avg,2in Heave.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.motion_ratio_heave_l.avg,Roll.rear.camber_angle_gain_roll_l.std_dev,2in Heave.rear.p_rod_length_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.toe_angle_l.std_dev,2in Heave.rear.tie_rod_angle_top_view_l.std_dev,2in Heave.rear.roll_center_gnd.z.std_dev,2in Heave.rear.coil_over_length_l.std_dev,2in Heave.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.camber_angle_gain_roll_l.best,2in Heave.rear.p_rod_length_l.best,Roll.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.toe_angle_l.best,2in Heave.rear.tie_rod_angle_top_view_l.best,2in Heave.rear.roll_center_gnd.z.best,2in Heave.rear.coil_over_length_l.best,2in Heave.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.motion_ratio_heave_l.best,
102,987.862,1482.07,1814.13,0.666541,23.6635,0,62.4522,47.5333,3.44365,982.853,154.363,62.8164,144.948,12.377,0,223.955,158.49,2.80078,497.281,336.976,224.687,885.858,11.6239,0,0.317058,0.349837,0.00813906,820.502,29.6176,0.708631,2.96025,
103,987.862,1519.41,2239.76,0.650161,24.8714,0,65.914,43.7654,3.21576,991.061,132.353,66.1681,192.063,16.2832,0,202.856,129.365,2.37197,571.82,254.006,203.027,1292.22,11.6239,0,0.317058,0.349837,0.00813906,850.749,29.6176,0.708631,2.96025,
104,987.862,1275.24,988.123,0.774651,23.8658,0,37.9041,21.9236,3.32939,963.002,113.286,38.0679,73.8558,14.2318,0,127.244,41.917,2.99136,487.205,208.258,128.618,210.826,7.53396,0,0.317058,0.349837,0.00813906,865.007,31.1274,0.708631,2.96025,
105,987.862,1666.02,3176.47,0.592947,24.299,0,77.3684,52.3872,3.26145,1011.52,133.918,80.5331,282.736,14.2957,0,270.21,176.282,2.70909,640.517,265.966,273.796,2125.47,10.5721,0,0.317058,0.349837,0.00813906,865.007,31.1274,0.708631,2.96025,
106,987.862,1397.23,1417.29,0.707012,24.3869,0,63.7036,45.65,3.09331,987.677,136.429,64.4205,71.8749,13.9681,0,226.445,143.882,2.31979,511.986,282.198,232.485,255.5,11.6239,0,0.317058,0.349837,0.00813906,865.007,31.1274,0.708631,2.96025,
107,987.862,1408,1669.89,0.701604,24.0381,0,44.9598,33.7363,3.00781,991.813,114.173,45.3416,150.935,13.7599,0,137.988,94.6926,2.06566,518.792,200.327,139.264,1036.13,5.74852,0,0.317058,0.349837,0.00813906,865.007,31.1274,0.708631,3.564,
108,987.862,1359.08,1141.67,0.726861,24.6029,0,53.0177,31.3603,3.23786,992.611,132.573,53.243,68.434,15.5493,0,165.732,69.9987,2.52548,544.696,259.226,164.53,156.441,5.39742,0,0.317058,0.349837,0.00813906,767.905,31.1274,0.708631,3.564,
109,987.862,1284.6,1104.82,0.769004,23.7086,0,46.9699,38.0925,3.06193,960.263,104.674,47.2064,60.6241,13.07,0,165.342,111.225,2.39745,478.074,171.61,165.57,155.778,11.6239,0,0.317058,0.349837,0.00813906,865.007,31.1274,0.708631,3.564,
110,987.862,1312.51,1193.81,0.752652,23.795,0,47.2499,37.4853,3.11325,973.511,118.65,47.5235,61.1805,13.223,0,148.925,132.891,2.5304,512.477,240.698,149.602,114.891,11.6239,0,0.317058,0.349837,0.00813906,865.007,31.1274,0.708631,3.564,
111,987.862,1407.51,1585.01,0.701851,24.6252,0,49.1104,39.5808,2.89686,999.879,120.351,49.4208,121.645,15.4708,0,163.003,124.483,2.02671,566.316,243.518,163.74,798.208,11.6239,0,0.317058,0.349837,0.00813906,865.007,31.1274,0.708631,3.564,
112,987.862,1636.36,6069,0.603693,23.0287,0,35.5067,29.6553,3.07962,941.015,115.879,36.2231,451.976,9.99187,0,104.925,88.3763,2.53327,391.437,247.654,109.841,5526.84,11.6239,0,0.317058,0.349837,0.00813906,865.007,31.1274,0.708631,3.564,
113,987.862,1367.54,1321.69,0.722363,24.5543,0,55.2212,40.6763,3.18271,998.653,122.055,55.7789,67.42,15.9846,0,202.606,167.503,2.72992,616.763,238.215,204.03,356.013,1.37063,0,0.317058,0.349837,0.00813906,799.61,31.1274,0.708631,3.564,
114,983.567,1564.12,3004.42,0.628829,24.6702,0,45.1127,39.2608,3.12389,1007.86,142.319,45.4311,256.343,15.7701,0,145.833,131.251,2.4154,613.203,300.511,147.831,2337.86,11.6239,0,0.317058,0.349837,0.00813906,865.007,31.1274,0.708631,3.564,
115,983.567,1385.39,1226.97,0.709957,24.7569,0,64.2906,33.5475,3.05869,985.346,128.154,64.628,81.6087,14.8083,0,196.17,114.553,2.4616,505.519,250.925,200.396,271.136,4.9196,0,0.317058,0.349837,0.00813906,811.522,31.1274,0.708631,3.564,
116,983.567,1318.32,1257.31,0.746077,23.2868,0,49.5218,49.8072,3.10929,962.645,117.704,50.2552,61.9885,12.0729,0,189.55,187.517,2.33906,498.756,226.505,194.859,138.97,11.6239,0,0.317058,0.349837,0.00813906,827.802,26.7193,0.708631,3.564,
117,974.61,1441.34,2297.43,0.676185,23.4203,0,37.2249,30.2273,3.03344,976.246,120.102,37.463,213.621,11.6884,0,129.94,80.7327,2.28572,503.789,263.996,131.737,1670.35,11.6239,0,0.317058,0.349837,0.00813906,786.175,26.7193,0.708631,3.564,
118,974.61,1311.92,1165.74,0.742886,23.8149,0,47.5942,39.7422,3.04776,979.866,108.549,48.0853,61.2254,12.7264,0,166.726,144.967,2.23454,522.338,203.765,168.166,201.241,11.6239,0,0.235391,0.349837,0.00813906,809.154,26.7193,0.312644,3.564,
119,974.61,1266.13,1115.4,0.769753,23.9539,0,36.7457,32.541,3.09606,973.157,109.376,37.2718,49.9932,15.127,0,126.693,116.332,2.27974,558.279,231.966,129.35,94.5916,11.6239,0,0.235391,0.349837,0.0278364,826.579,26.7193,0.312644,2.2465,
120,974.61,1363.65,2010.59,0.714707,23.4045,0,43.8978,29.6753,3.11045,937.228,109.204,44.2132,172.917,12.6814,0,168.699,127.603,2.38244,444.744,249.88,169.982,1100.78,11.6239,0,0.235391,0.349837,0.0278364,802.585,26.7193,0.312644,5.37835,
121,974.61,1294.16,1248.73,0.753084,23.6057,0,41.9892,28.7014,3.13467,960.292,114.273,42.3879,79.7747,12.3854,0,169.56,99.9754,2.25941,470.234,228.987,170.595,461.586,11.6239,0,0.235391,0.349837,0.0278364,819.371,31.1274,0.312644,5.37835,
122,974.61,1415.01,1931.38,0.688764,23.8307,0,44.6632,33.956,3.21566,973.785,133.71,44.8915,156.961,13.6867,0,171.049,103.031,2.32523,506.425,314.605,171.029,1113.01,11.6239,0,0.235391,0.349837,0.0278364,865.007,31.1274,0.312644,5.37835,
123,974.61,1771.92,5634.18,0.550032,23.8078,0,46.1337,38.2437,3.13818,1003.63,123.103,47.2031,486.654,13.1576,0,162.02,131.924,2.22687,569.634,268.629,167.357,4945.15,7.34802,0,0.235391,0.349837,0.0278364,823.261,31.1274,0.312644,5.37835,
124,974.61,1260.55,1111.47,0.773161,23.7236,0,44.6983,37.7151,3.06327,957.68,101.184,45.3849,47.104,14.2371,0,149.665,119.419,2.42034,511.656,202.287,153.463,451.479,11.6239,0,0.235391,0.349837,0.0278364,865.007,31.1274,0.312644,5.37835,
125,974.61,1722.83,6013.49,0.565703,23.4171,0,35.6344,26.8273,2.92577,953.526,112.873,35.8119,531.813,12.5417,0,121.191,79.7101,2.0841,453.619,247.321,122.623,5539.96,11.6239,0,0.235391,0.349837,0.0278364,865.007,31.1274,0.312644,2.8445,
126,955.172,1344.12,1250.36,0.710628,23.336,0,54.7367,46.7683,2.93952,973.883,119.303,55.6116,67.5455,12.9399,0,198.13,172.557,1.95037,534.896,255.389,198.364,454.271,10.5077,0,0.235391,0.349837,0.0278364,790.02,31.1274,0.312644,1.75032,
127,955.172,1290.86,1172.78,0.739951,23.4973,0,42.2015,40.1467,3.07039,980.359,98.1902,42.9371,60.4564,12.2614,0,172.094,167.249,2.46513,531.277,150.203,177.228,142.36,15.291,0,0.235391,0.349837,0.0278364,788.392,31.3572,0.312644,1.75032,
128,955.172,1850.77,7646.63,0.516093,23.6684,0,37.5749,32.3505,2.91958,970.443,111.565,38.1642,634.09,14.0551,0,126.374,100.328,2.10449,527.523,237.681,130.06,7004.51,15.291,0,0.235391,0.349837,0.0278364,808.364,31.3572,0.312644,1.50387,
129,955.172,1312.24,1356.23,0.727893,23.455,0,60.9041,42.4053,3.06308,958.857,117.39,61.7406,44.4271,12.5858,0,231.598,163.27,2.26651,488.831,280.418,232.801,506.17,15.291,0,0.235391,0.349837,0.0278364,816.058,25.8724,0.312644,1.50387,
130,955.172,1414.66,1639.57,0.675197,25.7565,0,41.9362,34.4796,3.02073,1035.17,130.385,42.1569,101.749,20.2723,0,143.019,117.53,2.24943,727.201,290.561,146.233,628.602,15.291,0,0.235391,0.349837,0.0278364,822.976,31.3572,0.312644,1.50387,
131,955.172,1291.69,1350.39,0.739474,23.3022,0,40.4216,38.5972,2.99593,961.866,97.5893,40.9845,85.9343,12.8023,0,143.598,139.476,2.1824,487.469,196.757,146.192,552.121,16.6394,0,0.235391,0.349837,0.0278364,865.007,31.3572,0.312644,1.50387,
132,955.172,1264.18,1007.87,0.755568,23.8851,0,46.5215,27.5084,3.12899,971.048,84.9475,46.8026,60.3353,14.551,0,171.79,81.348,2.66353,515.682,97.3044,172.473,166.39,9.75094,0,0.235391,0.349837,0.0278364,832.259,31.3572,0.312644,1.50387,
133,955.172,1259.64,1058.82,0.758287,23.7503,0,40.6259,26.5172,2.99896,964.63,112.425,40.868,47.8276,13.3442,0,162.015,91.6238,2.15565,479.649,234.302,163.448,121.024,16.6394,0,0.235391,0.349837,0.0278364,864.877,31.3572,0.312644,1.50387,
134,955.172,1497.5,3851.54,0.637843,22.9358,0,48.8567,37.6257,3.05672,957.637,97.311,49.4576,280.623,11.2559,0,211.265,157.234,2.18722,483.339,199.285,214.925,3332.47,16.4518,0,0.235391,0.349837,0.0278364,808.714,31.3572,0.312644,1.50387,
135,955.172,1309.64,1392.96,0.729338,23.7668,0,40.4024,26.4977,2.99141,979.583,118.345,40.5958,77.4597,14.6471,0,127.411,79.3035,2.06824,526.42,264.386,127.418,526.698,3.93746,0,0.235391,0.349837,0.0958355,865.007,31.3572,0.312644,1.50387,
136,955.172,1482.7,1875.77,0.644213,24.8281,0,56.1911,41.2602,3.05429,1012.31,142.584,56.5944,145.871,16.4666,0,186,127.333,2.37898,588.291,312.807,186.17,884.621,16.6394,0,0.235391,0.349837,0.0694111,865.007,31.3572,0.312644,1.50387,
137,955.172,1426.01,3140.83,0.669823,22.5856,0,47.6866,35.4725,3.00667,934.298,112.994,48.485,221.477,9.462,0,189.69,127.419,2.39877,365.632,247.167,194.601,2591.24,16.6394,0,0.235391,0.349837,0.0958355,862.667,31.3572,0.312644,1.50387,
138,955.172,1413.58,2372.16,0.675711,24.0116,0,49.2536,101.506,3.04093,1030.19,107.258,44.9685,53.3518,15.0038,0,199.957,1007.08,2.62402,1057.9,237.187,187.659,228.02,16.6394,0,0.235391,0.349837,0.0958355,865.007,31.3572,0.312644,1.50387,
139,955.172,1359.87,1917.27,0.702397,23.7429,0,32.9741,27.2681,3.04432,969.962,102.623,33.3993,166.859,14.4949,0,142.497,116.537,2.29209,523.254,217.26,143.053,1253.42,16.6394,0,0.235391,0.349837,0.0958355,865.007,31.3572,0.312644,1.50387,
140,955.172,1317.68,1719.27,0.724891,22.9723,0,40.5947,25.1903,2.90755,945.077,107.644,40.9242,132.365,10.0893,0,134.094,102.576,1.87406,360.171,214.48,133.16,1134.3,16.6394,0,0.235391,0.349837,0.0958355,865.007,31.3572,0.312644,1.50387,
141,955.172,1380.43,1454.73,0.691938,24.6979,0,56.1272,40.891,3.11177,1019.37,109.813,56.6139,69.8088,15.8669,0,212.653,166.284,2.28161,590.325,219.475,212.391,310.882,16.6394,0,0.235391,0.349837,0.0958355,865.007,31.3572,0.312644,1.50387,
142,955.172,1406.07,2011.56,0.679318,23.7536,0,44.5275,29.977,3.00846,983.91,122.75,44.8374,153.31,13.7881,0,157.786,119.781,2.33966,550.887,264.779,158.885,1421.14,15.433,0,0.235391,0.349837,0.0958355,808.329,31.3572,0.312644,1.50387,
143,955.172,1392.93,1619.61,0.685728,23.4301,0,54.1658,65.3165,3.19485,980.973,129.577,55.0361,81.2367,12.0938,0,197.253,477.563,2.58931,511.4,294.533,198.483,548.862,7.40878,0,0.235391,0.349837,0.0958355,865.007,31.3572,0.312644,1.50387,
144,955.172,1233.28,1105.78,0.7745,23.9124,0,31.2864,29.9307,3.02635,979.604,91.3024,31.6052,42.6086,15.2793,0,141.598,115.935,2.52662,566.421,168.491,144.715,123.074,16.8336,0,0.235391,0.349837,0.0788754,865.007,31.3572,0.312644,1.50387,
145,955.172,1541,2519.51,0.61984,24.4562,0,56.4736,32.0231,2.95853,993.16,140.133,56.6752,235.118,13.425,0,187.469,94.9994,2.02688,489.434,313.539,182.391,1805,16.8336,0,0.235391,0.786104,0.0958355,849.075,31.3572,0.312644,1.50387,
146,955.172,1534.94,2089.99,0.622284,24.479,0,63.3417,46.2801,3.13349,1005.42,147.49,63.7279,181.07,15.0436,0,216.583,162.303,2.26288,594.065,337.79,216.925,1134.37,10.132,0,1.06205,0.786104,0.0958355,865.007,34.0895,1.14243,1.50387,
147,955.172,1260.35,1146.78,0.757865,23.2712,0,44.229,32.1537,3.01293,961.959,100.347,45.2023,50.1708,11.0439,0,176.842,137.363,2.38742,481.341,211.218,183.652,183.047,17.0415,0,0.277788,0.786104,0.0136871,865.007,34.0895,0.692797,1.50387,
148,955.172,1343.87,1321.48,0.710759,24.759,0,43.6855,32.5116,2.87698,1011.14,138.619,43.9617,46.3246,16.1007,0,146.635,116.27,1.86674,609.145,331.524,147.176,96.649,17.0415,0,0.277788,0.786104,0.0958355,865.007,34.0895,0.692797,1.50387,
149,955.172,3798.43,36888.7,0.251465,22.8403,0,31.5251,27.5339,2.96972,955.028,103.354,32.1288,2623.06,10.8788,0,146.331,112.013,2.14056,469.556,234.978,150.012,36468.2,14.3181,0,0.277788,0.167899,0.0958355,865.007,34.0895,0.692797,1.50387,
150,955.172,1579.76,5238.36,0.604629,22.6714,0,28.6065,20.8477,2.969,919.417,101.424,28.8108,455.017,8.24329,0,118.104,61.9769,1.97585,292.947,237.531,118.014,5268.43,17.0415,0,0.277788,0.167899,0.0958355,865.007,34.0895,0.692797,1.50387,
151,955.172,1300.5,1650.02,0.734464,23.5879,0,26.3263,22.1194,3.02049,973.621,104.418,27.1016,120.306,13.4917,0,97.7636,86.0542,2.40846,539.476,235.618,103.024,1058.01,17.0415,0,0.277788,0.167899,0.0958355,865.007,34.0895,0.692797,1.50387,
152,955.172,1243.21,1160.89,0.768311,23.3231,0,32.8767,16.6328,2.99941,944.578,107.2,33.0988,82.5005,11.2781,0,121.462,45.4016,2.312,400.5,255.887,121.381,409.766,4.57372,0,0.277788,0.167899,0.0958355,865.007,34.0895,0.692797,1.50387,
153,955.172,1805.36,6234.47,0.529075,23.349,0,48.8207,37.0282,3.26913,980.637,111.064,50.9705,550.224,10.6023,0,191.517,203.769,3.06727,759.527,253.961,202.924,5612.5,17.0415,0,0.277788,0.167899,0.0958355,819.404,34.1035,0.692797,1.50387,
154,949.547,1332.1,1332.56,0.712821,24.9864,0,38.5911,34.2075,2.98031,1018.56,114.873,39.5621,58.3374,16.9179,0,149.263,169.327,2.13409,638.332,247.382,153.168,516.456,17.0415,0,0.277788,0.167899,0.0958355,865.007,34.1035,0.692797,1.50387,
155,949.547,1488.96,2727.8,0.637723,23.9993,0,51.7069,36.028,2.97139,978.694,113.895,52.7526,228.917,13.5643,0,230.451,167.857,2.20898,575.718,273.58,236.412,1886.24,17.0415,0,0.277788,0.167899,0.0958355,822.57,34.1035,0.692797,1.50387,
156,949.547,1258.28,1182.49,0.754638,23.4502,0,42.0522,42.4969,2.96876,968.045,88.3058,42.6816,48.2806,11.8319,0,175.932,195.588,2.36021,508.446,172.338,177.69,226.902,17.0415,0,0.277788,0.167899,0.0581438,865.007,31.9042,0.692797,1.50387,
157,949.547,1773.44,7302.22,0.535425,23.5369,0,52.5884,28.8799,2.96175,944.837,108.667,52.9341,559.04,11.321,0,196.809,124.62,2.32293,422.02,241.894,197.475,6866.68,17.0415,0,0.277788,0.167899,0.0958355,831.14,34.1035,0.692797,1.50387,
158,949.547,1463.03,2597.82,0.649028,23.9863,0,44.3517,45.4611,2.95428,1005.87,124.77,45.1662,170.471,14.2413,0,184.137,187.75,2.12089,631.107,298.539,188.009,1758.07,13.8561,0,0.277788,0.167899,0.0958355,865.007,34.1035,0.692797,1.50387,
159,949.547,1243.88,1027.11,0.763377,23.0308,0,54.9557,29.0861,2.82959,934.545,104.513,55.2812,39.6353,9.439,0,203.75,96.2741,1.86773,354.703,242.37,203.598,141.902,13.5918,0,0.277788,0.167899,0.0958355,791.714,34.1035,0.692797,1.50387,
160,949.547,1291.7,1819.71,0.735114,23.9837,0,30.0516,26.3165,2.79485,962.146,96.7375,30.3614,119.308,14.924,0,125.145,112.004,1.76627,542.608,221.577,125.297,1114.39,17.0415,0,0.277788,0.167899,0.0958355,865.007,34.1035,0.692797,1.50387,
161,949.547,1620.81,3658.11,0.585848,24.3482,0,59.8372,46.8845,2.98996,1000.27,126.902,60.7811,298.797,14.7849,0,226.57,208.85,2.09702,612.593,295.246,224.005,2592.35,5.52607,0,0.277788,0.167899,0.0958355,865.007,34.1035,0.692797,1.50387,
162,949.547,4256.6,41668,0.223077,25.0213,0,44.6788,44.695,3.03893,1009.53,109.999,45.9873,2973.64,19.6849,0,180.812,207.4,2.57399,679.156,247.493,191.156,41376.9,17.5869,0,0.277788,0.167899,0.0958355,865.007,34.1035,0.692797,1.50387,
163,949.547,1467.44,1957.62,0.647075,25.0778,0,46.1599,38.1016,3.05375,1038.33,124.551,47.299,144.874,16.5841,0,188.039,167.668,2.0757,654.568,274.673,192.97,2877.45,7.12676,0,0.277788,0.167899,0.0958355,865.007,34.1035,0.692797,1.50387,
164,949.547,1289.21,1229.74,0.736534,23.562,0,54.7217,35.2687,3.10036,968.893,102.903,55.4443,45.3169,10.6849,0,218.184,156.147,2.3761,469.549,222.338,219.993,151.67,17.5869,0,0.277788,0.167899,0.0958355,865.007,34.1035,0.692797,1.75032,
165,949.547,1262.2,1553.64,0.752294,22.6325,0,28.042,26.3496,2.93434,932.272,104.306,28.9971,116.668,9.29607,0,111.973,141.628,2.03364,406.701,261.671,118.144,844.785,11.917,0,0.277788,0.167899,0.0958355,865.007,34.1035,0.692797,1.75032,
166,949.547,1287.98,1548.72,0.737236,23.324,0,37.4077,21.6766,2.94053,932.563,105.581,37.7472,126.742,10.716,0,154.615,77.1605,1.7821,362.394,251.475,153.551,972.064,17.5869,0,0.277788,0.167899,0.0582566,865.007,34.1035,0.692797,1.75032,
167,949.547,1233.18,1026.01,0.769998,22.6493,0,46.4185,27.9219,2.84286,931.791,97.4878,46.765,57.3051,8.52296,0,189.363,99.7573,1.77019,361.158,221.96,188.085,202.617,17.5869,0,0.277788,0.167899,0.0582566,821.042,34.1035,0.692797,1.75032,
168,949.547,1338.29,1305.25,0.709521,24.547,0,56.7543,33.3341,3.20273,997.534,116.412,57.2795,49.2294,14.1822,0,216.965,127.469,2.35569,520.088,263.336,216.252,151.814,17.5869,0,0.277788,0.167899,0.0582566,865.007,17.3985,0.651272,1.75032,
169,949.547,1318.69,1621.82,0.720069,24.1877,0,38.3205,27.161,3.13885,985.568,102.315,39.4408,98.5572,14.8512,0,165.765,139.659,2.39035,593.625,247.565,174.617,821.08,17.5869,0,0.277788,0.167899,0.0582566,844.36,34.1035,0.692797,1.75032,
170,949.547,1544.34,2749.26,0.614855,26.3122,0,66.4918,43.3553,3.15031,1040.02,124.968,68.1843,171.861,22.1557,0,247.664,197.489,2.2726,839.607,299.943,251.017,1722.53,17.5869,0,0.277788,0.167899,0.0582566,803.938,34.1035,0.692797,1.75032,
171,949.547,1243.67,1124.77,0.763507,23.7674,0,52.567,24.7789,3.08687,948.414,85.4765,52.9919,52.5828,12.4083,0,207.065,119.367,1.98827,462.238,144.598,210.591,202.85,17.5869,0,0.277788,0.167899,0.0582566,821.291,34.1035,0.692797,1.75032,
172,949.547,3128.61,28629.7,0.303504,22.5282,0,31.3081,25.938,3.14168,919.651,81.3144,31.9727,2012.76,8.94442,0,180.723,137.899,1.91058,372.361,187.926,184.537,28007.5,17.5869,0,0.277788,0.167899,0.0958355,865.007,34.1035,0.692797,1.75032,
173,949.547,1600.73,4252.23,0.593195,23.9182,0,54.8972,45.5568,3.23221,1007.74,102.559,55.3059,307.528,12.8012,0,240.767,238.798,2.02971,667.323,236.494,238.201,4125.4,17.5869,0,0.277788,0.167899,0.0958355,865.007,34.1035,0.692797,1.75032,
174,949.547,1293.59,1540.58,0.734039,22.9426,0,40.0202,24.7905,3.28244,946.779,113.594,40.4192,101.763,10.6344,0,154.83,86.9435,2.45184,401.175,271.507,155.135,863.021,4.11642,0,0.277788,0.167899,0.0958355,865.007,34.1035,0.692797,1.75032,
175,949.547,1376.61,1937.26,0.689772,23.4429,0,54.6377,41.9854,3.17187,957.549,98.9018,55.2209,141.7,11.5728,0,232.446,193.354,2.15446,451.309,245.276,232.241,1079.26,10.85,0,0.277788,0.167899,0.0958355,833.507,33.2273,0.692797,1.75032,
176,949.547,1273.9,1258.47,0.745384,23.8795,0,45.9158,38.9435,3.29053,968.396,96.2401,46.5954,50.6412,14.0694,0,193.782,167.754,2.32408,512.068,229.325,196.503,189.33,5.6058,0,0.277788,0.167899,0.0958355,840.64,8.68573,0.692797,1.75032,
177,949.547,1223.04,1118.4,0.776385,23.7239,0,38.1011,28.5393,3.06761,947.039,97.9848,38.0112,46.5689,13.2347,0,164.758,103.1,1.76505,462.218,232.574,164.06,162.699,17.5869,0,0.277788,0.167899,0.0958355,847.16,34.1035,0.692797,1.75032,
178,949.547,1159.79,864.875,0.81872,22.7651,0,34.7546,20.7053,3.32091,917.05,93.4245,35.1109,32.6626,10.117,0,151.577,75.7747,2.16316,363.424,219.096,152.187,78.4379,15.3025,0,0.277788,0.167899,0.0958355,833.68,34.1035,0.692797,1.75032,
179,949.547,1343.57,1303.4,0.706734,24.5298,0,47.3369,26.4123,3.2384,990.178,143.917,47.6839,60.2746,15.0796,0,164.75,104.185,1.99262,546.861,350.465,164.705,184.871,8.54737,0,0.277788,0.167899,0.0958355,826.397,34.1035,0.692797,1.75032,
180,949.547,1390.62,1754.78,0.682825,24.2245,0,62.4125,47.51,3.50471,1024.78,113.108,63.8238,51.252,14.2661,0,266.221,237.399,2.50646,776.939,260.748,271.545,157.867,4.43974,0,0.277788,0.167899,0.0958355,791.326,34.1035,0.692797,1.75032,
181,949.547,1262.16,1389.47,0.752321,23.4873,0,43.2453,26.658,3.19815,951.956,98.2245,44.6002,70.7872,11.8607,0,178.145,132.019,1.98818,428.221,209.892,182.592,494.084,2.60373,0,0.277788,0.167899,0.0958355,844.969,34.1035,0.692797,1.75032,
182,949.547,1126.43,834.614,0.842968,23.1746,0,18.6668,17.8278,3.02636,932.433,72.8954,19.0638,39.3448,12.2848,0,86.3335,91.66,1.94996,426.424,130.976,86.7816,168.75,10.4429,0,0.277788,0.167899,0.0958355,864.526,34.6031,0.692797,1.75032,
183,949.547,1300.18,1506.93,0.730322,23.6239,0,40.8658,33.2641,3.14169,969.228,110.243,41.6915,78.118,12.572,0,166.089,170.918,2.37252,520.2,275.094,168.945,527.427,17.5869,0,0.277788,0.414523,0.0958355,864.526,34.6031,0.692797,1.75032,
184,949.547,1507.61,3495.87,0.629837,23.3229,0,42.1399,30.6147,3.03107,950.568,115.7,42.9121,299.318,11.7168,0,194.875,148.15,1.99469,486.198,290.825,197.715,2701.15,12.4498,0,0.277788,0.414523,0.0958355,756.941,34.6031,0.692797,1.75032,
185,949.547,1451.05,2585.72,0.654386,24.5039,0,44.9654,27.9042,2.95815,977.517,118.113,45.3029,209.785,14.7747,0,179.376,115.653,1.75587,540.558,300.214,179.139,1731.58,18.1281,0,0.277788,0.414523,0.0973758,821.716,34.6031,0.692797,1.75032,
186,949.547,1251.83,1218.8,0.758524,23.9869,0,48.2539,33.0251,2.95046,962.485,101.055,48.7191,31.3588,13.6114,0,201.249,137.568,1.98147,509.045,236.928,201.348,203.944,18.1281,0,0.277788,0.414523,0.0120778,817.948,34.6031,0.692797,1.75032,
187,949.547,1263.07,1452.48,0.751776,24.8879,0,32.3132,32.0551,2.93739,1006.28,80.786,33.3912,50.4191,17.7316,0,187.649,192.175,2.05317,728.105,161.201,194.605,247.599,18.1281,0,0.277788,0.414523,0.0775882,864.526,37.4056,0.692797,1.75032,
188,949.547,1257.59,1276.41,0.755055,23.3885,0,39.123,29.8894,2.90041,943.118,108.046,38.776,72.344,11.2175,0,152.878,124.51,1.93138,430.997,262.601,149.425,388.025,12.1655,0,0.277788,0.414523,0.0775882,835.355,37.4056,0.692797,1.75032,
189,949.547,1261.13,1247.06,0.752934,23.2834,0,43.7645,38.3345,3.03281,958.299,109.444,44.9971,39.9738,10.3184,0,186.404,173.569,1.97642,497.682,253.539,190.68,138.739,16.8484,0,0.277788,0.414523,0.0775882,864.526,32.5296,0.692797,1.75032,
190,949.547,1269.03,1276.72,0.748245,23.9081,0,57.6492,29.4524,3.03671,954.993,101.589,58.2024,40.201,12.8437,0,240.749,133.997,2.45814,445.883,235.924,241.569,148.36,16.8969,0,0.277788,0.414523,0.0775882,864.526,37.4056,0.692797,1.75032,
191,949.547,1570.4,3177.62,0.604653,24.4474,0,56.1133,35.3904,3.01309,993.649,113.51,57.3915,286.886,14.0488,0,236.376,190.061,2.5059,589.951,272.738,242.683,2439.62,12.5217,0,0.277788,0.414523,0.0775882,789.965,37.4056,0.692797,1.75032,
192,949.547,1241.87,1072.25,0.764608,23.3644,0,39.1442,33.1877,2.94995,960.414,102.611,40.0603,40.1435,9.74445,0,190.051,152.391,2.16264,445.072,232.7,194.098,287.631,18.595,0,0.277788,0.414523,0.0775882,864.526,37.4056,0.692797,1.75032,
193,949.547,1386.47,1953.1,0.684869,23.481,0,43.4857,31.7692,3.16428,985.979,108.886,45.1176,144.582,13.3865,0,185.398,135.93,2.557,549.178,248.432,193.419,1346.78,5.46848,0,0.277788,0.414523,0.0775882,864.526,37.4056,0.692797,1.75032,
194,949.221,1346.93,1976.46,0.704727,24.691,0,29.8887,17.9575,2.86155,993.109,103.689,30.1892,144.548,15.9254,0,118.88,75.2788,1.8078,581.598,254.861,121.072,1242.32,18.595,0,0.277788,0.414523,0.0775882,864.526,37.4056,0.692797,1.75032,
195,949.221,1409.65,1976.05,0.673374,25.4415,0,38.4629,40.6744,2.96233,1036.9,103.166,39.0056,123.033,17.6729,0,168.415,215.979,1.95459,717.359,218.973,167.589,951.288,18.595,0,0.277788,0.414523,0.0775882,864.526,37.4056,0.692797,1.75032,
196,949.221,1249.85,1230.6,0.759467,23.7886,0,35.2789,28.1484,2.90307,987.683,88.3086,36.2043,47.5354,13.7272,0,168.9,142.906,1.93785,584.169,162.064,174.517,190.397,11.2018,0,0.277788,0.414523,0.0775882,851.859,37.4056,0.692797,1.75032,
