Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Roll.rear.camber_angle_gain_roll_l.avg,2in Heave.rear.p_rod_length_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.toe_angle_l.avg,2in Heave.rear.tie_rod_angle_top_view_l.avg,2in Heave.rear.roll_center_gnd.z.avg,2in Heave.rear.coil_over_length_l.avg,2in Heave.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.motion_ratio_heave_l.avg,Roll.rear.camber_angle_gain_roll_l.std_dev,2in Heave.rear.p_rod_length_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.toe_angle_l.std_dev,2in Heave.rear.tie_rod_angle_top_view_l.std_dev,2in Heave.rear.roll_center_gnd.z.std_dev,2in Heave.rear.coil_over_length_l.std_dev,2in Heave.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.camber_angle_gain_roll_l.best,2in Heave.rear.p_rod_length_l.best,Roll.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.toe_angle_l.best,2in Heave.rear.tie_rod_angle_top_view_l.best,2in Heave.rear.roll_center_gnd.z.best,2in Heave.rear.coil_over_length_l.best,2in Heave.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.motion_ratio_heave_l.best,
44,1024.91,1445.11,800.585,0.709222,23.1199,0,73.3671,50.247,3.64062,953.14,161.881,73.984,105.734,7.35179,0,131.366,135.352,2.38268,308.177,123.556,134.716,244.986,5.52531,0,1.46053,0.654347,0.0622119,863.504,23.3558,2.63927,7.08834,
45,1024.91,1545.45,1571.15,0.663178,24.2069,0,84.3051,41.2586,3.49079,954.123,184.658,84.3994,169.004,9.83794,0,163.54,57.4971,2.21548,307.7,236.012,162.11,961.387,6.04917,0,1.46053,0.654347,0.0622119,809.426,19.5978,2.63927,3.28572,
46,1024.91,1433.43,708.511,0.715005,23.5883,0,76.1878,43.414,3.38792,936.636,177.033,76.3275,96.8506,8.35742,0,138.214,72.935,2.20653,208.797,215.617,138.937,124.133,5.76014,0,1.46053,0.654347,0.0622119,852.92,19.5978,2.63927,3.28572,
47,1024.91,1524.22,1040.79,0.672412,25.6053,0,77.364,46.6532,3.48484,1002.31,185.287,77.5918,105.933,15.7774,0,155.64,105.777,2.47133,510.859,225.182,155.822,132.413,6.04917,0,0.538106,0.654347,0.0622119,837.102,19.5978,1.30377,3.28572,
48,1024.91,1516.74,1127.77,0.67573,25.0601,0,68.9606,46.4126,3.68739,999.06,175.121,69.2164,129.221,13.2082,0,137.411,123.214,2.63669,475.62,193.356,138.166,400.084,6.04917,0,0.538106,0.654347,0.0622119,863.504,19.5978,0.97429,3.28572,
49,1024.91,1815.27,6016.44,0.564603,24.1978,0,71.3905,41.9329,3.68586,949.232,158.042,71.4768,495.311,11.4267,0,148.744,96.6977,2.7243,341.357,150.441,148.501,5586.15,6.04917,0,0.538106,0.654347,0.0622119,808.122,27.3076,1.30377,3.28572,
50,1024.91,1454.38,990.391,0.704703,24.3973,0,71.9773,43.1101,3.68219,962.116,179.121,72.1497,97.8268,12.522,0,166.109,103.46,2.63243,380.143,236.618,166.528,362.912,6.04917,0,0.538106,0.68405,0.0622119,863.504,27.3076,1.30377,3.28335,
51,1024.91,1453.01,1050.71,0.70537,23.7544,0,75.4018,56.8158,3.7301,966.278,167.471,75.7601,83.7948,11.3693,0,170.121,157.585,2.62053,424.092,194.438,171.139,84.8854,6.04917,0,0.538106,0.68405,0.0622119,863.504,27.3076,1.30377,3.28572,
52,1024.91,1444.67,1110.82,0.70944,22.983,0,59.3047,44.6758,3.71847,940.34,174.685,60.0705,138.891,7.40788,0,95.964,84.3795,2.64277,291.191,221.152,100.182,625.734,6.04917,0,0.538106,0.68405,0.0622119,831.817,27.3076,1.30377,3.28572,
53,1024.91,1604.91,2431.52,0.638605,24.2219,0,73.7435,48.191,3.52206,970.078,174.325,73.9509,236.882,13.3528,0,165.236,101.248,2.45593,449.362,230.054,165.454,1649.04,6.04917,0,0.538106,0.68405,0.0622119,863.504,27.3076,1.30377,3.28572,
54,1024.91,1697.45,2851.48,0.603793,24.5011,0,62.8421,51.8641,3.63015,1016.52,175.706,63.3152,299.063,13.8237,0,135.172,132.753,2.65204,574.054,235.599,137.502,2265.38,6.04917,0,0.538106,0.68405,0.0622119,863.504,27.3076,1.30377,3.28572,
55,1024.91,1435.89,960.501,0.713776,24.5289,0,59.5776,40.7218,3.51252,980.411,176.035,59.7457,91.3619,14.1262,0,124.67,70.79,2.5185,463.823,249.604,125.355,253.498,7.56213,0,0.538106,0.68405,0.0622119,863.504,27.3076,1.30377,3.28572,
56,1024.91,1440.87,1193.38,0.71131,24.7059,0,62.5836,53.8466,3.46738,990.235,162.756,63.0989,80.1782,15.2911,0,142.406,153.434,2.86278,562.392,221.428,145.168,109.594,7.56213,0,0.538106,0.68405,0.0622119,863.504,27.3076,1.30377,3.28572,
57,1024.91,1345.71,725.373,0.761611,23.0225,0,51.8191,37.3861,3.36332,934.455,159.396,51.9515,84.3144,9.90394,0,83.7275,56.6303,2.52177,319.528,207.407,83.8222,156.953,6.45544,0,0.538106,0.418264,0.0622119,863.504,27.3076,1.30377,3.28572,
58,1024.91,1401.7,1026.49,0.731186,23.2365,0,62.831,54.3063,3.47183,957.039,155.886,63.4659,81.4672,10.8525,0,140.774,125.617,2.75799,417.98,181.588,141.374,132.783,7.56213,0,0.538106,0.418264,0.0622119,863.504,27.3076,1.30377,3.28572,
59,1024.91,1678.58,2113.48,0.610579,25.042,0,88.4536,55.6899,3.43673,1013.33,196.953,88.7983,206.873,15.1529,0,220.808,142.849,2.84649,534.393,303.406,216.932,1311.93,7.56213,0,0.908238,0.418264,0.0622119,864.988,27.3076,1.52401,3.28572,
60,1024.36,1498.21,1622.44,0.683723,23.2888,0,58.7137,45.2296,3.20902,968.788,174.005,59.088,165.888,10.462,0,142.206,100.948,2.5017,410.804,258.095,147.046,1086.24,7.56213,0,0.363381,0.418264,0.0622119,864.988,27.3076,0.784244,3.28572,
61,1011.41,1487.87,1164.6,0.67977,25.2991,0,63.5264,48.3473,3.25243,1042.4,154.3,63.7103,87.0357,16.9648,0,144.495,103.941,2.29652,631.539,165.416,143.937,176.345,10.3112,0,0.908238,0.418264,0.0622119,864.988,27.3076,1.52401,3.28572,
62,1011.41,1462.48,1168.41,0.691573,23.2683,0,62.162,58.9761,3.34186,987.862,173.464,63.4653,89.9364,13.1864,0,138.999,191.688,2.45673,515.286,240.695,145.926,153.576,6.48571,0,0.908238,0.418264,0.0622119,864.988,27.3076,1.52401,3.28572,
63,1007.23,1402.59,1125.82,0.718118,22.6475,0,57.9438,53.6216,3.42889,960.327,148.171,60.8039,95.6477,8.37765,0,132.344,164.974,2.68385,466.718,184.862,146.931,283.664,6.23661,0,0.908238,0.418264,0.0622119,855.337,27.3076,1.52401,3.28572,
64,1007.23,1434.86,1099.67,0.701966,23.7543,0,67.4292,48.7286,3.25172,974.993,169.599,67.6822,79.426,12.6873,0,189.867,139.008,2.37742,459.474,242.448,189.365,144.516,10.3112,0,0.71504,0.418264,0.0622119,803.442,27.3076,1.33894,3.28572,
65,1007.23,1468.02,1229.03,0.686112,24.3218,0,72.0924,50.7999,3.33748,992.3,179.332,72.4031,73.4338,15.189,0,185.82,112.07,2.74325,506.619,265.984,186.174,82.986,10.3112,0,0.908238,0.418264,0.0622119,864.571,27.3076,1.52401,5.9382,
66,1007.23,1404.55,1000.31,0.717116,23.4577,0,62.0455,39.3318,3.49784,964.562,167.048,62.2663,82.3415,10.5878,0,162.645,81.3694,2.63164,405.682,255.343,163.753,147.933,10.3112,0,0.908238,0.418264,0.0622119,864.571,27.3076,1.52401,5.9382,
67,1007.23,1431.03,1144.8,0.703846,24.1574,0,53.2835,48.2897,3.38349,991.369,165.444,53.5505,91.5552,14.1541,0,139.538,123.514,2.45234,525.326,247.807,141.129,259.891,10.3112,0,0.799895,0.418264,0.0617938,825.403,27.3076,1.07507,5.9382,
68,1007.23,1718.81,5039.52,0.586001,23.7901,0,59.3633,41.6872,3.37807,966.647,154.547,59.6471,409.755,13.7844,0,148.024,113.332,2.50404,488.579,234.688,147.76,4489.92,10.3112,0,0.908238,0.418264,0.0617938,788.377,27.3076,1.52401,5.9382,
69,1007.23,1580.84,3321.84,0.637145,23.574,0,54.4026,40.5929,3.46248,973.366,158.558,54.7092,272.18,11.5933,0,151.052,123.433,2.56287,446.469,255.228,152.745,2834.47,10.3112,0,0.908238,0.418264,0.0617938,864.571,27.3076,1.52401,5.92053,
70,1007.23,1971.02,7014,0.511019,23.2819,0,53.4759,40.4976,3.43124,946.985,146.553,53.9302,702.861,9.96706,0,137.699,87.896,2.50596,341.636,204.044,138.605,6525.03,10.3112,0,0.908238,0.418264,0.0617938,864.571,27.3076,1.52401,5.9382,
