Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.side_view_swing_arm_angle_l.avg,Heave.rear.p_rod_length_l.avg,Heave.rear.coil_over_length_l.avg,Heave.rear.roll_center_gnd.z.avg,Heave.rear.toe_angle_l.avg,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Heave.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.p_rod_length_l.std_dev,Heave.rear.coil_over_length_l.std_dev,Heave.rear.roll_center_gnd.z.std_dev,Heave.rear.toe_angle_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.best,Heave.rear.p_rod_length_l.best,Heave.rear.coil_over_length_l.best,Heave.rear.roll_center_gnd.z.best,Heave.rear.toe_angle_l.best,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,
0,1709.66,4883.18,1133.47,0.350112,315.1,0,628.409,2796.12,437.089,6.89584,334.293,308.562,56.7154,392.7,3.04533e-05,744.929,1070.33,544.343,5.16348,333.736,380.918,67.0743,15.4317,0,28.9282,1210.8,21.8119,0.308715,16.3141,15.3887,3.18211,
1,1709.66,4374.99,983.686,0.39078,305.211,0,518.214,2478.38,411.761,6.90328,301.963,302.502,50.0636,223.701,0,382.748,983.35,271.585,3.1617,233.347,220.268,32.184,6.84424,0,28.9282,1173.29,35.1647,0.308715,16.3141,2.06481,3.18211,
2,1709.66,4326.85,2176.42,0.395128,303.289,0,467.122,2295.98,389.383,7.38684,516.184,301.508,45.9976,213.707,0,357.393,840.251,259.731,2.97666,1808.5,211.697,28.0469,6.84424,0,28.9282,1173.29,35.1647,0.308715,16.3141,2.06481,2.89894,
3,1709.66,3782.06,1129.9,0.452045,267.005,0,477.44,2103.28,332.545,6.97496,288.365,266.017,40.4318,209.292,0,354.303,830.077,243.2,2.80426,307.65,208.118,28.4608,6.84424,0,21.9928,1173.29,3.54288,0.308715,6.01623,2.06481,2.87209,
4,1709.66,3609.17,1305.67,0.473698,238.94,0,499.259,1944.83,310.113,6.80167,335.266,237.933,36.0268,173.308,0,408.277,680.814,245.361,2.85163,725.312,173.384,24.5872,6.84424,0,21.9928,1173.29,3.54288,0.308715,6.01623,2.06481,2.87209,
5,1709.66,3518.72,2223.32,0.485875,230.998,0,502.4,1766.72,290.771,6.72661,462.584,229.374,29.1445,157.494,0,382.95,627.002,253.641,2.81187,1666.63,156.505,22.9542,6.84424,0,21.9928,1173.29,3.54288,0.501,6.01623,2.06481,2.69769,
6,1709.66,3240.97,2077.37,0.527514,224.214,0,486.687,1649.82,260.073,6.87667,366.312,222.279,24.7157,248.43,0,348.7,564.655,241.778,2.94662,1326.86,241.798,20.8028,6.84424,0,21.9928,1173.29,3.54288,0.501,6.01623,2.06481,2.67114,
7,1709.66,3214.79,3438.18,0.531811,180.247,0,490.405,1600.25,230.842,6.94233,506.3,178.35,21.4569,138.438,0,364.725,671.56,241.111,2.98016,2772.18,136.079,21.7015,2.53455,0,21.9928,1203.39,3.54288,0.501,6.01623,1.76406,2.67114,
8,1553.88,3668.97,9289.28,0.423519,181.115,0,458.38,1519.56,206.981,6.62577,1096.67,180.403,19.2374,176.476,0,336.666,651.103,182.003,3.05506,8659.4,176.7,21.1939,2.53455,0,21.9928,1203.39,3.54288,0.102867,6.01623,1.76406,2.67114,
9,1553.88,2853.87,1643.96,0.544481,186.515,0,476.91,1457.63,228.805,6.6889,296.04,184.886,16.3951,210.835,0,399.809,443.231,271.159,3.03274,1006.48,210.913,15.4771,2.53455,0,21.9928,1203.39,3.54288,0.0780521,6.01623,1.76406,2.67114,
10,1553.88,2632.31,1335.91,0.59031,175.066,0,397.955,1424.68,208.7,6.57517,232.109,172.623,14.6017,197.918,0,342.327,594.324,271.686,3.08512,180.484,194.014,15.3684,2.53455,0,20.1139,1203.39,3.54288,0.0780521,6.01623,1.76406,2.67114,
11,1553.88,2826.89,2688.54,0.549677,171.414,0,360.759,1467.89,196.565,6.49399,436.511,170.696,16.5645,191.194,0,353.704,729.563,236.862,3.1723,1971.42,190.465,22.0206,2.51846,0,20.1139,1203.39,3.484,0.0780521,6.01623,1.76406,2.67114,
12,1553.88,2417.5,1096.61,0.642762,153.694,0,320.48,1383.41,170.868,6.69238,215.334,152.93,14.0876,156.405,0,355.447,525.511,214.613,3.35907,222.047,155.684,16.3616,2.51846,0,20.1139,1100.42,3.54288,0.0780521,6.01623,1.76406,2.67114,
13,1553.88,2735.12,2815.56,0.56812,158.169,0,295.944,1438.27,163.49,6.3427,499.565,157.427,15.9162,200.844,0,327.222,609.224,208.066,3.16232,2145.34,200.075,19.0336,2.51846,0,18.9198,1203.39,3.54288,0.0780521,6.01623,1.76406,2.67114,
14,1553.88,2.18916e+06,2.17531e+07,0.000709805,187.764,0,342.581,1508.09,207.414,6.00484,2.18671e+06,182.312,17.1538,248.267,0,430.55,862.855,323.83,3.26105,2.16635e+07,237.477,21.0644,2.51846,0,20.1139,1203.39,3.54288,0.0780521,6.01623,1.76406,2.67114,
15,1553.88,2414.34,1413.62,0.643603,165.322,0,281.908,1401.03,153.611,5.83591,226.903,164.502,15.2282,226.033,0,363.612,564.201,206.107,3.3206,1.34785e+06,224.87,17.8475,2.51846,0,20.1139,1203.39,3.54288,0.0338134,6.01623,1.76406,2.67114,
16,1510.45,2426.26,1546.52,0.622544,161.153,0,252.492,1449.01,148.514,5.82083,232.789,159.681,16.7997,243.894,0,308.571,715.922,182.002,3.17857,154.037,238.853,21.4232,2.51846,0,20.1139,1203.39,3.54288,0.0338134,6.01623,1.76406,2.67114,
17,1487.77,2622.14,4820.18,0.567387,116.46,0,202.604,1362.62,139.424,5.51611,665.616,115.842,14.0541,139.367,0,218.091,552.466,169.242,3.22577,4345.11,138.87,16.36,2.51846,0,20.1139,1203.39,3.54288,0.0338134,6.01623,1.76406,2.67114,
18,1487.77,3286.47,9617.46,0.452695,101.501,0,237.957,1449.18,118.413,5.80631,1255.99,100.841,16.7804,100.855,0,361.591,788.91,173.933,3.31653,9132.74,100.507,23.7594,2.30362,0,20.1139,1203.39,3.54288,0.0338134,6.01623,1.35694,2.67114,
19,1487.77,2198.47,1265.28,0.676731,123.332,0,213.903,1362.04,124.683,5.35182,232.282,122.32,14.552,211.6,0,292.005,539.996,192.589,3.39981,653.538,210.527,16.9429,2.51846,0,20.1139,1203.39,3.54288,0.0338134,6.01623,1.76406,2.67114,
20,1487.77,2300.27,1554.42,0.64678,133.769,0,210.672,1413.96,161.025,5.35475,227.224,132.785,15.4751,222.918,0,304.838,660.577,266.937,3.19792,162.224,221.323,18.7412,2.51846,0,20.1139,1203.39,3.54288,0.0338134,64.0217,1.76406,2.67114,
21,1487.77,2522.78,2730.85,0.589733,134.376,0,221.407,1398.45,121.786,5.26836,492.661,133.443,15.3898,262.806,0,345.52,566.702,198.286,3.45056,1627.7,261.296,17.9038,2.51846,0,20.1139,1203.39,3.54288,0.0338134,64.0217,1.76406,2.67114,
22,1487.77,2494.06,3014.14,0.596525,123.022,0,216.245,1386.24,164.179,4.77287,463.714,121.029,14.854,257.267,0,345.503,619.371,293.952,3.19843,1700.07,253.633,17.4513,2.51846,0,20.1139,1203.39,3.56996,0.0338134,64.0217,1.76406,2.67114,
23,1426.92,4043.16,20069.8,0.352921,88.5109,0,178.229,1357.04,113.481,4.59945,2199.5,87.6664,14.1322,146.104,0,234.475,493.518,194.314,3.12417,19702.4,145.547,14.129,2.51846,0,20.1139,1204.52,3.56996,0.0338134,16.9483,1.76406,2.67114,
24,1426.92,2303.42,2438.01,0.619477,110.529,0,223.731,1370.77,111.196,4.58573,358.013,109.837,14.7604,188.616,0,370.983,521.866,159.916,3.16401,2418.42,188.314,16.077,2.51846,0,20.1139,1204.52,3.56996,0.0338134,28.6357,1.76406,2.67114,
25,1386.27,2490.87,2762.54,0.556541,133.596,0,198.505,1469.59,141.819,4.52406,393.54,131.933,17.3649,287.987,0,340.537,831.622,277.208,3.10271,1562.9,284.517,23.7618,1.31571,0,20.1139,1204.52,3.56996,0.0338134,55.0135,1.22406,2.67114,
26,1386.27,2700.2,7658.92,0.513397,73.0489,0,170.881,1367.12,81.5539,4.26195,916.355,72.4948,14.4825,179.272,0,293.178,675.156,127.657,2.93353,7215.93,178.868,20.3084,1.31571,0,23.2144,1204.52,3.56996,0.0338134,55.0135,1.22406,2.73286,
27,1386.27,2043.83,1386.49,0.678273,93.6945,0,163.085,1379.77,94.8359,4.02504,201.609,92.3689,14.4376,211.126,0,275.059,641.488,170.327,2.59338,725.096,209.579,19.5795,1.31571,0,23.2144,1204.52,3.67042,0.0338134,55.0135,1.22406,2.77746,
28,1386.27,2109,1495.67,0.657311,108.539,0,209.449,1333.39,86.6096,4.12358,245.077,108.024,13.7892,224.562,0,370.899,411.78,129.098,2.81053,475.991,224.726,14.3663,1.31571,0,25.1405,1204.52,3.67042,0.0338134,32.1988,1.22406,2.75903,
29,1386.27,4075.26,19938.6,0.340168,80.7807,0,180.3,1361.83,124.536,3.69581,2230.08,80.6969,13.3417,204.255,0,328.13,563.063,277.404,2.59734,19383,205.669,16.7182,1.31571,0,25.1405,1204.52,3.67042,0.0338134,32.1988,1.22406,2.70845,
30,1386.27,2529.09,4048.46,0.548132,109.024,0,156.402,1486.67,225.917,4.17821,418.498,113.018,15.3756,280.294,0,230.954,1190.53,1194.34,3.61223,2921.98,286.301,21.943,1.31571,0,25.1405,1204.52,3.67042,0.0338134,32.1988,1.22406,2.70845,
31,1386.27,2517.34,3886.33,0.55069,86.4437,0,223.167,1433.91,92.2048,3.66622,576.322,85.7397,15.8844,193.6,0,436.142,792.411,227.215,2.42547,2872.97,192.505,23.5378,1.31571,0,23.5958,1204.52,3.67042,0.0338134,32.1988,1.22406,2.77746,
32,1386.27,2098.02,1576.74,0.660754,75.5314,0,172.953,1472.68,85.807,3.62665,195.787,74.9782,16.6586,141.531,0,311.519,854.536,146.272,2.59518,323.537,141.264,25.4865,1.31571,0,25.1405,1204.52,3.67042,0.0338134,32.1988,1.22406,2.77746,
33,1386.27,2265.36,2591.23,0.611944,79.2633,0,184.465,1516.71,92.9459,4.01264,293.047,77.5545,17.3607,197.141,0,328.305,1057.61,249.231,2.7749,1099.67,189.077,28.1985,1.31571,0,25.1405,1204.52,3.67042,0.0338134,32.1988,1.22406,2.77746,
34,1386.27,2078.3,1650.17,0.667023,94.3851,0,145.822,1441.82,113.419,3.97688,170.569,93.0906,15.2178,225.967,0,216.586,787.877,269.573,2.66193,188.704,222.588,21.9369,1.31571,0,26.8923,1204.52,0.335973,0.0338134,17.1479,1.22406,2.77746,
35,1386.27,2057.66,1651.25,0.673713,103.481,0,155.829,1411.44,94.392,3.89886,170.628,102.709,15.2861,248.43,0,262.896,791.452,248.073,2.50632,177.382,247.014,23.0273,1.31571,0,26.8923,1204.52,0.335973,0.0338134,17.1479,1.22406,2.77746,
36,1369.27,2214.66,1867.06,0.618275,126.884,0,168.931,1465.23,128.287,4.0565,179.014,125.683,16.5736,280.083,0,289.875,802.5,284.774,2.65293,231.407,277.932,23.2343,1.31571,0,26.8923,1204.52,0.335973,0.0338134,17.1479,1.22406,2.77746,
37,1369.27,3818.89,13559.2,0.358551,107.922,0,225.973,1454.27,122.768,3.46646,1782.9,106.008,15.5785,246.412,0,434.766,699.467,256.834,2.18628,12587.7,241.406,20.9351,1.31571,0,26.8923,1206.4,0.335973,0.0338134,17.1479,1.22406,2.77746,
38,1369.27,2133.42,1798.71,0.641818,132.427,0,194.06,1380.02,123.062,3.67514,156.396,130.026,13.7565,323.249,0,353.584,669.504,262.585,2.50529,1620.91,317.549,17.2396,1.31571,0,26.8923,1206.4,0.335973,0.0338134,17.1479,1.22406,2.24996,
39,1369.27,2575.52,4875.64,0.531648,103.828,0,159.034,1412.7,99.4186,3.69616,679.04,102.945,14.8549,248.27,0,301.191,792.901,268.966,2.85426,3940.79,246.41,22.7503,1.31571,0,26.8923,1206.4,0.335973,0.0338134,17.1479,1.22406,2.87259,
40,1369.27,1994.15,1510.64,0.686641,77.1568,0,168.476,1366.74,101.092,3.47324,188.254,76.1506,12.8042,176.128,0,334.784,552.414,247.548,2.28914,521.862,175.211,16.1588,1.31571,0,26.8923,1206.4,0.335973,0.0338134,17.1479,1.22406,2.87259,
41,1369.27,2665.27,4846.03,0.513744,140.905,0,186.606,1459.49,162.619,3.37243,557.154,139.861,15.2678,316.636,0,349.645,789.06,354.763,2.24501,3399.57,314.062,21.8141,1.31571,0,26.8923,1206.4,2.71636,0.0338134,17.1479,1.22406,2.87259,
42,1369.27,2010.08,1588.41,0.6812,109.945,0,156.438,1383.7,90.1246,3.53191,143.609,108.935,13.7997,265.122,0,304.291,638.535,225.537,2.42583,450.349,263.07,19.4327,1.31571,0,26.8923,1206.4,2.71636,0.0338134,17.1479,1.22406,2.87259,
43,1369.27,2051.56,2437.6,0.667426,87.1796,0,152.786,1364.78,90.5004,3.27805,254.244,85.5095,13.2883,223.418,0,319.442,689.146,246.157,2.16796,1299.29,221.211,19.4038,1.31571,0,26.8923,1206.4,2.71636,0.119599,11.7683,0.921554,2.87259,
44,1347.55,2333.32,2643.01,0.577524,152.722,0,197.454,1448.25,124.421,3.25937,242.79,149.399,15.0243,380.927,0,398.987,731.121,281.576,2.19901,1151.64,370.802,21.0296,1.31571,0,26.8923,1206.01,2.71636,0.0883121,9.67566,0.921554,2.87259,
45,1347.55,2246.35,2591.11,0.599886,110.085,0,170.384,1434.8,127.404,3.62187,278.974,106.394,14.6871,289.692,0,368.023,722.327,310.963,2.69098,1118.8,282.052,20.4088,0.918804,0,30.6082,1206.01,2.71636,0.0883121,9.67566,0.921554,2.87259,
46,1347.55,2248.73,3589.18,0.599251,62.1811,0,172.954,1427.49,95.0391,3.51453,412.454,61.1167,13.9768,161.723,0,351.263,745.159,231.923,2.66933,2786.05,157.954,20.9239,0.918804,0,30.6082,1206.01,2.71636,0.0883121,9.67566,0.921554,2.87259,
47,1347.55,1831.99,1349.43,0.735566,72.6079,0,135.232,1348.1,74.6163,3.00874,114.074,72.05,12.3088,187.448,0,293.212,562.366,160.087,1.68464,294.278,186.808,17.3792,0.918804,0,30.6082,1206.01,1.61894,0.666939,9.67566,0.921554,2.87259,
48,1347.55,2042.2,1611.31,0.659852,89.3721,0,170.19,1398.25,117.919,3.06612,162.299,87.9231,13.18,225.113,0,347.712,638.228,249.44,2.00091,209.673,222.197,17.9734,1.31571,0,28.5389,1206.01,1.61894,0.394698,9.67566,0.921554,2.87259,
49,1347.55,2411.56,3474.6,0.558788,111.402,0,165.723,1436.43,114.848,3.16749,454.932,110.533,14.524,279.787,0,325.134,809.339,291.247,2.01235,2497.31,278.259,23.2853,1.31571,0,31.4007,1206.01,1.61894,0.435237,9.67566,0.921554,2.87259,
50,1347.55,2212.69,3103.16,0.609012,112.083,0,176.271,1341.27,94.5222,3.13882,361.309,111.447,12.6483,288.002,0,376.049,506.088,225.261,2.12866,1970.05,287.393,16.2465,1.31571,0,31.4007,1206.01,1.61894,0.666939,9.67566,0.921554,2.96465,
51,1347.55,1831.75,1157.9,0.735665,78.2757,0,133.574,1322.98,82.2031,2.92839,123.103,76.9202,11.758,211.384,0,276.184,373.926,193.716,1.9257,241.613,211.124,12.5192,1.31571,0,31.5902,1206.01,1.61894,0.666939,9.67566,0.921554,2.96465,
52,1347.55,2133.73,1802.36,0.631549,105.16,0,210.481,1462.04,96.3626,3.33993,136.505,103.589,16.2458,263.62,0,420.621,756.559,222.525,2.74184,200.658,260.559,23.5977,1.31571,0,31.7454,1205.82,1.61894,0.666939,9.67566,0.921554,2.96465,
53,1347.55,2435.05,2677.97,0.553398,137.306,0,187.073,1551.72,161.049,3.33449,246.641,131.879,16.0533,350.024,0,359.034,1041.62,391.71,2.54105,913.395,332.927,23.6927,1.31571,0,31.7454,1205.82,1.61894,0.237594,9.67566,0.921554,2.96465,
54,1347.55,6099.63,40921.9,0.220923,113.792,0,149.781,1366.6,133.559,3.15198,4208.99,111.941,11.8237,346.764,0,331.049,653.308,358.997,2.38808,40414.6,339.788,16.0617,1.31571,0,31.7454,1205.82,1.61894,0.666939,9.67566,0.921554,2.96465,
55,1347.55,2088.67,1889.69,0.645172,69.8914,0,153.517,1470.46,102.796,3.08669,203.024,70.4922,15.4049,184.257,0,278.334,804.205,268.409,2.04481,3264.66,183.98,24.0142,1.31571,0,33.7596,1205.82,1.61894,0.666939,9.67566,0.921554,2.96465,
56,1347.55,2095.46,2809.04,0.643081,67.4992,0,151.201,1336.13,97.8228,2.76332,362.887,66.0327,11.1294,218.367,0,332.965,551.629,260.504,1.80355,2000.99,216.147,16.2107,1.31571,0,33.7596,1205.82,1.61894,0.365737,9.67566,0.921554,2.96465,
57,1338.86,2783.11,7274.75,0.481067,81.6386,0,197.126,1509.09,121.201,2.99373,774.6,80.362,16.0979,221.871,0,386.244,924.07,320.294,2.13674,6495.52,218.893,25.9739,1.31571,0,35.3696,1205.82,1.61894,0.666939,8.57485,0.921554,2.96465,
58,1338.86,1934.93,1463.9,0.691945,97.7015,0,166.598,1366.37,81.6218,2.77905,109.97,96.8908,12.9995,254.05,0,318.921,513.315,195.6,1.85621,668.326,252.635,17.2854,1.31571,0,35.3696,1205.82,1.61894,0.396693,8.57485,0.921554,2.96465,
59,1338.86,2198.25,2473.33,0.609059,116.835,0,178.276,1437.96,106.98,2.78294,224.595,116.121,14.7041,318.856,0,371.192,742.487,272.934,1.84867,1087.03,317.584,22.2973,1.31571,0,35.3696,1205.7,0.827864,0.666939,8.57485,0.921554,2.96465,
60,1338.86,1980.12,1732.63,0.676151,76.2362,0,137.734,1397.08,95.1652,2.68543,182.325,75.4189,13.4766,227.042,0,265.356,734.922,254.892,1.85831,446.427,226.37,21.4897,1.31571,0,35.3696,1205.7,0.827864,0.335856,8.57485,0.921554,2.96465,
