Individual,Heave.rear.side_view_swing_arm_angle_l,Heave.rear.coil_over_length_l,Heave.rear.toe_angle_l,Heave.rear.tie_rod_angle_top_view_l,Heave.rear.roll_center_gnd.z,Heave.rear.p_rod_length_l,Heave.rear.motion_ratio_heave_l,Roll.rear.side_view_swing_arm_angle_l,Roll.rear.camber_angle_gain_roll_l,
0,0.570794,124.626,73.731,0.113744,1219.93,0,5.92891,0.172504,8.9947,
1,0.574897,124.578,73.7325,0.113919,1219.93,0,5.97563,0.167581,8.99465,
2,0.57531,124.507,73.7366,0.113979,1219.93,0,6.04816,0.161617,8.99438,
3,0.573657,124.585,73.7332,0.114629,1219.93,0,5.96862,0.168194,8.99425,
4,0.571976,124.543,73.7308,0.114214,1219.93,0,6.01239,0.172823,8.99462,
5,0.577088,124.53,73.7393,0.1144,1219.93,0,6.02418,0.158524,8.99458,
6,0.571029,124.627,73.7305,0.113742,1219.93,0,5.92791,0.17497,8.99437,
7,0.574452,124.583,73.7332,0.114003,1219.93,0,5.97261,0.166294,8.99492,
8,0.573249,124.535,73.733,0.114764,1219.93,0,6.0205,0.16861,8.99441,
9,0.572085,124.514,73.729,0.11408,1219.93,0,6.04066,0.17437,8.99497,
10,0.573265,124.528,73.7317,0.114824,1219.93,0,6.02717,0.170085,8.99475,
11,0.570801,124.603,73.7293,0.113944,1219.93,0,5.95215,0.17695,8.99447,
12,0.574525,124.434,73.7323,0.114655,1219.93,0,6.12037,0.168126,8.9949,
13,0.57728,124.595,73.7384,0.114194,1219.93,0,5.96031,0.159567,8.99451,
14,0.574621,124.587,73.7326,0.114431,1219.93,0,5.96747,0.168258,8.9946,
15,0.574768,124.603,73.7323,0.114693,1219.93,0,5.95142,0.168574,8.99461,
16,0.575759,124.553,73.7318,0.114314,1219.93,0,6.00211,0.168187,8.99464,
17,0.57808,124.567,73.7379,0.114228,1219.93,0,5.98723,0.159361,8.99485,
18,0.580597,124.594,73.7378,0.114238,1219.93,0,5.96019,0.157496,8.99443,
19,0.570284,124.591,73.731,0.114209,1219.93,0,5.96401,0.175383,8.99429,
20,0.572939,124.627,73.7315,0.1148,1219.93,0,5.92789,0.171421,8.99473,
21,0.570452,124.594,73.727,0.113351,1219.93,0,5.96082,0.18169,8.99443,
22,0.574458,124.359,73.7312,0.11518,1219.93,0,6.19571,0.169948,8.99504,
23,0.577915,124.586,73.7363,0.115424,1219.93,0,5.96801,0.160742,8.99517,
24,0.57099,124.5,73.7306,0.114408,1219.93,0,6.05487,0.175619,8.99426,
25,0.57583,124.61,73.7321,0.114582,1219.93,0,5.94461,0.168387,8.99446,
26,0.579029,124.501,73.7362,0.115311,1219.93,0,6.05341,0.160225,8.99486,
27,0.571827,124.592,73.7267,0.113349,1219.93,0,5.96329,0.178498,8.99495,
28,0.578671,124.594,73.7348,0.113834,1219.93,0,5.96202,0.161552,8.99483,
29,0.576398,124.548,73.7323,0.114984,1219.93,0,6.00692,0.166507,8.99524,
30,0.574272,124.507,73.7295,0.114858,1219.93,0,6.0465,0.171015,8.99517,
31,0.581367,124.619,73.7422,0.11408,1219.93,0,5.93515,0.155093,8.99445,
32,885.025,807.092,1081.13,7.84479,2809.24,0,404.113,875.363,51.6502,
33,0.572585,124.587,73.7317,0.113286,1219.93,0,5.96759,0.172223,8.9943,
34,851.633,913.37,1043.39,4.40249,5524.09,0,352.984,848.051,114.689,
35,133.9,2392.7,617.509,1.27885,1441.65,0,154.935,133.268,1.4013,
36,721.017,2399.99,873.038,8.30858,2666.1,0,31.9344,713.836,51.7185,
37,401.567,1098.83,609.875,9.04031,1759.02,0,350.461,399.465,19.3165,
38,744.674,696.83,72.4385,1.88553,3603.58,0,141.768,744.591,71.8797,
39,0.572536,124.608,73.7316,0.114564,1219.93,0,5.94688,0.171444,8.99454,
40,851.767,3610.29,96.2089,4.87271,3484.52,0,153.632,852.054,69.1623,
41,0.576248,124.538,73.7326,0.11362,1219.93,0,6.01665,0.167469,8.9945,
42,411.071,3553.33,71.0419,2.26191,4438.43,0,502.292,411.539,91.7063,
43,0.573691,124.59,73.7307,0.114589,1219.93,0,5.9653,0.172198,8.99453,
44,1120.3,3718.4,335.98,0.569151,1649.69,0,94.5232,1120.55,21.466,
45,410.084,2327.56,198.364,8.37176,2119.19,0,227.986,410.263,32.5356,
46,0.570051,124.604,73.7324,0.113347,1219.93,0,5.95029,0.172349,8.99443,
47,0.575896,124.598,73.7337,0.114008,1219.93,0,5.95781,0.165921,8.99458,
48,0.571786,124.55,73.7289,0.113934,1219.93,0,6.00593,0.176258,8.99467,
49,448.2,2143.05,562.687,6.17006,1710.46,0,893.056,445.911,18.5792,
