Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Roll.front.side_view_swing_arm_angle_l.avg,Roll.front.camber_angle_gain_roll_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Roll.front.side_view_swing_arm_angle_l.best,Roll.front.camber_angle_gain_roll_l.best,Steering.front.tie_rod_angle_front_view_l.best,
177,46.6771,106.91,286.378,0.436601,4.25039,10.7632,0.536483,33.9666,0.411356,35.0269,0.665037,18.1077,3.18245,14.8291,44.3266,2.18741,232.022,0.784537,84.6017,4.51018,9.46738,0.931137,0.521703,2.4735,4.84162e-05,0.206397,0.254494,12.327,0.00194838,16.7168,3.00593,
178,46.6771,63.0087,81.552,0.740804,2.79915,11.8056,0.315229,0.89297,0.336665,25.6565,0.0158094,18.0582,3.12865,11.4113,50.0652,1.5887,25.0818,0.427203,18.9805,0.567168,8.32202,0.626704,0.521695,2.4735,4.84162e-05,0.206397,0.254494,14.1993,0.0019482,16.7168,3.00593,
179,46.6771,103.755,184.74,0.449878,7.07879,22.4719,0.767735,24.7707,0.594921,22.5677,0.493478,21.6477,3.36199,19.4069,75.8401,2.31365,107.913,1.46489,4.21071,2.1537,16.0276,1.33817,0.521676,2.4735,4.84662e-05,0.206397,0.160601,11.9469,0.00195124,16.7168,2.46375,
180,46.6771,124.756,238.018,0.374146,7.40695,23.1126,0.946035,36.1496,0.643403,33.5789,0.720473,18.704,3.49417,18.8184,62.4975,2.62392,154.931,1.16454,62.9309,3.0775,10.4459,1.72909,0.521676,2.4735,4.84662e-05,0.206397,0.254498,12.6806,0.00195124,9.74237,1.1256,
181,46.6771,122.235,352.334,0.381864,3.97069,11.4028,0.364471,60.6987,0.470232,22.6908,1.1943,18.1877,3.25526,14.2045,41.0147,1.56913,295.801,1.05835,11.1376,5.87607,9.4628,1.1071,0.521654,2.47368,4.84657e-05,0.206419,0.254544,1.76299,0.00195247,14.2971,3.006,
182,46.677,158.797,346.082,0.293941,7.94142,26.833,1.11143,69.485,0.808471,28.1846,1.37366,19.789,3.27071,18.8248,71.3175,2.80739,272.986,1.63557,27.9048,5.38952,12.2595,0.824352,0.521635,2.47368,4.84657e-05,0.206404,0.254544,12.3723,0.00195264,8.5173,2.3019,
183,46.677,97.2422,268.363,0.480008,3.93105,8.34737,0.567988,38.1398,0.359958,23.6041,0.748323,18.2614,3.28231,14.1194,31.4164,2.3164,235.927,0.769846,6.00987,4.57797,9.04549,1.32498,0.521635,2.47368,4.84657e-05,0.206419,0.254544,12.2223,0.00195326,15.9608,3.006,
184,46.677,86.9184,200.122,0.537021,2.26607,5.05682,0.320303,34.0875,0.403721,23.3978,0.67826,17.4459,3.26207,9.39686,16.026,1.58449,169.831,0.819624,2.37992,3.39163,6.668,1.30463,0.521614,2.47359,4.84454e-05,0.206419,0.254544,9.44196,0.00195326,7.30123,3.006,
185,46.677,93.9077,245.856,0.497052,2.42297,12.1627,0.296994,33.3782,0.442125,23.018,0.662115,18.3875,3.13706,9.54147,67.6098,1.46083,166.25,0.922641,2.3708,3.30449,8.5675,0.74957,0.521614,2.47369,4.84454e-05,0.206419,0.254545,11.4743,0.00195365,16.7168,3.006,
186,46.6769,69.8973,113.899,0.667792,2.92953,13.5034,0.232273,8.46181,0.321957,23.2958,0.167231,17.8474,3.13793,11.7831,57.662,1.27925,51.7704,0.373996,1.43751,1.07945,8.06091,0.831907,0.521564,2.47369,4.84454e-05,0.206419,0.254545,13.5949,0.00195365,15.7099,3.006,
187,46.6769,155.016,375.237,0.301109,5.12803,10.7697,0.501051,91.1051,0.502257,22.6,1.80278,19.3726,3.23498,15.5728,45.2137,1.86235,314.681,0.874959,3.34939,6.1766,10.3339,0.852202,0.52151,2.4738,4.84454e-05,0.206456,0.254555,9.3299,0.00195397,16.7169,3.00605,
