Individual,Roll.rear.side_view_swing_arm_angle_l,Roll.rear.camber_angle_gain_roll_l,2in Heave.rear.p_rod_length_l,2in Heave.rear.tie_rod_angle_top_view_l,2in Heave.rear.roll_center_gnd.z,2in Heave.rear.coil_over_length_l,2in Heave.rear.side_view_swing_arm_angle_l,2in Heave.rear.motion_ratio_heave_l,2in Heave.rear.toe_angle_l,
0,0.0433582,1.95372,0,3.58666,663.062,46.7539,0.141579,0.492096,0.0687848,
1,0.0408448,1.9536,0,3.58691,663.063,46.7592,0.143768,0.485484,0.0697796,
2,0.0462621,1.95379,0,3.58576,663.062,46.7558,0.140218,0.489244,0.0694068,
3,0.0439173,1.95372,0,3.58602,663.063,46.7611,0.141964,0.484069,0.0695301,
4,0.0415593,1.9537,0,3.58599,663.063,46.7538,0.144173,0.491332,0.0696708,
5,0.0426298,1.95369,0,3.58652,663.063,46.7552,0.142642,0.490052,0.0692165,
6,0.0441745,1.95383,0,3.58649,663.063,46.7616,0.1409,0.483974,0.0694273,
7,0.0424664,1.95379,0,3.58541,663.062,46.7592,0.143588,0.486646,0.0699631,
8,0.0440844,1.95379,0,3.5858,663.063,46.7548,0.14154,0.49045,0.0698262,
9,0.0441269,1.95368,0,3.58636,663.063,46.7538,0.14145,0.492067,0.0692085,
10,0.0442506,1.95371,0,3.58617,663.063,46.7571,0.141087,0.488429,0.0696511,
11,0.0432269,1.9537,0,3.58602,663.063,46.7617,0.142513,0.483937,0.069342,
12,0.045053,1.95378,0,3.58637,663.063,46.7611,0.140363,0.484658,0.0691682,
13,0.0444823,1.95383,0,3.58664,663.063,46.753,0.140655,0.493178,0.0690943,
14,0.0443791,1.95383,0,3.58663,663.062,46.7632,0.141029,0.482939,0.0690951,
15,0.0451862,1.95386,0,3.58653,663.063,46.7566,0.140315,0.489188,0.0690157,
16,0.0465021,1.95364,0,3.58558,663.063,46.7577,0.139911,0.488088,0.0692933,
17,0.0415016,1.95382,0,3.58609,663.063,46.7586,0.143869,0.486542,0.0703079,
18,0.044449,1.95367,0,3.5862,663.063,46.7627,0.140738,0.483799,0.0694349,
19,0.0450971,1.95381,0,3.58608,663.063,46.7558,0.140581,0.490305,0.0692129,
20,0.0453524,1.95379,0,3.58618,663.063,46.7577,0.140366,0.488194,0.0692754,
21,0.0425732,1.95383,0,3.58618,663.063,46.7499,0.143009,0.495392,0.0699969,
22,0.0443585,1.95379,0,3.58636,663.063,46.7567,0.141024,0.489093,0.0693465,
23,0.0420567,1.95368,0,3.58597,663.063,46.7605,0.14359,0.48457,0.0702758,
24,0.0443909,1.9539,0,3.5864,663.063,46.7592,0.141583,0.486317,0.0693342,
25,0.0437277,1.95375,0,3.58617,663.063,46.7547,0.141924,0.490807,0.0696812,
26,0.0446272,1.95372,0,3.58638,663.063,46.7549,0.140817,0.490788,0.0693268,
27,0.0460132,1.95382,0,3.58607,663.063,46.7531,0.140039,0.492664,0.0692027,
28,0.0429407,1.95376,0,3.5858,663.063,46.7571,0.142407,0.488944,0.0700955,
29,0.0421526,1.95377,0,3.58609,663.063,46.7627,0.143669,0.482844,0.069888,
30,0.0433353,1.95368,0,3.58567,663.063,46.7529,0.142291,0.493411,0.0695654,
31,0.0434981,1.95381,0,3.58626,663.063,46.7532,0.141831,0.492872,0.0695719,
32,0.045959,1.95378,0,3.58632,663.063,46.7526,0.140281,0.492895,0.0691347,
33,0.0452859,1.95365,0,3.58553,663.063,46.7604,0.140996,0.48547,0.0694372,
34,0.0438175,1.95379,0,3.58706,663.063,46.7569,0.140989,0.489009,0.0689284,
35,0.0453543,1.95366,0,3.58583,663.063,46.7558,0.140947,0.489981,0.069393,
36,0.0475432,1.95373,0,3.58624,663.063,46.7559,0.138868,0.489608,0.0690145,
37,0.0431361,1.95374,0,3.58611,663.063,46.7542,0.142568,0.490991,0.0696786,
38,0.0434485,1.95363,0,3.58653,663.063,46.7532,0.141826,0.49293,0.0691463,
