Individual,Roll.rear.camber_angle_gain_roll_l,Roll.rear.side_view_swing_arm_angle_l,2in Heave.rear.toe_angle_l,2in Heave.rear.tie_rod_angle_top_view_l,2in Heave.rear.roll_center_gnd.z,2in Heave.rear.p_rod_length_l,2in Heave.rear.coil_over_length_l,2in Heave.rear.side_view_swing_arm_angle_l,2in Heave.rear.motion_ratio_heave_l,
0,9.47353,0.46791,1.03509,0.142543,658.9,0,46.3541,1.03932,2.27734,
1,9.6191,0.64486,0.843289,0.241676,658.811,0,46.4399,1.29945,2.07749,
2,9.6465,0.505454,0.840328,0.317168,658.803,0,46.4287,1.19958,2.31873,
3,9.61442,0.66813,0.961877,0.0829598,658.665,0,46.2413,1.38447,2.51842,
4,9.55565,0.573894,0.96467,0.301885,658.793,0,46.4552,1.38594,2.13194,
5,9.46125,0.609793,1.22705,0.273558,658.248,0,46.9541,1.47083,1.95331,
6,9.60759,0.717872,0.942744,0.050884,658.83,0,46.2964,1.39919,2.39382,
7,9.52003,0.876592,1.28838,0.0307072,658.418,0,46.467,1.59864,2.05577,
8,9.62472,0.513248,0.853721,0.0609724,658.794,0,46.4992,1.26559,2.67864,
9,9.61542,0.482151,0.839618,0.546268,659.014,0,46.6265,1.11578,2.07536,
10,9.62283,0.517099,0.844996,0.315425,658.812,0,46.3752,1.27052,2.55911,
11,9.60437,0.461597,1.20965,0.126625,659.314,0,46.5778,1.12493,1.91273,
12,9.55319,0.662518,1.04146,0.199289,658.512,0,46.9084,1.44685,2.05426,
13,9.55476,0.376493,0.879404,0.188574,659.717,0,46.7927,0.920261,1.96317,
14,9.61084,0.579512,0.962417,0.469279,658.914,0,46.5344,1.40593,1.93162,
15,9.57371,0.669319,1.13625,0.393855,658.614,0,46.2727,1.38199,2.38087,
16,9.52196,0.45564,1.16848,0.242439,659.288,0,46.0349,1.05503,2.7202,
17,9.52997,0.424318,0.807043,0.0504529,659.286,0,47.0481,1.00526,2.40984,
18,9.61008,0.698841,1.09995,0.167137,658.727,0,46.0766,1.46649,2.72226,
19,9.5521,0.674031,1.09912,0.27359,658.706,0,46.9043,1.39549,1.994,
20,9.60674,0.699392,0.797628,0.676514,658.74,0,46.8527,1.27774,1.9879,
21,9.55315,0.896941,0.834709,0.542154,658.62,0,46.4109,1.45705,2.36764,
22,9.59468,0.540133,0.86574,0.0475224,658.606,0,47.5064,1.28777,2.25683,
23,9.52879,0.534348,1.09506,0.0782747,659.475,0,46.7287,1.30163,1.97017,
24,9.5902,0.566202,0.975479,0.409289,658.77,0,46.2253,1.27402,2.92236,
25,9.56927,0.390448,0.968014,0.136711,659.762,0,46.9432,0.960175,2.00689,
26,9.56468,0.823887,1.10268,0.111433,659.177,0,46.4745,1.48085,2.06687,
27,9.6063,0.516188,1.02635,0.109193,659.016,0,47.2981,1.2095,2.04331,
28,9.5902,0.48007,1.08039,0.313142,659.23,0,46.904,1.16778,2.06099,
29,9.5627,0.664371,1.52606,0.0473762,658.576,0,46.561,1.58886,2.37671,
30,9.61107,0.485787,0.942048,0.475081,659.233,0,46.6686,1.1364,2.39532,
31,9.58479,0.54902,0.922412,0.137414,658.742,0,47.6584,1.25758,2.13591,
32,9.53742,0.44883,0.947261,0.199053,659.62,0,46.7493,1.10569,2.38744,
33,9.54708,0.534629,1.07425,0.468476,659.098,0,46.9411,1.24263,2.11039,
34,9.56332,1.12711,0.955573,0.0666825,658.56,0,47.1432,1.69264,1.91382,
35,9.60998,0.616068,1.06585,0.0484876,658.965,0,46.1159,1.50342,3.13587,
36,9.51712,0.438552,0.83698,0.187783,660.02,0,46.9683,0.87983,2.21464,
37,9.53504,0.580033,0.986093,0.201417,658.984,0,46.1423,1.34427,3.29291,
38,9.59177,0.628072,0.851852,0.459109,658.65,0,47.1564,1.30281,2.4329,
39,9.54992,0.522403,1.07526,0.330085,659.128,0,46.9807,1.20642,2.28354,
40,9.56776,0.619191,1.39079,0.0596247,658.972,0,47.0349,1.52376,1.91415,
41,9.72191,0.47838,0.960106,0.0653778,659.826,0,46.8519,1.08758,2.09601,
42,9.58814,0.678646,1.14562,0.0100506,658.673,0,47.0442,1.51632,2.43886,
