Individual,Heave.front.scrub_radius_l,Heave.front.motion_ratio_heave_l,Heave.front.mechanical_trail_l,Heave.front.tie_rod_angle_top_view_l,Heave.front.toe_angle_l,Heave.front.roll_center.z,Heave.front.side_view_swing_arm_angle_l,Roll.front.side_view_swing_arm_angle_l,Roll.front.roll_center.y,Roll.front.camber_angle_l,Steering.front.tie_rod_angle_front_view_l,Steering.front.ackerman_angle,Steering.front.camber_angle_l,
0,0.110851,0.418996,0.0647679,0.0379349,0.208929,17.4427,0.137106,0.128057,3.91896,0.408327,0.767902,0.113354,1.31339,
1,0.671843,0.498393,0.30887,0.0568868,0.114566,16.4102,0.177839,0.097178,4.49809,0.417605,0.720169,0.0659571,1.29347,
2,0.507581,0.713385,0.274612,0.0135295,0.263629,16.5166,0.341167,0.34048,4.46674,0.41761,0.508088,0.230232,1.29359,
3,0.498665,0.530061,0.541737,0.182684,0.154181,15.6996,0.448194,0.339432,5.29091,0.421337,0.624001,0.0441104,1.26019,
4,0.588883,0.500613,0.306642,0.17383,0.273537,15.2907,0.804505,0.799704,5.34923,0.421629,0.495017,0.108041,1.29434,
5,0.348918,0.722565,0.804948,0.043574,0.525359,16.5592,0.24984,0.240402,4.0153,0.415521,0.524567,0.572241,1.39748,
6,0.349398,0.516747,0.400236,0.270924,0.123791,18.052,0.278891,0.137915,3.74083,0.407101,0.602416,0.174198,1.37175,
7,0.202178,0.540077,0.443288,0.311788,0.127988,17.6024,0.202835,0.135724,4.33059,0.408704,0.630988,0.166924,1.37235,
8,0.66193,0.594077,0.586191,0.115207,0.18893,16.9498,0.167557,0.128207,4.43052,0.409687,0.708721,0.149236,1.38823,
9,0.355312,0.548572,0.537654,0.0510369,0.192767,15.7462,0.693322,0.693762,5.35423,0.424681,0.636527,0.130751,1.26243,
10,0.0609485,0.510301,0.550657,0.129796,0.277898,17.8596,0.287461,0.217597,3.98839,0.406145,0.420836,0.519359,1.3983,
11,0.0279302,0.681461,0.564711,0.355266,0.163386,16.7186,0.646655,0.607077,4.50015,0.412439,0.53091,0.0542098,1.38337,
12,0.141884,0.68903,0.809882,0.141517,0.406445,15.5379,0.6748,0.669444,4.95171,0.423891,0.504184,0.526978,1.23305,
13,0.198071,0.532272,0.693011,0.019675,0.227047,18.2739,0.305282,0.236991,3.67101,0.405776,0.79388,0.0155187,1.39946,
14,0.464254,0.528776,0.181787,0.18316,0.221414,18.1956,0.687516,0.688544,3.29838,0.403219,0.455576,0.127933,1.34472,
15,0.502062,0.651921,0.389418,0.0997397,0.829995,15.807,0.484206,0.471657,5.02137,0.416075,0.782459,0.0543723,1.28834,
16,0.484281,0.497813,0.438372,0.162023,0.515441,18.3984,0.228209,0.189699,3.54682,0.404853,0.51595,0.103075,1.37203,
17,1.01587,0.505057,0.465307,0.293397,0.811689,16.2137,0.184841,0.108894,4.66502,0.415349,0.736577,0.206059,1.30567,
18,0.18411,0.476861,0.973282,0.114677,0.507527,17.4447,0.303046,0.300943,4.12248,0.405589,0.54871,0.123251,1.42846,
19,0.511441,0.442225,0.396686,0.141306,0.50872,18.4391,0.266795,0.264244,3.32421,0.402085,0.560105,0.466688,1.2657,
