Individual,Roll.rear.side_view_swing_arm_angle_l,Roll.rear.camber_angle_gain_roll_l,2in Heave.rear.p_rod_length_l,2in Heave.rear.tie_rod_angle_top_view_l,2in Heave.rear.roll_center_gnd.z,2in Heave.rear.coil_over_length_l,2in Heave.rear.side_view_swing_arm_angle_l,2in Heave.rear.motion_ratio_heave_l,2in Heave.rear.toe_angle_l,
0,0.0241057,1.83047,0,3.76246,662.972,46.5259,0.110444,1.45729,0.0365065,
1,0.0240008,1.83049,0,3.76232,662.971,46.5318,0.110394,1.45184,0.0365443,
2,0.0244659,1.83046,0,3.76262,662.971,46.5314,0.110116,1.45186,0.0365113,
3,0.0227586,1.8305,0,3.76279,662.972,46.5264,0.111661,1.45631,0.0367591,
4,0.0241334,1.8305,0,3.76236,662.972,46.526,0.110287,1.45759,0.0365684,
5,0.0229768,1.8305,0,3.76284,662.971,46.5238,0.111472,1.4592,0.0367515,
6,0.024815,1.83053,0,3.76265,662.972,46.5321,0.109887,1.45094,0.0365131,
7,0.0240025,1.83047,0,3.76248,662.972,46.5321,0.110491,1.45128,0.036716,
8,0.0230633,1.83049,0,3.76229,662.972,46.5351,0.111393,1.44837,0.0367127,
9,0.0238681,1.83046,0,3.76255,662.972,46.5301,0.110491,1.45325,0.0365249,
10,0.0243259,1.83047,0,3.7625,662.972,46.5182,0.110213,1.46521,0.0365658,
11,0.0254308,1.83049,0,3.76271,662.972,46.5268,0.109336,1.45625,0.0365019,
12,0.0241441,1.83048,0,3.76271,662.972,46.5319,0.110352,1.4513,0.0365457,
13,0.0234013,1.83048,0,3.76275,662.972,46.5324,0.110967,1.45099,0.0366347,
14,0.0232662,1.83052,0,3.76285,662.971,46.5356,0.111252,1.4475,0.0367237,
15,0.0235675,1.83049,0,3.76272,662.972,46.5294,0.110871,1.45395,0.0365831,
16,0.0237472,1.83049,0,3.76269,662.972,46.5241,0.110718,1.45898,0.0366875,
17,0.0242403,1.83045,0,3.76249,662.972,46.5271,0.110268,1.45631,0.03663,
18,0.0240536,1.83051,0,3.76245,662.971,46.5194,0.110459,1.4643,0.0365625,
19,0.0248111,1.83045,0,3.76248,662.972,46.5203,0.109772,1.46343,0.0364692,
20,0.0248114,1.83046,0,3.76266,662.972,46.5313,0.109722,1.45215,0.0364768,
21,0.0231648,1.83051,0,3.76251,662.972,46.5268,0.11132,1.45668,0.0367128,
22,0.023504,1.83048,0,3.7626,662.972,46.5279,0.110889,1.4554,0.0366464,
23,0.0238216,1.83049,0,3.76244,662.971,46.5233,0.110728,1.46048,0.0365758,
24,0.0245518,1.8305,0,3.76293,662.972,46.5278,0.109921,1.45536,0.0365303,
25,0.0244618,1.83052,0,3.7621,662.971,46.5215,0.110094,1.46256,0.0366276,
26,0.0238364,1.8305,0,3.76302,662.972,46.5266,0.110637,1.45658,0.0365424,
27,0.0244512,1.83051,0,3.76303,662.972,46.5244,0.110186,1.45859,0.0365866,
28,0.0237363,1.83047,0,3.76261,662.972,46.52,0.110772,1.46372,0.0365218,
29,0.0258653,1.83047,0,3.76303,662.972,46.5212,0.108936,1.46174,0.0364552,
30,0.0231412,1.83049,0,3.76261,662.972,46.524,0.111406,1.4594,0.0367729,
31,0.0249684,1.83044,0,3.76275,662.972,46.5215,0.109663,1.46176,0.0364624,
32,0.0229771,1.83049,0,3.76261,662.972,46.529,0.111501,1.45443,0.0367034,
33,0.0237466,1.83052,0,3.76296,662.971,46.5347,0.110732,1.44867,0.0365579,
34,0.023534,1.83049,0,3.76263,662.971,46.5238,0.110792,1.46012,0.0366133,
35,0.0237374,1.8305,0,3.76225,662.972,46.523,0.110776,1.46087,0.036596,
36,0.0237682,1.83048,0,3.76259,662.972,46.5296,0.110686,1.45397,0.0365361,
37,0.0237879,1.83048,0,3.76257,662.971,46.5287,0.11084,1.45496,0.0366269,
38,0.0241697,1.8305,0,3.76297,662.971,46.5254,0.110239,1.45821,0.0365395,
39,0.0238189,1.83045,0,3.76254,662.972,46.5245,0.110684,1.45908,0.0365851,
40,0.0232675,1.83048,0,3.76254,662.972,46.5244,0.111115,1.45925,0.0366093,
41,0.0235167,1.83046,0,3.76258,662.972,46.5238,0.110866,1.45977,0.0366407,
42,0.0242253,1.83049,0,3.76293,662.972,46.5298,0.110274,1.4535,0.036533,
43,0.0226612,1.83049,0,3.76267,662.972,46.5232,0.111736,1.4601,0.036748,
44,0.0244152,1.83047,0,3.76279,662.972,46.5168,0.110129,1.46679,0.0364936,
45,0.0237207,1.83048,0,3.76267,662.972,46.5242,0.110798,1.45932,0.036552,
46,0.0228,1.83049,0,3.76215,662.972,46.5211,0.11165,1.46293,0.0367423,
47,0.0235761,1.8305,0,3.76274,662.971,46.518,0.110918,1.46555,0.0366823,
48,0.0233688,1.83054,0,3.76264,662.972,46.5246,0.111089,1.459,0.0366604,
49,0.0245008,1.83047,0,3.76288,662.972,46.5252,0.110086,1.45839,0.0364315,
50,0.0242251,1.83049,0,3.76291,662.971,46.5231,0.1102,1.46067,0.0365097,
51,0.0225574,1.83047,0,3.76251,662.972,46.524,0.112054,1.4596,0.0368443,
52,0.0240096,1.83048,0,3.76285,662.971,46.5231,0.110535,1.46042,0.0366713,
53,0.0249664,1.8305,0,3.7627,662.971,46.5238,0.10967,1.45997,0.0365039,
54,0.0227149,1.83051,0,3.76281,662.971,46.5355,0.111776,1.44813,0.0367521,
55,0.0230246,1.83045,0,3.76261,662.972,46.5281,0.111343,1.4554,0.0366261,
56,0.0245661,1.83048,0,3.76253,662.972,46.5216,0.11,1.46241,0.0364669,
57,0.0239647,1.83049,0,3.76262,662.972,46.5228,0.110486,1.46107,0.0364587,
58,0.0236369,1.83049,0,3.76269,662.972,46.5253,0.110799,1.45828,0.0366055,
59,0.0234829,1.83047,0,3.76243,662.972,46.5202,0.111048,1.46371,0.0366325,
60,0.0254485,1.83048,0,3.76279,662.972,46.5204,0.109278,1.46303,0.0364648,
61,0.023525,1.83047,0,3.76253,662.972,46.5248,0.1107,1.45885,0.0364475,
62,0.0228831,1.83048,0,3.76249,662.972,46.5249,0.111563,1.45882,0.0367871,
63,0.0245866,1.83047,0,3.76294,662.972,46.5239,0.109937,1.45947,0.0364748,
64,0.0228749,1.83049,0,3.76277,662.971,46.5271,0.111563,1.45654,0.0368143,
65,0.0256043,1.8305,0,3.76264,662.972,46.5262,0.109073,1.45744,0.0364403,
66,0.0264349,1.83051,0,3.76263,662.972,46.5278,0.108604,1.45543,0.0365024,
67,0.0234146,1.83051,0,3.76302,662.972,46.5204,0.111063,1.46319,0.0365365,
68,0.0241792,1.83049,0,3.76267,662.972,46.5256,0.110328,1.45804,0.0366177,
69,0.0233788,1.83047,0,3.76248,662.972,46.5254,0.111097,1.45857,0.0366741,
70,0.0226573,1.83048,0,3.76262,662.972,46.5321,0.111702,1.45126,0.0368046,
71,0.0238727,1.83048,0,3.76286,662.972,46.532,0.110435,1.45156,0.0365629,
72,0.0241743,1.83047,0,3.76268,662.972,46.5202,0.11037,1.46373,0.0364719,
73,0.0244143,1.83047,0,3.76235,662.972,46.5198,0.109988,1.46442,0.0365256,
74,0.0239902,1.8305,0,3.76281,662.972,46.5333,0.110572,1.4503,0.0366561,
75,0.0238466,1.83046,0,3.7625,662.972,46.5195,0.110611,1.46467,0.0365405,
76,0.0246881,1.83048,0,3.76264,662.971,46.5249,0.109998,1.45904,0.0365227,
77,0.0237299,1.83047,0,3.76262,662.972,46.5204,0.110755,1.46352,0.0365631,
78,0.0236599,1.83046,0,3.76295,662.972,46.5233,0.110769,1.46021,0.0366368,
79,0.0223651,1.83048,0,3.76261,662.972,46.5234,0.112012,1.4601,0.0370642,
80,0.0245636,1.83046,0,3.76298,662.972,46.5256,0.109944,1.45795,0.0365358,
81,0.0228847,1.83051,0,3.763,662.971,46.5261,0.11165,1.45738,0.0367483,
82,0.0237946,1.83049,0,3.76287,662.972,46.5284,0.110745,1.45531,0.0366101,
83,0.023372,1.8305,0,3.7628,662.972,46.5258,0.11108,1.45783,0.0366378,
84,0.0243711,1.83047,0,3.7627,662.972,46.5284,0.110179,1.45555,0.0364798,
85,0.0242855,1.8305,0,3.76267,662.972,46.5282,0.110289,1.45572,0.0365102,
86,0.0245173,1.83044,0,3.76293,662.972,46.5209,0.109989,1.46272,0.0365503,
87,0.0238883,1.83049,0,3.76267,662.972,46.5197,0.110521,1.4641,0.0366062,
88,0.0244776,1.83049,0,3.76306,662.972,46.5241,0.109997,1.45962,0.0364944,
89,0.0236188,1.83047,0,3.76279,662.972,46.5261,0.110898,1.45783,0.036552,
90,0.0241102,1.83051,0,3.76291,662.972,46.5265,0.110434,1.45716,0.0365686,
91,0.0233993,1.83046,0,3.76272,662.972,46.5325,0.111063,1.45146,0.0366279,
92,0.0234271,1.83048,0,3.76272,662.971,46.5313,0.111006,1.45281,0.0367643,
93,0.0248456,1.83044,0,3.76297,662.972,46.5223,0.109684,1.46129,0.0365272,
94,0.0231706,1.83046,0,3.76313,662.972,46.5253,0.111306,1.45831,0.0366531,
95,0.0236806,1.83048,0,3.76302,662.972,46.5228,0.110835,1.46081,0.0365969,
96,0.0231347,1.83047,0,3.76253,662.972,46.5218,0.111309,1.46227,0.0366783,
97,0.0239366,1.8305,0,3.76255,662.971,46.5307,0.110468,1.45375,0.0364969,
98,0.0227004,1.83048,0,3.76255,662.972,46.5303,0.111862,1.45343,0.0369822,
99,0.023767,1.83044,0,3.76275,662.973,46.5258,0.110549,1.45733,0.0366352,
100,0.0231465,1.8305,0,3.76261,662.972,46.5291,0.111281,1.45485,0.0367178,
101,0.0234666,1.83052,0,3.76286,662.972,46.5251,0.110992,1.45864,0.036669,
102,0.0242806,1.83049,0,3.76292,662.971,46.526,0.110269,1.45796,0.0365127,
103,0.024908,1.83048,0,3.76278,662.971,46.5206,0.109803,1.46341,0.0365106,
104,0.0224643,1.8305,0,3.76282,662.972,46.5206,0.112038,1.46314,0.0368769,
105,0.0233712,1.83049,0,3.76264,662.971,46.5194,0.111084,1.46484,0.0366914,
106,0.0239205,1.8305,0,3.76266,662.972,46.5236,0.110569,1.46053,0.0365708,
107,0.0226466,1.83048,0,3.76279,662.971,46.5219,0.111892,1.46189,0.036916,
108,0.0223854,1.83048,0,3.76258,662.972,46.5254,0.11209,1.45838,0.0368748,
109,0.025136,1.83048,0,3.76271,662.972,46.521,0.109518,1.46287,0.0364484,
110,0.0258367,1.83044,0,3.76238,662.972,46.5168,0.108974,1.46748,0.0364205,
111,0.0227582,1.83048,0,3.76271,662.972,46.5236,0.111764,1.46027,0.0366914,
112,0.0228637,1.8305,0,3.76271,662.972,46.5195,0.111542,1.4645,0.0366295,
113,0.0229891,1.83048,0,3.76261,662.971,46.516,0.111467,1.46817,0.0368474,
114,0.0247508,1.83048,0,3.76249,662.971,46.5167,0.109926,1.46763,0.0365656,
115,0.0244174,1.83047,0,3.76267,662.972,46.5229,0.110103,1.46116,0.036518,
116,0.0232396,1.83052,0,3.76301,662.972,46.5224,0.111129,1.46131,0.0366441,
117,0.0246087,1.83048,0,3.76274,662.971,46.5204,0.109972,1.46381,0.0364935,
118,0.0230541,1.83051,0,3.76283,662.971,46.526,0.111475,1.45799,0.0366387,
119,0.0241756,1.83048,0,3.76274,662.972,46.5255,0.110416,1.45842,0.0366163,
120,0.0231892,1.8305,0,3.76268,662.971,46.5334,0.111228,1.45085,0.0366991,
