Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.toe_angle_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.roll_center.z.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.camber_angle_gain_roll_r.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Heave.front.toe_angle_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.roll_center.z.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.camber_angle_gain_roll_r.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Heave.front.toe_angle_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.roll_center.z.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.camber_angle_gain_roll_r.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
54,51.5675,73.7415,58.2661,0.699301,0.807608,2.32785,0.611702,36.0573,19.0479,0.422331,12.5468,0.183137,0.437154,1.29975,2.21488,12.121,1.54231,20.4751,42.4735,1.25902,32.181,0.23076,0.594226,0.0958932,0.104545,0.105046,0.0138814,28.926,6.58002,0.0136138,0.0228467,0.100548,0.21843,1.03684,
55,51.5675,67.4558,51.8869,0.764463,0.740666,3.10582,0.538286,31.609,20.5313,0.257178,8.84166,0.138809,0.38776,1.30543,2.32664,17.8921,1.46436,13.7751,6.39421,0.885861,32.5081,0.147039,0.497226,0.0767716,0.105084,0.102195,0.0176913,15.84,5.19264,0.0139631,0.0228467,0.100596,0.21843,1.06837,
56,51.5675,103.709,166.195,0.497232,0.891445,25.1648,0.894297,41.5937,19.7929,0.764682,12.5212,0.242765,0.531344,1.31202,2.38675,135.568,1.63144,31.2417,8.36845,1.76812,38.4821,0.342297,0.701608,0.130273,0.104439,0.0129725,0.0176913,25.3804,8.19262,0.0139631,0.0228467,0.10088,0.21843,1.01843,
57,51.5675,97.3268,241.716,0.529839,0.605428,3.48451,0.410422,31.6865,51.3262,0.505739,7.45288,0.145278,0.382478,1.32735,1.52597,27.0914,1.18009,17.3086,220.35,1.52271,32.6933,0.204736,0.538845,0.117651,0.105084,0.10465,0.00827598,22.2224,11.4062,0.0136816,0.0228467,0.0466342,0.218836,1.10404,
58,51.5429,67.1421,43.5094,0.767668,0.817561,2.01621,0.59452,35.2018,21.0649,0.347707,5.1892,0.169997,0.438915,1.30131,2.22951,7.83071,1.46293,20.0978,31.0792,1.07507,18.0041,0.21631,0.621633,0.0706457,0.105084,0.10465,0.0168303,28.9508,9.96699,0.0139631,0.0228467,0.101007,0.218281,1.01038,
59,51.5429,88.6945,82.631,0.581128,0.937109,9.09794,0.673746,35.4216,22.6194,0.557822,17.4083,0.18752,0.472733,1.31833,2.10843,30.983,1.27525,20.366,13.7816,1.30491,44.6437,0.217184,0.537104,0.192315,0.107461,0.10465,0.00981906,12.997,8.16968,0.014063,0.0228467,0.0973106,0.218662,1.0209,
60,51.5203,72.0577,64.962,0.714986,0.675944,7.98415,0.461471,33.7271,21.4322,0.395602,5.47642,0.153679,0.425748,1.32543,1.99973,33.9363,1.27185,18.201,12.5604,1.23991,23.4643,0.194611,0.647247,0.103299,0.107525,0.0991872,0.0011432,20.8858,7.49469,0.0137803,0.0228467,0.0287089,0.218662,1.24628,
61,51.4949,75.7044,75.2974,0.68021,0.447823,7.55616,0.463739,28.497,20.7244,0.439926,15.7781,0.117944,0.36207,1.31723,1.16348,37.2609,1.2669,4.62521,6.75562,1.27422,48.468,0.0631006,0.414106,0.0996299,0.107525,0.0940342,0.0011432,15.1552,4.18098,0.0137803,0.0228467,0.0685726,0.2184,1.03771,
62,51.4949,79.9444,130.016,0.644134,0.312097,1.81863,0.327652,33.0282,36.8889,0.202853,5.55406,0.150693,0.36498,1.29634,0.709091,10.9945,1.06256,18.9537,119.094,0.768846,27.5486,0.195626,0.488409,0.0623829,0.107525,0.0940342,0.00108286,17.6943,7.65228,0.0137803,0.021705,0.101116,0.2184,1.07215,
63,51.4834,90.4209,84.9391,0.569375,0.916238,17.6832,0.711982,36.7312,20.3019,0.604378,11.4895,0.189108,0.477635,1.31572,2.33803,47.6839,1.52768,22.3445,17.1722,1.52488,32.1847,0.244788,0.587056,0.156798,0.107349,0.0938366,0.00108286,23.2309,7.80976,0.0137803,0.021705,0.0612916,0.218662,0.994869,
