Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.toe_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Heave.rear.roll_center_gnd.z.avg,Heave.rear.motion_ratio_heave_l.avg,Heave.rear.side_view_swing_arm_angle_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.toe_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Heave.rear.roll_center_gnd.z.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.toe_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,Heave.rear.roll_center_gnd.z.best,Heave.rear.motion_ratio_heave_l.best,Heave.rear.side_view_swing_arm_angle_l.best,Roll.rear.side_view_swing_arm_angle_l.best,
30,1253.52,2290.02,2008.34,0.547385,7.29488,170.897,18.392,1679.79,77.4673,169.479,166.695,1.68749,336.851,29.2002,1151.4,239.303,401.438,402.734,2.70784,3.04376,5.37623,1203.11,2.49985,1.48207,0.421617,
31,1253.52,1961.56,1669.15,0.639044,7.6998,124.15,14.2876,1491.01,33.9002,147.582,142.923,1.75488,267.446,21.3977,842.809,50.8826,365.097,355.43,3.99041,3.04376,5.37623,1203.11,2.49985,0.845217,0.745275,
32,1253.52,1961.62,1588.02,0.639022,7.38233,142.654,13.0938,1442.37,53.6623,153.036,149.428,1.90146,285.531,17.2547,751.588,90.0842,317.067,312.347,2.66881,2.91994,5.37623,1203.11,2.49985,0.845217,0.745275,
33,1253.52,2072.11,1846.81,0.604948,7.4592,132.861,15.2174,1536.85,61.9888,159.836,157.898,1.90188,265.055,22.3504,830.133,122.449,384.649,382.442,2.49909,3.04376,1.7062,1203.11,2.49985,0.845217,0.745275,
34,1251.14,2323.49,2364.82,0.538472,8.02679,153.409,19.9142,1795.01,62.4692,144.937,139.724,1.75622,385.994,32.0278,1422.73,123.426,376.874,359.575,3.15959,3.04376,6.11191,1202.85,2.49985,0.845217,0.745275,
35,1249.92,2346.06,2097.57,0.532775,7.67927,175.707,18.1796,1687.92,54.4399,202.919,199.216,1.7367,374.161,27.5747,1116.98,102,403.092,402.043,2.16187,3.04376,6.33788,1202.59,2.49985,0.845217,0.745275,
36,1249.92,2271.23,2118.46,0.550328,7.89503,163.133,17.7903,1653.37,42.8439,192.706,193.493,1.93426,434.412,23.921,1002.59,98.123,411.747,403.862,2.22773,3.11519,6.33788,1202.59,2.49985,0.845217,0.587208,
37,1249.92,2116.36,1948.89,0.590598,7.84116,137.06,17.5828,1603.51,57.0097,147.442,145.92,1.66281,295.092,26.4687,1026.56,120.231,361.53,356.032,3.11404,3.31172,3.52331,1202.59,2.49985,0.845217,0.587208,
38,1249.92,1742.58,1227.59,0.71728,7.67988,92.9659,14.0277,1472.39,54.3059,49.3088,51.9102,1.85719,271.088,22.6374,867.978,126.353,167.516,176.405,2.24696,2.00528,6.33788,1202.45,2.87131,0.845217,0.587208,
39,1242.87,2330.98,2124.68,0.533196,7.88865,200.016,17.1333,1605.24,69.5492,215.233,215.92,1.5574,373.736,22.2564,819.146,138.737,447.092,438.31,3.12115,2.07643,6.33788,1202.45,2.87131,0.845217,0.345893,
40,1242.87,1881.89,1732.54,0.660437,7.90352,91.1546,16.3106,1578.31,34.0554,77.5555,76.6012,1.54301,264.175,27.9143,1091.61,93.6072,263.654,261.378,2.67176,4.63429,6.33788,1202.45,2.52651,0.405732,0.345893,
41,1242.29,2028.24,1775.22,0.612498,7.63753,131.607,16.4222,1568.04,62.2045,121.892,120.432,1.67104,270.84,24.3702,943.23,127.644,291.46,300.234,3.04249,4.63429,6.49807,1202.45,2.52651,0.405732,0.345893,
42,1242.29,2407.78,2131.93,0.515949,7.64857,167.948,20.8341,1758.15,86.2376,187.454,179.509,1.74102,382.765,27.9804,1180.44,152.987,328.385,318.908,2.39061,1.52113,6.49807,1202.45,2.52651,0.405732,0.296482,
43,1242.03,2239.95,1883.84,0.55449,7.67334,152.911,19.6364,1678.94,76.1038,152.91,151.779,1.6898,281.114,28.3439,1096.75,151.335,329.112,328.581,3.20469,4.63429,4.33704,1202.45,2.52651,0.405732,0.296482,
44,1240.57,2289.57,2258.66,0.541836,7.77716,136.013,21.3814,1764.62,44.521,158.158,157.106,1.81771,362.985,30.9039,1207.71,109.332,392.837,391.044,2.3782,4.63429,6.49807,1202.45,2.52651,0.405732,0.296482,
45,1240.57,1943.35,1608.28,0.638368,7.59996,89.4394,16.1989,1569.4,49.8154,105.855,105.048,1.55886,243.935,27.2632,1056.09,113.846,293.685,286.523,3.49755,4.63429,6.49807,1202.45,2.52651,0.582408,0.296482,
46,1239.89,2242.37,2214.15,0.552939,7.422,190.698,17.9502,1647.75,47.5591,165.084,165.907,1.61143,433.005,27.4035,1091.91,98.1469,406.991,412.221,3.16897,4.63429,6.53024,1202.45,1.03391,0.582408,0.281203,
47,1239.89,2149.58,1700.37,0.576808,7.31708,152.226,16.7465,1578.07,57.6316,171.237,166.35,1.78983,306.733,20.9622,817.357,118.067,365.511,356.268,2.13688,5.89652,6.53024,1202.58,1.61159,0.582408,0.281203,
48,1236.23,2224.11,2111.97,0.555831,6.96015,190.755,15.8523,1607.54,70.4675,168.916,163.619,2.10096,372.113,25.2212,1046.62,132.868,398.488,390.98,2.28733,5.89652,6.53024,1202.51,1.61159,0.582408,0.281203,
49,1236.23,2416.96,2358.63,0.511483,7.17693,226.91,20.7217,1746.74,45.7496,187.641,182.02,1.98516,411.137,28.3756,1180.26,97.3258,366.871,356.713,2.09106,4.22975,5.91701,1202.44,1.61159,0.582408,0.281203,
50,1234.83,2037.13,1924.87,0.606163,6.85724,142.884,14.2704,1599.06,44.6147,118.619,110.828,1.90677,386.775,22.7184,1024.23,119.964,303.402,292.445,2.69338,6.2878,6.50722,1202.44,1.61159,0.244013,0.281203,
51,1234.83,2168.12,2064.99,0.569541,6.56963,162.997,18.253,1667.28,45.4459,134.272,133.306,2.01008,350.79,28.9531,1125.1,102.985,313.581,313.831,2.56791,7.93893,6.44382,1202.44,1.61159,0.244013,0.281203,
52,1234.83,2012.11,1657.75,0.6137,6.22773,117.634,16.2843,1573.5,46.6979,127.08,124.685,1.8407,289.952,23.6032,906.423,107.101,332.519,331.819,2.25159,6.41994,6.441,1202.51,1.36865,0.244013,0.191651,
53,1234.83,2184.79,2520.45,0.565195,6.66985,138.752,17.2774,1701.36,39.3776,143.45,137.909,2.04042,388.657,28.0693,1421.7,104.916,386.031,371.986,2.49859,10.4268,6.49313,1202.51,1.36865,0.244013,0.191651,
54,1234.83,2012.4,1743.81,0.613613,6.02605,103.967,15.94,1555.77,26.8625,152.96,150.868,1.52082,272.102,20.9432,875.487,60.1505,339.594,335.489,3.16832,6.58142,6.49313,1202.53,1.36865,0.244013,0.191651,
55,1231.61,2150.83,1938.03,0.57262,6.07808,127.714,18.6017,1649.01,61.7655,143.44,144.213,1.75777,291.578,28.7382,1101.64,185.866,363.93,362.9,3.06296,9.41581,6.49313,1202.53,1.36865,0.244013,0.191651,
56,1231.61,1849.49,1364.33,0.665918,5.96831,93.3963,16.4688,1593.4,43.1418,49.7034,47.4064,1.61869,251.352,26.9772,1057.09,102.889,176.925,184.451,3.33662,7.96022,6.53571,1202.53,1.36458,0.244013,0.164282,
57,1231.61,2052.95,1819.27,0.599921,5.76188,93.9045,16.4454,1571.27,51.1567,157.739,156.672,1.63925,218.906,24.3253,928.152,117.019,385.645,395.5,3.33662,7.70337,6.53571,1202.53,1.23428,0.244013,0.164282,
58,1231.61,2489.32,2388.56,0.494756,5.94219,231.394,21.4609,1758.42,57.7887,208.546,205.766,2.12233,713.17,32.4183,1267.91,122.092,411.599,414.728,2.25748,8.59376,3.76894,1202.53,1.23428,0.244013,0.164282,
59,1231.61,2051.91,1753.91,0.600225,5.79671,142.829,15.5872,1589.47,26.9116,137.259,134.055,2.06456,360.282,25.3917,1014.81,65.6542,371.391,366.81,3.08683,5.8584,6.55188,1202.53,1.23428,0.244013,0.164282,
60,1231.39,2227.75,2138.01,0.552752,5.23812,160.546,20.3617,1694.75,47.358,150.374,149.122,1.54393,328.143,30.9304,1184.99,94.5599,343.736,337.805,2.4946,10.4268,6.58349,1202.53,1.23428,0.244013,0.164282,
61,1231.39,2021.26,1743.79,0.609221,4.95436,113.991,17.8064,1643.07,17.7884,108.016,115.633,1.44971,374.636,28.3498,1110.02,50.5872,333.702,339.744,2.81602,6.95673,6.58349,1202.59,1.23428,0.244013,0.164282,
62,1231.39,1963.33,1815.3,0.627196,4.96397,129.483,14.5347,1493.11,30.3316,147.146,143.764,1.61609,291.932,21.1351,826.766,69.5179,363.45,363.644,3.21315,11.2025,6.58349,1202.59,1.23428,0.244013,0.164282,
63,1231.31,2128.74,2043.19,0.578421,4.9243,162.285,16.1062,1578.58,40.7203,165.501,160.623,1.85093,343.755,23.1493,967.584,92.7138,367.417,360.556,2.91583,9.31837,6.58349,1202.59,1.23428,0.244013,0.0665702,
64,1230.89,2450.43,2483.02,0.502315,4.87459,173.478,20.9728,1763.33,48.8838,220.721,218.17,1.83487,383.331,29.6495,1156.8,113.557,488.804,467.381,2.04649,7.03123,6.71538,1202.44,1.23137,0.262847,0.0665702,
