Individual,Roll.rear.camber_angle_gain_roll_l,Roll.rear.side_view_swing_arm_angle_l,2in Heave.rear.toe_angle_l,2in Heave.rear.tie_rod_angle_top_view_l,2in Heave.rear.roll_center_gnd.z,2in Heave.rear.p_rod_length_l,2in Heave.rear.coil_over_length_l,2in Heave.rear.side_view_swing_arm_angle_l,2in Heave.rear.motion_ratio_heave_l,
0,9.81146,0.0868076,0.252371,0.00178929,662.486,0,47.0173,0.220724,12.1781,
1,9.81152,0.0850259,0.254262,0.00190391,662.484,0,47.0358,0.225515,12.1605,
2,9.81142,0.0896982,0.25565,0.00123076,662.485,0,47.0184,0.225098,12.1727,
3,9.81133,0.0858185,0.255754,0.00147142,662.484,0,47.0275,0.226219,12.1675,
4,9.81158,0.0891313,0.255624,0.00149922,662.487,0,47.0221,0.223794,12.1687,
5,9.81134,0.0876957,0.255846,0.00178915,662.487,0,47.0353,0.218235,12.1635,
6,9.81352,0.089758,0.252277,0.00171748,662.491,0,47.0357,0.225971,12.1504,
7,9.81114,0.0870221,0.256591,0.00195582,662.485,0,47.0221,0.227018,12.17,
8,9.81031,0.0874586,0.256887,0.00133031,662.485,0,47.016,0.228429,12.1758,
9,9.81145,0.0904114,0.255968,0.00193579,662.486,0,47.0243,0.222926,12.1689,
10,9.81322,0.0872025,0.252755,0.00158742,662.48,0,47.0294,0.228066,12.1699,
11,9.81183,0.08901,0.255762,0.00184689,662.487,0,47.0251,0.226558,12.1663,
12,9.81114,0.0880796,0.256032,0.00189983,662.49,0,47.0175,0.222518,12.1771,
13,9.81132,0.0876681,0.256574,0.00198018,662.487,0,47.025,0.226706,12.1682,
14,9.81126,0.0905216,0.256148,0.00194259,662.487,0,47.0247,0.223705,12.1689,
15,9.81077,0.0875463,0.256875,0.00152356,662.487,0,47.0229,0.22872,12.1697,
16,9.81277,0.0870364,0.254804,0.00151449,662.489,0,47.0296,0.223776,12.1668,
17,9.8116,0.0883381,0.255164,0.00190955,662.487,0,47.0185,0.227215,12.1758,
18,9.81108,0.086948,0.25629,0.00176501,662.493,0,47.0136,0.228011,12.1755,
19,9.80986,0.0862135,0.257868,0.00193944,662.484,0,47.0265,0.229054,12.1706,
20,9.81193,0.0870146,0.25547,0.00164985,662.487,0,47.0283,0.226254,12.1686,
21,9.81096,0.0866619,0.253718,0.00132153,662.486,0,47.0254,0.22892,12.1741,
22,9.81287,0.0887899,0.254785,0.00152066,662.489,0,47.0186,0.228061,12.1731,
23,9.81148,0.0870878,0.256814,0.00182142,662.487,0,47.029,0.228873,12.1651,
24,9.81063,0.0872462,0.257442,0.0018396,662.487,0,47.015,0.232796,12.1759,
25,9.81257,0.0864317,0.253177,0.00186394,662.486,0,47.0436,0.224619,12.1588,
26,9.8116,0.0872249,0.256333,0.00117644,662.487,0,47.0257,0.23158,12.1676,
27,9.81303,0.0884642,0.252809,0.00168325,662.494,0,47.0162,0.227987,12.1763,
28,9.81139,0.086692,0.25586,0.00133095,662.492,0,47.0185,0.229819,12.1743,
29,9.81182,0.0848187,0.255726,0.00146578,662.489,0,47.0261,0.227451,12.1745,
30,124.347,634.088,648.438,2.75753,3860.96,0,1265.41,634.873,19.9968,
31,95.1527,518.245,6.09999,2.92317,2871.18,0,662.177,517.792,47.1725,
32,32.7262,1444.22,676.258,13.785,1174.59,0,1175.29,1458.15,98.7876,
33,41.2412,266.958,268.994,5.08337,1699.64,0,452.679,267.51,411.98,
34,115.618,156.728,0.805981,0.839962,3541.32,0,1603.52,156.581,13608.6,
35,41.2426,127.159,127.844,4.04779,1685.38,0,454.635,127.813,813.627,
36,30.0829,229.712,162.981,4.28853,1385.36,0,351.435,230.499,460.708,
37,79.6977,791.978,12.2058,6.60833,2361.08,0,1719.33,791.753,1022.35,
38,9.81186,0.0861449,0.253355,0.00153484,662.477,0,47.0241,0.229356,12.1671,
39,9.81058,0.0875275,0.25713,0.00205714,662.482,0,47.0265,0.228034,12.1737,
40,9.81138,0.0847917,0.253319,0.00159803,662.483,0,47.0211,0.225056,12.1696,
41,80.5291,802.206,5.01714,7.81318,2386.23,0,596.645,801.909,1101.42,
42,9.81232,0.0867999,0.25468,0.00195103,662.484,0,47.0297,0.223357,12.1658,
43,9.81274,0.0873457,0.253833,0.00187813,662.481,0,47.0274,0.230724,12.1699,
44,9.8101,0.085785,0.257505,0.00206399,662.48,0,47.0289,0.224187,12.1673,
45,9.81205,0.0856955,0.255005,0.00164881,662.479,0,47.025,0.227863,12.1715,
46,9.81301,0.0866089,0.253077,0.00162485,662.483,0,47.0277,0.223574,12.171,
47,9.81177,0.0880032,0.254181,0.00189077,662.487,0,47.0178,0.224392,12.1803,
48,9.81362,0.0863361,0.252456,0.00204464,662.478,0,47.029,0.224074,12.1694,
49,80.315,799.69,9.59262,5.5754,2379.72,0,1284.35,799.471,229.65,
