Individual,Heave.rear.toe_angle_l,Heave.rear.tie_rod_angle_top_view_l,Heave.rear.roll_center_gnd.z,Heave.rear.motion_ratio_heave_l,Heave.rear.side_view_swing_arm_angle_l,Roll.rear.camber_angle_gain_roll_l,Roll.rear.side_view_swing_arm_angle_l,
0,0.408135,2.37945,1202.36,2.55219,0.228441,7.34227,0.101721,
1,0.41313,2.38017,1202.36,2.55273,0.230041,7.34255,0.0986464,
2,0.41702,2.37925,1202.36,2.55312,0.229182,7.34235,0.0982721,
3,0.417994,2.38035,1202.36,2.55192,0.230308,7.3422,0.0968031,
4,0.412118,2.38149,1202.36,2.5529,0.229959,7.34254,0.10235,
5,0.418338,2.37929,1202.36,2.55211,0.230007,7.34222,0.0951082,
6,0.412595,2.38034,1202.36,2.55333,0.230762,7.34232,0.102586,
7,0.425294,2.37831,1202.36,2.5526,0.225532,7.34181,0.0963574,
8,0.412288,2.38046,1202.36,2.55297,0.231918,7.34225,0.102382,
9,0.409942,2.38033,1202.36,2.55409,0.229089,7.34212,0.105755,
10,0.409514,2.38039,1202.36,2.55221,0.232175,7.34233,0.104727,
11,0.411131,2.38017,1202.36,2.55401,0.2274,7.34205,0.106346,
12,0.407516,2.3807,1202.36,2.55426,0.231867,7.34227,0.106586,
13,0.420627,2.37969,1202.36,2.5536,0.230765,7.34204,0.096964,
14,0.417854,2.38115,1202.36,2.55357,0.230129,7.34239,0.0983106,
15,0.414383,2.38019,1202.36,2.55464,0.230127,7.3419,0.102906,
16,0.407244,2.38002,1202.36,2.552,0.23326,7.34221,0.109491,
17,0.420444,2.37989,1202.36,2.55261,0.226723,7.34181,0.103891,
18,0.412187,2.38133,1202.36,2.55407,0.229341,7.34266,0.100382,
19,0.420669,2.38014,1202.36,2.55329,0.228137,7.34195,0.101797,
20,0.416248,2.38087,1202.36,2.55529,0.227935,7.34193,0.104373,
21,0.413389,2.37866,1202.37,2.55128,0.233701,7.34243,0.101094,
22,0.420223,2.37897,1202.36,2.55546,0.229969,7.34254,0.0944692,
23,0.41629,2.38073,1202.36,2.55238,0.229614,7.34173,0.106231,
24,0.413189,2.38103,1202.36,2.55156,0.228753,7.34181,0.110743,
25,0.412068,2.38054,1202.36,2.55355,0.233014,7.34232,0.104417,
26,0.421827,2.37936,1202.36,2.55447,0.230099,7.34242,0.0938847,
27,0.40932,2.38051,1202.36,2.5531,0.229623,7.34181,0.112915,
28,0.409794,2.38051,1202.36,2.55262,0.232004,7.34196,0.110531,
29,0.404586,2.38085,1202.36,2.55189,0.23306,7.34198,0.1131,
30,0.416929,2.38058,1202.36,2.55222,0.229342,7.34196,0.105092,
31,0.396291,2.38119,1202.36,2.55243,0.235807,7.34216,0.120053,
32,0.418581,2.38039,1202.36,2.55271,0.227887,7.34161,0.1044,
33,0.404001,2.38163,1202.36,2.55244,0.236271,7.34235,0.110275,
34,0.398064,2.38058,1202.36,2.5524,0.237014,7.34261,0.114809,
35,0.420224,2.38051,1202.36,2.55276,0.229964,7.34187,0.102768,
36,0.409557,2.37959,1202.36,2.5552,0.233899,7.34218,0.10709,
37,0.40796,2.3796,1202.36,2.55469,0.232114,7.3418,0.112007,
38,0.406199,2.38096,1202.37,2.55388,0.231772,7.34267,0.107626,
39,0.416193,2.38028,1202.36,2.55631,0.230217,7.34236,0.0997992,
40,0.411711,2.37968,1202.36,2.55487,0.232043,7.34205,0.107969,
41,0.400197,2.37953,1202.36,2.5513,0.232256,7.34202,0.120036,
42,0.409517,2.37904,1202.36,2.55287,0.231747,7.34188,0.110932,
43,0.405029,2.38067,1202.36,2.55211,0.23553,7.3425,0.10851,
44,0.419527,2.38028,1202.36,2.55445,0.229471,7.34173,0.102191,
45,0.400647,2.38189,1202.36,2.55282,0.233755,7.34198,0.117486,
46,0.402106,2.38056,1202.36,2.55447,0.233471,7.34217,0.115299,
47,0.408183,2.38031,1202.36,2.55284,0.229254,7.342,0.112462,
48,0.397156,2.38046,1202.36,2.55295,0.238362,7.3423,0.11612,
49,0.399756,2.3805,1202.36,2.54985,0.232891,7.3419,0.120991,
50,0.405252,2.38157,1202.36,2.55127,0.23642,7.34221,0.112754,
51,0.409724,2.38143,1202.36,2.55206,0.23158,7.34204,0.108141,
