Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.roll_center_gnd.z.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Roll.front.camber_angle_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.roll_center_gnd.z.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Roll.front.camber_angle_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.roll_center_gnd.z.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Roll.front.camber_angle_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
0,73.5398,203.64,129.703,0.361127,3.35559,13.9379,58.8745,2.57193,13.3399,29.8725,76.5758,1.00833,0.266684,3.83662,3.78011,15.9292,129.572,3.41268,15.4084,20.8806,79.6277,0.999518,0.308656,4.41856,0.0445239,1.98057,12.4252,0.0646221,0.846442,5.67998,27.788,0.972503,0.00654429,0.59101,
1,73.5398,210.812,132.558,0.348841,3.32032,11.2818,21.8622,1.71072,83.4201,30.4478,52.2769,0.994506,1.67094,3.82657,2.28965,9.28632,38.0725,1.8843,118.645,12.0827,26.8735,0.0281408,2.87291,1.92302,0.0445239,1.23727,12.4252,0.0240328,0.846442,5.67998,26.4984,0.973349,0.00654429,0.704087,
2,73.5398,260.279,218.005,0.282542,3.2875,14.2154,18.4552,2.2376,134.566,27.1293,52.6771,0.991997,2.69284,4.02615,2.48382,10.0281,7.80285,1.9921,208.603,13.3865,22.5438,0.0149694,4.30272,2.31317,0.0445239,1.23727,11.5945,0.0646221,0.846442,3.02075,27.788,0.973286,0.00654429,0.457131,
3,73.5398,256.559,237.653,0.286639,3.49416,11.919,21.7183,2.17188,131.828,30.5458,47.1483,0.993459,2.63704,4.10349,2.66854,8.38187,15.3337,2.05215,229.16,13.6367,17.0265,0.0278635,4.57984,2.00886,0.0445239,1.98057,9.73107,0.0646221,0.846442,5.67998,24.9862,0.973246,0.00654429,0.457131,
4,73.5398,265.485,289.038,0.277002,3.29943,10.5072,26.2313,1.89946,139.43,29.1753,46.9919,0.990818,2.77833,4.181,2.37305,8.22376,47.0645,1.8381,276.921,11.6782,19.7845,0.0199573,5.48327,2.26401,0.0445239,1.98057,11.0196,0.0646221,0.846442,5.67998,26.5846,0.973476,0.00654429,0.457131,
5,73.5398,291.274,333.069,0.252476,3.14721,11.3538,19.5011,1.98272,176.781,25.7006,44.8463,0.990906,3.52288,3.44774,2.65445,8.95123,9.69257,1.87497,321.767,12.2404,16.3733,0.0136577,6.39501,1.99025,0.0445239,1.0699,8.26703,0.0612481,0.846442,5.67998,25.8754,0.973869,0.00654429,0.418679,
6,73.5398,248.356,208.422,0.296107,3.27044,10.2786,20.1856,1.99129,134.23,26.9205,44.4342,0.988603,2.68672,3.37006,2.13919,7.78573,7.53186,1.63178,208.057,11.8188,15.5342,0.0151094,4.36887,1.83991,0.0445239,0.757447,11.8251,0.0558923,0.846442,3.67967,23.93,0.972717,0.00654429,0.457131,
7,73.5398,212.496,185.47,0.346077,3.50159,8.26783,29.9181,1.95431,90.4976,27.0377,45.4673,0.996224,1.81101,3.04412,2.3616,8.20298,49.2318,1.69622,178.012,11.1463,28.8962,0.026702,3.56262,2.17161,0.0445239,0.961136,12.6134,0.0281124,0.846442,5.67998,23.9836,0.972894,0.00654429,0.457131,
8,73.5398,272.819,224.26,0.269556,2.93173,10.8199,20.4473,2.19765,155.713,25.6778,47.7619,0.98997,3.11748,3.16197,2.13524,8.64214,12.1321,1.85897,219.779,10.5641,26.9839,0.0164973,4.40051,1.81344,0.0445239,1.88764,12.5415,0.148143,0.846442,5.67998,25.2733,0.972687,0.00654429,0.636583,
9,73.5398,254.452,250.531,0.289012,3.17157,9.60914,21.8125,2.00864,136.688,27.3409,46.6224,0.991391,2.73288,3.47504,2.44391,7.78981,10.378,1.98747,230.531,11.3046,30.1536,0.0230974,4.60548,1.86156,0.0445239,1.40855,10.1371,0.0705273,0.846442,5.67998,24.7267,0.970392,0.00654429,0.704087,
