Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.tie_rod_angle_top_view_l.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,Roll.front.side_view_swing_arm_angle_l.best,
0,91.622,368.868,218.824,0.248387,31.1727,66.3792,3.67904,56.602,25.3348,66.6545,4.00966,49.1003,65.9357,29.5986,82.3937,4.08995,163.056,32.7711,83.726,4.45332,58.8733,90.3206,3.23797,1.50987,0.0637569,11.6588,0.678216,1.34722,0.462925,2.99163,0.585356,
1,91.622,496.257,445.463,0.184626,27.6212,45.2883,3.72598,33.2187,17.4873,164.524,3.98083,36.4947,163.916,13.7362,44.2458,2.50906,50.2213,15.8192,208.005,2.18083,28.9551,244.794,4.74261,1.50987,0.0637569,11.6588,0.384351,1.34722,0.877761,2.99163,0.585356,
2,91.622,414.711,370.925,0.22093,32.9214,47.5955,3.64687,26.0124,14.244,126.646,3.43601,34.1464,126.062,13.6979,37.1028,3.02286,18.3504,12.0927,186.198,2.01649,22.7828,195.482,4.74261,1.50987,0.0637569,10.7613,0.308911,1.34722,0.717313,2.99163,0.585356,
3,91.622,450.019,415.48,0.203596,31.9469,34.7188,3.65021,25.4084,16.5598,150.33,4.20429,33.3146,149.886,14.5035,32.0032,2.81295,17.3379,15.6022,208,2.19451,22.9457,205.612,4.74261,1.50987,0.0637569,11.1928,0.515068,1.34722,0.740889,2.99163,0.585356,
4,91.622,346.649,593.309,0.264308,30.1079,29.9855,3.75805,32.9651,15.0753,105.826,4.02272,21.4649,103.444,14.0397,27.6873,2.62012,23.1334,11.2105,298.425,1.83972,22.2995,287.842,4.74261,1.50987,0.0637569,11.6588,0.375201,1.34722,0.877761,2.99163,0.585356,
5,91.622,420.851,456.404,0.217707,33.2947,26.0128,3.69421,28.597,17.8232,141.525,3.77675,25.0541,141.073,16.5165,28.6232,2.67074,17.2018,11.4595,218.177,1.66524,22.6922,224.857,8.13642,1.50987,0.0637569,8.58872,0.678216,1.34722,0.877761,3.29744,0.585356,
6,91.622,417.253,483.602,0.219584,29.3454,23.0457,3.20637,27.9408,17.4475,143.467,3.95824,25.9459,142.896,13.2448,28.8115,2.64893,16.6536,12.2594,232.914,1.64953,21.3461,232.55,8.13642,1.50987,0.0637569,10.7783,0.628053,0.902339,0.784163,5.00982,0.585356,
7,89.9537,241.409,212.926,0.37262,30.8878,18.7351,3.2091,29.6756,13.8957,60.9277,3.50713,20.1408,60.4297,12.9197,18.4674,2.34118,16.001,10.5826,134.732,1.7214,18.842,132.715,8.13642,0.964275,0.0637569,12.8047,0.678216,0.902339,0.784163,5.00982,0.585356,
8,89.9537,205.741,205.059,0.437219,32.4523,15.2819,4.06391,32.9147,14.4639,44.7058,3.3173,14.6699,43.8711,11.6573,12.4544,2.51313,15.6815,13.2819,104.329,1.55875,14.2287,103.958,8.13642,0.964275,0.150799,12.8047,0.52125,0.902339,0.784163,3.47217,0.585356,
9,89.9537,209.213,397.555,0.429963,29.5581,22.9093,4.00671,32.4106,10.5217,47.3847,3.35895,12.5956,46.4671,14.024,31.6818,2.71431,6.14198,8.67209,176.543,1.50114,16.2041,175.227,6.72561,0.964275,0.150799,8.07912,0.509976,0.902339,0.784163,4.8282,0.585356,
10,89.9537,186.421,363.777,0.482531,26.7182,17.0646,3.1434,32.9114,10.7227,42.0827,3.01776,9.59995,41.16,11.2706,18.8394,2.69154,5.68286,6.81786,169.691,1.31959,10.1809,168.89,9.97766,0.964275,0.150799,6.20868,0.183753,0.902339,0.784163,3.20681,0.585356,
11,77.17,181.018,361.161,0.426313,27.6443,12.2981,3.82503,33.2578,10.0801,40.637,2.92286,10.7033,39.6492,10.8509,9.76367,2.51766,5.83752,9.29571,177.725,1.40492,17.5984,175.503,9.97766,0.964275,0.150799,6.3731,0.138807,0.902339,0.784163,3.94773,0.585356,
12,77.17,156.154,332.131,0.494191,29.1048,10.2805,4.60086,33.8868,7.14812,31.1822,2.80929,7.00294,30.1389,10.8801,14.7057,3.44764,5.3629,6.71104,158.8,1.55874,4.06783,158.7,9.97766,0.964275,0.150799,0.905851,0.128545,0.592888,0.784163,3.6961,0.585356,
13,71.833,197.318,469.602,0.364046,26.6914,9.41124,3.37385,33.8143,9.31866,52.092,2.8324,8.77075,51.0137,11.6671,9.9166,2.59244,6.00519,11.7852,222.179,2.03807,11.7049,222.507,5.21719,0.964275,0.149964,1.14383,0.128545,0.592888,0.784163,3.57772,0.342719,
14,71.833,224.856,660.872,0.319462,26.761,6.47054,4.26707,35.8302,6.89788,68.8771,2.40837,8.07184,65.2721,12.6054,6.13727,2.8154,11.7882,6.75064,325.488,1.76845,9.23164,308.416,8.51825,0.964275,0.150799,7.3324,0.0897347,0.559852,0.941038,3.94773,0.342719,
15,68.9586,163.606,364.667,0.421491,23.9321,6.16184,4.72348,33.886,4.98952,39.412,2.28225,9.29394,38.9252,12.6227,2.92556,3.01409,5.40183,4.76386,176.665,1.70474,13.9927,174.022,8.51825,0.76446,0.150799,6.38084,0.0897347,0.544919,1.02127,3.94773,0.179585,
16,64.8369,133.14,192.154,0.486981,21.8424,11.4179,4.23778,33.6424,4.69843,21.3056,2.22619,12.8837,20.886,10.9926,27.6736,2.78316,5.26032,5.42807,72.5525,1.11286,25.7619,68.8314,8.51825,0.964275,0.150799,12.0624,0.0897347,0.544919,1.00142,3.94773,0.179585,
