Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.roll_center_gnd.z.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Roll.front.camber_angle_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.roll_center_gnd.z.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Roll.front.camber_angle_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.roll_center_gnd.z.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Roll.front.camber_angle_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
0,102.082,208.181,100.959,0.490351,4.35026,14.0739,46.2319,2.36634,12.3939,27.7434,95.7847,1.0063,0.247148,3.98362,2.90113,16.3843,99.8297,2.74647,14.9707,21.865,86.5446,1.00687,0.2774,4.61373,0.0461635,1.07861,12.5137,0.0516227,0.325013,6.35654,56.2113,0.973485,0.00204688,0.709892,
1,102.082,288.621,232.018,0.353688,4.14246,13.6189,20.0141,1.95867,134.546,25.8974,80.8323,0.991107,2.69088,3.92933,2.6669,7.90864,28.2312,1.30081,206.182,11.3884,31.8747,0.0246158,5.06029,2.51214,0.0461635,1.07861,10.1386,0.0516227,0.462597,6.35654,56.2113,0.973731,0.00536309,0.709892,
2,102.082,343.805,346.522,0.296918,3.558,12.5498,21.4995,1.70441,192.68,28.0498,75.3543,0.99242,3.83765,3.57914,2.64881,7.84133,15.5176,1.29723,346.671,12.1443,19.8936,0.0210396,6.86598,2.21698,0.0461635,1.05949,5.70374,0.034032,0.462597,6.35654,49.9238,0.972351,0.00536309,0.617093,
3,102.082,243.056,249.597,0.419994,4.17123,15.0091,22.1797,1.9117,91.919,28.4521,72.3529,0.990134,1.82598,4.24394,2.7793,7.53097,28.7045,1.51809,243.203,12.2507,19.1544,0.0222604,5.36444,2.53879,0.0461635,1.07861,12.3113,0.0328048,0.462597,6.35654,44.0929,0.97142,0.00536309,0.709892,
4,102.082,298.029,254.485,0.342523,3.88767,15.9077,16.7226,2.0443,158.594,23.3665,69.0872,0.987787,3.17152,4.26022,2.88475,7.7795,9.62907,1.51927,234.935,8.4426,14.3715,0.0146414,4.84555,2.11828,0.0461635,1.07861,7.68564,0.0516227,0.462597,6.35654,55.3272,0.97366,0.00536309,0.805991,
5,102.082,231.885,140.928,0.440226,3.08769,15.6524,22.8511,2.24338,84.8524,25.9782,69.8496,0.987519,1.69881,4.6842,2.59292,7.09003,41.4474,1.46153,143.776,9.03653,18.0145,0.0184718,2.87734,2.42576,0.0461635,1.07861,12.5137,0.0368596,0.462597,6.35654,55.085,0.972881,0.00536309,0.805991,
6,102.082,311.372,374.652,0.327845,4.40458,15.6354,16.5976,2.26025,168.624,27.0739,67.8977,0.987752,3.34448,4.54637,2.70918,7.40478,10.2477,1.6513,349.061,11.4519,13.5732,0.0145827,7.26719,2.33913,0.0461635,1.07861,0.143267,0.0368596,0.462597,6.35654,52.1325,0.971392,0.00536309,0.805991,
7,102.082,315.07,297.928,0.323997,3.65315,14.3881,18.6982,2.18569,173.5,25.0801,67.9421,0.991143,3.46205,5.17025,2.71055,7.78911,11.1288,1.73708,289.97,11.3117,13.0761,0.024804,5.76284,2.46713,0.0461635,1.07861,8.98717,0.0368596,0.462597,5.31068,53.7356,0.973731,0.00536309,0.805991,
8,102.082,233.103,139.64,0.437926,3.44688,14.4286,20.5195,2.30065,90.9229,25.8262,67.7406,0.989689,1.82081,5.10762,2.6084,7.84464,19.2008,2.01731,170.347,11.5373,16.1404,0.022558,3.17429,2.33762,0.0461635,0.979839,12.2744,0.0368596,0.462597,3.95324,55.7414,0.97285,0.00536309,0.805991,
9,102.082,258.72,180.804,0.394565,3.53033,14.9752,17.8104,2.26622,121.162,25.7062,64.392,0.988418,2.42543,5.46405,2.36365,7.58869,10.7061,1.72343,181.98,9.20819,10.3902,0.0221423,3.68737,2.18232,0.0461635,1.07861,11.1181,0.0368596,0.462597,6.35654,53.9441,0.973731,0.00536309,0.901718,
