Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.roll_center.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.mechanical_trail_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.camber_angle_l.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Heave.front.roll_center.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.camber_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Heave.front.roll_center.z.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.mechanical_trail_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.camber_angle_l.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
75,37.835,81.6649,119.119,0.463296,16.6031,0.95072,7.94909,0.802639,1.92649,7.73571,0.507542,0.422434,24.6207,18.1368,0.666884,1.34278,37.0594,0.780002,6.77149,0.470361,1.40593,23.2295,0.0829616,0.292077,70.6427,3.93666,0.560444,0.843166,5.78062,0.273406,3.45426,0.266918,0.285014,0.12087,0.0522351,0.0401974,0.765171,10.6131,0.139761,0.729729,
76,37.835,98.4222,201.68,0.384415,20.4594,1.13817,10.5044,0.719627,2.14023,7.38731,0.53232,0.434156,33.3835,19.6707,0.578625,1.47363,52.3214,1.04934,15.4907,0.558931,1.7237,18.4291,0.0564653,0.292832,111.521,11.1009,0.425393,0.933353,5.73071,0.27671,3.45426,0.194351,0.324491,0.12087,0.475784,0.0427665,0.765171,10.6973,0.154813,0.665375,
77,37.835,74.4612,148.092,0.508117,24.3903,0.913683,8.39832,0.713443,2.2022,3.8113,0.528271,0.589009,13.395,17.5637,0.514884,1.44117,87.6965,0.86787,8.58146,0.631334,2.3953,4.41607,0.061745,0.606621,52.6438,4.34285,0.377343,0.502813,5.73071,0.271896,4.4606,0.222697,0.324491,0.12087,0.346659,0.112195,0.765171,7.86369,0.185014,0.665375,
78,37.835,87.462,180.97,0.432588,28.7142,0.803532,8.04709,0.737196,2.43381,5.42198,0.534683,0.439523,20.6429,17.7869,0.445571,1.45471,96.007,0.811894,7.20177,0.405793,1.92299,13.2538,0.0710674,0.23091,82.5526,3.77443,0.462847,0.471518,5.73071,0.271896,4.4606,0.250602,0.324491,0.12087,0.443596,0.112195,0.765171,7.31268,0.148716,0.80535,
79,35.954,75.1045,128.133,0.478719,14.7192,0.767073,10.4529,0.684579,2.35673,7.83482,0.516794,0.492096,18.3443,16.834,0.452171,1.64993,31.7353,0.791048,14.4346,0.400109,1.56545,19.7996,0.0558659,0.567072,71.445,4.33681,0.444094,0.949738,5.46123,0.271896,4.32417,0.250602,0.324491,0.12087,0.225688,0.112128,0.461068,8.64009,0.155849,0.483123,
80,35.954,76.9949,155.488,0.466966,26.3681,0.713642,7.73911,0.702469,2.50717,5.844,0.534436,0.507471,14.4983,15.6268,0.529086,1.42425,91.6433,0.747786,6.99937,0.455783,2.5466,14.4664,0.0346249,0.658622,43.1075,3.41621,0.501637,0.480972,5.27828,0.271896,4.05495,0.250602,0.363362,0.0588936,0.4807,0.0920894,1.26591,9.05159,0.162274,0.650293,
81,35.2238,64.4069,138.487,0.546895,14.6726,0.617696,7.41883,0.620106,2.05258,4.24668,0.535829,0.378842,17.2541,14.6866,0.521407,1.40171,50.7223,0.710831,6.23634,0.447339,1.01424,6.39804,0.0373738,0.225933,76.4332,3.22554,0.442803,0.414566,5.27828,0.283518,4.05495,0.250602,0.363362,0.57154,0.459617,0.0151338,0.896219,9.05159,0.171006,0.77451,
82,35.1517,104.333,214.589,0.336919,41.9402,0.784441,9.25369,0.605227,2.6212,7.51739,0.558974,0.440718,23.7821,14.6478,0.658093,1.52282,128.262,1.02999,12.8866,0.475288,2.35409,15.3183,0.153313,0.360432,80.1977,3.38377,0.686295,0.952779,5.2588,0.283518,3.87603,0.250602,0.363362,0.0347232,0.159292,0.0973885,0.525312,9.05159,0.161642,0.710812,
83,31.3228,108.109,242.21,0.289733,37.816,0.744644,9.07077,0.608892,2.93826,7.60632,0.528291,0.507349,31.9014,14.1188,0.594746,1.674,111.589,0.805053,13.6049,0.466516,3.96998,20.5614,0.0504561,0.685314,120.448,3.42328,0.569567,0.688197,5.05185,0.284062,3.59845,0.241361,0.157731,0.690729,0.323662,0.122387,0.525312,9.05159,0.17733,0.77451,
84,31.3228,138.635,458.901,0.225938,62.9535,0.779971,9.8601,0.910774,2.82908,6.97373,0.567019,0.475159,37.353,13.7084,0.562404,1.66157,301.209,0.982245,17.3933,2.19948,2.13096,17.2924,0.202901,0.641108,132.969,5.9568,0.494247,0.618472,4.56294,0.285919,4.09612,0.241361,0.363362,0.690729,0.47171,0.0765294,0.525312,8.1858,0.17733,0.749711,
85,31.3228,57.2459,132.029,0.547163,17.7492,0.683836,7.13743,0.496343,2.81716,3.92233,0.541496,0.432233,8.42709,12.7844,0.519869,1.73446,87.0699,0.645036,11.332,0.347276,1.94528,8.82328,0.0497522,0.31556,42.0116,2.4673,0.441973,0.408314,4.78263,0.284426,4.09612,0.206269,0.425173,0.427548,0.50627,0.0751929,0.370018,7.32511,0.168987,1.04118,
86,31.3228,87.6336,174.311,0.35743,26.3432,0.846967,7.53964,0.653307,2.70084,8.36895,0.514325,0.45895,25.7057,12.399,0.547022,1.55573,76.8586,0.787936,7.23213,0.54213,2.60813,22.6074,0.110225,0.498283,82.7534,2.4293,0.422383,0.384113,4.85403,0.284426,3.96532,0.267831,0.258029,0.280793,0.0161218,0.032014,0.370018,3.53127,0.159302,0.910685,
87,29.8347,57.6564,146.871,0.517456,13.9049,0.716191,7.006,0.555697,2.33571,4.593,0.535331,0.330713,13.1042,12.4141,0.471536,1.68906,54.9167,0.718995,9.93059,0.360587,1.23399,14.6746,0.0280981,0.212287,67.1553,2.36668,0.318372,0.362915,4.81122,0.281609,4.02026,0.267831,0.425173,0.076154,0.432492,0.00716382,0.370018,6.11085,0.167075,0.967452,
88,29.8344,70.1296,160.019,0.425418,19.1091,0.820885,9.93496,0.652763,2.09046,6.79041,0.520429,0.402894,15.7415,11.9405,0.528778,1.59701,65.4751,0.979447,17.4947,0.490416,0.86144,20.4144,0.0913533,0.253822,57.5847,2.54352,0.477784,0.366913,4.81122,0.281609,4.1823,0.267831,0.425173,0.507941,0.0593438,0.0096427,0.370018,2.67509,0.168987,0.897933,
89,29.4892,85.5813,206.523,0.344575,20.0265,0.869158,7.93717,0.621648,2.02952,5.2592,0.517628,0.416807,33.3694,12.2215,0.692041,1.62068,58.5939,1.20867,9.88407,0.429066,1.59913,14.0362,0.0966165,0.438005,123.96,2.43007,0.550678,0.607752,4.57057,0.281609,3.81271,0.225061,0.401387,0.210624,0.0364007,0.0096427,0.43219,8.07043,0.168401,0.641229,
90,27.9336,103.833,263.195,0.269025,22.0789,0.851476,10.5457,0.751278,2.65713,6.93547,0.540093,0.380055,35.6561,20.8556,0.614179,1.96691,74.8838,1.15755,21.6984,1.24838,2.68569,16.1466,0.0625348,0.31581,130.331,58.6727,0.556759,1.35284,4.54445,0.28078,3.81271,0.255896,0.42044,0.22351,0.308353,0.0122303,0.43219,8.05881,0.168987,0.875898,
91,27.9336,184.752,780.765,0.151195,20.3948,0.682842,9.71208,0.594289,1.97019,8.13203,0.531283,0.535879,36.6289,103.155,0.596197,1.81855,68.501,0.669115,20.579,0.460796,0.923156,27.7839,0.0747229,0.858327,133.305,651.83,0.521892,0.679498,4.57057,0.28078,3.81271,0.213338,0.42044,0.116706,0.0200767,0.0309502,0.43219,5.07893,0.17128,0.875898,
92,27.9336,583.579,3528.78,0.047866,501.398,0.83382,8.25519,1.82384,2.02208,7.65087,0.526424,0.469049,44.841,13.3414,0.672326,1.74469,3365.49,1.32431,13.6645,8.41969,1.40861,23.3759,0.0721573,0.762468,144.893,67.1762,0.558483,0.350015,4.57057,0.256152,3.81271,0.204203,0.271724,0.201874,0.169229,0.134722,0.43219,7.14574,0.17128,0.562746,
93,27.9336,85.952,239.96,0.324991,27.9828,0.657235,8.089,0.589054,2.18729,10.1344,0.547971,0.439376,22.6727,10.2307,0.536875,1.88457,372.722,0.879832,14.3682,1.23729,1.36164,31.9092,0.13138,0.624297,91.4218,3.89984,0.566632,0.597295,4.31907,0.28078,4.16851,0.213338,0.42044,0.201874,0.225743,0.0377513,0.361572,6.47605,0.17128,1.03953,
94,27.026,89.3342,240.204,0.302528,20.2466,0.65447,8.90504,0.586712,2.4415,7.43455,0.548608,0.392587,27.6414,18.1062,0.479753,1.89669,68.7819,0.922603,16.6579,0.528343,1.54784,21.8459,0.0705444,0.265221,111.614,58.8147,0.500051,0.518357,4.30245,0.28078,4.16851,0.213338,0.429316,0.198504,0.47887,0.134722,0.186475,2.46399,0.17128,1.28208,
95,25.9355,60.2715,153.836,0.430311,12.2936,0.532436,6.07307,0.552118,2.3517,4.25755,0.527872,0.38542,21.0963,10.0027,0.390222,1.80857,42.1693,0.40874,7.00768,0.414258,1.11569,11.584,0.0631834,0.160709,98.1416,8.83196,0.345747,0.228624,4.30245,0.284914,4.16851,0.213338,0.771107,0.175589,0.138716,0.152002,0.186475,5.00193,0.17128,1.23311,
96,25.9355,61.0822,154.354,0.4246,22.6808,0.64863,5.88295,0.564724,2.56427,2.93636,0.543273,0.368981,13.1002,9.65527,0.390523,1.74613,87.0422,1.07855,6.22507,0.440213,2.4013,7.43673,0.0604116,0.217072,67.7863,2.5423,0.21434,0.219719,4.44615,0.284914,4.29633,0.186867,1.1569,0.175589,0.355903,0.193364,0.115757,4.20398,0.17128,0.794952,
97,25.9355,111.08,270.75,0.233485,26.5398,0.768956,9.26279,0.586618,2.58391,8.1859,0.518065,0.549267,44.0006,15.6635,0.495413,1.92494,73.0703,1.09333,15.1633,0.429289,1.73038,21.0256,0.0914889,0.971928,149.642,40.6602,0.531699,0.776111,4.29336,0.288741,4.29633,0.229606,1.02067,0.175589,0.0108907,0.158687,0.115757,0.143626,0.17128,0.467033,
98,25.4528,129.697,350.021,0.196248,36.2028,0.697316,11.5754,8.06509,2.54933,9.64407,0.554454,0.651356,47.1015,9.9995,0.45749,2.1986,111.943,0.977486,25.7198,51.7365,2.60601,36.061,0.0914102,1.32772,154.651,5.77233,0.388248,1.74121,4.29336,0.282462,4.29633,0.25987,0.59932,0.175589,0.460901,0.140326,0.115757,3.77588,0.17128,1.52068,
99,25.4528,138.529,321.564,0.183736,62.6265,0.822447,10.3016,0.747592,2.8038,10.4179,0.569641,0.53893,38.1794,9.10122,0.542601,1.87742,167.371,1.16769,17.4369,4.27864,2.93036,33.6221,0.14185,0.875502,118.244,2.09873,0.606316,0.960052,4.29336,0.279295,4.29633,0.25987,1.32588,0.175589,0.278923,0.158687,0.115757,2.72247,0.177041,1.3872,
100,25.3657,51.2475,122.08,0.494965,9.49563,0.538693,7.5168,0.520799,2.03915,4.5648,0.540481,0.402317,14.3571,9.03998,0.410145,1.82163,43.7226,0.775598,14.5135,0.376452,0.776169,18.8708,0.0524623,0.39967,82.659,0.981077,0.263821,0.335378,4.43923,0.255785,4.29633,0.25987,1.32588,0.142229,0.375877,0.158687,0.115757,5.65081,0.178148,1.38778,
101,25.2662,40.3334,95.9453,0.626435,15.2698,0.459038,5.19748,0.547917,2.30877,2.70348,0.541121,0.320309,1.73435,9.02955,0.402887,1.81863,71.5897,0.521546,4.77323,0.430745,1.74895,11.6684,0.0257205,0.112401,10.6188,0.673726,0.447633,0.251448,4.43923,0.276917,4.34662,0.25987,1.32588,0.175589,0.522715,0.15358,0.115757,6.95255,0.175397,1.57008,
102,24.2443,92.0853,335.59,0.26328,35.7466,0.5487,6.66398,6.38127,2.83295,4.77139,0.560865,0.383043,22.1406,9.79998,0.340197,1.91571,162.718,0.846997,10.2807,40.7039,4.03669,19.1625,0.127226,0.503387,104.495,5.97639,0.184237,0.718138,4.43923,0.276917,4.34662,0.295097,1.32588,0.174124,0.522016,0.165448,0.115757,6.67264,0.172513,1.6106,
103,24.2443,57.8678,154.721,0.418959,12.728,0.431182,7.49093,0.587393,2.26799,4.29796,0.519646,0.387897,17.1795,9.68498,0.385908,1.90648,46.267,0.344279,15.7418,2.92168,1.03228,16.8543,0.0910626,0.37222,79.3603,4.49342,0.288983,0.707852,4.31901,0.276917,4.34662,0.295097,1.32588,0.155613,0.0754105,0.165448,0.117125,5.12334,0.172513,1.60646,
104,24.2443,69.6577,161.938,0.348048,24.3918,0.665163,7.74531,0.635025,2.19172,9.04488,0.520301,0.430959,12.532,9.07098,0.495787,1.93375,83.6801,0.998928,12.8678,0.460628,1.56364,31.0569,0.0883319,0.664146,51.2176,1.2189,0.529598,0.742721,4.31901,0.2789,4.34662,0.295097,0.742279,0.174124,0.146165,0.155262,0.117125,5.12334,0.172513,1.39709,
105,24.2443,81.4621,224.495,0.297614,27.1019,0.567907,8.15054,0.630041,2.11099,6.5244,0.530785,0.410557,23.5374,9.43946,0.513128,1.94505,89.2745,0.750945,17.368,0.579161,0.729618,23.7137,0.0780912,0.417122,108.709,2.95266,0.581866,0.675631,4.31901,0.279295,4.33432,0.295097,1.05937,0.13051,0.0859083,0.155262,0.117125,5.12334,0.172513,1.6106,
106,24.2443,70.6603,184.921,0.34311,26.3121,0.629281,6.47485,0.644518,2.2606,5.28527,0.544098,0.372785,16.8661,8.95523,0.494547,1.82089,100.121,1.00911,8.79474,0.73646,1.21173,20.3076,0.127053,0.266621,86.0269,1.22464,0.573033,0.217773,4.31901,0.279295,4.27586,0.295097,1.05937,0.13051,0.0883829,0.19322,0.117125,5.12334,0.172513,1.60619,
107,24.2443,68.9702,220.36,0.351518,19.6012,0.482512,7.24668,0.700569,2.24819,2.89884,0.539087,0.43198,22.9319,9.51046,0.458556,1.9202,81.5649,0.641275,13.3175,1.41186,2.31135,11.2557,0.079836,0.462307,109.787,3.10828,0.28596,0.571468,4.60768,0.266504,4.25137,0.295097,1.05937,0.13051,0.199966,0.145684,0.117125,7.43154,0.172513,1.6106,
108,24.2443,102.034,236.412,0.23761,36.3779,0.734627,9.75599,0.635665,1.86937,7.35173,0.53529,0.459011,32.3211,9.39577,0.69077,1.90634,112.058,1.22504,17.1488,0.54252,1.09341,21.7794,0.13453,0.422085,111.275,2.76219,0.723069,0.553545,4.56779,0.266504,4.13698,0.295097,0.497933,0.135734,0.0140454,0.19322,0.117125,6.04464,0.172513,0.738516,
109,24.2443,92.2498,261.893,0.262811,38.0816,0.661766,9.70123,0.627178,2.32696,6.75547,0.548283,0.495644,21.4131,9.09066,0.546659,2.0012,133.241,1.04674,20.1404,0.785163,2.8228,20.8963,0.138602,0.540595,90.2071,2.42152,0.421096,0.954765,4.60768,0.266504,4.25137,0.295097,0.96602,0.135734,0.0844135,0.19322,0.108393,3.88412,0.172513,1.49413,
110,24.1899,91.0279,225.722,0.265741,34.7215,0.590034,6.2116,0.609418,1.97819,6.35421,0.526526,0.387319,28.3538,8.94776,0.581535,1.76603,105.927,0.793732,9.18618,0.593952,1.19465,19.0915,0.0584927,0.17502,108.957,1.24298,0.408686,0.363188,4.57793,0.266504,3.94677,0.295097,0.779181,0.145714,0.225385,0.0946693,0.108393,7.20961,0.172513,0.353719,
111,24.1899,64.2831,197.954,0.376302,22.3096,0.54338,5.793,0.518279,2.17076,5.05106,0.539573,0.43915,15.7266,8.81918,0.521688,1.85075,97.064,0.84103,8.66694,0.386842,3.05465,25.43,0.0428496,0.456537,76.1021,1.17731,0.239616,0.364951,4.57793,0.266504,4.25137,0.307136,0.676131,0.145714,0.354255,0.154645,0.108393,4.22712,0.210215,1.28046,
112,24.1181,69.0929,180.07,0.349068,26.1598,0.530304,8.74466,0.656591,1.94409,4.63747,0.567801,0.549083,12.8761,9.87332,0.526868,2.02676,110.019,0.637597,17.9874,1.0635,1.24998,16.9999,0.198797,0.996072,60.2409,7.76632,0.300306,0.913625,4.50867,0.266211,4.25137,0.337844,0.928215,0.106246,0.166399,0.234402,0.108393,7.66288,0.184516,1.67448,
113,24.1181,79.3951,218.277,0.303773,17.9323,0.640934,7.58141,0.549268,1.97371,6.09515,0.517521,0.61875,32.0288,8.92892,0.558652,1.96972,53.627,1.03421,13.2312,0.44622,1.19925,25.7293,0.0973961,1.44493,125.479,1.93859,0.530141,1.10538,4.51155,0.266504,4.25137,0.251741,0.96602,0.106246,0.0629539,0.234402,0.139494,7.85112,0.190082,0.840609,
114,24.1181,105.096,276.346,0.229487,37.1311,0.744747,7.91274,0.810991,2.33909,6.64018,0.544325,0.418723,37.2433,8.81907,0.588213,1.90314,115.606,1.22738,14.1572,2.26883,2.42365,20.6666,0.106879,0.385036,133.785,1.95366,0.432801,0.441764,4.51155,0.266504,4.21177,0.251741,0.896568,0.106246,0.0772918,0.202663,0.157618,3.5356,0.21045,1.63077,
115,23.7002,97.6077,253.65,0.242811,31.494,0.708262,12.1427,0.541749,1.86496,6.87258,0.560322,0.456624,28.5746,11.6864,0.623927,2.0816,97.604,1.13218,27.6096,0.524665,1.25777,22.1799,0.177582,0.433038,121.185,15.2137,0.506374,1.49536,4.51155,0.266504,4.24503,0.322472,0.812364,0.106246,0.0470281,0.202663,0.157618,5.81736,0.238328,0.416686,
116,23.7002,91.5633,266.118,0.258839,30.4548,0.531373,7.10951,0.605704,1.84666,5.89496,0.539992,0.387544,33.1541,8.63349,0.605917,1.79932,102.615,0.782648,11.8941,0.714774,1.06211,21.3296,0.0594639,0.300221,129.437,3.34259,0.471124,0.374052,4.51155,0.27462,4.24983,0.299296,0.812364,0.106246,0.255025,0.202663,0.157618,7.02071,0.238328,0.801554,
117,23.6831,86.0724,214.669,0.275153,34.0502,0.638123,9.6507,0.605726,1.93811,4.86135,0.531565,0.434163,22.414,8.53798,0.622723,1.78774,110.682,0.968748,18.0568,0.714979,1.99103,17.2059,0.0893138,0.344855,85.0388,0.895271,0.420308,0.237475,4.51506,0.264582,4.18304,0.288798,0.612832,0.106246,0.142715,0.202663,0.157618,7.50815,0.238328,0.654965,
118,23.5857,46.1634,113.745,0.510918,19.1413,0.494637,6.48992,0.41706,1.85677,3.47436,0.535379,0.348164,2.42378,8.50411,0.632144,1.84574,80.0872,0.808507,11.0272,0.296173,1.56499,15.2618,0.0533279,0.100462,17.8835,0.759283,0.54127,0.270725,4.5344,0.264582,4.27018,0.282455,0.65415,0.114672,0.215257,0.00885953,0.17867,7.70202,0.192649,1.16938,
119,23.5794,50.6713,130.826,0.46534,21.0837,0.455556,6.6374,0.466514,2.03217,3.16906,0.534018,0.468556,4.91242,8.46084,0.593169,1.85787,85.8295,0.607594,14.0156,0.544306,2.68676,15.2017,0.0228717,0.596629,21.7512,0.845981,0.305278,0.384557,4.51718,0.274441,4.27269,0.266043,1.01655,0.114278,0.395038,0.235915,0.17867,7.61525,0.322259,0.730663,
120,23.0754,43.8287,139.612,0.526492,12.6345,0.426143,4.80478,0.362833,1.56852,1.26757,0.537653,0.340676,11.1867,8.27071,0.58394,1.84465,55.9277,0.590059,3.23361,0.127682,0.5433,6.11852,0.00612147,0.113937,73.2638,0.595411,0.250491,0.1402,4.47885,0.270259,4.21254,0.266043,0.732888,0.114762,0.517234,0.0536233,0.305411,7.61525,0.261144,1.68967,
121,23.0754,122.109,273.028,0.188975,50.5459,0.781217,10.3658,0.543,2.32989,5.2786,0.516796,0.555499,39.6638,8.78857,0.770821,1.96879,138.201,1.32437,21.5479,0.646334,3.53139,16.1532,0.134192,0.927713,122.296,2.41991,0.641818,0.791258,4.47885,0.270259,4.21254,0.266043,0.732888,0.138535,0.0295056,0.0433331,0.305411,7.31169,0.323451,0.215396,
122,23.0754,111.678,307.572,0.206625,37.9752,0.669471,8.7403,0.629458,2.40154,11.5704,0.523765,0.627473,37.6824,8.22418,0.709105,1.92474,128.583,1.08135,16.1396,1.34192,3.85941,39.4009,0.146617,0.983879,127.613,1.37699,0.469898,0.640797,4.47885,0.270259,4.21254,0.266043,0.732888,0.138535,0.0480288,0.246449,0.305411,3.18269,0.350217,0.406617,
123,23.0657,41.8188,128.172,0.551563,11.7162,0.467086,5.13414,0.345981,1.4306,1.53457,0.538004,0.366087,9.88793,7.98856,0.63239,1.77723,54.0398,0.765629,6.23057,0.250428,0.706717,9.04504,0.0148636,0.296991,64.4883,0.317291,0.210526,0.238309,4.46342,0.270259,4.21254,0.25498,0.732888,0.142389,0.515365,0.246449,0.147604,7.54632,0.350217,0.512889,
124,22.9131,48.0683,131.375,0.476677,11.4655,0.528335,6.21047,0.406275,1.43889,3.4523,0.533792,0.374633,12.7731,8.37878,0.734038,1.77224,41.7412,0.857931,9.26161,0.399764,0.928339,14.7526,0.0436568,0.110741,70.5007,3.33864,0.337425,0.149447,4.42537,0.224826,4.20364,0.252776,0.732888,0.142389,0.233428,0.247033,0.147604,6.02585,0.360568,1.04988,
125,22.9131,49.2758,134.763,0.464996,15.5437,0.464659,5.62647,0.420534,1.61374,4.0481,0.53485,0.459844,9.66486,8.31648,0.739018,1.84356,59.5343,0.42816,7.86726,0.477583,2.1837,16.9911,0.0271609,0.581354,46.2165,2.42903,0.153646,0.296393,4.46053,0.270259,4.20364,0.252776,0.732888,0.161467,0.363719,0.274975,0.364452,7.45498,0.492527,1.69127,
126,22.7964,98.3894,309.949,0.231696,46.2633,0.645262,6.6723,0.76041,2.04313,5.64825,0.5802,0.441825,23.9631,8.65172,0.774978,1.94498,174.457,1.02255,10.5677,2.72355,3.54811,23.9497,0.216669,0.387271,109.115,3.73879,0.312249,0.764793,4.46222,0.270259,4.24455,0.259512,0.732888,0.161467,0.534698,0.247769,0.364452,7.45498,0.492527,1.68852,
127,22.598,76.3056,192.578,0.296151,23.6212,0.629464,8.14693,0.464106,1.38248,5.31276,0.556809,0.637692,21.8695,10.9705,0.780985,1.93309,69.4274,0.833951,16.9932,0.607351,1.18708,18.6736,0.0814932,1.33905,94.6183,21.7598,0.276764,0.743273,4.46222,0.271655,4.21564,0.250219,0.878876,0.183994,0.53295,0.212031,0.331792,1.71318,0.490345,1.68637,
128,22.598,61.4723,154.084,0.367612,15.1933,0.565381,7.64119,0.398724,1.50771,3.87728,0.535964,0.472217,18.2499,10.3352,0.790582,1.90476,50.6621,0.697225,16.2105,0.374,1.64138,14.4581,0.0424619,0.504928,75.0188,12.5422,0.322988,0.919877,4.44767,0.271655,4.24259,0.219435,0.878876,0.183994,0.281187,0.267058,0.331792,7.49904,0.489904,0.579723,
129,22.598,50.4742,135.389,0.447713,25.9493,0.537181,4.68646,0.373089,1.24278,2.62809,0.549527,0.368085,3.60356,7.91591,0.80672,1.81344,105.515,0.800482,3.41394,0.388509,0.7715,10.949,0.076165,0.121628,19.5208,2.54793,0.365162,0.16212,4.44767,0.271655,4.22764,0.22788,0.892349,0.183994,0.462009,0.279141,0.20502,7.40336,0.573488,1.70434,
130,22.598,81.0415,232.173,0.278844,29.8367,0.576183,6.83034,0.404358,1.94645,3.19469,0.530007,0.377257,26.1527,8.52485,0.816083,1.85186,100.141,0.804224,10.912,0.501612,3.57811,11.0343,0.0850979,0.0815811,103.198,4.42191,0.293846,0.571833,4.44767,0.268681,4.21192,0.160151,0.770496,0.169892,0.153063,0.259034,0.20502,7.58646,0.643443,0.790576,
131,22.5119,74.8699,207.671,0.30068,33.6518,0.489847,8.34773,0.469536,1.2303,6.54328,0.559526,0.580526,12.2283,8.01734,0.825387,1.92623,120.907,0.665125,17.9509,0.796487,1.05875,24.8252,0.135768,0.956572,75.0922,1.68888,0.27783,0.582191,4.44767,0.268681,4.16893,0.218157,0.770496,0.169892,0.207712,0.259034,0.20502,6.87358,0.643443,1.7003,
132,22.4547,75.6968,213.113,0.29664,26.2186,0.513514,8.28955,0.441637,1.18688,3.87791,0.544595,0.478123,23.4816,7.93275,0.84209,1.88952,92.2074,0.618867,17.5334,0.650925,0.752863,15.9284,0.0511505,0.574491,90.9756,1.7145,0.294532,0.446882,4.44767,0.268681,4.16893,0.224163,0.716492,0.227425,0.443911,0.265602,0.20502,3.40724,0.643443,1.41364,
133,22.4547,99.0198,260.683,0.22677,28.4689,0.582224,9.58857,0.431628,1.46484,6.7232,0.539367,0.489803,39.9462,8.03164,0.843925,1.90951,94.1463,0.901994,18.0308,0.571957,1.81202,22.9813,0.0241739,0.464451,144.026,1.81987,0.333352,0.688263,4.44767,0.268681,4.16893,0.207491,0.716492,0.0959695,0.380034,0.149512,0.304457,7.19541,0.591925,0.9009,
134,22.3471,57.6193,157.782,0.38784,14.4432,0.618606,6.50048,0.377488,1.30803,6.63656,0.528608,0.415983,15.8162,8.23762,0.9034,1.8332,44.7575,1.06809,10.0213,0.40983,1.32547,25.1612,0.0628296,0.202827,83.9889,2.42514,0.527838,0.261083,4.43585,0.267178,4.16893,0.21809,0.71196,0.0959695,0.137556,0.276469,0.304457,7.48685,0.59194,0.960865,
135,22.3471,79.6426,231.122,0.280592,32.475,0.561318,7.69985,0.4113,1.23512,6.80326,0.542684,0.51601,18.7016,8.00323,0.835885,1.85741,110.31,0.928732,16.7457,0.532541,0.96206,25.6653,0.0161357,0.674239,87.8668,1.39876,0.333355,0.522837,4.43585,0.267178,4.16893,0.228555,0.71196,0.0959695,0.534537,0.230655,0.304457,7.4676,0.59194,0.909777,
136,22.2472,34.9248,86.8798,0.637005,8.01973,0.451874,4.5083,0.319418,1.12958,3.86458,0.549627,0.423263,4.37727,8.65764,0.796109,1.82739,24.6661,0.819353,3.45893,0.160513,0.524879,24.2544,0.0579363,0.289323,30.3277,7.25435,0.259909,0.117086,4.42553,0.267178,4.21734,0.221985,0.71196,0.281406,0.535654,0.26653,0.300797,7.42941,0.547897,1.70921,
137,22.2472,104.99,281.577,0.211898,38.3095,0.614958,9.84182,0.546325,1.65777,6.17348,0.546543,0.506121,35.5785,8.41641,0.87552,1.92352,133.588,1.04252,20.2968,1.24924,2.21022,23.37,0.175126,0.638506,127.441,3.59573,0.511113,0.833923,4.42553,0.269557,4.21845,0.219723,0.797212,0.281406,0.119584,0.0489277,0.304457,7.42941,0.547605,0.252188,
138,22.1805,56.9346,142.239,0.389579,22.4205,0.496875,6.9378,0.360188,1.48175,4.68932,0.526706,0.560822,8.89989,7.80145,0.831835,1.92744,83.9133,0.759135,12.7038,0.456847,2.35453,17.4223,0.0691452,0.872631,45.0048,1.22243,0.356823,0.704451,4.42553,0.268699,4.21845,0.116879,0.813094,0.365661,0.138535,0.299757,0.304457,7.42941,0.5673,1.00308,
139,22.1805,109.201,272.133,0.203116,46.6729,0.800355,9.31697,0.507384,2.01707,7.68779,0.549877,0.458693,30.2889,8.10361,0.887145,1.91062,134.034,1.5485,17.6351,0.772126,3.06115,23.6714,0.10639,0.415399,117.74,2.48381,0.478415,0.650352,4.42553,0.269557,4.23941,0.214689,0.916239,0.365661,0.0877925,0.0228506,0.309724,6.73667,0.59194,1.1903,
