Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.roll_center.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.mechanical_trail_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.camber_angle_l.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Heave.front.roll_center.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.camber_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Heave.front.roll_center.z.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.mechanical_trail_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.camber_angle_l.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
33,54.131,100.958,42.6348,0.536176,21.8472,0.848573,8.94402,0.751027,2.67796,6.0517,0.446002,1.32652,28.8696,27.3574,0.494223,1.34334,11.8117,0.542502,5.66416,0.428353,1.195,6.42965,0.0711213,1.34713,37.2662,32.9726,0.390323,0.533227,8.39642,0.0305215,0.0916775,0.231145,0.114752,0.435672,0.231278,0.0179269,0.259696,11.524,0.0606679,0.558021,
34,54.131,149.907,207.893,0.361097,47.403,1.20721,13.4554,0.845233,3.25368,12.9559,0.461468,1.04564,41.7421,25.4962,0.712794,1.32844,105.318,1.1759,15.7663,0.858471,2.34478,29.0262,0.12682,0.976871,84.2116,13.3682,0.638094,0.712405,8.39642,0.0305215,0.0916775,0.238892,0.114752,0.435672,0.0694019,0.0179269,0.259696,1.92126,0.0996568,0.250806,
35,54.131,147.681,214.896,0.366541,29.1146,1.09842,11.1868,0.730541,2.84254,8.29576,0.437125,0.818539,38.8684,52.2622,0.715028,1.3107,33.2916,0.922056,7.17411,0.49845,1.81624,15.6654,0.101776,0.890062,53.4474,184.545,0.670195,0.687916,8.39642,0.0305215,0.0916775,0.108719,0.114752,0.435672,0.107003,0.0163525,0.259696,7.4262,0.069779,0.314409,
36,54.131,152.926,275.547,0.353969,33.5819,0.963307,9.45116,0.705976,3.13071,6.69046,0.474815,0.959637,33.0667,61.9291,0.598574,1.37335,81.9694,0.882177,7.42972,0.4531,1.87227,9.85973,0.0936079,0.918452,49.5987,223.243,0.530693,0.614962,8.39642,0.0305215,0.0916775,0.142195,0.114752,0.251666,0.27784,0.0294352,0.259696,8.20936,0.0996568,0.314409,
37,54.131,140.726,237.671,0.384656,33.0257,1.13865,9.60919,0.712566,2.75459,10.5815,0.484674,1.11951,51.4533,27.6758,0.646773,1.52344,78.1839,0.859242,11.7249,0.605236,1.32097,31.5638,0.110733,1.07311,121.396,35.5292,0.574015,0.570541,8.39642,0.0305215,0.0916775,0.049327,0.265542,0.264789,0.235392,0.104238,0.259696,11.524,0.0564241,0.296489,
38,54.131,110.93,76.7109,0.487976,22.5325,0.973993,9.04328,0.669537,2.55228,6.63201,0.470008,1.13371,32.2101,32.4723,0.689204,1.55067,16.9227,0.667358,12.9455,0.439994,1.182,13.6902,0.0877163,0.908753,50.9524,29.4434,0.69684,0.631515,6.65993,0.0305215,0.0916775,0.100765,0.182359,0.131429,0.201696,0.0162403,0.259696,11.524,0.0996568,0.314409,
39,54.131,113.51,119.678,0.476883,34.4305,1.13913,8.2391,0.645883,2.53216,6.96495,0.45593,1.31286,26.1608,29.5214,0.523412,1.58382,79.8578,0.862039,8.53027,0.555312,1.50212,18.5778,0.10778,0.99385,37.0766,26.5676,0.536201,0.558702,6.65993,0.0305215,0.0916775,0.1042,0.262504,0.278575,0.170481,0.0727121,0.259696,7.97648,0.0431838,0.314409,
40,54.131,152.359,304.483,0.355286,51.0739,1.02682,11.9981,1.10743,3.05526,10.5544,0.482432,1.04929,44.4919,25.4469,0.548617,1.52381,158.054,0.886342,26.1726,3.50876,2.86051,24.4516,0.124399,1.00188,106.279,15.3489,0.507926,1.21761,5.35487,0.0305215,0.0916775,0.111105,0.262504,0.145573,0.264051,0.0299588,0.259696,11.3301,0.0944828,0.325079,
41,54.131,112.263,139.105,0.482182,25.5961,1.0032,8.09958,0.593701,2.865,7.86408,0.472641,1.07157,35.6795,26.8554,0.598281,1.5635,54.843,0.836606,10.1585,0.62647,2.38845,23.3383,0.0936875,0.985094,63.0761,12.1219,0.650858,0.575592,6.65993,0.0305215,0.0916775,0.142195,0.208455,0.145573,0.0376288,0.104238,0.259696,10.0217,0.0581908,0.325079,
42,54.0802,130.781,167.644,0.413517,37.6597,1.30023,11.1425,0.646584,2.95274,11.8107,0.461243,1.25329,37.3152,24.0086,0.644787,1.58557,64.0299,1.13317,17.9944,0.508314,2.42462,24.6364,0.0957616,1.38375,74.9189,11.0897,0.681335,0.837802,5.05651,0.0305215,0.0916775,0.125741,0.262504,0.0744675,0.159648,0.104238,0.259696,3.4201,0.0944828,0.325079,
43,54.0802,99.1414,147.6,0.545485,22.364,0.936809,7.92351,0.66276,3.07862,7.25248,0.479726,0.998474,27.9626,25.4063,0.49038,1.58578,45.4248,0.750201,7.80122,0.481394,1.28476,19.0619,0.0618017,0.978102,83.074,6.69216,0.489102,0.539104,6.65993,0.0305215,0.0916775,0.125741,0.262504,0.145573,0.181951,0.0422816,0.259696,12.7483,0.0944828,0.325079,
44,54.0802,177.253,364.81,0.305102,35.4734,1.19438,7.72593,1.73486,2.57342,8.70855,0.501641,0.937297,41.9148,74.153,0.669819,1.66542,109.331,0.951842,10.3952,8.46738,1.83868,32.4153,0.140318,0.737901,83.6381,251.737,0.755684,0.529127,6.65993,0.0305215,0.0916775,0.125741,0.262504,0.145573,0.248744,0.0602419,0.259696,12.5305,0.0736657,0.325079,
45,54.0802,243.361,468.118,0.222222,59.5159,1.14798,11.8692,0.795842,2.68286,10.1417,0.5073,1.10733,54.2608,99.1644,0.511073,1.657,138.958,0.804581,19.8145,1.19776,1.60243,25.2272,0.151712,1.02669,107.214,370.745,0.61973,0.866085,6.65993,0.0305215,0.0916775,0.125741,0.262504,0.145573,0.194492,0.025812,0.259696,10.4072,0.0599438,0.282249,
