Individual,Roll.rear.side_view_swing_arm_angle_l,Roll.rear.camber_angle_gain_roll_l,2in Heave.rear.p_rod_length_l,2in Heave.rear.tie_rod_angle_top_view_l,2in Heave.rear.roll_center_gnd.z,2in Heave.rear.coil_over_length_l,2in Heave.rear.side_view_swing_arm_angle_l,2in Heave.rear.motion_ratio_heave_l,2in Heave.rear.toe_angle_l,
0,0.0184622,1.9587,0,3.14827,663.074,46.6703,0.100933,0.634259,0.0234768,
1,0.017578,1.95873,0,3.14996,663.076,46.6632,0.101648,0.637994,0.0234893,
2,0.0175745,1.95871,0,3.14826,663.075,46.6632,0.101637,0.640532,0.0234616,
3,0.0147512,1.95877,0,3.14934,663.074,46.6631,0.104646,0.640938,0.0236153,
4,0.0140274,1.95873,0,3.15037,663.076,46.6693,0.105685,0.632824,0.0236801,
5,0.0154535,1.95875,0,3.14868,663.076,46.6728,0.103777,0.631752,0.023481,
6,0.0151954,1.95877,0,3.14807,663.074,46.668,0.104096,0.638345,0.0235828,
7,0.0167579,1.95871,0,3.14867,663.077,46.6694,0.102381,0.633923,0.0234703,
8,0.0153636,1.95882,0,3.14845,663.079,46.6653,0.103811,0.636526,0.0238481,
9,0.0161967,1.95881,0,3.14825,663.075,46.6682,0.102971,0.6373,0.0235902,
10,0.0170536,1.95871,0,3.14899,663.075,46.6651,0.102121,0.640242,0.0235205,
11,0.0154484,1.95875,0,3.14816,663.076,46.6756,0.103778,0.629867,0.0236492,
12,0.0164235,1.95873,0,3.14817,663.075,46.6701,0.102751,0.636385,0.0234825,
13,0.0159926,1.95866,0,3.14905,663.075,46.6741,0.103248,0.631583,0.0236063,
14,0.0173921,1.9587,0,3.14976,663.078,46.6653,0.101775,0.637183,0.023521,
15,0.0180778,1.95871,0,3.14823,663.075,46.6701,0.101258,0.637129,0.0235666,
16,0.0178378,1.95872,0,3.14861,663.078,46.6659,0.101327,0.637793,0.0234346,
17,0.0156361,1.95883,0,3.14871,663.079,46.6693,0.103519,0.633177,0.0235125,
18,0.0162388,1.95873,0,3.14863,663.076,46.6786,0.102892,0.627249,0.0234141,
19,0.0146268,1.95878,0,3.14826,663.075,46.6675,0.104804,0.639062,0.0235801,
20,0.0154379,1.95875,0,3.14865,663.076,46.6699,0.103802,0.63646,0.0235057,
21,0.0173016,1.95874,0,3.14803,663.076,46.6727,0.101903,0.634491,0.023481,
22,0.0149583,1.95865,0,3.14855,663.077,46.6706,0.104332,0.6335,0.0244147,
23,0.0159016,1.95876,0,3.14879,663.075,46.67,0.103308,0.637245,0.0235867,
24,0.0140181,1.95873,0,3.14885,663.076,46.673,0.10567,0.632396,0.024038,
25,0.0170564,1.95881,0,3.14854,663.075,46.6694,0.102097,0.637967,0.0234646,
26,0.0170561,1.9587,0,3.1487,663.076,46.6725,0.102114,0.634746,0.0234315,
27,0.0156604,1.95882,0,3.14824,663.076,46.6639,0.103554,0.642804,0.0237252,
28,0.0171114,1.95868,0,3.14956,663.076,46.6726,0.102023,0.633806,0.0234097,
29,0.0164374,1.95879,0,3.14854,663.076,46.6724,0.102753,0.634492,0.0235234,
30,0.0163768,1.95875,0,3.14833,663.075,46.6651,0.102767,0.6429,0.0235332,
31,0.0146969,1.95873,0,3.14826,663.075,46.6666,0.104716,0.641941,0.0236635,
32,0.0186286,1.95872,0,3.14802,663.077,46.6774,0.100663,0.629067,0.0234326,
33,0.0173176,1.95868,0,3.1486,663.078,46.6688,0.101809,0.637001,0.0234633,
34,0.018819,1.95864,0,3.14855,663.075,46.6661,0.10059,0.641747,0.0234786,
35,0.0174408,1.9587,0,3.14867,663.078,46.6708,0.101695,0.634241,0.0234746,
