Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Heave.front.roll_center.z.avg,Heave.front.king_pin_inclination_l.avg,Heave.front.mechanical_trail_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Roll.front.camber_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.king_pin_inclination_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Roll.front.camber_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Heave.front.roll_center.z.best,Heave.front.king_pin_inclination_l.best,Heave.front.mechanical_trail_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Roll.front.camber_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
167,59.831,130.431,212.708,0.458719,0.295244,27.4104,58.4506,6.5892,4.66936,0.53683,0.556605,0.741481,0.349881,7.45426,21.1869,0.437116,1.75275,0.899664,82.9116,93.3856,3.69508,12.7584,1.45623,1.65966,2.4464,0.0934689,22.064,4.53352,0.562944,0.552787,0.0133603,0.0139843,23.584,4.01311,0.328166,0.0221338,0.0528786,0.0826212,0.128062,0.0138261,1.41786,0.236806,0.77435,
168,59.831,104.7,155.953,0.571453,0.161473,14.176,45.3943,7.13289,2.09826,0.285313,0.202059,0.777268,0.359789,8.06443,23.9942,0.381143,1.67272,0.614001,52.4262,64.2851,5.24472,6.51059,0.973292,0.529326,2.45052,0.131632,28.8558,13.2182,0.48838,0.415074,0.0133661,0.0139843,29.3626,5.80447,0.334202,0.0221422,0.051906,0.0826212,0.0675728,0.0145019,5.56508,0.236806,0.720446,
169,59.831,98.7976,165.648,0.605592,0.115065,7.60241,49.0342,7.26827,1.31914,0.182988,0.241336,0.458814,0.366149,7.43127,22.725,0.339612,1.7133,0.429204,37.2117,90.5616,5.76589,4.14797,0.654592,0.835372,1.92372,0.128105,29.4623,7.39141,0.351484,0.445892,0.0133534,0.0139843,29.3754,5.81233,0.337052,0.0222554,0.0503907,0.0825881,0.337758,0.0145799,16.8801,0.236806,1.2892,
170,59.831,77.1086,95.3754,0.775931,0.0563695,6.24227,37.5384,5.73962,1.46709,0.159777,0.146599,0.280184,0.33848,2.0545,21.1661,0.280483,1.63876,0.298597,36.4692,48.3803,0.958204,6.18615,0.677713,0.46586,0.943267,0.06431,11.2542,3.15318,0.164334,0.0895955,0.0133534,0.0141055,29.3754,3.44527,0.33792,0.0223976,0.0503907,0.0825865,0.0371275,0.0135768,4.75246,0.236806,1.30127,
171,59.8243,139.798,231.766,0.427934,0.118218,19.5354,71.1881,7.46777,4.80057,0.434565,0.220695,1.30983,0.367174,10.8487,21.3724,0.446398,1.68823,0.598239,59.2393,134.853,6.08087,12.626,1.2478,0.486242,3.67545,0.107306,31.497,4.52084,0.608618,0.338381,0.0133534,0.0113697,29.3754,3.14487,0.338156,0.0223709,0.0520341,0.0822889,0.216956,0.0135768,7.72339,0.236806,0.943403,
172,59.8243,96.6175,166.459,0.619187,0.146925,8.63412,50.6757,6.21241,1.51704,0.27335,0.112233,0.666191,0.370086,4.72984,21.2776,0.344582,1.65739,0.664063,46.033,99.7066,3.39867,6.64019,1.01711,0.274365,2.63891,0.136271,19.9478,2.17141,0.393997,0.276839,0.0133534,0.0141055,29.3754,2.80254,0.333859,0.0223709,0.050816,0.0826176,0.337491,0.0126581,10.3903,0.236806,0.974429,
173,59.8221,118.097,199.806,0.50655,0.188232,22.7936,54.2502,6.59838,3.24351,0.432372,0.215931,0.600886,0.351683,6.34696,20.9973,0.365572,1.71237,0.639185,79.1871,87.1963,4.00019,10.7111,1.43679,0.614582,2.2827,0.0758698,23.2376,2.75961,0.405918,0.320518,0.0133353,0.0160075,29.354,5.16973,0.338156,0.0223709,0.0505279,0.0826265,0.200848,0.0116383,7.20757,0.228748,1.44711,
174,59.8221,104.005,174.987,0.575186,0.114205,16.2881,45.4966,7.13746,3.15009,0.261388,0.179875,0.5152,0.348697,6.7384,21.7278,0.350589,1.69633,0.579671,65.7152,65.0387,5.2259,11.2846,0.986238,0.560843,2.33751,0.0777508,26.6297,3.25833,0.43533,0.286291,0.0134122,0.0167021,29.3754,5.80916,0.33766,0.0223709,0.0505279,0.0825714,0.121921,0.0135245,10.8473,0.233247,1.64069,
175,59.8221,133.119,213.908,0.449387,0.229776,23.5519,65.6146,6.5909,3.04821,0.482222,0.37528,1.26976,0.360059,8.33881,21.2358,0.371382,1.65072,0.777855,75.8762,105.896,4.41694,7.47467,1.31443,1.03718,3.90203,0.101869,24.2088,3.15016,0.491003,0.328767,0.0133413,0.0193829,29.3754,2.92421,0.324418,0.0224767,0.0505279,0.0818618,0.16112,0.0135245,9.22889,0.225934,0.651733,
176,59.8221,105.944,165.511,0.56466,0.110659,12.5988,49.6836,7.23792,4.14487,0.347418,0.262011,0.509849,0.338612,8.07475,20.5933,0.375208,1.66653,0.467189,52.2428,80.9063,5.54899,13.4202,1.17842,0.73489,2.0376,0.0502356,29.359,4.08697,0.496147,0.268854,0.0133503,0.0193829,29.3754,5.80916,0.336914,0.0225467,0.0505279,0.0826265,0.140215,0.0127311,1.26871,0.231183,0.559851,
177,59.8221,167.769,275.387,0.356574,0.224135,35.5985,83.8179,6.7514,7.06206,0.468678,0.730788,0.865574,0.396646,8.86539,20.5918,0.473473,1.92247,0.652042,92.2846,139.965,4.2216,18.8051,1.1893,2.57666,2.0187,0.183029,25.255,3.88095,0.661084,0.962159,0.0133503,0.0193829,29.3754,3.29569,0.337011,0.0225467,0.0505279,0.0826265,0.244027,0.0132979,3.79857,0.230194,1.63962,
178,59.8221,107.298,173.02,0.55753,0.138558,12.7592,53.8843,6.3669,3.91624,0.444437,0.263812,0.431133,0.357093,4.71125,21.9969,0.366624,1.66195,0.589959,61.1367,112.586,3.65089,14.2632,1.441,0.866923,1.42021,0.173313,19.3217,5.85418,0.420549,0.288597,0.013353,0.0193829,29.3754,3.77684,0.337011,0.0225467,0.0505279,0.0826265,0.0584787,0.0132979,9.10305,0.232164,1.28674,
179,59.8183,102.702,155.92,0.582446,0.292876,13.0259,48.0995,6.67143,2.80409,0.288137,0.267854,0.752929,0.345106,6.83703,21.2539,0.369994,1.69323,1.06905,50.7686,72.617,4.56793,8.97107,0.923695,0.959139,2.61246,0.0557227,25.4758,3.08404,0.505614,0.341749,0.0133671,0.0160282,29.3754,3.78569,0.337011,0.0225467,0.0504713,0.0830466,0.11054,0.0125043,5.86283,0.219404,0.848126,
180,59.8183,117.84,183.545,0.507621,0.288929,18.6272,61.3099,5.71137,2.63288,0.345741,0.278596,0.684757,0.362438,4.88813,20.6447,0.376262,1.68956,0.909685,63.2377,106.701,0.561862,7.3757,1.10285,0.728207,2.4435,0.116569,14.9129,3.48373,0.512056,0.336065,0.0133671,0.0140863,29.3776,3.20566,0.338816,0.0225467,0.0501555,0.082303,0.111377,0.012919,6.24546,0.232164,1.03248,
181,59.8171,115.552,174.907,0.517666,0.217927,18.5231,53.6172,6.56716,3.84042,0.454026,0.310961,0.568675,0.354171,7.13309,21.8808,0.403309,1.68062,0.71027,58.0422,85.3065,4.18525,11.4422,1.35104,0.795946,1.7652,0.0807237,23.1356,5.15761,0.509951,0.370475,0.0133303,0.0160282,29.3828,3.29692,0.340095,0.0225467,0.0501555,0.0826218,0.0942796,0.0128445,11.9398,0.229426,0.872018,
182,59.815,115.957,192.527,0.51584,0.18364,17.7337,53.1217,7.50104,4.01253,0.31714,0.231645,0.759261,0.337154,8.86022,20.7634,0.369192,1.76599,0.605978,66.6637,87.4762,5.71336,12.9404,1.04628,0.698729,2.74574,0.0857315,30.1404,4.09453,0.456074,0.470731,0.0133189,0.0160282,29.4116,5.81675,0.338523,0.022503,0.0501555,0.0829144,0.0522427,0.0115513,0.770994,0.219396,1.63905,
183,59.8141,110.296,172.077,0.542308,0.133275,14.9484,54.4151,6.86147,3.33289,0.330081,0.244049,0.673916,0.342611,6.50271,20.5496,0.329112,1.63234,0.470875,60.0396,97.587,4.32158,10.7926,1.06221,0.742731,2.02726,0.0718514,22.6269,4.171,0.306784,0.259633,0.0133303,0.0160282,29.396,4.92191,0.339896,0.022379,0.0501555,0.0829667,0.0566391,0.0121851,2.07208,0.229426,0.164576,
184,59.8141,96.4793,155.516,0.619969,0.112523,9.9919,45.9129,7.27951,1.50256,0.283354,0.144698,0.674333,0.347331,7.27935,20.8592,0.387975,1.7036,0.475773,45.0442,85.8484,5.87041,5.34225,1.07327,0.406195,2.32995,0.0836164,30.1065,3.76616,0.581155,0.375312,0.0133303,0.0160282,29.3831,5.81392,0.339296,0.0223053,0.0502005,0.0827181,0.235262,0.0121228,0.319019,0.229426,1.63393,
185,59.8141,94.894,149.755,0.630326,0.118205,8.7348,46.0571,6.61958,2.04012,0.17121,0.193882,0.643552,0.356908,5.36798,22.5655,0.315227,1.70995,0.442791,39.2377,79.9147,4.00322,6.80522,0.605041,0.573686,2.60548,0.0811002,22.1896,8.07489,0.295019,0.588527,0.0133303,0.0160282,29.3831,4.95718,0.339197,0.0222647,0.0502005,0.0829667,0.337683,0.0122883,11.7542,0.228203,0.713552,
186,59.8141,111.587,169.449,0.53603,0.332276,15.2093,53.5564,6.51636,3.20771,0.316497,0.215233,0.714904,0.3576,7.08037,21.9662,0.381702,1.73274,1.26633,53.8315,91.3832,4.21347,8.7444,0.921227,0.540509,3.38474,0.0788856,22.9019,7.61155,0.48029,0.515813,0.0133303,0.0160282,29.3831,3.0689,0.339896,0.0223183,0.0500437,0.0835163,0.256524,0.012519,8.22006,0.228203,0.947708,
187,59.8114,102.793,151.451,0.581861,0.140361,7.11276,51.7398,6.97869,2.25749,0.435455,0.219668,0.587026,0.36366,8.55095,22.2871,0.437257,1.68305,0.495772,43.0164,91.3375,4.84196,7.47979,1.2754,0.595425,1.97575,0.141308,27.4561,8.92903,0.696732,0.304225,0.0133274,0.0160282,29.3941,3.00917,0.339896,0.022379,0.0500655,0.0852388,0.0626516,0.0125295,6.43804,0.225048,0.864662,
188,59.8112,133.253,211.9,0.448853,0.186785,15.4636,72.1019,7.01049,3.56368,0.456411,0.453447,0.686319,0.383054,9.25511,21.5045,0.441633,1.74651,0.759452,53.5853,133.809,5.25845,10.8108,1.261,1.19069,1.94592,0.178243,26.8788,8.25211,0.597006,0.48873,0.0133303,0.0213728,29.3941,3.13945,0.340215,0.0224285,0.0500655,0.0852388,0.0442498,0.0125295,4.64316,0.228232,0.917949,
189,59.8111,117.924,197.822,0.5072,0.193941,11.2955,63.9196,7.05178,3.57566,0.273183,0.262137,1.28166,0.354323,7.06633,20.6549,0.341524,1.6535,0.643545,48.7214,119.077,5.08485,12.5883,0.895364,0.782351,4.47927,0.0714133,25.4994,3.90806,0.372792,0.121407,0.0133303,0.0213728,29.4107,3.42405,0.341577,0.0224285,0.0502005,0.0852388,0.303834,0.0125295,3.10523,0.228232,1.57052,
190,59.8104,108.442,162.416,0.551543,0.137922,16.1284,50.0582,6.98124,3.09876,0.531123,0.224617,0.777477,0.348124,7.33059,20.7087,0.423516,1.69321,0.43843,52.7392,76.458,4.85701,10.3769,1.62383,0.585484,2.35573,0.0658408,24.7631,3.14696,0.565912,0.351414,0.0133401,0.0213728,29.4355,2.92386,0.342532,0.0223321,0.0498777,0.0852388,0.262241,0.0125295,6.35946,0.228232,1.35589,
191,59.8104,94.9047,149.539,0.630216,0.0947601,12.406,41.1017,6.72494,3.28506,0.233854,1.41778,0.444173,0.335275,5.6377,21.0616,0.355552,1.80626,0.458303,56.673,52.7943,4.33674,12.4231,0.91309,8.97144,1.64795,0.0606273,23.2067,3.06041,0.460761,0.837379,0.0133401,0.0223575,29.4294,5.81731,0.342454,0.0223065,0.0493697,0.0852388,0.0932626,0.0131572,2.36895,0.228232,1.55683,
192,59.8096,155.039,254.921,0.385771,0.307909,24.0807,80.0001,7.59856,5.08457,0.573886,0.401525,1.7452,0.360074,11.7367,20.9183,0.443671,1.78813,0.940053,69.1173,141.184,5.73763,12.3783,1.50455,1.19356,4.94616,0.118228,32.8308,5.18045,0.574646,0.513201,0.0133344,0.0207516,29.4599,3.95333,0.342961,0.0222209,0.0493697,0.0874137,0.0207885,0.0125439,8.16468,0.22329,1.63988,
193,59.8094,127.925,217.288,0.467535,0.223925,21.7856,59.4271,6.41204,5.92742,0.483297,0.211769,0.650548,0.349849,8.43777,21.7561,0.427104,1.83252,0.726282,72.5122,104.163,4.06376,16.1024,1.30531,0.509454,2.28406,0.0916312,25.1265,6.52683,0.54413,0.880084,0.0133487,0.0160177,29.4601,2.09402,0.342111,0.0223321,0.049392,0.0874137,0.0113031,0.0131871,3.18615,0.23593,1.12303,
194,59.8094,114.501,191.611,0.522346,0.126484,15.0354,54.3959,7.18827,2.52244,0.383769,0.283336,0.87909,0.360153,7.9896,23.2611,0.365499,1.71038,0.592925,58.0555,101.943,5.536,8.58829,1.30316,0.828452,2.75534,0.0974798,28.7148,16.261,0.430502,0.434615,0.0133634,0.0159023,29.4659,5.26251,0.340635,0.022312,0.0497095,0.0874137,0.319569,0.0131871,7.97692,0.23593,0.654537,
195,59.8094,112.125,155.88,0.533415,0.278546,11.4954,57.7526,6.55283,3.64737,0.53751,0.222828,0.925845,0.33831,7.927,20.2704,0.484241,1.69252,0.93633,35.0564,100.926,4.43244,9.66843,1.4351,0.555544,2.66646,0.102296,23.8045,4.89214,0.7444,0.340288,0.0133969,0.0145017,29.4667,3.54948,0.342064,0.0222249,0.049192,0.0884507,0.0190471,0.0131871,0.340947,0.235614,0.794036,
196,59.8088,134.332,231.789,0.445231,0.167567,14.9847,73.2899,7.72719,3.27039,0.29725,0.334988,0.827616,0.375799,10.0271,20.9743,0.407566,1.64765,0.603761,55.9528,141.109,6.40865,10.2274,0.862465,0.968746,2.43768,0.161923,32.0721,2.71748,0.535165,0.241429,0.0133969,0.0216529,29.4667,5.81719,0.341829,0.0223076,0.0496777,0.088026,0.171973,0.013754,10.0794,0.236194,0.465017,
197,59.8088,103.376,174.121,0.578557,0.0814375,12.9478,48.2845,6.72776,2.31167,0.310975,0.260927,0.518487,0.360269,5.2843,24.2575,0.357685,1.67232,0.350123,53.298,94.4777,4.35392,8.3287,1.2112,0.938129,2.34566,0.121218,21.6373,19.6544,0.487517,0.386256,0.0133969,0.0216529,29.4753,5.81719,0.341659,0.0222207,0.0496777,0.087803,0.338047,0.0134477,12.6466,0.236194,0.9909,
198,59.8073,114.906,228.442,0.520487,0.127615,12.6584,61.4303,6.62544,1.75496,0.309979,1.35067,1.10706,0.374304,5.1829,21.984,0.321398,1.67941,0.530037,52.4259,134.251,4.02364,6.37109,1.14456,8.56583,4.06605,0.176336,21.8823,3.79223,0.349533,0.479248,0.0133768,0.0216529,29.4753,5.32807,0.342604,0.0222522,0.0496534,0.088026,0.338108,0.0134477,16.3715,0.235449,0.810607,
199,59.8066,107.787,194.047,0.554857,0.112434,9.79685,59.5242,6.42871,3.3102,0.282366,0.250531,0.706541,0.372169,3.91925,21.0608,0.319142,1.70413,0.479613,46.4305,119.777,3.86245,12.4133,1.03706,0.944801,2.70276,0.143156,19.623,2.87001,0.347595,0.498539,0.0133768,0.023713,29.4723,3.86956,0.341649,0.0222094,0.0496534,0.0882499,0.338165,0.0134477,6.11679,0.235449,0.431686,
200,59.8066,82.5542,111.435,0.724453,0.0491045,12.314,32.9403,6.29184,2.23769,0.134876,0.0994166,0.217239,0.335479,3.97576,21.9484,0.326988,1.68311,0.186747,60.3062,22.7307,3.34103,9.37566,0.569814,0.300208,0.775447,0.0554159,20.9077,2.70362,0.422212,0.227058,0.0133627,0.0238489,29.4723,5.55212,0.341649,0.0222094,0.0496534,0.0871073,0.066067,0.0134477,16.8844,0.234436,1.64139,
