Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Heave.front.roll_center.z.avg,Heave.front.king_pin_inclination_l.avg,Heave.front.mechanical_trail_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Roll.front.camber_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.king_pin_inclination_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Roll.front.camber_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Heave.front.roll_center.z.best,Heave.front.king_pin_inclination_l.best,Heave.front.mechanical_trail_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Roll.front.camber_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
132,59.8952,109.185,181.054,0.548564,0.159803,11.2113,59.1696,6.98607,2.03594,0.370926,0.171542,0.803605,0.365789,5.04015,20.8864,0.370375,1.61392,0.79629,41.781,114.962,4.4308,7.38063,1.21593,0.443,2.73667,0.0983731,20.8587,2.97298,0.428665,0.214382,0.0133815,0.00507921,29.3683,5.76342,0.315079,0.0213976,0.0540193,0.0818194,0.336107,0.014071,6.34276,0.174249,0.523229,
133,59.8952,113.643,167.803,0.527047,0.260907,13.1653,52.8218,7.49853,4.15235,0.482761,0.282109,0.958822,0.337882,10.5399,20.9917,0.461946,1.68894,1.04304,49.5411,86.7605,6.12813,11.0849,1.32786,0.57718,2.94783,0.0764421,29.557,3.14257,0.622966,0.452793,0.013397,0.00507921,23.973,2.35596,0.321877,0.0213976,0.0540193,0.0823188,0.056055,0.0133367,10.3711,0.206251,0.410222,
134,59.8952,112.811,170.697,0.530934,0.226616,15.7545,53.7118,6.99384,2.65031,0.393349,0.254946,0.438576,0.352952,7.85443,21.9894,0.442314,1.74785,0.731364,55.5478,96.7656,4.63488,7.66975,1.09497,0.58948,1.6273,0.11947,25.5011,7.67713,0.627534,0.594784,0.01339,0.00507921,29.4257,3.35631,0.321877,0.0211882,0.0540193,0.0424733,0.0778843,0.014071,8.55345,0.206251,0.698918,
135,59.8952,82.514,97.0406,0.725879,0.100541,8.64188,37.2005,6.32677,1.35064,0.300651,0.20224,0.407383,0.336332,3.48037,22.1458,0.333029,1.68789,0.39407,36.0592,48.8753,3.40052,5.72694,1.17094,0.534464,1.51517,0.0391383,18.1036,8.63327,0.335318,0.308499,0.0133896,0.00507921,29.443,3.01301,0.321877,0.0213976,0.0540193,0.0823188,0.113357,0.014071,0.912666,0.222586,1.36143,
136,59.8812,97.3706,163.505,0.614983,0.201341,11.2314,49.5985,6.13996,1.83983,0.219233,0.174923,0.739127,0.360798,4.04181,20.847,0.327738,1.64891,0.784728,44.4859,100.115,2.68762,6.45978,0.807326,0.463608,3.13726,0.123936,16.9396,3.92087,0.308361,0.172093,0.0133346,0.0101032,13.1299,3.92752,0.319713,0.0213976,0.0540193,0.0823188,0.225611,0.014071,3.26014,0.218058,1.08192,
137,59.8812,84.6455,98.0008,0.707436,0.0793197,9.76215,38.5203,5.60311,2.34567,0.291197,0.211422,0.672313,0.329357,3.88761,20.9616,0.338344,1.6431,0.271654,41.0361,42.7805,0.758655,7.23787,0.957771,0.492965,2.15023,0.0505917,13.146,2.90547,0.277138,0.305387,0.0133346,0.0101032,27.7169,2.26366,0.301182,0.0210844,0.0515053,0.0823188,0.0715847,0.0148246,5.92796,0.224896,0.483093,
138,59.8812,113.064,181.925,0.529622,0.242977,19.3848,50.9127,6.5071,3.94131,0.264741,0.226077,0.631781,0.347746,5.44445,23.06,0.358607,1.74191,0.944681,69.0783,92.1359,3.89707,12.1452,0.858857,0.572834,2.08463,0.117536,19.7478,11.789,0.415822,0.502964,0.0133346,0.0101032,29.3393,2.88293,0.296464,0.0212964,0.052505,0.080831,0.0854065,0.0132576,1.61672,0.224896,0.974101,
139,59.8812,121.507,187.067,0.49282,0.245141,18.2699,55.533,6.74333,5.00525,0.436138,0.212856,0.939566,0.359604,7.05159,24.633,0.372968,1.70496,0.889508,60.8519,101.422,4.43768,14.1804,1.25145,0.485664,2.99401,0.0844338,23.1171,20.2834,0.372496,0.452035,0.0133346,0.0101032,29.317,4.05789,0.298973,0.0213976,0.0538139,0.0816744,0.336882,0.0148246,0.0676129,0.224896,0.783753,
140,59.8812,101.769,150.827,0.588406,0.196807,16.6459,45.3404,6.02233,4.10403,0.309934,0.502653,0.585777,0.336796,4.61229,21.1337,0.342567,1.63533,0.765094,60.9461,74.3836,3.00824,13.891,1.05291,2.53181,2.05366,0.0679677,17.7603,4.28717,0.362338,0.345527,0.0133346,0.0101032,29.2599,1.33052,0.314339,0.0213976,0.0512536,0.0816744,0.0843562,0.0148246,8.07114,0.105283,0.474379,
141,59.8812,127.923,208.555,0.468105,0.30705,21.3838,60.6666,6.5852,4.3984,0.381029,0.400817,1.20513,0.359068,7.2919,22.6765,0.421995,1.84525,0.968856,71.6051,117.014,4.23884,12.4507,1.11307,1.19489,4.14552,0.187054,23.7475,10.4999,0.525067,0.800431,0.0133346,0.0101032,29.3272,3.20441,0.299912,0.0212195,0.050471,0.0805834,0.00501137,0.0147404,5.18616,0.228805,1.28298,
