Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.roll_center_gnd.z.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Roll.front.camber_angle_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.roll_center_gnd.z.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Roll.front.camber_angle_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.roll_center_gnd.z.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Roll.front.camber_angle_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
108,35.8719,128.619,374.145,0.278901,0.701883,1.6997,27.93,0.330961,74.1013,6.19556,11.6767,1.00486,1.45318,3.5249,2.37347,3.22174,3.64901,0.964232,330.583,17.0733,31.051,0.0208499,6.4469,1.81443,0.000374608,0.927507,15.5584,0.0258405,0.00500436,0.471186,2.03078,0.973172,5.9091e-05,2.91178,
109,35.8719,60.2826,103.011,0.595063,0.367859,1.97666,31.7411,0.351206,10.2307,3.6916,7.60265,1.00531,0.204629,3.11088,1.57663,4.74556,23.0993,1.08591,82.1177,12.7885,25.206,0.0158407,1.30849,0.471966,0.000394127,0.927426,13.5935,0.0252509,0.00500436,0.471485,2.00313,1.00179,5.9091e-05,3.0483,
110,35.8719,58.3077,138.869,0.615218,0.35958,1.81196,31.1051,0.263331,12.6589,2.63767,5.00553,1.00435,0.253065,3.20822,1.75093,4.81437,22.4924,1.00785,87.6836,10.6593,16.245,0.0133802,1.75742,0.852299,0.000394127,0.927507,12.4064,0.0298102,0.00500436,0.471423,2.03174,1.0018,5.43302e-05,3.04987,
111,35.8719,199.975,479.684,0.179382,1.07856,2.14627,29.9484,0.319988,141.716,6.78057,10.6986,1.00396,2.79466,3.48748,2.92065,4.08673,23.4152,0.909597,453.45,17.5054,27.0235,0.0141374,8.79782,1.31344,0.000394127,0.92758,9.19884,0.0186944,0.00469891,0.471423,2.04838,0.994928,5.43302e-05,3.04731,
112,35.8719,110.335,234.932,0.32512,0.932201,2.38836,37.5228,0.305803,45.0489,5.54425,13.3307,1.00375,0.900308,3.35755,2.90474,4.74621,63.7527,1.07024,200.798,16.0874,38.0748,0.0148609,3.90007,1.36318,0.000371762,0.92758,10.6065,0.0186944,0.00469891,0.471741,2.04838,0.980038,2.64099e-05,2.38093,
113,35.8719,145.431,369.383,0.24666,1.01019,2.53787,27.6266,0.325539,93.983,5.87251,7.89151,1.0033,1.86172,3.31841,3.0693,5.24531,12.0834,1.03838,323.479,16.3104,30.7791,0.0183267,6.55747,1.20734,0.000394127,0.927582,9.34977,0.0360392,0.00473343,0.471741,2.05261,0.960974,2.64099e-05,2.72438,
114,35.8716,97.6356,306.031,0.367403,0.373847,1.36706,27.6377,0.313499,52.5708,2.66427,7.53924,1.00078,1.0361,3.13222,1.92181,2.66846,2.93138,1.17571,267.51,11.1305,31.2221,0.00651757,5.27182,0.595743,0.000338134,0.927582,12.0871,0.0263223,0.00473343,0.471741,2.05261,0.959694,2.64099e-05,2.79107,
115,35.8716,109.986,292.182,0.326147,0.624704,2.49215,27.2488,0.435535,57.9034,4.64472,11.2853,1.00236,1.14446,3.20465,2.14018,6.1047,3.54126,1.23779,255.493,15.0692,41.3925,0.00391095,5.02382,0.909018,0.000338134,0.927582,11.7886,0.0263223,0.00473343,0.471741,2.05261,0.990491,2.64099e-05,2.22825,
116,35.8707,76.5235,169.792,0.468754,0.514897,2.05183,28.6946,0.24035,33.1838,3.03184,3.79628,1.00279,0.663451,3.34364,2.10279,4.8164,8.95532,0.871977,148.445,11.6945,10.9285,0.00741945,2.97563,1.2993,0.000338134,0.927662,10.4974,0.0263223,0.00415391,0.471741,2.08329,0.993373,2.64099e-05,3.0491,
117,35.8707,158.08,410.555,0.226914,0.822728,1.81298,36.1657,0.167115,99.9998,4.54494,8.16776,1.00611,1.96715,3.42614,2.62459,3.10759,54.456,0.316153,372.748,13.8736,22.1881,0.0206744,7.52809,1.31346,0.000338134,0.927663,8.16563,0.0358927,0.00415391,0.471741,2.08431,0.996548,2.64099e-05,2.6244,
