Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.side_view_swing_arm_angle_l.avg,Heave.rear.p_rod_length_l.avg,Heave.rear.coil_over_length_l.avg,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.toe_angle_l.avg,Heave.rear.roll_center_gnd.z.avg,Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Heave.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.p_rod_length_l.std_dev,Heave.rear.coil_over_length_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.toe_angle_l.std_dev,Heave.rear.roll_center_gnd.z.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.best,Heave.rear.p_rod_length_l.best,Heave.rear.coil_over_length_l.best,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.toe_angle_l.best,Heave.rear.roll_center_gnd.z.best,Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,
0,1975.61,5164.5,1458.3,0.382536,301.338,0,1122.13,6.45609,358.758,2727.61,294.763,294.151,59.2927,395.796,2.20392e-05,1118.63,3.90328,439.477,2335.44,161.504,373.987,65.4729,16.6578,0,53.5236,0.311224,20.1864,1351.78,69.4987,16.617,3.82824,
1,1975.61,4355.07,1111.95,0.453633,235.256,0,717.444,5.65123,251.709,2524.65,323.501,234.943,61.922,173.629,0,722.844,3.40174,170.747,796.883,160.303,170.343,24.0333,2.91233,0,53.5236,0.311224,2.87471,1351.78,86.8665,2.83664,3.82824,
2,1975.61,3957.26,914.715,0.499236,287.739,0,477.694,5.34751,243.964,2294.82,303.423,287.749,56.5235,263.233,0,491.789,3.39929,162.836,710.464,157.151,260.093,22.023,5.63089,0,42.755,0.146268,12.248,1092.08,71.7487,4.1873,3.82824,
3,1975.61,3719.6,1055.75,0.531134,257.227,0,484.224,5.20096,204.204,2136.22,322.012,257.218,53.2943,241.31,0,621.587,2.90578,156.368,541.352,187.668,242.523,16.567,5.63089,0,53.5236,0.311224,5.46588,1056.85,104.433,4.1873,3.82824,
4,1975.61,3506.34,1309.96,0.563438,223.596,0,511.005,5.44438,209.075,1957.17,330.283,223.34,46.4298,235.217,0,738.884,3.39175,198.534,462.763,212.478,234.902,16.4979,5.63089,0,53.6545,0.311224,5.46588,1332.65,76.5693,3.78601,0.948651,
5,1975.61,3517.21,1630.52,0.561697,233.598,0,514.046,5.69002,266.643,1945.91,279.745,228.309,43.2652,297.568,0,647.434,3.85144,356.393,624.553,172.5,286.758,16.9522,5.86227,0,46.1119,0.0932929,5.46588,1303.29,67.1719,3.78601,3.82824,
6,1975.61,3700.46,2148.29,0.533882,275.784,0,600.248,4.80584,283.93,1887.68,335.181,271.713,41.1148,408.766,0,680.152,3.51916,381.587,612.377,208.966,408.437,14.8025,5.81334,0,32.415,0.59997,5.46588,1306.56,40.361,3.78601,3.82824,
7,1975.61,3131.4,1418.19,0.630903,182.402,0,455.392,5.73285,159.408,1808.14,296.98,181.943,41.4006,232.767,0,657.086,3.89911,224.161,616.878,199.26,211.84,14.8516,5.81334,0,44.773,0.437312,5.46588,1094.84,13.8951,3.78601,3.82824,
8,1975.61,3439.35,1972.72,0.574412,233.487,0,624.525,6.34222,218.626,1804.69,279.739,232.175,39.7732,285.209,0,857.4,4.3181,260.862,652.782,198.061,289.115,18.2064,5.81334,0,44.773,0.110271,4.32592,1206.08,13.8951,3.78601,3.82824,
9,1671.1,2863.37,1477.11,0.583611,206.638,0,401.175,5.90154,117.161,1651.64,237.592,206.452,36.8111,224.653,0,602.195,3.77806,172.598,608.882,199.976,219.993,17.8644,3.031,0,53.6545,0.673187,4.32592,1070.11,13.8951,2.80063,3.82824,
